,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
-,-,10,2018/10/14 10:31,3088,乗客アプリ（地図から）,2490,1149,9,4,,2018/10/14 10:33,2018/10/14 10:45,35.443704 139.651332,ホテルメルパルク横浜,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/14 10:34,2018/10/14 10:34,2018/10/14 11:05,2018/10/14 11:05,,2018/10/14 10:31,0:11:53,0:47:32,,00,02,,,,,,
-,-,10,2018/10/14 10:31,3089,街角設置端末（店舗から）,0,695,4,1,,2018/10/14 10:34,2018/10/14 10:39,35.450447 139.635947,みなとみらい線　馬車道駅,35.447541 139.644914,シルク博物館,2018/10/14 10:37,2018/10/14 10:37,2018/10/14 10:45,2018/10/14 10:45,,2018/10/14 10:31,0:04:52,0:04:52,,00,02,,,,,,
★,-,10,2018/10/14 10:33,3090,乗客アプリ（目的地から）,2750,509,5,1,,2018/10/14 10:39,2018/10/14 10:54,35.456605 139.635327,横浜ベイホテル東急,35.443659 139.650847,横浜マリンタワー,2018/10/14 10:41,2018/10/14 10:41,2018/10/14 11:11,2018/10/14 11:11,2018/10/14 10:37,2018/10/14 10:37,0:14:46,0:14:46,,00,01,,,,,,
-,-,10,2018/10/14 10:39,3091,街角設置端末（店舗から）,0,1084,7,1,,2018/10/14 10:50,2018/10/14 10:57,35.454389 139.630904,横浜ランドマークタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/14 10:43,2018/10/14 10:43,2018/10/14 10:58,2018/10/14 10:58,,2018/10/14 10:39,0:07:43,0:07:43,,07,10,,,,,,
-,-,10,2018/10/14 10:46,3093,乗客アプリ（地図から）,2569,1108,3,4,,2018/10/14 10:52,2018/10/14 10:59,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/14 10:50,2018/10/14 10:50,2018/10/14 11:09,2018/10/14 11:09,,2018/10/14 10:46,0:06:46,0:27:04,,02,06,,,,,,
-,-,10,2018/10/14 10:50,3094,街角設置端末（店舗から）,0,818,5,1,,2018/10/14 10:56,2018/10/14 11:01,35.447541 139.644914,シルク博物館,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/14 10:55,2018/10/14 10:55,2018/10/14 11:10,2018/10/14 11:10,,2018/10/14 10:50,0:05:02,0:05:02,,01,06,,,,,,
-,-,10,2018/10/14 10:52,3096,街角設置端末（店舗から）,0,537,2,3,,2018/10/14 11:00,2018/10/14 11:10,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.454389 139.630904,横浜ランドマークタワー,2018/10/14 11:00,2018/10/14 11:00,2018/10/14 11:21,2018/10/14 11:21,,2018/10/14 10:52,0:10:18,0:30:54,,00,08,,,,,,
-,☆,10,2018/10/14 8:58,3067,乗客アプリ（目的地から）,2514,345,5,1,2018/10/14 8:59,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.447541 139.644914,シルク博物館,2018/10/14 10:04,,2018/10/14 10:24,,,2018/10/14 8:58,0:00:00,0:00:00,,00,04,,,,2018/10/14 10:00,※10時以前に予約しているため,
★,☆,10,2018/10/14 9:02,3068,乗客アプリ（地図から）,1440,1188,5,2,2018/10/14 9:51,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/14 10:06,,2018/10/14 10:22,,2018/10/14 10:00,2018/10/14 10:00,0:00:00,0:00:00,,00,06,,,,,,
-,☆,10,2018/10/14 9:40,3071,乗客アプリ（地図から）,1669,1196,9,2,2018/10/14 9:41,,,35.447546 139.64358,横浜開港資料館,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/14 10:17,,2018/10/14 10:29,,,2018/10/14 9:40,0:00:00,0:00:00,,00,,,,,2018/10/14 10:00,※10時以前に予約しているため,※27行と同一人物と思われるため一番短いものを採用
★,☆,10,2018/10/14 9:41,3072,乗客アプリ（地図から）,1669,827,9,1,2018/10/14 9:49,,,35.447546 139.64358,横浜開港資料館,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/14 10:17,,2018/10/14 10:28,,2018/10/14 10:00,2018/10/14 10:00,0:00:00,0:00:00,,00,17,,,,,,※25行と同一人物と思われるため一番短いものを採用
★,☆,10,2018/10/14 9:52,3074,乗客アプリ（地図から）,1440,779,5,2,2018/10/14 10:17,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/14 10:06,,2018/10/14 10:22,,2018/10/14 10:05,2018/10/14 10:05,0:00:00,0:00:00,,00,11,,,,,,
★,☆,10,2018/10/14 9:56,3075,乗客アプリ（地図から）,1669,1198,7,1,2018/10/14 9:56,,,35.447546 139.64358,横浜開港資料館,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/14 10:30,,2018/10/14 10:49,,2018/10/14 10:30,2018/10/14 10:30,0:00:00,0:00:00,,00,00,,,,,,
-,☆,10,2018/10/14 10:50,3095,乗客アプリ（地図から）,1666,379,1,1,2018/10/14 10:59,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454389 139.630904,横浜ランドマークタワー,2018/10/14 10:59,,2018/10/14 11:06,,,2018/10/14 10:50,0:00:00,0:00:00,,00,08,,,,,,
★,-,11,2018/10/14 9:08,3069,乗客アプリ（地図から）,2697,852,1,2,,2018/10/14 11:07,2018/10/14 11:17,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/14 11:00,2018/10/14 11:08,2018/10/14 11:20,2018/10/14 11:28,2018/10/14 11:00,2018/10/14 11:00,0:09:53,0:19:46,189,06,06,05,05,,,,
-,-,11,2018/10/14 11:02,3098,乗客アプリ（目的地から）,2734,776,8,4,,2018/10/14 11:03,2018/10/14 11:07,35.447546 139.64358,横浜開港資料館,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/14 11:03,2018/10/14 11:03,2018/10/14 11:18,2018/10/14 11:18,,2018/10/14 11:02,0:03:22,0:13:28,,00,01,,,,,,
★,-,11,2018/10/14 11:04,3099,乗客アプリ（簡単予約）,2702,574,6,2,,2018/10/14 11:28,2018/10/14 11:34,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443908 139.635249,イセザキ・モール,2018/10/14 11:25,2018/10/14 11:26,2018/10/14 11:38,2018/10/14 11:40,2018/10/14 11:25,2018/10/14 11:25,0:05:36,0:11:12,,03,03,,,,,,
-,-,11,2018/10/14 11:08,3100,街角設置端末（地図から）,0,1252,9,2,,2018/10/14 11:13,2018/10/14 11:22,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/14 11:14,2018/10/14 11:14,2018/10/14 11:32,2018/10/14 11:32,,2018/10/14 11:08,0:09:47,0:19:34,,00,04,,,,,,
-,-,11,2018/10/14 11:09,3101,乗客アプリ（目的地から）,2290,438,6,1,,2018/10/14 11:12,2018/10/14 11:24,35.448676 139.635696,横浜平和プラザホテル,35.454389 139.630904,横浜ランドマークタワー,2018/10/14 11:13,2018/10/14 11:13,2018/10/14 11:24,2018/10/14 11:24,,2018/10/14 11:09,0:12:23,0:12:23,,00,02,,,,,,
★,-,11,2018/10/14 11:16,3102,乗客アプリ（簡単予約）,2762,855,5,2,,2018/10/14 11:26,2018/10/14 11:42,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.445857 139.647636,ホテルモントレ横浜,2018/10/14 11:29,2018/10/14 11:29,2018/10/14 11:51,2018/10/14 11:51,2018/10/14 11:16,2018/10/14 11:16,0:16:09,0:32:18,,00,10,,,,,,
-,-,11,2018/10/14 11:19,3103,街角設置端末（店舗から）,0,1075,3,4,,2018/10/14 11:26,2018/10/14 11:30,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/14 11:24,2018/10/14 11:24,2018/10/14 11:36,2018/10/14 11:36,,2018/10/14 11:19,0:04:43,0:18:52,,02,06,,,,,,
