,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
-,-,13,2018/10/14 13:01,3135,街角設置端末（地図から）,0,352,3,2,,2018/10/14 13:07,2018/10/14 13:21,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/14 13:08,2018/10/14 13:08,2018/10/14 13:36,2018/10/14 13:36,,2018/10/14 13:01,0:14:24,0:28:48,,00,05,,,,,,
-,-,13,2018/10/14 13:03,3136,乗客アプリ（目的地から）,1899,330,10,2,,2018/10/14 13:08,2018/10/14 13:15,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/14 13:05,2018/10/14 13:05,2018/10/14 13:17,2018/10/14 13:17,,2018/10/14 13:03,0:07:06,0:14:12,,02,04,,,,,,
-,-,13,2018/10/14 13:05,3137,乗客アプリ（地図から）,1391,695,1,1,,2018/10/14 13:24,2018/10/14 13:37,35.456605 139.635327,横浜ベイホテル東急,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/14 13:20,2018/10/14 13:20,2018/10/14 13:39,2018/10/14 13:39,,2018/10/14 13:05,0:12:29,0:12:29,,03,18,,,,,,
-,-,13,2018/10/14 13:14,3138,街角設置端末（店舗から）,0,640,4,2,,2018/10/14 13:22,2018/10/14 13:31,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.443908 139.635249,イセザキ・モール,2018/10/14 13:22,2018/10/14 13:22,2018/10/14 13:39,2018/10/14 13:39,,2018/10/14 13:14,0:09:01,0:18:02,,00,07,,,,,,
-,-,13,2018/10/14 13:15,3139,街角設置端末（店舗から）,0,672,5,2,,2018/10/14 13:21,2018/10/14 13:30,35.443704 139.651332,ホテルメルパルク横浜,35.453715 139.638133,横浜ワールドポーターズ,2018/10/14 13:21,2018/10/14 13:21,2018/10/14 13:36,2018/10/14 13:36,,2018/10/14 13:15,0:09:24,0:18:48,,00,05,,,,,,
-,-,13,2018/10/14 13:18,3140,乗客アプリ（目的地から）,2735,600,2,3,,2018/10/14 13:22,2018/10/14 13:42,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.453715 139.638133,横浜ワールドポーターズ,2018/10/14 13:24,2018/10/14 13:24,2018/10/14 13:48,2018/10/14 13:48,,2018/10/14 13:18,0:19:55,0:59:45,,00,03,,,,,,
★,-,13,2018/10/14 13:24,3141,乗客アプリ（地図から）,2021,723,6,3,,2018/10/14 13:36,2018/10/14 13:43,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/14 13:41,2018/10/14 13:41,2018/10/14 13:53,2018/10/14 13:53,2018/10/14 13:30,2018/10/14 13:30,0:06:24,0:19:12,,00,05,,,,,,
★,-,13,2018/10/14 13:24,3142,乗客アプリ（地図から）,1338,710,3,1,,2018/10/14 13:29,2018/10/14 13:41,35.456605 139.635327,横浜ベイホテル東急,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/14 13:34,2018/10/14 13:35,2018/10/14 13:51,2018/10/14 13:52,2018/10/14 13:32,2018/10/14 13:32,0:11:27,0:11:27,,00,00,,,,,,
-,-,13,2018/10/14 13:26,3143,乗客アプリ（地図から）,1604,1059,5,3,,2018/10/14 13:46,2018/10/14 14:00,35.456605 139.635327,横浜ベイホテル東急,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/14 13:47,2018/10/14 13:47,2018/10/14 14:11,2018/10/14 14:11,,2018/10/14 13:26,0:14:22,0:43:06,,00,20,,,,,,
★,-,13,2018/10/14 13:28,3144,乗客アプリ（地図から）,2053,1220,3,2,,2018/10/14 13:41,2018/10/14 13:46,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/14 13:52,2018/10/14 13:52,2018/10/14 14:06,2018/10/14 14:06,2018/10/14 13:40,2018/10/14 13:40,0:05:32,0:11:04,,00,01,,,,,,
-,-,13,2018/10/14 13:31,3145,街角設置端末（店舗から）,0,441,4,1,,2018/10/14 13:38,2018/10/14 13:45,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.448676 139.635696,横浜平和プラザホテル,2018/10/14 13:42,2018/10/14 13:42,2018/10/14 13:53,2018/10/14 13:53,,2018/10/14 13:31,0:06:54,0:06:54,,00,07,,,,,,
★,-,13,2018/10/14 13:31,3146,乗客アプリ（簡単予約）,2092,697,1,2,,2018/10/14 13:54,2018/10/14 14:13,35.445857 139.647636,ホテルモントレ横浜,35.456605 139.635327,横浜ベイホテル東急,2018/10/14 13:45,2018/10/14 13:50,2018/10/14 14:05,2018/10/14 14:23,2018/10/14 13:40,2018/10/14 13:40,0:18:55,0:37:50,,09,14,,,,,,
-,-,13,2018/10/14 13:35,3149,乗客アプリ（目的地から）,1649,334,1,2,,2018/10/14 13:45,2018/10/14 14:04,35.441441 139.648505,横浜中華街朱雀門,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/14 13:43,2018/10/14 13:43,2018/10/14 13:59,2018/10/14 13:59,,2018/10/14 13:35,0:18:13,0:36:26,,02,10,,,,,,
-,-,13,2018/10/14 13:38,3150,乗客アプリ（地図から）,1387,1063,7,3,,2018/10/14 13:45,2018/10/14 13:53,35.447541 139.644914,シルク博物館,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/14 13:50,2018/10/14 13:50,2018/10/14 14:03,2018/10/14 14:03,,2018/10/14 13:38,0:08:44,0:26:12,,00,06,,,,,,
-,-,13,2018/10/14 13:46,3151,街角設置端末（店舗から）,0,592,2,2,,2018/10/14 13:48,2018/10/14 13:53,35.453715 139.638133,横浜ワールドポーターズ,35.456605 139.635327,横浜ベイホテル東急,2018/10/14 13:48,2018/10/14 13:48,2018/10/14 14:01,2018/10/14 14:01,,2018/10/14 13:46,0:04:24,0:08:48,,00,02,,,,,,
-,-,13,2018/10/14 13:48,3152,街角設置端末（店舗から）,0,1177,4,1,,2018/10/14 13:50,2018/10/14 13:57,35.448676 139.635696,横浜平和プラザホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/14 13:49,2018/10/14 13:49,2018/10/14 14:06,2018/10/14 14:06,,2018/10/14 13:48,0:07:12,0:07:12,,00,01,,,,,,
-,-,13,2018/10/14 13:53,3153,街角設置端末（店舗から）,0,537,6,2,,2018/10/14 13:56,2018/10/14 14:04,35.452963 139.642093,横浜赤レンガ倉庫,35.443659 139.650847,横浜マリンタワー,2018/10/14 13:56,2018/10/14 13:56,2018/10/14 14:10,2018/10/14 14:10,,2018/10/14 13:53,0:08:45,0:17:30,,00,02,,,,,,
★,☆,13,2018/10/14 12:54,3132,乗客アプリ（地図から）,2737,749,2,1,2018/10/14 13:17,,,35.443908 139.635249,イセザキ・モール,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/14 13:16,,2018/10/14 13:27,,2018/10/14 13:15,2018/10/14 13:15,0:00:00,0:00:00,,00,02,,,,,,
-,☆,13,2018/10/14 13:34,3147,乗客アプリ（目的地から）,1649,423,2,2,2018/10/14 13:35,,,35.441002 139.650809,横浜元町ショッピングストリート,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/14 14:06,,2018/10/14 14:21,,,2018/10/14 13:34,0:00:00,0:00:00,,00,32,,,,,,
★,-,14,2018/10/14 13:55,3154,乗客アプリ（地図から）,2697,510,5,2,,2018/10/14 14:01,2018/10/14 14:12,35.441002 139.650809,横浜元町ショッピングストリート,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/14 14:05,2018/10/14 14:05,2018/10/14 14:20,2018/10/14 14:20,2018/10/14 14:05,2018/10/14 14:05,0:10:51,0:21:42,604,00,00,09,07,,,,
-,-,14,2018/10/14 14:00,3155,街角設置端末（店舗から）,0,549,7,1,,2018/10/14 14:02,2018/10/14 14:14,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/14 14:06,2018/10/14 14:06,2018/10/14 14:21,2018/10/14 14:21,,2018/10/14 14:00,0:12:08,0:12:08,,00,02,,,,,,
-,-,14,2018/10/14 14:02,3156,乗客アプリ（地図から）,1666,527,4,1,,2018/10/14 14:12,2018/10/14 14:27,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/14 14:13,2018/10/14 14:13,2018/10/14 14:26,2018/10/14 14:26,,2018/10/14 14:02,0:14:56,0:14:56,,00,09,,,,,,
-,-,14,2018/10/14 14:03,3157,乗客アプリ（目的地から）,2785,812,8,1,,2018/10/14 14:08,2018/10/14 14:19,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/14 14:05,2018/10/14 14:05,2018/10/14 14:27,2018/10/14 14:27,,2018/10/14 14:03,0:11:27,0:11:27,,03,05,,,,,,
-,-,14,2018/10/14 14:05,3158,乗客アプリ（目的地から）,1751,1195,2,1,,2018/10/14 14:09,2018/10/14 14:31,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.447546 139.64358,横浜開港資料館,2018/10/14 14:13,2018/10/14 14:15,2018/10/14 14:32,2018/10/14 14:39,,2018/10/14 14:05,0:21:42,0:21:42,,00,04,,,,,,
-,-,14,2018/10/14 14:05,3160,乗客アプリ（目的地から）,2084,606,2,1,,2018/10/14 14:10,2018/10/14 14:18,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454389 139.630904,横浜ランドマークタワー,2018/10/14 14:13,2018/10/14 14:15,2018/10/14 14:20,2018/10/14 14:22,,2018/10/14 14:05,0:08:01,0:08:01,,00,04,,,,,,
-,-,14,2018/10/14 14:06,3161,乗客アプリ（地図から）,2677,690,2,1,,2018/10/14 14:12,2018/10/14 14:22,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/14 14:14,2018/10/14 14:14,2018/10/14 14:30,2018/10/14 14:30,,2018/10/14 14:06,0:10:11,0:10:11,,00,05,,,,,,
-,-,14,2018/10/14 14:08,3162,乗客アプリ（目的地から）,1740,1166,9,1,,2018/10/14 14:14,2018/10/14 14:23,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/14 14:24,2018/10/14 14:24,2018/10/14 14:46,2018/10/14 14:46,,2018/10/14 14:08,0:09:00,0:09:00,,00,05,,,,,,
-,-,14,2018/10/14 14:18,3164,街角設置端末（地図から）,0,1227,3,1,,2018/10/14 14:25,2018/10/14 14:41,35.454389 139.630904,横浜ランドマークタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/14 14:27,2018/10/14 14:27,2018/10/14 14:42,2018/10/14 14:53,,2018/10/14 14:18,0:16:44,0:16:44,,00,07,,,,,,
-,-,14,2018/10/14 14:19,3165,街角設置端末（地図から）,0,663,7,1,,2018/10/14 14:25,2018/10/14 14:39,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/14 14:26,2018/10/14 14:26,2018/10/14 14:51,2018/10/14 14:51,,2018/10/14 14:19,0:13:37,0:13:37,,00,06,,,,,,
★,-,14,2018/10/14 14:22,3166,乗客アプリ（地図から）,2550,522,3,1,,2018/10/14 14:30,2018/10/14 14:39,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/14 14:31,2018/10/14 14:31,2018/10/14 14:45,2018/10/14 14:45,2018/10/14 14:30,2018/10/14 14:30,0:09:14,0:09:14,,00,00,,,,,,
-,-,14,2018/10/14 14:26,3169,乗客アプリ（地図から）,2761,1111,10,1,,2018/10/14 14:34,2018/10/14 14:50,35.450681 139.632446,横浜桜木町ワシントンホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/14 14:37,2018/10/14 14:38,2018/10/14 14:52,2018/10/14 15:00,,2018/10/14 14:26,0:15:29,0:15:29,,00,08,,,,,,
-,-,14,2018/10/14 14:28,3171,乗客アプリ（目的地から）,2753,385,9,3,,2018/10/14 14:33,2018/10/14 14:44,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443659 139.650847,横浜マリンタワー,2018/10/14 14:38,2018/10/14 14:38,2018/10/14 14:56,2018/10/14 14:51,,2018/10/14 14:28,0:11:22,0:34:06,,00,04,,,,,,
★,-,14,2018/10/14 14:29,3173,街角設置端末（店舗から）,0,758,6,6,,2018/10/14 14:44,2018/10/14 14:56,35.450681 139.632446,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/14 14:42,2018/10/14 14:42,2018/10/14 15:00,2018/10/14 15:00,2018/10/14 14:35,2018/10/14 14:35,0:11:36,1:09:36,,01,09,,,,,,
★,-,14,2018/10/14 14:30,3175,乗客アプリ（地図から）,2775,306,5,2,,2018/10/14 14:50,2018/10/14 15:00,35.452963 139.642093,横浜赤レンガ倉庫,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/14 14:47,2018/10/14 14:48,2018/10/14 14:59,2018/10/14 15:00,2018/10/14 14:40,2018/10/14 14:40,0:09:58,0:19:56,,02,10,,,,,,
-,-,14,2018/10/14 14:31,3176,乗客アプリ（地図から）,1307,332,8,2,,2018/10/14 14:49,2018/10/14 15:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443704 139.651332,ホテルメルパルク横浜,2018/10/14 14:49,2018/10/14 14:49,2018/10/14 15:14,2018/10/14 15:17,,2018/10/14 14:31,0:29:16,0:58:32,,00,18,,,,,,
-,-,14,2018/10/14 14:33,3177,乗客アプリ（目的地から）,1952,556,4,1,,2018/10/14 14:36,2018/10/14 15:03,35.454389 139.630904,横浜ランドマークタワー,35.443659 139.650847,横浜マリンタワー,2018/10/14 14:40,2018/10/14 14:40,2018/10/14 15:00,2018/10/14 15:01,,2018/10/14 14:33,0:27:23,0:27:23,,00,03,,,,,,
-,-,14,2018/10/14 14:33,3178,街角設置端末（店舗から）,0,446,9,1,,2018/10/14 15:11,2018/10/14 15:20,35.443704 139.651332,ホテルメルパルク横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/14 14:52,2018/10/14 15:13,2018/10/14 15:02,2018/10/14 15:23,,2018/10/14 14:33,0:09:05,0:09:05,,18,37,,,,,,
-,-,14,2018/10/14 14:35,3179,街角設置端末（店舗から）,0,319,4,1,,2018/10/14 14:36,2018/10/14 14:59,35.454389 139.630904,横浜ランドマークタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/14 14:40,2018/10/14 14:40,2018/10/14 14:58,2018/10/14 14:58,,2018/10/14 14:35,0:23:29,0:23:29,,00,01,,,,,,
-,-,14,2018/10/14 14:35,3180,乗客アプリ（地図から）,1666,455,7,1,,2018/10/14 14:44,2018/10/14 15:00,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.456605 139.635327,横浜ベイホテル東急,2018/10/14 14:56,2018/10/14 14:56,2018/10/14 15:08,2018/10/14 15:03,,2018/10/14 14:35,0:16:34,0:16:34,,00,09,,,,,,
-,-,14,2018/10/14 14:38,3181,街角設置端末（店舗から）,0,1091,4,2,,2018/10/14 14:45,2018/10/14 14:49,35.450447 139.635947,みなとみらい線　馬車道駅,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/14 14:45,2018/10/14 14:45,2018/10/14 14:54,2018/10/14 14:54,,2018/10/14 14:38,0:04:40,0:09:20,,00,06,,,,,,
-,-,14,2018/10/14 14:45,3186,街角設置端末（地図から）,0,746,5,2,,2018/10/14 14:50,2018/10/14 15:06,35.452963 139.642093,横浜赤レンガ倉庫,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/14 14:47,2018/10/14 14:47,2018/10/14 15:08,2018/10/14 15:08,,2018/10/14 14:45,0:16:14,0:32:28,,02,05,,,,,,
-,-,14,2018/10/14 14:45,3187,乗客アプリ（地図から）,1310,1241,7,1,,2018/10/14 14:48,2018/10/14 15:00,35.450681 139.632446,横浜桜木町ワシントンホテル,35.456605 139.635327,横浜ベイホテル東急,2018/10/14 14:52,2018/10/14 14:53,2018/10/14 15:02,2018/10/14 15:03,,2018/10/14 14:45,0:12:23,0:12:23,,00,02,,,,,,
-,-,14,2018/10/14 14:45,3188,乗客アプリ（目的地から）,2793,498,7,2,,2018/10/14 14:52,2018/10/14 15:16,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/14 14:52,2018/10/14 14:52,2018/10/14 15:25,2018/10/14 15:25,,2018/10/14 14:45,0:23:24,0:46:48,,00,06,,,,,,
-,-,14,2018/10/14 14:47,3189,乗客アプリ（地図から）,2787,1276,10,1,,2018/10/14 14:54,2018/10/14 15:01,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/14 14:58,2018/10/14 14:58,2018/10/14 15:08,2018/10/14 15:08,,2018/10/14 14:47,0:06:53,0:06:53,,00,06,,,,,,
-,-,14,2018/10/14 14:52,3191,乗客アプリ（地図から）,1889,309,6,1,,2018/10/14 14:57,2018/10/14 15:01,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/14 14:58,2018/10/14 14:58,2018/10/14 15:08,2018/10/14 15:08,,2018/10/14 14:52,0:04:12,0:04:12,,00,04,,,,,,
-,-,14,2018/10/14 14:55,3192,乗客アプリ（地図から）,2772,1181,1,3,,2018/10/14 15:02,2018/10/14 15:08,35.454389 139.630904,横浜ランドマークタワー,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/14 15:01,2018/10/14 15:01,2018/10/14 15:09,2018/10/14 15:09,,2018/10/14 14:55,0:06:14,0:18:42,,01,07,,,,,,
-,-,14,2018/10/14 14:55,3193,乗客アプリ（目的地から）,2784,1205,7,1,,2018/10/14 15:03,2018/10/14 15:10,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.447541 139.644914,シルク博物館,2018/10/14 15:02,2018/10/14 15:02,2018/10/14 15:12,2018/10/14 15:13,,2018/10/14 14:55,0:06:31,0:06:31,,01,08,,,,,,
-,-,14,2018/10/14 14:55,3194,乗客アプリ（地図から）,2053,422,10,2,,2018/10/14 15:05,2018/10/14 15:09,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/14 15:06,2018/10/14 15:06,2018/10/14 15:25,2018/10/14 15:25,,2018/10/14 14:55,0:04:28,0:08:56,,00,09,,,,,,
-,-,14,2018/10/14 14:57,3196,街角設置端末（地図から）,0,360,5,1,,2018/10/14 15:06,2018/10/14 15:17,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.45435 139.631762,横浜ロイヤルパークホテル,2018/10/14 15:11,2018/10/14 15:11,2018/10/14 15:29,2018/10/14 15:29,,2018/10/14 14:57,0:11:25,0:11:25,,00,09,,,,,,
-,-,14,2018/10/14 14:59,3198,乗客アプリ（目的地から）,2796,1218,8,2,,2018/10/14 15:02,2018/10/14 15:08,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/14 15:06,2018/10/14 15:06,2018/10/14 15:18,2018/10/14 15:18,,2018/10/14 14:59,0:05:55,0:11:50,,00,03,,,,,,
-,-,14,2018/10/14 14:59,3199,乗客アプリ（目的地から）,2799,992,1,1,,2018/10/14 15:25,2018/10/14 15:37,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/10/14 15:25,2018/10/14 15:28,2018/10/14 15:37,2018/10/14 15:40,,2018/10/14 14:59,0:11:50,0:11:50,,00,26,,,,,,
★,☆,14,2018/10/14 13:35,3148,乗客アプリ（地図から）,1310,506,1,1,2018/10/14 14:03,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.456605 139.635327,横浜ベイホテル東急,2018/10/14 14:10,,2018/10/14 14:19,,2018/10/14 14:10,2018/10/14 14:10,0:00:00,0:00:00,,00,00,,,,※119行と同一人物と思われるため一番短いものを採用,,
-,☆,14,2018/10/14 14:05,3159,乗客アプリ（地図から）,1310,760,9,1,2018/10/14 14:06,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.456605 139.635327,横浜ベイホテル東急,2018/10/14 14:14,,2018/10/14 14:23,,,2018/10/14 14:05,0:00:00,0:00:00,,00,,,,,※118行と同一人物と思われるため一番短いものを採用,,
-,☆,14,2018/10/14 14:11,3163,乗客アプリ（目的地から）,1952,1043,4,1,2018/10/14 14:27,2018/10/14 14:27,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/14 14:26,2018/10/14 14:32,2018/10/14 14:50,,,2018/10/14 14:11,,,,01,15,,,,,,
★,☆,14,2018/10/14 14:23,3167,乗客アプリ（地図から）,2777,678,4,2,2018/10/14 14:41,,,35.454389 139.630904,横浜ランドマークタワー,35.445783 139.642958,横浜情報文化センター,2018/10/14 14:39,,2018/10/14 14:52,,2018/10/14 14:30,2018/10/14 14:30,0:00:00,0:00:00,,00,11,,,,,,
-,☆,14,2018/10/14 14:26,3170,乗客アプリ（地図から）,1889,958,8,1,2018/10/14 14:36,,,35.452963 139.642093,横浜赤レンガ倉庫,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/14 14:33,,2018/10/14 14:49,,,2018/10/14 14:26,0:00:00,0:00:00,,00,10,,,,,,
-,☆,14,2018/10/14 14:29,3172,乗客アプリ（地図から）,1310,1246,10,1,2018/10/14 14:43,2018/10/14 14:35,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.456605 139.635327,横浜ベイホテル東急,2018/10/14 14:38,2018/10/14 14:38,2018/10/14 14:48,,,2018/10/14 14:29,,,,00,,,,,"※126,127行と同一人物と思われるため一番短いものを採用",,
-,☆,14,2018/10/14 14:41,3182,乗客アプリ（地図から）,1889,1223,2,1,2018/10/14 14:42,,,35.452963 139.642093,横浜赤レンガ倉庫,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/14 15:12,,2018/10/14 15:29,,,2018/10/14 14:41,0:00:00,0:00:00,,00,31,,,,,,
-,☆,14,2018/10/14 14:42,3183,乗客アプリ（地図から）,2777,935,8,2,2018/10/14 14:57,,,35.454389 139.630904,横浜ランドマークタワー,35.445783 139.642958,横浜情報文化センター,2018/10/14 14:55,,2018/10/14 15:09,,,2018/10/14 14:42,0:00:00,0:00:00,,00,15,,,,,,
-,☆,14,2018/10/14 14:44,3184,乗客アプリ（地図から）,1310,350,10,1,2018/10/14 14:44,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.456605 139.635327,横浜ベイホテル東急,2018/10/14 15:05,,2018/10/14 15:15,,,2018/10/14 14:44,0:00:00,0:00:00,,00,,,,,"※123,127行と同一人物と思われるため一番短いものを採用",,
-,☆,14,2018/10/14 14:44,3185,乗客アプリ（地図から）,1310,575,7,1,2018/10/14 14:45,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.456605 139.635327,横浜ベイホテル東急,2018/10/14 14:53,,2018/10/14 15:02,,,2018/10/14 14:44,0:00:00,0:00:00,,00,08,,,,"※123,126行と同一人物と思われるため一番短いものを採用",,
-,☆,14,2018/10/14 14:49,3190,乗客アプリ（目的地から）,2797,753,9,2,2018/10/14 14:58,,,35.445857 139.647636,ホテルモントレ横浜,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/14 14:54,,2018/10/14 15:32,,,2018/10/14 14:49,0:00:00,0:00:00,,00,09,,,,※130行と同一人物と思われるため一番短いものを採用,,
-,☆,14,2018/10/14 14:58,3197,乗客アプリ（目的地から）,2791,1257,1,2,2018/10/14 14:59,,,35.456605 139.635327,横浜ベイホテル東急,35.453715 139.638133,横浜ワールドポーターズ,2018/10/14 15:20,,2018/10/14 15:29,,,2018/10/14 14:58,0:00:00,0:00:00,,00,21,,,,,,
-,☆,14,2018/10/14 14:59,3200,乗客アプリ（目的地から）,2797,1183,3,2,2018/10/14 15:01,,,35.445857 139.647636,ホテルモントレ横浜,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/14 15:20,,2018/10/14 15:43,,,2018/10/14 14:59,0:00:00,0:00:00,,00,,,,,※128行と同一人物と思われるため一番短いものを採用,,
★,-,15,2018/10/14 14:25,3168,乗客アプリ（地図から）,2021,1125,6,3,,2018/10/14 15:17,2018/10/14 15:29,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/14 15:15,2018/10/14 15:15,2018/10/14 15:32,2018/10/14 15:42,2018/10/14 15:15,2018/10/14 15:15,0:11:57,0:35:51,390,01,01,11,07,,,,
★,-,15,2018/10/14 14:55,3195,乗客アプリ（地図から）,2782,323,10,4,,2018/10/14 15:39,2018/10/14 15:45,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/14 15:40,2018/10/14 15:46,2018/10/14 15:53,2018/10/14 16:01,2018/10/14 15:40,2018/10/14 15:40,0:06:12,0:24:48,,00,00,,,,,,
-,-,15,2018/10/14 15:02,3204,乗客アプリ（地図から）,2761,643,2,1,,2018/10/14 15:12,2018/10/14 15:20,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/14 15:19,2018/10/14 15:20,2018/10/14 15:29,2018/10/14 15:33,,2018/10/14 15:02,0:07:20,0:07:20,,00,09,,,,,,
-,-,15,2018/10/14 15:04,3206,街角設置端末（地図から）,0,1238,2,4,,2018/10/14 15:15,2018/10/14 15:23,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/14 15:21,2018/10/14 15:21,2018/10/14 15:38,2018/10/14 15:38,,2018/10/14 15:04,0:08:04,0:32:16,,00,11,,,,,,
-,-,15,2018/10/14 15:14,3208,乗客アプリ（目的地から）,2784,891,9,1,,2018/10/14 15:21,2018/10/14 15:25,35.447541 139.644914,シルク博物館,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/14 15:24,2018/10/14 15:24,2018/10/14 15:37,2018/10/14 15:37,,2018/10/14 15:14,0:04:00,0:04:00,,00,07,,,,,,
★,-,15,2018/10/14 15:14,3210,乗客アプリ（地図から）,2677,409,1,1,,2018/10/14 15:35,2018/10/14 15:50,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.443908 139.635249,イセザキ・モール,2018/10/14 15:36,2018/10/14 15:36,2018/10/14 15:53,2018/10/14 15:53,2018/10/14 15:30,2018/10/14 15:30,0:15:07,0:15:07,,00,05,,,,,,
-,-,15,2018/10/14 15:18,3212,乗客アプリ（目的地から）,2735,684,3,3,,2018/10/14 15:23,2018/10/14 15:33,35.453715 139.638133,横浜ワールドポーターズ,35.445857 139.647636,ホテルモントレ横浜,2018/10/14 15:27,2018/10/14 15:27,2018/10/14 15:43,2018/10/14 15:43,,2018/10/14 15:18,0:09:05,0:27:15,,00,05,,,,,,
