,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,
-,☆,11,2018/10/18 11:37,4225,まちかど設置端末（地図から）,0,1286,9,1,2018/10/18 11:49,,,35.447541 139.644914,シルク博物館,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/18 11:43,,2018/10/18 12:00,,,2018/10/18 11:37,0:00:00,0:00:00,,00,11,,,,,
-,-,12,2018/10/18 12:03,4234,乗客アプリ（目的地から）,3003,419,10,1,,2018/10/18 12:15,2018/10/18 12:18,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/18 12:13,2018/10/18 12:13,2018/10/18 12:24,2018/10/18 12:24,,2018/10/18 12:03,0:03:05,0:03:05,189,01,11,05,05,,,
-,-,12,2018/10/18 12:04,4235,乗客アプリ（簡単予約）,3118,341,5,1,,2018/10/18 12:11,2018/10/18 12:18,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443908 139.635249,イセザキ・モール,2018/10/18 12:09,2018/10/18 12:09,2018/10/18 12:24,2018/10/18 12:24,,2018/10/18 12:04,0:07:45,0:07:45,,01,06,,,,,
-,-,12,2018/10/18 12:07,4236,乗客アプリ（目的地から）,3171,826,9,1,,2018/10/18 12:12,2018/10/18 12:18,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.453715 139.638133,横浜ワールドポーターズ,2018/10/18 12:09,2018/10/18 12:09,2018/10/18 12:23,2018/10/18 12:23,,2018/10/18 12:07,0:06:06,0:06:06,,02,04,,,,,
★,-,12,2018/10/18 12:26,4237,乗客アプリ（目的地から）,2400,624,9,3,,2018/10/18 12:40,2018/10/18 12:46,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.453715 139.638133,横浜ワールドポーターズ,2018/10/18 12:45,2018/10/18 12:45,2018/10/18 13:04,2018/10/18 13:04,2018/10/18 12:45,2018/10/18 12:45,0:05:54,0:17:42,,00,00,,,,,
★,-,12,2018/10/18 12:30,4239,まちかど設置端末（店舗から）,0,796,2,1,,2018/10/18 12:39,2018/10/18 13:02,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/18 12:44,2018/10/18 12:44,2018/10/18 12:59,2018/10/18 12:59,2018/10/18 12:44,2018/10/18 12:44,0:22:56,0:22:56,,00,00,,,,,
-,-,12,2018/10/18 12:31,4240,乗客アプリ（目的地から）,2326,378,8,1,,2018/10/18 12:39,2018/10/18 12:45,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/18 12:38,2018/10/18 12:38,2018/10/18 12:48,2018/10/18 12:48,,2018/10/18 12:31,0:06:13,0:06:13,,00,07,,,,,
-,-,12,2018/10/18 12:34,4241,乗客アプリ（目的地から）,1740,670,1,4,,2018/10/18 12:38,2018/10/18 12:46,35.443908 139.635249,イセザキ・モール,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/18 12:36,2018/10/18 12:36,2018/10/18 12:49,2018/10/18 12:49,,2018/10/18 12:34,0:07:47,0:31:08,,01,04,,,,,
-,-,12,2018/10/18 12:36,4242,まちかど設置端末（地図から）,0,1155,3,1,,2018/10/18 12:48,2018/10/18 12:56,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.447541 139.644914,シルク博物館,2018/10/18 12:43,2018/10/18 12:43,2018/10/18 12:57,2018/10/18 12:57,,2018/10/18 12:36,0:08:02,0:08:02,,05,12,,,,,
-,-,12,2018/10/18 12:38,4243,乗客アプリ（目的地から）,2874,1197,8,1,,2018/10/18 12:45,2018/10/18 12:51,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443908 139.635249,イセザキ・モール,2018/10/18 12:48,2018/10/18 12:48,2018/10/18 13:01,2018/10/18 13:01,,2018/10/18 12:38,0:05:52,0:05:52,,00,07,,,,,
-,-,12,2018/10/18 12:40,4244,乗客アプリ（目的地から）,2314,767,2,1,,2018/10/18 12:45,2018/10/18 12:52,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443704 139.651332,ホテルメルパルク横浜,2018/10/18 12:46,2018/10/18 12:46,2018/10/18 12:59,2018/10/18 12:59,,2018/10/18 12:40,0:06:57,0:06:57,,00,04,,,,,
-,-,12,2018/10/18 12:47,4245,まちかど設置端末（店舗から）,0,523,1,1,,2018/10/18 12:53,2018/10/18 13:04,35.441002 139.650809,横浜元町ショッピングストリート,35.453715 139.638133,横浜ワールドポーターズ,2018/10/18 12:55,2018/10/18 12:55,2018/10/18 13:13,2018/10/18 13:13,,2018/10/18 12:47,0:10:24,0:10:24,,00,06,,,,,
-,-,12,2018/10/18 12:48,4246,まちかど設置端末（店舗から）,0,595,10,2,,2018/10/18 12:55,2018/10/18 13:03,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/18 12:58,2018/10/18 12:58,2018/10/18 13:13,2018/10/18 13:13,,2018/10/18 12:48,0:07:37,0:15:14,,00,07,,,,,
-,-,12,2018/10/18 12:49,4247,まちかど設置端末（店舗から）,0,531,3,2,,2018/10/18 12:52,2018/10/18 12:58,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.445857 139.647636,ホテルモントレ横浜,2018/10/18 12:58,2018/10/18 12:58,2018/10/18 13:12,2018/10/18 13:12,,2018/10/18 12:49,0:05:48,0:11:36,,00,02,,,,,
-,-,12,2018/10/18 12:51,4248,まちかど設置端末（店舗から）,0,331,9,1,,2018/10/18 12:59,2018/10/18 13:05,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.453715 139.638133,横浜ワールドポーターズ,2018/10/18 12:58,2018/10/18 12:58,2018/10/18 13:12,2018/10/18 13:12,,2018/10/18 12:51,0:06:40,0:06:40,,00,08,,,,,
★,-,12,2018/10/18 12:55,4250,乗客アプリ（目的地から）,3279,747,3,2,,2018/10/18 13:39,2018/10/18 13:46,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.453715 139.638133,横浜ワールドポーターズ,2018/10/18 13:40,2018/10/18 13:40,2018/10/18 13:54,2018/10/18 13:54,2018/10/18 13:40,2018/10/18 13:40,0:07:15,0:14:30,,00,00,,,,,
★,-,12,2018/10/18 12:56,4252,乗客アプリ（地図から）,1949,949,7,1,,2018/10/18 13:36,2018/10/18 13:42,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.445783 139.642958,横浜情報文化センター,2018/10/18 13:38,2018/10/18 13:38,2018/10/18 13:55,2018/10/18 13:55,2018/10/18 13:30,2018/10/18 13:30,0:06:18,0:06:18,,00,05,,,,,
★,-,12,2018/10/18 12:57,4253,乗客アプリ（目的地から）,3291,1126,8,1,,2018/10/18 18:29,2018/10/18 18:38,35.443659 139.650847,横浜マリンタワー,35.443908 139.635249,イセザキ・モール,2018/10/18 18:30,2018/10/18 18:30,2018/10/18 18:48,2018/10/18 18:48,2018/10/18 18:30,2018/10/18 18:30,0:09:05,0:09:05,,00,00,,,,,
★,☆,12,2018/10/18 12:26,4238,乗客アプリ（目的地から）,2314,1217,10,1,2018/10/18 12:39,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443704 139.651332,ホテルメルパルク横浜,2018/10/18 12:39,,2018/10/18 12:57,,2018/10/18 12:30,2018/10/18 12:30,0:00:00,0:00:00,,00,09,,,,,
★,☆,12,2018/10/18 12:54,4249,乗客アプリ（地図から）,1949,418,1,1,2018/10/18 12:55,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.445783 139.642958,横浜情報文化センター,2018/10/18 13:35,,2018/10/18 13:53,,2018/10/18 13:35,2018/10/18 13:35,0:00:00,0:00:00,,00,00,,,,,※83行と同一人物と思われるため一番短いものを採用
★,☆,12,2018/10/18 12:55,4251,乗客アプリ（地図から）,1949,1297,4,1,2018/10/18 12:56,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.445783 139.642958,横浜情報文化センター,2018/10/18 13:14,,2018/10/18 13:31,,2018/10/18 12:30,2018/10/18 12:30,0:00:00,0:00:00,,00,,,,,,※82行と同一人物と思われるため一番短いものを採用
-,-,13,2018/10/18 13:03,4254,乗客アプリ（目的地から）,2326,865,10,1,,2018/10/18 13:11,2018/10/18 13:18,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/18 13:11,2018/10/18 13:11,2018/10/18 13:26,2018/10/18 13:26,,2018/10/18 13:03,0:06:59,0:06:59,353,00,07,04,03,,,
★,-,13,2018/10/18 13:03,4255,まちかど設置端末（店舗から）,0,1041,7,2,,2018/10/18 14:13,2018/10/18 14:32,35.445857 139.647636,ホテルモントレ横浜,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/18 14:20,2018/10/18 14:20,2018/10/18 14:34,2018/10/18 14:34,2018/10/18 14:20,2018/10/18 14:20,0:18:52,0:37:44,,00,00,,,,,
-,-,13,2018/10/18 13:05,4256,乗客アプリ（目的地から）,2314,354,3,1,,2018/10/18 13:10,2018/10/18 13:15,35.443704 139.651332,ホテルメルパルク横浜,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/18 13:12,2018/10/18 13:12,2018/10/18 13:22,2018/10/18 13:22,,2018/10/18 13:05,0:04:55,0:04:55,,00,04,,,,,
-,-,13,2018/10/18 13:08,4257,まちかど設置端末（地図から）,0,823,2,1,,2018/10/18 13:12,2018/10/18 13:45,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/18 13:12,2018/10/18 13:12,2018/10/18 13:35,2018/10/18 13:54,,2018/10/18 13:08,0:33:08,0:33:08,,00,04,,,,,
★,-,13,2018/10/18 13:10,4260,乗客アプリ（地図から）,2813,989,2,2,,2018/10/18 13:45,2018/10/18 13:53,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443659 139.650847,横浜マリンタワー,2018/10/18 13:35,2018/10/18 13:35,2018/10/18 14:00,2018/10/18 14:00,2018/10/18 13:35,2018/10/18 13:35,0:07:37,0:15:14,,09,09,,,,,
-,-,13,2018/10/18 13:12,4261,まちかど設置端末（店舗から）,0,516,1,2,,2018/10/18 13:14,2018/10/18 13:21,35.452963 139.642093,横浜赤レンガ倉庫,35.454389 139.630904,横浜ランドマークタワー,2018/10/18 13:15,2018/10/18 13:15,2018/10/18 13:30,2018/10/18 13:30,,2018/10/18 13:12,0:06:46,0:13:32,,00,01,,,,,
-,-,13,2018/10/18 13:14,4262,まちかど設置端末（地図から）,0,885,4,1,,2018/10/18 13:23,2018/10/18 13:41,35.441002 139.650809,横浜元町ショッピングストリート,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/18 13:24,2018/10/18 13:28,2018/10/18 13:51,2018/10/18 13:59,,2018/10/18 13:14,0:17:55,0:17:55,,00,08,,,,,
★,-,13,2018/10/18 13:17,4263,乗客アプリ（地図から）,3254,375,4,3,,2018/10/18 13:28,2018/10/18 13:46,35.443704 139.651332,ホテルメルパルク横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/18 13:33,2018/10/18 13:33,2018/10/18 14:09,2018/10/18 14:09,2018/10/18 13:25,2018/10/18 13:25,0:17:44,0:53:12,,00,03,,,,,
★,-,13,2018/10/18 13:19,4264,乗客アプリ（目的地から）,2512,567,5,1,,2018/10/18 13:38,2018/10/18 13:44,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/18 13:38,2018/10/18 13:38,2018/10/18 13:49,2018/10/18 13:49,2018/10/18 13:38,2018/10/18 13:38,0:06:02,0:06:02,,00,00,,,,,
-,-,13,2018/10/18 13:28,4265,乗客アプリ（目的地から）,2314,1031,1,1,,2018/10/18 13:38,2018/10/18 13:44,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.445857 139.647636,ホテルモントレ横浜,2018/10/18 13:40,2018/10/18 13:40,2018/10/18 13:50,2018/10/18 13:47,,2018/10/18 13:28,0:06:37,0:06:37,,00,10,,,,,
-,-,13,2018/10/18 13:29,4266,乗客アプリ（地図から）,1666,976,6,1,,2018/10/18 13:41,2018/10/18 13:52,35.450681 139.632446,横浜桜木町ワシントンホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/18 13:38,2018/10/18 13:43,2018/10/18 13:53,2018/10/18 14:05,,2018/10/18 13:29,0:11:12,0:11:12,,02,12,,,,,
★,-,13,2018/10/18 13:34,4267,乗客アプリ（地図から）,2554,1269,6,1,,2018/10/18 17:02,2018/10/18 17:09,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.448676 139.635696,横浜平和プラザホテル,2018/10/18 17:00,2018/10/18 17:00,2018/10/18 17:14,2018/10/18 17:15,2018/10/18 17:00,2018/10/18 17:00,0:07:38,0:07:38,,01,01,,,,,
-,-,13,2018/10/18 13:38,4268,まちかど設置端末（地図から）,0,689,6,1,,2018/10/18 13:45,2018/10/18 13:52,35.456605 139.635327,横浜ベイホテル東急,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/18 13:52,2018/10/18 13:52,2018/10/18 14:04,2018/10/18 14:04,,2018/10/18 13:38,0:07:19,0:07:19,,00,07,,,,,
★,-,13,2018/10/18 13:38,4269,乗客アプリ（地図から）,3271,589,1,1,,2018/10/18 18:28,2018/10/18 18:38,35.443659 139.650847,横浜マリンタワー,35.443908 139.635249,イセザキ・モール,2018/10/18 18:30,2018/10/18 18:31,2018/10/18 18:47,2018/10/18 18:51,2018/10/18 18:30,2018/10/18 18:30,0:09:58,0:09:58,,00,00,,,,,
★,-,13,2018/10/18 13:39,4270,乗客アプリ（目的地から）,3299,392,4,1,,2018/10/18 15:33,2018/10/18 15:44,35.456605 139.635327,横浜ベイホテル東急,35.445783 139.642958,横浜情報文化センター,2018/10/18 15:38,2018/10/18 15:38,2018/10/18 15:52,2018/10/18 15:52,2018/10/18 15:30,2018/10/18 15:30,0:10:36,0:10:36,,00,02,,,,,
★,-,13,2018/10/18 13:39,4271,乗客アプリ（簡単予約）,3273,437,1,1,,2018/10/18 18:28,2018/10/18 18:38,35.443659 139.650847,横浜マリンタワー,35.443908 139.635249,イセザキ・モール,2018/10/18 18:30,2018/10/18 18:32,2018/10/18 18:47,2018/10/18 18:50,2018/10/18 18:30,2018/10/18 18:30,0:10:02,0:10:02,,00,00,,,,,
★,-,13,2018/10/18 13:39,4272,乗客アプリ（地図から）,3274,441,1,1,,2018/10/18 18:29,2018/10/18 18:38,35.443659 139.650847,横浜マリンタワー,35.443908 139.635249,イセザキ・モール,2018/10/18 18:30,2018/10/18 18:32,2018/10/18 18:48,2018/10/18 18:50,2018/10/18 18:30,2018/10/18 18:30,0:08:35,0:08:35,,00,00,,,,,
★,-,13,2018/10/18 13:40,4273,乗客アプリ（簡単予約）,2200,1218,10,1,,2018/10/18 15:31,2018/10/18 15:37,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/18 15:30,2018/10/18 15:39,2018/10/18 15:43,2018/10/18 15:53,2018/10/18 15:30,2018/10/18 15:30,0:06:41,0:06:41,,00,00,,,,,
-,-,13,2018/10/18 13:42,4274,まちかど設置端末（店舗から）,0,675,6,1,,2018/10/18 14:02,2018/10/18 14:24,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/10/18 14:05,2018/10/18 14:05,2018/10/18 14:24,2018/10/18 14:24,,2018/10/18 13:42,0:21:44,0:21:44,,00,20,,,,,
-,-,13,2018/10/18 13:43,4275,まちかど設置端末（店舗から）,0,776,3,1,,2018/10/18 13:55,2018/10/18 14:00,35.453715 139.638133,横浜ワールドポーターズ,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/18 13:54,2018/10/18 13:54,2018/10/18 14:10,2018/10/18 14:10,,2018/10/18 13:43,0:04:55,0:04:55,,00,12,,,,,
★,-,13,2018/10/18 13:43,4276,乗客アプリ（地図から）,1594,944,5,2,,2018/10/18 13:56,2018/10/18 14:00,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443704 139.651332,ホテルメルパルク横浜,2018/10/18 14:00,2018/10/18 14:00,2018/10/18 14:11,2018/10/18 14:11,2018/10/18 14:00,2018/10/18 14:00,0:03:58,0:07:56,,00,00,,,,,
★,-,13,2018/10/18 13:54,4279,乗客アプリ（目的地から）,2839,987,2,1,,2018/10/18 14:11,2018/10/18 14:35,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.445783 139.642958,横浜情報文化センター,2018/10/18 14:18,2018/10/18 14:18,2018/10/18 14:36,2018/10/18 14:36,2018/10/18 14:15,2018/10/18 14:15,0:24:11,0:24:11,,00,00,,,,,
-,-,13,2018/10/18 13:57,4280,まちかど設置端末（地図から）,0,1232,1,3,,2018/10/18 14:02,2018/10/18 14:11,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/10/18 14:02,2018/10/18 14:02,2018/10/18 14:20,2018/10/18 14:20,,2018/10/18 13:57,0:09:06,0:27:18,,00,04,,,,,
★,☆,13,2018/10/18 13:08,4258,まちかど設置端末（店舗から）,0,348,1,1,2018/10/18 13:10,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447546 139.64358,横浜開港資料館,2018/10/18 13:23,,2018/10/18 13:40,,2018/10/18 13:10,2018/10/18 13:10,0:00:00,0:00:00,,00,13,,,,,
★,☆,13,2018/10/18 13:09,4259,乗客アプリ（目的地から）,999,1049,5,1,2018/10/18 14:27,,,35.441441 139.648505,横浜中華街朱雀門,35.454389 139.630904,横浜ランドマークタワー,2018/10/18 14:30,,2018/10/18 14:50,,2018/10/18 14:30,2018/10/18 14:30,0:00:00,0:00:00,,00,00,,,,,
★,☆,13,2018/10/18 13:51,4277,乗客アプリ（地図から）,1094,558,6,2,2018/10/18 14:34,,,35.456605 139.635327,横浜ベイホテル東急,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/18 14:38,,2018/10/18 14:58,,2018/10/18 14:35,2018/10/18 14:35,0:00:00,0:00:00,,00,03,,,,,
★,☆,13,2018/10/18 13:52,4278,乗客アプリ（地図から）,2839,873,1,1,2018/10/18 13:53,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.445783 139.642958,横浜情報文化センター,2018/10/18 14:10,,2018/10/18 14:27,,2018/10/18 14:10,2018/10/18 14:10,0:00:00,0:00:00,,00,00,,,,,
-,-,14,2018/10/18 14:06,4282,乗客アプリ（目的地から）,2679,1271,9,1,,2018/10/18 14:12,2018/10/18 14:19,35.453715 139.638133,横浜ワールドポーターズ,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/18 14:11,2018/10/18 14:11,2018/10/18 14:27,2018/10/18 14:27,,2018/10/18 14:06,0:07:43,0:07:43,409,01,05,08,07,,,
-,-,14,2018/10/18 14:07,4283,乗客アプリ（目的地から）,2314,679,5,1,,2018/10/18 14:09,2018/10/18 14:39,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/18 14:13,2018/10/18 14:13,2018/10/18 14:57,2018/10/18 14:57,,2018/10/18 14:07,0:30:29,0:30:29,,00,02,,,,,
-,-,14,2018/10/18 14:07,4284,乗客アプリ（地図から）,3240,308,6,1,,2018/10/18 14:16,2018/10/18 14:40,35.450447 139.635947,みなとみらい線　馬車道駅,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/18 14:17,2018/10/18 14:17,2018/10/18 14:49,2018/10/18 14:49,,2018/10/18 14:07,0:24:00,0:24:00,,00,08,,,,,
-,-,14,2018/10/18 14:09,4285,乗客アプリ（地図から）,3198,380,4,1,,2018/10/18 14:14,2018/10/18 14:21,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443908 139.635249,イセザキ・モール,2018/10/18 14:18,2018/10/18 14:18,2018/10/18 14:31,2018/10/18 14:31,,2018/10/18 14:09,0:07:05,0:07:05,,00,05,,,,,
-,-,14,2018/10/18 14:11,4286,乗客アプリ（地図から）,2535,372,3,1,,2018/10/18 14:20,2018/10/18 14:29,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.445857 139.647636,ホテルモントレ横浜,2018/10/18 14:24,2018/10/18 14:24,2018/10/18 14:44,2018/10/18 14:44,,2018/10/18 14:11,0:08:49,0:08:49,,00,08,,,,,
-,-,14,2018/10/18 14:12,4287,まちかど設置端末（店舗から）,0,1080,2,2,,2018/10/18 14:20,2018/10/18 14:28,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443908 139.635249,イセザキ・モール,2018/10/18 14:19,2018/10/18 14:19,2018/10/18 14:31,2018/10/18 14:31,,2018/10/18 14:12,0:07:40,0:15:20,,01,08,,,,,
-,-,14,2018/10/18 14:15,4288,乗客アプリ（目的地から）,2813,362,9,2,,2018/10/18 14:27,2018/10/18 14:49,35.445857 139.647636,ホテルモントレ横浜,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/18 14:26,2018/10/18 14:26,2018/10/18 14:50,2018/10/18 14:50,,2018/10/18 14:15,0:21:13,0:42:26,,01,12,,,,,
-,-,14,2018/10/18 14:16,4289,乗客アプリ（目的地から）,3162,854,10,1,,2018/10/18 14:25,2018/10/18 14:47,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/18 14:35,2018/10/18 14:35,2018/10/18 14:58,2018/10/18 15:04,,2018/10/18 14:16,0:22:13,0:22:13,,00,09,,,,,
-,-,14,2018/10/18 14:18,4290,まちかど設置端末（地図から）,0,761,7,1,,2018/10/18 14:26,2018/10/18 14:31,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/18 14:27,2018/10/18 14:27,2018/10/18 14:37,2018/10/18 14:35,,2018/10/18 14:18,0:05:19,0:05:19,,00,07,,,,,
-,-,14,2018/10/18 14:20,4292,乗客アプリ（地図から）,2424,1086,10,1,,2018/10/18 14:25,2018/10/18 14:31,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/18 14:31,2018/10/18 14:31,2018/10/18 14:44,2018/10/18 14:44,,2018/10/18 14:20,0:06:18,0:06:18,,00,05,,,,,
-,-,14,2018/10/18 14:23,4294,まちかど設置端末（店舗から）,0,477,3,2,,2018/10/18 14:29,2018/10/18 14:33,35.445857 139.647636,ホテルモントレ横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/18 14:30,2018/10/18 14:30,2018/10/18 14:38,2018/10/18 14:38,,2018/10/18 14:23,0:04:29,0:08:58,,00,05,,,,,
-,-,14,2018/10/18 14:26,4295,まちかど設置端末（地図から）,0,1044,7,3,,2018/10/18 14:34,2018/10/18 14:38,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/18 14:38,2018/10/18 14:38,2018/10/18 14:50,2018/10/18 14:44,,2018/10/18 14:26,0:03:52,0:11:36,,00,07,,,,,
-,-,14,2018/10/18 14:26,4296,乗客アプリ（地図から）,1310,384,4,1,,2018/10/18 14:32,2018/10/18 14:39,35.456605 139.635327,横浜ベイホテル東急,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/18 14:35,2018/10/18 14:35,2018/10/18 14:47,2018/10/18 14:47,,2018/10/18 14:26,0:06:45,0:06:45,,00,06,,,,,
-,-,14,2018/10/18 14:29,4297,乗客アプリ（目的地から）,1751,403,10,1,,2018/10/18 14:37,2018/10/18 14:53,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/18 14:40,2018/10/18 14:41,2018/10/18 15:18,2018/10/18 15:12,,2018/10/18 14:29,0:16:30,0:16:30,,00,07,,,,,
-,-,14,2018/10/18 14:29,4298,まちかど設置端末（地図から）,0,347,9,2,,2018/10/18 14:35,2018/10/18 14:44,35.448676 139.635696,横浜平和プラザホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/18 14:39,2018/10/18 14:39,2018/10/18 14:55,2018/10/18 14:55,,2018/10/18 14:29,0:09:09,0:18:18,,00,05,,,,,
★,-,14,2018/10/18 14:35,4300,まちかど設置端末（地図から）,0,1159,10,2,,2018/10/18 15:45,2018/10/18 15:52,35.454389 139.630904,横浜ランドマークタワー,35.445783 139.642958,横浜情報文化センター,2018/10/18 15:40,2018/10/18 15:40,2018/10/18 15:54,2018/10/18 16:04,2018/10/18 15:40,2018/10/18 15:40,0:07:54,0:15:48,,05,05,,,,,
-,-,14,2018/10/18 14:35,4301,まちかど設置端末（店舗から）,0,376,7,1,,2018/10/18 14:43,2018/10/18 14:53,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443908 139.635249,イセザキ・モール,2018/10/18 14:43,2018/10/18 14:43,2018/10/18 15:03,2018/10/18 15:03,,2018/10/18 14:35,0:09:34,0:09:34,,00,08,,,,,
-,-,14,2018/10/18 14:39,4303,乗客アプリ（地図から）,1756,736,3,1,,2018/10/18 14:45,2018/10/18 14:49,35.441002 139.650809,横浜元町ショッピングストリート,35.445783 139.642958,横浜情報文化センター,2018/10/18 14:44,2018/10/18 14:44,2018/10/18 14:55,2018/10/18 14:55,,2018/10/18 14:39,0:04:17,0:04:17,,01,05,,,,,
★,-,14,2018/10/18 14:40,4304,乗客アプリ（地図から）,2424,629,9,1,,2018/10/18 14:49,2018/10/18 14:54,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/18 14:57,2018/10/18 14:57,2018/10/18 15:06,2018/10/18 15:06,2018/10/18 14:50,2018/10/18 14:50,0:05:31,0:05:31,,00,00,,,,,
-,-,14,2018/10/18 14:45,4305,まちかど設置端末（店舗から）,0,1202,10,1,,2018/10/18 14:47,2018/10/18 14:54,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/18 14:49,2018/10/18 14:49,2018/10/18 15:13,2018/10/18 15:13,,2018/10/18 14:45,0:06:46,0:06:46,,00,01,,,,,
-,-,14,2018/10/18 14:47,4306,乗客アプリ（地図から）,2535,498,5,1,,2018/10/18 14:50,2018/10/18 14:58,35.445857 139.647636,ホテルモントレ横浜,35.443908 139.635249,イセザキ・モール,2018/10/18 14:52,2018/10/18 14:52,2018/10/18 15:06,2018/10/18 15:06,,2018/10/18 14:47,0:07:09,0:07:09,,00,03,,,,,
-,-,14,2018/10/18 14:48,4308,乗客アプリ（地図から）,3263,811,8,1,,2018/10/18 14:52,2018/10/18 14:57,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/18 14:52,2018/10/18 14:52,2018/10/18 15:00,2018/10/18 15:00,,2018/10/18 14:48,0:04:30,0:04:30,,00,04,,,,,
