時間指定,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,待ち時間,待ち時間（平均）,,
,2018/10/5 14:06,825,乗客アプリWeb（目的地から）,1145,395,5,1,2018/10/5 14:06,,,35.45435 139.631762,横浜ロイヤルパークホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/5 14:17,,2018/10/5 14:30,,,,,,10,,,
,2018/10/5 14:07,828,乗客アプリ（地図から）,1176,1083,8,1,2018/10/5 14:07,,,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/10/5 14:30,,2018/10/5 14:46,,2018/10/5 14:30,,,,00,,,
,2018/10/5 14:12,829,乗客アプリWeb（目的地から）,1220,860,5,1,2018/10/5 14:13,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/10/5 14:21,,2018/10/5 14:34,,,,,,08,,,
,2018/10/5 14:13,830,乗客アプリ（地図から）,1103,445,7,1,2018/10/5 14:14,,,35.443704 139.651332,ホテルメルパルク横浜,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/5 14:22,,2018/10/5 14:50,,,,,,08,,,
,2018/10/5 14:15,833,乗客アプリ（地図から）,1208,544,7,1,2018/10/5 14:16,,,35.443704 139.651332,ホテルメルパルク横浜,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/5 14:25,,2018/10/5 15:04,,,,,,09,,,
,2018/10/5 14:16,834,乗客アプリWeb（目的地から）,875,703,5,1,2018/10/5 14:16,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/10/5 14:23,,2018/10/5 14:36,,,,,,07,,,
,2018/10/5 14:24,837,乗客アプリ（地図から）,1124,831,9,1,2018/10/5 14:24,,,35.443908 139.635249,イセザキ・モール,35.456605 139.635327,横浜ベイホテル東急,2018/10/5 14:27,,2018/10/5 14:43,,,,,,03,,,
,2018/10/5 14:27,841,乗客アプリ（目的地から）,1224,1143,3,1,2018/10/5 14:32,,,35.452963 139.642093,横浜赤レンガ倉庫,35.454389 139.630904,横浜ランドマークタワー,2018/10/5 14:39,,2018/10/5 14:54,,,,,,11,,,
,2018/10/5 14:27,842,乗客アプリ（目的地から）,1223,974,5,1,2018/10/5 14:33,,,35.452963 139.642093,横浜赤レンガ倉庫,35.454389 139.630904,横浜ランドマークタワー,2018/10/5 14:36,,2018/10/5 14:50,,2018/10/5 14:27,,,,08,,,
,2018/10/5 14:29,843,乗客アプリWeb（目的地から）,1118,1269,4,1,2018/10/5 14:41,,,35.443073 139.651914,横浜人形の家,35.443908 139.635249,イセザキ・モール,2018/10/5 14:34,,2018/10/5 14:52,,,,,,04,,,
,2018/10/5 14:33,844,乗客アプリ（目的地から）,1224,918,10,1,2018/10/5 14:34,,,35.452963 139.642093,横浜赤レンガ倉庫,35.454389 139.630904,横浜ランドマークタワー,2018/10/5 14:39,,2018/10/5 14:56,,,,,,06,,,
,2018/10/5 14:36,847,乗客アプリWeb（目的地から）,875,626,5,1,2018/10/5 14:36,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/5 14:45,,2018/10/5 14:57,,,,,,09,,,
,2018/10/5 14:36,848,乗客アプリ（地図から）,1124,997,9,1,2018/10/5 14:37,,,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/10/5 14:41,,2018/10/5 14:58,,,,,,04,,,
,2018/10/5 14:37,851,乗客アプリ（地図から）,1230,881,9,2,2018/10/5 14:50,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/5 14:41,,2018/10/5 15:00,,,,,,03,,,
,2018/10/5 14:43,853,乗客アプリWeb（地図から）,1118,679,4,1,2018/10/5 14:54,,,35.443073 139.651914,横浜人形の家,35.443908 139.635249,イセザキ・モール,2018/10/5 14:48,,2018/10/5 15:06,,,,,,05,,,
,2018/10/5 15:06,860,街角設置端末（店舗から）,0,703,8,1,,2018/10/5 15:11,2018/10/5 15:21,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.443908 139.635249,イセザキ・モール,2018/10/5 15:15,2018/10/5 15:15,2018/10/5 15:33,2018/10/5 15:33,,0:10:26,0:10:26,151,04,06,,
★,2018/10/5 11:45,776,街角設置端末（店舗から）,0,856,5,1,,2018/10/5 15:47,2018/10/5 15:51,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.454389 139.630904,横浜ランドマークタワー,2018/10/5 15:50,2018/10/5 15:50,2018/10/5 16:03,2018/10/5 16:03,2018/10/5 15:41,0:04:32,0:04:32,,-06,,,
,2018/10/5 15:08,861,街角設置端末（地図から）,0,845,10,5,,2018/10/5 15:39,2018/10/5 15:49,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/5 15:29,2018/10/5 15:29,2018/10/5 15:56,2018/10/5 15:56,,0:09:27,0:47:15,,31,,,
★,2018/10/5 14:58,857,乗客アプリWeb（簡単予約）,1118,1173,1,1,,2018/10/5 15:07,2018/10/5 15:35,35.443073 139.651914,横浜人形の家,35.443908 139.635249,イセザキ・モール,2018/10/5 15:10,2018/10/5 15:10,2018/10/5 15:31,2018/10/5 15:31,2018/10/5 15:05,0:28:02,0:28:02,,-02,,,
,2018/10/5 15:11,864,乗客アプリ（目的地から）,1204,1122,6,1,,2018/10/5 15:15,2018/10/5 15:24,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447699 139.644009,横浜開港資料館,2018/10/5 15:20,2018/10/5 15:20,2018/10/5 15:39,2018/10/5 15:39,,0:08:04,0:08:04,,04,,,
★,2018/10/5 15:16,865,乗客アプリ（地図から）,1104,939,6,1,,2018/10/5 18:08,2018/10/5 18:14,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.445783 139.642958,横浜情報文化センター,2018/10/5 18:05,2018/10/5 18:08,2018/10/5 18:15,2018/10/5 18:21,2018/10/5 18:05,0:06:38,0:06:38,,-02,,,
,2018/10/5 15:40,869,乗客アプリ（目的地から）,1240,1298,4,1,,2018/10/5 15:50,2018/10/5 16:09,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.456605 139.635327,横浜ベイホテル東急,2018/10/5 15:51,2018/10/5 15:51,2018/10/5 16:08,2018/10/5 16:08,,0:18:36,0:18:36,,09,,,
★,2018/10/5 14:45,854,街角設置端末（地図から）,0,1247,2,2,,2018/10/5 15:31,2018/10/5 15:38,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.447541 139.644914,シルク博物館,2018/10/5 15:30,2018/10/5 15:30,2018/10/5 15:40,2018/10/5 15:40,2018/10/5 15:30,0:07:03,0:14:06,,-01,,,
,2018/10/5 15:54,872,街角設置端末（店舗から）,0,551,3,2,,2018/10/5 15:57,2018/10/5 16:04,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 15:57,2018/10/5 15:57,2018/10/5 16:12,2018/10/5 16:12,,0:06:41,0:13:22,,03,,,
,2018/10/5 15:10,863,乗客アプリ（目的地から）,1233,928,7,1,2018/10/5 15:10,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.456605 139.635327,横浜ベイホテル東急,2018/10/5 15:17,,2018/10/5 15:33,,,,,,06,,,
,2018/10/5 15:27,866,街角設置端末（地図から）,0,659,3,1,2018/10/5 15:27,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/5 15:30,,2018/10/5 15:47,,,,,,03,,,
,2018/10/5 15:29,867,乗客アプリ（目的地から）,1233,361,3,1,2018/10/5 15:30,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.454389 139.630904,横浜ランドマークタワー,2018/10/5 15:36,,2018/10/5 15:51,,,,,,07,,,
★,2018/10/5 16:07,874,乗客アプリ（地図から）,1035,412,5,1,2018/10/5 16:22,,,35.443863 139.64702,ローズホテル横浜,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/5 16:14,,2018/10/5 16:29,,2018/10/5 15:57,,,,17,,,
,2018/10/5 15:35,868,乗客アプリ（目的地から）,1233,936,3,1,2018/10/5 15:35,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.454389 139.630904,横浜ランドマークタワー,2018/10/5 15:44,,2018/10/5 15:59,,,,,,09,,,
,2018/10/5 16:04,873,街角設置端末（店舗から）,0,1294,3,1,,2018/10/5 16:13,2018/10/5 16:19,35.450447 139.635947,みなとみらい線　馬車道駅,35.456605 139.635327,横浜ベイホテル東急,2018/10/5 16:09,2018/10/5 16:09,2018/10/5 16:20,2018/10/5 16:20,,0:05:59,0:05:59,212,08,04,,
,2018/10/5 16:12,875,乗客アプリ（地図から）,1266,1226,5,2,,2018/10/5 16:13,2018/10/5 16:13,35.443863 139.64702,ローズホテル横浜,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/5 16:15,2018/10/5 16:15,2018/10/5 16:45,2018/10/5 16:45,,0:00:12,0:00:24,,01,,,
★,2018/10/5 15:10,862,乗客アプリ（簡単予約）,1030,753,2,4,,2018/10/5 16:31,2018/10/5 16:48,35.441002 139.650809,横浜元町ショッピングストリート,35.456605 139.635327,横浜ベイホテル東急,2018/10/5 16:30,2018/10/5 16:30,2018/10/5 16:56,2018/10/5 17:05,2018/10/5 16:30,0:17:37,1:10:28,,-00,,,
★,2018/10/5 15:44,870,乗客アプリ（目的地から）,1209,766,4,1,,2018/10/5 16:05,2018/10/5 16:13,35.45435 139.631762,横浜ロイヤルパークホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/5 16:04,2018/10/5 16:04,2018/10/5 16:16,2018/10/5 16:16,2018/10/5 16:00,0:07:53,0:07:53,,-05,,,
★,2018/10/5 13:34,813,乗客アプリ（目的地から）,1199,587,10,1,,2018/10/5 16:24,2018/10/5 16:32,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/5 16:25,2018/10/5 16:25,2018/10/5 16:42,2018/10/5 16:42,2018/10/5 16:25,0:08:41,0:08:41,,00,,,
,2018/10/5 16:25,883,乗客アプリ（地図から）,1068,416,3,2,,2018/10/5 16:28,2018/10/5 16:35,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.443863 139.64702,ローズホテル横浜,2018/10/5 16:33,2018/10/5 16:33,2018/10/5 16:48,2018/10/5 16:48,,0:06:53,0:13:46,,03,,,
,2018/10/5 16:28,884,乗客アプリ（目的地から）,1035,544,2,1,,2018/10/5 16:37,2018/10/5 16:42,35.443863 139.64702,ローズホテル横浜,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/5 16:38,2018/10/5 16:38,2018/10/5 16:53,2018/10/5 16:53,,0:05:27,0:05:27,,08,,,
,2018/10/5 16:30,886,乗客アプリ（地図から）,1230,353,1,2,,2018/10/5 16:36,2018/10/5 16:46,35.441002 139.650809,横浜元町ショッピングストリート,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/5 16:42,2018/10/5 16:42,2018/10/5 17:02,2018/10/5 17:02,,0:10:04,0:20:08,,05,,,
,2018/10/5 16:32,887,街角設置端末（地図から）,0,437,8,5,,2018/10/5 16:36,2018/10/5 16:44,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 16:35,2018/10/5 16:35,2018/10/5 16:50,2018/10/5 16:56,,0:08:08,0:40:40,,03,,,
,2018/10/5 16:33,888,街角設置端末（店舗から）,0,1222,8,1,,2018/10/5 16:38,2018/10/5 16:44,35.453715 139.638133,横浜ワールドポーターズ,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 16:42,2018/10/5 16:42,2018/10/5 16:53,2018/10/5 16:53,,0:06:18,0:06:18,,04,,,
,2018/10/5 16:34,889,街角設置端末（店舗から）,0,1032,6,1,,2018/10/5 16:40,2018/10/5 16:46,35.456605 139.635327,横浜ベイホテル東急,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/5 16:47,2018/10/5 16:47,2018/10/5 17:06,2018/10/5 17:06,,0:05:59,0:05:59,,05,,,
,2018/10/5 16:34,890,乗客アプリWeb（地図から）,1118,878,7,1,,2018/10/5 16:42,2018/10/5 16:49,35.443908 139.635249,イセザキ・モール,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 16:41,2018/10/5 16:41,2018/10/5 16:49,2018/10/5 16:49,2018/10/5 16:40,0:07:13,0:07:13,,07,,,
,2018/10/5 16:36,891,乗客アプリ（地図から）,1205,1067,4,3,,2018/10/5 16:48,2018/10/5 16:54,35.452963 139.642093,横浜赤レンガ倉庫,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 16:47,2018/10/5 16:47,2018/10/5 17:01,2018/10/5 17:01,,0:06:22,0:19:06,,11,,,
★,2018/10/5 15:50,871,乗客アプリWeb（目的地から）,1118,1151,7,1,2018/10/5 16:30,,,35.443908 139.635249,イセザキ・モール,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 16:23,,2018/10/5 16:32,,2018/10/5 16:15,,,,08,,,
★,2018/10/5 14:37,849,乗客アプリ（目的地から）,1128,598,7,1,2018/10/5 14:38,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/5 16:34,,2018/10/5 16:46,,2018/10/5 16:34,,,,00,,,
★,2018/10/5 13:32,811,乗客アプリ（目的地から）,1199,1032,3,1,2018/10/5 13:33,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/5 16:30,,2018/10/5 16:48,,2018/10/5 16:30,,,,00,,,
,2018/10/5 16:20,881,乗客アプリ（地図から）,1230,582,4,2,2018/10/5 16:29,,,35.452963 139.642093,横浜赤レンガ倉庫,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/5 16:31,,2018/10/5 16:49,,,,,,10,,,※123行と同一人物と思われるため一番短い待ち時間を採用
,2018/10/5 16:24,882,街角設置端末（地図から）,0,1012,4,1,2018/10/5 16:30,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 16:27,,2018/10/5 16:44,,,,,,02,,,
,2018/10/5 16:29,885,乗客アプリ（地図から）,1230,990,1,1,2018/10/5 16:30,,,35.441002 139.650809,横浜元町ショッピングストリート,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/5 16:43,,2018/10/5 17:02,,,,,,,,,※121行と同一人物と思われるため一番短い待ち時間を採用
★,2018/10/5 16:43,892,乗客アプリ（地図から）,1212,1242,1,2,,2018/10/5 16:55,2018/10/5 17:05,35.452963 139.642093,横浜赤レンガ倉庫,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/5 17:00,2018/10/5 17:00,2018/10/5 17:20,2018/10/5 17:20,2018/10/5 17:00,0:09:24,0:18:48,83,04,05,,
★,2018/10/5 16:52,893,乗客アプリ（地図から）,1278,885,5,1,,2018/10/5 16:58,2018/10/5 17:00,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/5 17:00,2018/10/5 17:00,2018/10/5 17:04,2018/10/5 17:04,2018/10/5 17:00,0:02:24,0:02:24,,01,,,
★,2018/10/5 16:13,876,街角設置端末（地図から）,0,998,4,1,,2018/10/5 17:13,2018/10/5 17:24,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 17:15,2018/10/5 17:15,2018/10/5 17:37,2018/10/5 17:37,2018/10/5 17:15,0:11:07,0:11:07,,01,,,
,2018/10/5 17:06,896,乗客アプリ（簡単予約）,1278,405,6,1,,2018/10/5 17:17,2018/10/5 17:22,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/5 17:16,2018/10/5 17:16,2018/10/5 17:31,2018/10/5 17:31,,0:05:13,0:05:13,,10,,,
,2018/10/5 17:25,897,乗客アプリWeb（目的地から）,1070,974,8,2,,2018/10/5 17:43,2018/10/5 17:50,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/5 17:27,2018/10/5 17:42,2018/10/5 17:39,2018/10/5 17:54,,0:06:17,0:12:34,,17,,,
,2018/10/5 17:27,898,乗客アプリ（地図から）,1278,345,5,1,,2018/10/5 17:34,2018/10/5 17:41,35.452963 139.642093,横浜赤レンガ倉庫,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/5 17:33,2018/10/5 17:33,2018/10/5 17:52,2018/10/5 17:52,,0:06:59,0:06:59,,07,,,
★,2018/10/5 13:57,819,乗客アプリ（目的地から）,1210,880,4,2,,2018/10/5 17:19,2018/10/5 17:25,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 17:20,2018/10/5 17:25,2018/10/5 17:32,2018/10/5 17:38,2018/10/5 17:20,0:05:35,0:11:10,,01,,,
,2018/10/5 17:51,902,乗客アプリ（目的地から）,1228,949,9,2,,2018/10/5 17:58,2018/10/5 18:05,35.452963 139.642093,横浜赤レンガ倉庫,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 17:59,2018/10/5 17:59,2018/10/5 18:13,2018/10/5 18:13,,0:07:40,0:15:20,,06,,,
,2018/10/5 17:03,894,乗客アプリWeb（目的地から）,1070,562,5,1,2018/10/5 17:03,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/5 17:08,,2018/10/5 17:20,,,,,,05,,,※133行と同一人物と思われるため一番短い待ち時間を採用
,2018/10/5 17:03,895,乗客アプリWeb（目的地から）,1070,350,5,2,2018/10/5 17:04,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/5 17:11,,2018/10/5 17:23,,,,,,,,,※132行と同一人物と思われるため一番短い待ち時間を採用
★,2018/10/5 16:18,880,街角設置端末（店舗から）,0,504,6,1,2018/10/5 16:19,,,35.448676 139.635696,横浜平和プラザホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/5 17:18,,2018/10/5 17:28,,2018/10/5 17:18,,,,00,,,
,2018/10/5 18:00,903,乗客アプリ（目的地から）,1167,776,1,1,,2018/10/5 18:26,2018/10/5 18:55,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/10/5 18:30,2018/10/5 18:30,2018/10/5 18:47,2018/10/5 18:47,2018/10/5 18:30,0:29:22,0:29:22,281,25,14,,
★,2018/10/5 17:31,899,乗客アプリWeb（地図から）,1290,580,10,1,,2018/10/5 17:56,2018/10/5 18:06,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443659 139.650847,横浜マリンタワー,2018/10/5 18:00,2018/10/5 18:00,2018/10/5 18:16,2018/10/5 18:16,2018/10/5 18:00,0:10:04,0:10:04,,03,,,
,2018/10/5 18:06,904,乗客アプリWeb（目的地から）,1070,1258,6,2,,2018/10/5 18:10,2018/10/5 18:26,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 18:10,2018/10/5 18:10,2018/10/5 18:33,2018/10/5 18:33,,0:16:33,0:33:06,,03,,,
,2018/10/5 18:12,905,乗客アプリ（地図から）,1059,927,6,1,,2018/10/5 18:19,2018/10/5 18:32,35.443863 139.64702,ローズホテル横浜,35.454389 139.630904,横浜ランドマークタワー,2018/10/5 18:21,2018/10/5 18:21,2018/10/5 18:44,2018/10/5 18:44,,0:13:01,0:13:01,,06,,,
,2018/10/5 18:12,906,乗客アプリ（地図から）,1076,1236,9,3,,2018/10/5 18:18,2018/10/5 18:23,35.454389 139.630904,横浜ランドマークタワー,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/10/5 18:17,2018/10/5 18:17,2018/10/5 18:30,2018/10/5 18:30,,0:05:54,0:17:42,,05,,,
,2018/10/5 18:15,907,街角設置端末（店舗から）,0,552,10,1,,2018/10/5 18:23,2018/10/5 18:33,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 18:30,2018/10/5 18:30,2018/10/5 18:45,2018/10/5 18:45,,0:09:57,0:09:57,,07,,,
,2018/10/5 18:23,908,乗客アプリ（目的地から）,1128,768,9,1,,2018/10/5 18:24,2018/10/5 18:29,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/5 18:24,2018/10/5 18:24,2018/10/5 18:36,2018/10/5 18:36,,0:05:05,0:05:05,,01,,,
,2018/10/5 18:30,909,乗客アプリ（目的地から）,1252,423,2,1,,2018/10/5 18:41,2018/10/5 18:48,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/5 18:45,2018/10/5 18:45,2018/10/5 18:53,2018/10/5 18:58,2018/10/5 18:45,0:07:18,0:07:18,,11,,,
,2018/10/5 18:30,910,街角設置端末（店舗から）,0,860,2,2,,2018/10/5 18:40,2018/10/5 18:47,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 18:38,2018/10/5 18:38,2018/10/5 18:58,2018/10/5 18:54,,0:06:50,0:13:40,,09,,,
,2018/10/5 18:31,911,乗客アプリ（地図から）,1312,1144,1,1,,2018/10/5 18:36,2018/10/5 18:55,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.443908 139.635249,イセザキ・モール,2018/10/5 18:37,2018/10/5 18:37,2018/10/5 18:51,2018/10/5 18:51,,0:19:07,0:19:07,,05,,,
,2018/10/5 18:32,912,乗客アプリ（地図から）,1101,1012,8,1,,2018/10/5 18:34,2018/10/5 18:38,35.443863 139.64702,ローズホテル横浜,35.447699 139.644009,横浜開港資料館,2018/10/5 18:37,2018/10/5 18:37,2018/10/5 18:43,2018/10/5 18:43,,0:03:03,0:03:03,,02,,,
,2018/10/5 18:33,913,街角設置端末（店舗から）,0,1062,9,2,,2018/10/5 19:25,2018/10/5 19:25,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 18:40,2018/10/5 18:40,2018/10/5 18:58,2018/10/5 18:58,,0:00:03,0:00:06,,52,,,
,2018/10/5 18:34,914,乗客アプリ（目的地から）,1203,366,10,2,,2018/10/5 18:40,2018/10/5 18:48,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454389 139.630904,横浜ランドマークタワー,2018/10/5 18:35,2018/10/5 18:40,2018/10/5 18:45,2018/10/5 18:49,,0:08:02,0:16:04,,05,,,
,2018/10/5 18:38,916,乗客アプリ（目的地から）,1258,673,3,1,,2018/10/5 18:48,2018/10/5 18:57,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443908 139.635249,イセザキ・モール,2018/10/5 18:50,2018/10/5 18:56,2018/10/5 19:08,2018/10/5 19:11,2018/10/5 18:50,0:08:16,0:08:16,,10,,,
,2018/10/5 18:38,917,乗客アプリWeb（簡単予約）,1290,1133,1,1,,2018/10/5 18:44,2018/10/5 18:55,35.443863 139.64702,ローズホテル横浜,35.443908 139.635249,イセザキ・モール,2018/10/5 18:49,2018/10/5 18:49,2018/10/5 19:02,2018/10/5 19:02,,0:11:22,0:11:22,,05,,,
,2018/10/5 18:39,919,乗客アプリ（目的地から）,1286,436,10,2,,2018/10/5 18:56,2018/10/5 19:13,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/5 19:03,2018/10/5 19:03,2018/10/5 19:30,2018/10/5 19:30,,0:16:38,0:33:16,,16,,,
,2018/10/5 18:40,922,乗客アプリ（地図から）,1155,543,3,1,,2018/10/5 18:44,2018/10/5 18:56,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/10/5 18:52,2018/10/5 18:52,2018/10/5 19:14,2018/10/5 19:14,,0:12:33,0:12:33,,03,,,
,2018/10/5 18:51,926,乗客アプリ（目的地から）,1311,1166,2,1,,2018/10/5 18:58,2018/10/5 19:03,35.450681 139.632446,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/10/5 18:56,2018/10/5 18:56,2018/10/5 19:05,2018/10/5 19:07,,0:05:00,0:05:00,,07,,,
,2018/10/5 18:53,927,乗客アプリ（地図から）,1068,1269,3,2,,2018/10/5 19:06,2018/10/5 19:23,35.445857 139.647636,ホテルモントレ横浜,35.454389 139.630904,横浜ランドマークタワー,2018/10/5 19:03,2018/10/5 19:03,2018/10/5 19:31,2018/10/5 19:31,,0:16:43,0:33:26,,13,,,
★,2018/10/5 12:28,790,乗客アプリ（目的地から）,974,358,7,1,2018/10/5 12:29,,,35.443908 139.635249,イセザキ・モール,35.453715 139.638133,横浜ワールドポーターズ,2018/10/5 18:27,,2018/10/5 18:38,,2018/10/5 18:27,,,,00,,,
,2018/10/5 17:32,901,乗客アプリ（地図から）,1021,724,7,1,2018/10/5 18:21,,,35.454389 139.630904,横浜ランドマークタワー,35.443863 139.64702,ローズホテル横浜,2018/10/5 18:30,,2018/10/5 18:45,,2018/10/5 18:30,,,,57,,,
,2018/10/5 18:37,915,乗客アプリ（目的地から）,1128,1219,10,1,2018/10/5 18:37,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.456605 139.635327,横浜ベイホテル東急,2018/10/5 19:03,,2018/10/5 19:23,,,,,,26,,,
,2018/10/5 18:39,920,乗客アプリ（目的地から）,1215,1181,3,1,2018/10/5 18:40,,,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.453715 139.638133,横浜ワールドポーターズ,2018/10/5 19:00,,2018/10/5 19:06,,,,,,20,,,
,2018/10/5 18:40,921,街角設置端末（店舗から）,0,376,2,1,2018/10/5 18:48,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.454389 139.630904,横浜ランドマークタワー,2018/10/5 19:16,,2018/10/5 19:35,,,,,,36,,,
,2018/10/5 18:44,923,街角設置端末（店舗から）,0,1041,4,4,2018/10/5 18:48,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/5 19:06,,2018/10/5 19:17,,,,,,21,,,
,2018/10/5 18:46,924,街角設置端末（店舗から）,0,1230,1,3,2018/10/5 18:47,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/5 19:15,,2018/10/5 19:25,,2018/10/5 18:50,,,,29,,,
,2018/10/5 18:48,925,乗客アプリ（地図から）,1068,1121,3,2,2018/10/5 18:51,,,35.454389 139.630904,横浜ランドマークタワー,35.445857 139.647636,ホテルモントレ横浜,2018/10/5 18:57,,2018/10/5 19:25,,,,,,09,,,
