時間指定,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,待ち時間,待ち時間（平均）,,
,2018/10/5 12:25,789,乗客アプリ（目的地から）,1112,1192,10,2,,2018/10/5 12:33,2018/10/5 12:37,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/5 12:33,2018/10/5 12:33,2018/10/5 12:44,2018/10/5 12:44,,0:04:40,0:09:20,,07,,,
,2018/10/5 12:28,791,乗客アプリ（地図から）,1122,1015,7,1,,2018/10/5 12:37,2018/10/5 12:46,35.45435 139.631762,横浜ロイヤルパークホテル,35.443908 139.635249,イセザキ・モール,2018/10/5 12:38,2018/10/5 12:38,2018/10/5 12:51,2018/10/5 12:51,,0:09:29,0:09:29,,09,,,
,2018/10/5 12:32,793,乗客アプリ（目的地から）,985,389,8,3,,2018/10/5 12:37,2018/10/5 12:44,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 12:36,2018/10/5 12:36,2018/10/5 12:49,2018/10/5 12:49,,0:07:11,0:21:33,,04,,,
,2018/10/5 12:33,794,乗客アプリ（地図から）,1108,1138,9,1,,2018/10/5 13:14,2018/10/5 13:24,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 12:36,2018/10/5 12:36,2018/10/5 12:50,2018/10/5 12:50,,0:10:03,0:10:03,,41,,,
,2018/10/5 12:40,795,街角設置端末（店舗から）,0,875,1,1,,2018/10/5 12:50,2018/10/5 13:00,35.456605 139.635327,横浜ベイホテル東急,35.445783 139.642958,横浜情報文化センター,2018/10/5 12:51,2018/10/5 12:51,2018/10/5 13:04,2018/10/5 13:04,,0:10:23,0:10:23,,10,,,
,2018/10/5 12:41,796,乗客アプリ（目的地から）,1112,565,10,2,,2018/10/5 12:46,2018/10/5 12:54,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.443908 139.635249,イセザキ・モール,2018/10/5 12:47,2018/10/5 12:47,2018/10/5 13:01,2018/10/5 13:01,,0:07:50,0:15:40,,05,,,
,2018/10/5 12:46,798,街角設置端末（店舗から）,0,1171,8,2,,2018/10/5 12:52,2018/10/5 12:58,35.443704 139.651332,ホテルメルパルク横浜,35.453715 139.638133,横浜ワールドポーターズ,2018/10/5 12:59,2018/10/5 12:59,2018/10/5 13:15,2018/10/5 13:15,,0:05:54,0:11:48,,05,,,
,2018/10/5 12:56,801,乗客アプリ（目的地から）,1124,407,1,1,,2018/10/5 13:16,2018/10/5 13:29,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/10/5 13:19,2018/10/5 13:19,2018/10/5 13:36,2018/10/5 13:38,,0:13:05,0:13:05,,19,,,
,2018/10/5 12:57,802,乗客アプリ（地図から）,1176,986,1,1,,2018/10/5 13:16,2018/10/5 13:29,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/10/5 13:19,2018/10/5 13:19,2018/10/5 13:36,2018/10/5 13:37,,0:12:45,0:12:45,,18,,,
,2018/10/5 12:59,803,乗客アプリ（目的地から）,1123,690,1,1,,2018/10/5 13:16,2018/10/5 13:29,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/10/5 13:20,2018/10/5 13:20,2018/10/5 13:37,2018/10/5 13:37,,0:12:28,0:12:28,,17,,,
★,2018/10/5 11:49,778,街角設置端末（店舗から）,0,1171,9,1,2018/10/5 11:51,2018/10/5 11:50,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443908 139.635249,イセザキ・モール,2018/10/5 12:20,2018/10/5 12:20,2018/10/5 12:28,,2018/10/5 12:20,,,,00,,,
,2018/10/5 12:15,784,街角設置端末（地図から）,0,827,2,3,2018/10/5 12:21,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 12:17,,2018/10/5 12:30,,,,,,01,,,
,2018/10/5 12:20,785,街角設置端末（店舗から）,0,476,9,1,2018/10/5 13:04,2018/10/5 12:20,,35.456605 139.635327,横浜ベイホテル東急,35.445783 139.642958,横浜情報文化センター,2018/10/5 12:27,2018/10/5 12:27,2018/10/5 12:41,,,,,,07,,,
