,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,
-,-,10,2018/10/8 9:19,1549,乗客アプリ（簡単予約）,1937,858,3,1,,2018/10/8 10:03,2018/10/8 10:13,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/10/8 10:04,2018/10/8 10:04,2018/10/8 10:17,2018/10/8 10:20,,2018/10/8 9:19,0:10:33,0:10:33,408,00,44,08,05,,
-,-,10,2018/10/8 9:50,1551,乗客アプリ（地図から）,1604,1298,4,3,,2018/10/8 10:04,2018/10/8 10:11,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/8 10:02,2018/10/8 10:05,2018/10/8 10:23,2018/10/8 10:37,,2018/10/8 9:50,0:06:20,0:19:00,,02,14,,,,
-,-,10,2018/10/8 9:59,1552,乗客アプリ（地図から）,2042,1142,3,2,,2018/10/8 10:06,2018/10/8 10:22,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/8 10:08,2018/10/8 10:08,2018/10/8 10:36,2018/10/8 10:36,,2018/10/8 9:59,0:15:53,0:31:46,,00,07,,,,
★,-,10,2018/10/8 10:01,1553,乗客アプリ（目的地から）,1984,1032,4,4,,2018/10/8 10:38,2018/10/8 10:46,35.448801 139.636702,ホテルルートイン横浜馬車道,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/10/8 10:40,2018/10/8 10:48,2018/10/8 10:50,2018/10/8 10:58,2018/10/8 10:40,2018/10/8 10:40,0:07:39,0:30:36,,00,00,,,,
★,-,10,2018/10/8 10:01,1554,乗客アプリ（目的地から）,2036,435,4,1,,2018/10/8 10:06,2018/10/8 10:31,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/8 10:15,2018/10/8 10:15,2018/10/8 10:27,2018/10/8 10:27,2018/10/8 10:15,2018/10/8 10:15,0:25:10,0:25:10,,00,00,,,,
-,-,10,2018/10/8 10:02,1555,街角設置端末（地図から）,0,1189,1,1,,2018/10/8 10:10,2018/10/8 10:29,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/8 10:10,2018/10/8 10:12,2018/10/8 10:34,2018/10/8 10:46,,2018/10/8 10:02,0:18:42,0:18:42,,00,08,,,,
-,-,10,2018/10/8 10:03,1556,乗客アプリ（目的地から）,1882,504,2,1,,2018/10/8 10:10,2018/10/8 10:28,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/8 10:07,2018/10/8 10:11,2018/10/8 10:25,2018/10/8 10:29,,2018/10/8 10:03,0:18:16,0:18:16,,02,07,,,,
-,-,10,2018/10/8 10:05,1557,乗客アプリ（地図から）,1666,605,2,1,,2018/10/8 10:10,2018/10/8 10:24,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/8 10:10,2018/10/8 10:10,2018/10/8 10:24,2018/10/8 10:24,,2018/10/8 10:05,0:14:20,0:14:20,,00,04,,,,
-,-,10,2018/10/8 10:06,1558,乗客アプリ（目的地から）,1752,1136,1,2,,2018/10/8 10:13,2018/10/8 10:21,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/8 10:17,2018/10/8 10:17,2018/10/8 10:32,2018/10/8 10:32,,2018/10/8 10:06,0:08:01,0:16:02,,00,07,,,,
-,-,10,2018/10/8 10:10,1559,街角設置端末（店舗から）,0,1171,5,2,,2018/10/8 10:15,2018/10/8 10:20,35.450681 139.632446,横浜桜木町ワシントンホテル,35.456605 139.635327,横浜ベイホテル東急,2018/10/8 10:15,2018/10/8 10:15,2018/10/8 10:25,2018/10/8 10:25,,2018/10/8 10:10,0:05:36,0:11:12,,00,05,,,,
-,-,10,2018/10/8 10:11,1561,街角設置端末（地図から）,0,724,2,1,,2018/10/8 10:16,2018/10/8 10:24,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/8 10:19,2018/10/8 10:19,2018/10/8 10:33,2018/10/8 10:33,,2018/10/8 10:11,0:08:20,0:08:20,,00,05,,,,
-,-,10,2018/10/8 10:11,1563,乗客アプリ（地図から）,1885,346,2,1,,2018/10/8 10:16,2018/10/8 10:34,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/8 10:15,2018/10/8 10:16,2018/10/8 10:48,2018/10/8 10:48,,2018/10/8 10:11,0:17:49,0:17:49,,00,04,,,,
-,-,10,2018/10/8 10:12,1564,乗客アプリ（簡単予約）,1668,969,2,1,,2018/10/8 10:16,2018/10/8 10:47,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/8 10:16,2018/10/8 10:16,2018/10/8 10:58,2018/10/8 10:58,,2018/10/8 10:12,0:30:38,0:30:38,,00,04,,,,
-,-,10,2018/10/8 10:12,1565,街角設置端末（地図から）,0,509,10,1,,2018/10/8 10:17,2018/10/8 10:26,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.445783 139.642958,横浜情報文化センター,2018/10/8 10:20,2018/10/8 10:20,2018/10/8 10:39,2018/10/8 10:39,,2018/10/8 10:12,0:08:43,0:08:43,,00,05,,,,
-,-,10,2018/10/8 10:35,1566,乗客アプリ（地図から）,1386,528,2,3,,2018/10/8 10:41,2018/10/8 10:54,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.456605 139.635327,横浜ベイホテル東急,2018/10/8 10:38,2018/10/8 10:38,2018/10/8 11:13,2018/10/8 11:13,,2018/10/8 10:35,0:13:37,0:40:51,,02,05,,,,
★,-,10,2018/10/8 10:37,1567,乗客アプリ（地図から）,1154,733,6,1,,2018/10/8 10:41,2018/10/8 10:47,35.441441 139.648505,横浜中華街朱雀門,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/8 10:41,2018/10/8 10:43,2018/10/8 10:58,2018/10/8 11:08,2018/10/8 10:40,2018/10/8 10:40,0:06:09,0:06:09,,00,01,,,,
-,-,10,2018/10/8 10:43,1572,街角設置端末（店舗から）,0,740,9,1,,2018/10/8 11:22,2018/10/8 11:22,35.450447 139.635947,みなとみらい線　馬車道駅,35.447541 139.644914,シルク博物館,2018/10/8 10:48,2018/10/8 10:48,2018/10/8 10:57,2018/10/8 10:57,,2018/10/8 10:43,0:00:20,0:00:20,,33,39,,,,
★,-,10,2018/10/8 10:43,1573,乗客アプリ（目的地から）,988,911,8,4,,2018/10/8 10:54,2018/10/8 11:05,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/8 10:52,2018/10/8 10:52,2018/10/8 11:10,2018/10/8 11:10,2018/10/8 10:52,2018/10/8 10:52,0:10:49,0:43:16,,02,02,,,,
-,-,10,2018/10/8 10:46,1575,街角設置端末（店舗から）,0,1157,5,2,,2018/10/8 11:00,2018/10/8 11:07,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/10/8 10:57,2018/10/8 10:57,2018/10/8 11:10,2018/10/8 11:10,,2018/10/8 10:46,0:06:46,0:13:32,,02,14,,,,
-,-,10,2018/10/8 10:47,1576,街角設置端末（店舗から）,0,769,6,1,,2018/10/8 10:54,2018/10/8 11:01,35.450447 139.635947,みなとみらい線　馬車道駅,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/8 10:54,2018/10/8 10:54,2018/10/8 11:07,2018/10/8 11:07,,2018/10/8 10:47,0:06:39,0:06:39,,00,07,,,,
-,-,10,2018/10/8 10:48,1577,街角設置端末（店舗から）,0,398,3,2,,2018/10/8 10:55,2018/10/8 11:05,35.448676 139.635696,横浜平和プラザホテル,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/8 10:55,2018/10/8 10:55,2018/10/8 11:10,2018/10/8 11:10,,2018/10/8 10:48,0:10:21,0:20:42,,00,06,,,,
-,-,10,2018/10/8 10:53,1578,街角設置端末（地図から）,0,1211,10,2,,2018/10/8 10:56,2018/10/8 11:04,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/8 10:59,2018/10/8 10:59,2018/10/8 11:18,2018/10/8 11:18,,2018/10/8 10:53,0:07:49,0:15:38,,00,02,,,,
