,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,
★,-,10,2018/10/16 9:10,3643,乗客アプリ（目的地から）,2915,740,6,1,,2018/10/16 10:05,2018/10/16 10:11,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/16 10:05,2018/10/16 10:05,2018/10/16 10:16,2018/10/16 10:16,2018/10/16 10:05,2018/10/16 10:05,0:05:43,0:05:43,299,00,00,04,04,,
★,-,10,2018/10/16 9:22,3644,乗客アプリ（地図から）,2339,645,9,1,,2018/10/16 10:16,2018/10/16 10:21,35.456605 139.635327,横浜ベイホテル東急,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/16 10:15,2018/10/16 10:15,2018/10/16 10:24,2018/10/16 10:24,2018/10/16 10:15,2018/10/16 10:15,0:04:42,0:04:42,,01,01,,,,
-,-,10,2018/10/16 10:03,3645,乗客アプリ（目的地から）,1663,807,1,1,,2018/10/16 10:07,2018/10/16 10:20,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/16 10:07,2018/10/16 10:12,2018/10/16 10:29,2018/10/16 10:35,,2018/10/16 10:03,0:13:01,0:13:01,,00,04,,,,
-,-,10,2018/10/16 10:04,3646,乗客アプリ（地図から）,1727,677,1,1,,2018/10/16 10:07,2018/10/16 10:28,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/16 10:09,2018/10/16 10:12,2018/10/16 10:42,2018/10/16 10:45,,2018/10/16 10:04,0:20:23,0:20:23,,00,03,,,,
-,-,10,2018/10/16 10:04,3647,乗客アプリ（目的地から）,1668,583,1,1,,2018/10/16 10:07,2018/10/16 10:20,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/16 10:09,2018/10/16 10:11,2018/10/16 10:33,2018/10/16 10:35,,2018/10/16 10:04,0:13:09,0:13:09,,00,03,,,,
-,-,10,2018/10/16 10:06,3649,街角設置端末（地図から）,0,1175,10,2,,2018/10/16 10:10,2018/10/16 10:19,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443073 139.651914,横浜人形の家,2018/10/16 10:08,2018/10/16 10:08,2018/10/16 10:23,2018/10/16 10:23,,2018/10/16 10:06,0:09:18,0:18:36,,01,03,,,,
-,-,10,2018/10/16 10:14,3651,乗客アプリ（目的地から）,2562,906,5,1,,2018/10/16 10:21,2018/10/16 10:27,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.453715 139.638133,横浜ワールドポーターズ,2018/10/16 10:27,2018/10/16 10:27,2018/10/16 10:42,2018/10/16 10:42,,2018/10/16 10:14,0:06:23,0:06:23,,00,07,,,,
-,-,10,2018/10/16 10:16,3652,乗客アプリ（目的地から）,1952,494,2,1,,2018/10/16 10:26,2018/10/16 10:48,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443073 139.651914,横浜人形の家,2018/10/16 10:32,2018/10/16 10:32,2018/10/16 10:58,2018/10/16 10:58,,2018/10/16 10:16,0:21:52,0:21:52,,00,09,,,,
-,-,10,2018/10/16 10:22,3653,街角設置端末（地図から）,0,1129,8,1,,2018/10/16 10:24,2018/10/16 10:31,35.450447 139.635947,みなとみらい線　馬車道駅,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/16 10:26,2018/10/16 10:26,2018/10/16 10:33,2018/10/16 10:33,,2018/10/16 10:22,0:06:53,0:06:53,,00,02,,,,
-,-,10,2018/10/16 10:29,3654,街角設置端末（地図から）,0,654,2,2,,2018/10/16 10:33,2018/10/16 10:38,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/16 10:34,2018/10/16 10:34,2018/10/16 10:43,2018/10/16 10:43,,2018/10/16 10:29,0:04:32,0:09:04,,00,03,,,,
