,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,,
-,-,10,2018/10/7 10:41,1206,街角設置端末（店舗から）,0,911,10,2,,2018/10/7 10:44,2018/10/7 11:01,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 10:48,2018/10/7 10:48,2018/10/7 11:14,2018/10/7 11:14,,0:16:26,0:32:52,,00,03,,,
-,-,10,2018/10/7 10:41,1205,乗客アプリ（目的地から）,1099,481,10,1,,2018/10/7 10:45,2018/10/7 11:11,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443908 139.635249,イセザキ・モール,2018/10/7 10:43,2018/10/7 10:49,2018/10/7 10:54,2018/10/7 11:00,,0:26:07,0:26:07,,01,03,,,
★,-,10,2018/10/7 10:38,1202,乗客アプリ（地図から）,1386,1006,6,3,,2018/10/7 10:50,2018/10/7 11:02,35.441002 139.650809,横浜元町ショッピングストリート,35.456605 139.635327,横浜ベイホテル東急,2018/10/7 10:57,2018/10/7 10:57,2018/10/7 11:22,2018/10/7 11:22,2018/10/7 10:50,0:11:52,0:35:36,,00,06,,,
-,-,10,2018/10/7 10:44,1211,街角設置端末（店舗から）,0,1231,8,6,,2018/10/7 10:50,2018/10/7 10:57,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 10:52,2018/10/7 10:52,2018/10/7 11:09,2018/10/7 11:09,,0:07:17,0:43:42,,00,05,,,
-,-,10,2018/10/7 10:47,1212,乗客アプリ（地図から）,1605,1101,9,3,,2018/10/7 10:52,2018/10/7 11:03,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.453715 139.638133,横浜ワールドポーターズ,2018/10/7 10:52,2018/10/7 10:52,2018/10/7 11:10,2018/10/7 11:10,,0:10:55,0:32:45,,00,04,,,
-,-,10,2018/10/7 10:56,1214,乗客アプリ（目的地から）,1889,972,4,1,,2018/10/7 11:02,2018/10/7 11:07,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/7 11:01,2018/10/7 11:01,2018/10/7 11:11,2018/10/7 11:11,,0:05:13,0:05:13,,00,05,,,
-,-,10,2018/10/7 10:56,1213,街角設置端末（地図から）,0,1195,5,1,,2018/10/7 11:03,2018/10/7 11:13,35.450447 139.635947,みなとみらい線　馬車道駅,35.447541 139.644914,シルク博物館,2018/10/7 11:02,2018/10/7 11:02,2018/10/7 11:10,2018/10/7 11:10,,0:09:26,0:09:26,,01,07,,,
-,-,10,2018/10/7 10:58,1215,乗客アプリ（地図から）,1706,373,3,1,,2018/10/7 11:04,2018/10/7 11:13,35.447699 139.644009,横浜開港資料館,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/7 11:09,2018/10/7 11:09,2018/10/7 11:24,2018/10/7 11:24,,0:08:37,0:08:37,,00,06,,,
-,-,10,2018/10/7 11:00,1216,街角設置端末（地図から）,0,904,6,1,,2018/10/7 11:22,2018/10/7 11:27,35.454389 139.630904,横浜ランドマークタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/7 11:13,2018/10/7 11:13,2018/10/7 11:21,2018/10/7 11:30,,0:05:28,0:05:28,,08,21,,,
-,☆,10,2018/10/7 10:03,1182,街角設置端末（店舗から）,0,390,8,1,2018/10/7 10:03,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/7 10:22,,2018/10/7 10:37,,,,,,00,18,,,
-,☆,10,2018/10/7 10:17,1190,街角設置端末（店舗から）,0,420,4,5,2018/10/7 10:38,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 10:26,,2018/10/7 10:41,,,,,,12,08,,,
-,☆,10,2018/10/7 10:27,1196,乗客アプリ（目的地から）,1875,448,3,2,2018/10/7 10:28,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/7 10:35,,2018/10/7 11:10,,,,,,00,07,,,
-,☆,10,2018/10/7 10:36,1201,街角設置端末（店舗から）,0,807,8,1,2018/10/7 10:44,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/7 10:43,,2018/10/7 10:57,,,,,,00,07,,,
-,☆,10,2018/10/7 10:38,1203,街角設置端末（店舗から）,0,1203,9,1,2018/10/7 10:43,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 10:49,,2018/10/7 11:01,,,,,,00,10,,,
-,☆,10,2018/10/7 10:42,1208,街角設置端末（店舗から）,0,603,3,1,2018/10/7 10:54,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/7 10:52,,2018/10/7 11:06,,,,,,02,10,,,
