,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,,
-,-,12,2018/10/7 12:31,1253,街角設置端末（地図から）,0,649,6,1,,2018/10/7 12:36,2018/10/7 12:40,35.450681 139.632446,横浜桜木町ワシントンホテル,35.45435 139.631762,横浜ロイヤルパークホテル,2018/10/7 12:37,2018/10/7 12:37,2018/10/7 12:44,2018/10/7 12:44,,0:04:04,0:04:04,,00,04,,,
-,-,12,2018/10/7 12:30,1252,乗客アプリ（地図から）,1706,977,7,2,,2018/10/7 12:37,2018/10/7 12:42,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/7 12:38,2018/10/7 12:38,2018/10/7 12:56,2018/10/7 12:56,,0:05:17,0:10:34,,00,07,,,
★,-,12,2018/10/7 12:09,1245,乗客アプリ（目的地から）,1700,1144,10,2,,2018/10/7 12:37,2018/10/7 12:57,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 12:35,2018/10/7 12:35,2018/10/7 12:47,2018/10/7 12:51,2018/10/7 12:30,0:19:43,0:39:26,,02,05,,,
★,-,12,2018/10/7 12:33,1254,乗客アプリ（目的地から）,1623,675,9,4,,2018/10/7 12:40,2018/10/7 12:55,35.454389 139.630904,横浜ランドマークタワー,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 12:42,2018/10/7 12:42,2018/10/7 13:04,2018/10/7 13:04,2018/10/7 12:42,0:14:14,0:56:56,,00,00,,,
★,-,12,2018/10/7 12:35,1255,街角設置端末（店舗から）,0,398,2,4,,2018/10/7 12:44,2018/10/7 12:52,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/7 12:45,2018/10/7 12:45,2018/10/7 13:01,2018/10/7 12:58,2018/10/7 12:45,0:08:37,0:34:28,,00,00,,,
★,-,12,2018/10/7 12:04,1243,街角設置端末（地図から）,0,688,8,5,,2018/10/7 12:44,2018/10/7 12:54,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.453715 139.638133,横浜ワールドポーターズ,2018/10/7 12:44,2018/10/7 12:44,2018/10/7 13:05,2018/10/7 13:05,2018/10/7 12:15,0:09:31,0:47:35,,00,29,,,
-,-,12,2018/10/7 12:41,1256,乗客アプリ（地図から）,1923,549,1,1,,2018/10/7 12:47,2018/10/7 13:14,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 12:44,2018/10/7 12:46,2018/10/7 13:05,2018/10/7 13:15,,0:26:52,0:26:52,,03,06,,,
-,-,12,2018/10/7 12:45,1261,乗客アプリ（地図から）,1905,913,4,2,,2018/10/7 12:49,2018/10/7 12:58,35.441441 139.648505,横浜中華街朱雀門,35.443908 139.635249,イセザキ・モール,2018/10/7 12:50,2018/10/7 12:50,2018/10/7 13:06,2018/10/7 13:06,,0:09:22,0:18:44,,00,03,,,
-,-,12,2018/10/7 12:49,1262,乗客アプリ（目的地から）,1071,748,3,1,,2018/10/7 12:53,2018/10/7 13:28,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 12:51,2018/10/7 12:54,2018/10/7 13:13,2018/10/7 13:22,,0:35:01,0:35:01,,02,04,,,
-,-,12,2018/10/7 12:44,1260,街角設置端末（店舗から）,0,306,2,6,,2018/10/7 12:54,2018/10/7 13:01,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/7 12:58,2018/10/7 12:58,2018/10/7 13:17,2018/10/7 13:17,,0:07:08,0:42:48,,00,09,,,
-,-,12,2018/10/7 12:43,1258,街角設置端末（地図から）,0,423,1,1,,2018/10/7 12:56,2018/10/7 13:00,35.45435 139.631762,横浜ロイヤルパークホテル,35.456605 139.635327,横浜ベイホテル東急,2018/10/7 12:51,2018/10/7 12:51,2018/10/7 12:56,2018/10/7 12:56,,0:03:49,0:03:49,,04,13,,,
-,-,12,2018/10/7 12:59,1268,乗客アプリ（地図から）,1706,831,2,1,,2018/10/7 13:08,2018/10/7 13:11,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/7 13:16,2018/10/7 13:16,2018/10/7 13:28,2018/10/7 13:28,,0:03:22,0:03:22,,00,08,,,
-,-,12,2018/10/7 12:43,1259,街角設置端末（地図から）,0,421,10,1,,2018/10/7 13:24,2018/10/7 13:24,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.448676 139.635696,横浜平和プラザホテル,2018/10/7 12:49,2018/10/7 12:49,2018/10/7 13:10,2018/10/7 13:10,,0:00:07,0:00:07,,35,40,,,
★,☆,12,2018/10/7 10:05,1184,街角設置端末（地図から）,0,693,8,1,2018/10/7 12:02,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/7 12:10,,2018/10/7 12:35,,2018/10/7 12:10,,,,00,00,,,
★,☆,12,2018/10/7 10:07,1185,乗客アプリ（地図から）,1753,504,1,1,2018/10/7 12:40,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/7 12:50,,2018/10/7 13:02,,2018/10/7 12:50,,,,00,00,,,
-,☆,12,2018/10/7 12:19,1248,乗客アプリ（地図から）,1706,637,2,2,2018/10/7 12:26,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.454389 139.630904,横浜ランドマークタワー,2018/10/7 12:29,,2018/10/7 12:57,,,,,,00,10,,,
★,☆,12,2018/10/7 12:28,1251,乗客アプリ（目的地から）,1623,1280,9,4,2018/10/7 12:33,,,35.454389 139.630904,横浜ランドマークタワー,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 12:35,,2018/10/7 12:56,,2018/10/7 12:35,,,,00,00,,,
-,☆,12,2018/10/7 12:51,1264,街角設置端末（店舗から）,0,907,3,1,2018/10/7 12:52,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.453715 139.638133,横浜ワールドポーターズ,2018/10/7 12:53,,2018/10/7 13:04,,,,,,00,01,,,
-,☆,12,2018/10/7 12:58,1266,乗客アプリ（地図から）,1706,862,4,1,2018/10/7 12:58,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/10/7 13:18,,2018/10/7 13:37,,,,,,00,,,,※84行と同一人物と思われるため一番短い待ち時間を採用
-,☆,12,2018/10/7 12:58,1267,乗客アプリ（地図から）,1706,998,4,1,2018/10/7 12:59,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/10/7 13:17,,2018/10/7 13:36,,,,,,00,18,,,※83行と同一人物と思われるため一番短い待ち時間を採用
★,☆,12,2018/10/7 11:22,1223,街角設置端末（店舗から）,0,323,8,1,2018/10/7 12:00,2018/10/7 12:00,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/7 12:07,2018/10/7 12:16,2018/10/7 12:23,,2018/10/7 12:07,,,,00,00,,,
-,-,13,2018/10/7 13:00,1270,乗客アプリ（地図から）,1886,1259,4,1,,2018/10/7 13:10,2018/10/7 13:26,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/7 13:12,2018/10/7 13:12,2018/10/7 13:24,2018/10/7 13:24,,0:15:52,0:15:52,911,00,09,20,,
-,-,13,2018/10/7 13:04,1272,街角設置端末（店舗から）,0,359,5,1,,2018/10/7 13:12,2018/10/7 13:55,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454389 139.630904,横浜ランドマークタワー,2018/10/7 13:17,2018/10/7 13:19,2018/10/7 13:26,2018/10/7 13:27,,0:43:00,0:43:00,,00,08,,,
-,-,13,2018/10/7 13:00,1269,乗客アプリWeb（目的地から）,1895,752,9,2,,2018/10/7 13:14,2018/10/7 13:26,35.452963 139.642093,横浜赤レンガ倉庫,35.454389 139.630904,横浜ランドマークタワー,2018/10/7 13:13,2018/10/7 13:13,2018/10/7 13:28,2018/10/7 13:28,,0:11:57,0:23:54,,01,13,,,
-,-,13,2018/10/7 13:13,1279,乗客アプリ（地図から）,1889,1029,1,1,,2018/10/7 13:18,2018/10/7 13:34,35.441002 139.650809,横浜元町ショッピングストリート,35.453715 139.638133,横浜ワールドポーターズ,2018/10/7 13:22,2018/10/7 13:22,2018/10/7 13:40,2018/10/7 13:40,,0:15:33,0:15:33,,00,04,,,
-,-,13,2018/10/7 13:02,1271,街角設置端末（店舗から）,0,450,3,1,,2018/10/7 13:18,2018/10/7 13:38,35.443073 139.651914,横浜人形の家,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/10/7 13:11,2018/10/7 13:11,2018/10/7 13:36,2018/10/7 13:36,,0:19:33,0:19:33,,06,15,,,
-,-,13,2018/10/7 13:14,1280,乗客アプリ（地図から）,1905,430,2,2,,2018/10/7 13:21,2018/10/7 13:32,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/7 13:23,2018/10/7 13:23,2018/10/7 13:38,2018/10/7 13:38,,0:10:52,0:21:44,,00,07,,,
★,-,13,2018/10/7 12:57,1265,街角設置端末（店舗から）,0,1189,3,1,,2018/10/7 13:22,2018/10/7 13:42,35.443704 139.651332,ホテルメルパルク横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/7 13:15,2018/10/7 13:17,2018/10/7 13:37,2018/10/7 13:42,2018/10/7 13:15,0:20:00,0:20:00,,07,00,,,
★,-,13,2018/10/7 12:41,1257,乗客アプリ（目的地から）,1740,687,6,1,,2018/10/7 13:23,2018/10/7 13:28,35.450681 139.632446,横浜桜木町ワシントンホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/7 13:25,2018/10/7 13:25,2018/10/7 13:40,2018/10/7 13:40,2018/10/7 13:25,0:05:39,0:05:39,,00,00,,,
-,-,13,2018/10/7 13:09,1275,街角設置端末（店舗から）,0,349,4,6,,2018/10/7 13:32,2018/10/7 13:45,35.445857 139.647636,ホテルモントレ横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/7 13:30,2018/10/7 13:30,2018/10/7 13:49,2018/10/7 13:49,,0:13:23,1:20:18,,02,23,,,
-,-,13,2018/10/7 13:17,1283,街角設置端末（地図から）,0,631,6,2,,2018/10/7 13:34,2018/10/7 13:49,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/7 13:43,2018/10/7 13:43,2018/10/7 14:09,2018/10/7 14:09,,0:15:13,0:30:26,,00,16,,,
-,-,13,2018/10/7 13:29,1291,乗客アプリ（地図から）,1467,1168,2,4,,2018/10/7 13:37,2018/10/7 13:40,35.453715 139.638133,横浜ワールドポーターズ,35.456605 139.635327,横浜ベイホテル東急,2018/10/7 13:40,2018/10/7 13:40,2018/10/7 13:55,2018/10/7 13:50,,0:03:15,0:13:00,,00,07,,,
-,-,13,2018/10/7 13:20,1285,乗客アプリ（地図から）,1157,744,7,2,,2018/10/7 13:40,2018/10/7 13:53,35.45435 139.631762,横浜ロイヤルパークホテル,35.445857 139.647636,ホテルモントレ横浜,2018/10/7 13:39,2018/10/7 13:39,2018/10/7 13:57,2018/10/7 13:57,,0:13:17,0:26:34,,00,19,,,
-,-,13,2018/10/7 13:13,1277,街角設置端末（店舗から）,0,617,5,1,,2018/10/7 13:41,2018/10/7 14:07,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 13:18,2018/10/7 13:18,2018/10/7 13:57,2018/10/7 13:57,,0:26:11,0:26:11,,23,28,,,
-,-,13,2018/10/7 13:20,1286,街角設置端末（地図から）,0,599,1,2,,2018/10/7 13:45,2018/10/7 14:26,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 13:46,2018/10/7 13:46,2018/10/7 14:08,2018/10/7 14:08,,0:41:36,1:23:12,,00,24,,,
-,-,13,2018/10/7 13:37,1298,街角設置端末（店舗から）,0,510,2,2,,2018/10/7 13:53,2018/10/7 14:09,35.452963 139.642093,横浜赤レンガ倉庫,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 13:57,2018/10/7 13:57,2018/10/7 14:12,2018/10/7 14:12,,0:15:36,0:31:12,,00,15,,,
-,-,13,2018/10/7 13:46,1304,街角設置端末（店舗から）,0,583,8,5,,2018/10/7 13:59,2018/10/7 14:31,35.452963 139.642093,横浜赤レンガ倉庫,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 13:59,2018/10/7 13:59,2018/10/7 14:18,2018/10/7 14:25,,0:31:41,2:38:25,,00,12,,,
-,-,13,2018/10/7 13:43,1303,乗客アプリ（地図から）,1923,843,7,1,,2018/10/7 13:59,2018/10/7 14:13,35.443659 139.650847,横浜マリンタワー,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/7 13:54,2018/10/7 14:01,2018/10/7 14:14,2018/10/7 14:22,,0:13:46,0:13:46,,04,15,,,
-,-,13,2018/10/7 13:56,1319,乗客アプリ（地図から）,1633,1192,7,3,,2018/10/7 14:01,2018/10/7 14:14,35.443704 139.651332,ホテルメルパルク横浜,35.45435 139.631762,横浜ロイヤルパークホテル,2018/10/7 14:02,2018/10/7 14:02,2018/10/7 14:28,2018/10/7 14:28,,0:13:16,0:39:48,,00,04,,,
-,-,13,2018/10/7 13:49,1309,乗客アプリ（目的地から）,1752,847,4,2,,2018/10/7 14:01,2018/10/7 14:08,35.454389 139.630904,横浜ランドマークタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/7 14:00,2018/10/7 14:02,2018/10/7 14:14,2018/10/7 14:16,,0:07:01,0:14:02,,00,12,,,
-,-,13,2018/10/7 13:48,1306,乗客アプリ（目的地から）,1247,478,1,2,,2018/10/7 14:02,2018/10/7 14:15,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/10/7 13:53,2018/10/7 13:53,2018/10/7 14:11,2018/10/7 14:11,,0:12:44,0:25:28,,09,14,,,
-,-,13,2018/10/7 13:49,1308,乗客アプリ（地図から）,1864,555,6,2,,2018/10/7 14:03,2018/10/7 14:14,35.445857 139.647636,ホテルモントレ横浜,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/7 13:57,2018/10/7 13:57,2018/10/7 14:09,2018/10/7 14:09,,0:11:05,0:22:10,,05,14,,,
-,-,13,2018/10/7 13:54,1316,乗客アプリ（地図から）,1642,1015,10,1,,2018/10/7 14:05,2018/10/7 14:25,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/7 14:31,2018/10/7 14:31,2018/10/7 14:54,2018/10/7 14:54,,0:19:53,0:19:53,,00,10,,,
-,-,13,2018/10/7 13:59,1321,街角設置端末（店舗から）,0,554,9,2,,2018/10/7 14:06,2018/10/7 14:18,35.452963 139.642093,横浜赤レンガ倉庫,35.456605 139.635327,横浜ベイホテル東急,2018/10/7 14:10,2018/10/7 14:10,2018/10/7 14:26,2018/10/7 14:28,,0:12:32,0:25:04,,00,06,,,
-,-,13,2018/10/7 13:38,1299,乗客アプリ（地図から）,1901,938,6,2,,2018/10/7 14:08,2018/10/7 14:21,35.443704 139.651332,ホテルメルパルク横浜,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/7 13:58,2018/10/7 14:02,2018/10/7 14:09,2018/10/7 14:19,,0:12:31,0:25:02,,09,29,,,
-,-,13,2018/10/7 13:39,1301,街角設置端末（店舗から）,0,1009,4,1,,2018/10/7 14:09,2018/10/7 14:19,35.452963 139.642093,横浜赤レンガ倉庫,35.443908 139.635249,イセザキ・モール,2018/10/7 14:03,2018/10/7 14:14,2018/10/7 14:17,2018/10/7 14:30,,0:09:39,0:09:39,,06,30,,,
-,-,13,2018/10/7 13:49,1310,乗客アプリ（目的地から）,1886,345,8,1,,2018/10/7 14:19,2018/10/7 14:34,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/7 14:11,2018/10/7 14:11,2018/10/7 14:30,2018/10/7 14:30,,0:15:07,0:15:07,,07,29,,,
-,-,13,2018/10/7 13:50,1313,乗客アプリ（地図から）,1605,1136,5,3,,2018/10/7 14:24,2018/10/7 14:39,35.453715 139.638133,横浜ワールドポーターズ,35.443908 139.635249,イセザキ・モール,2018/10/7 14:27,2018/10/7 14:27,2018/10/7 14:45,2018/10/7 14:45,,0:14:58,0:44:54,,00,34,,,
-,-,13,2018/10/7 13:48,1307,街角設置端末（地図から）,0,416,7,2,,2018/10/7 14:30,2018/10/7 14:44,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/7 14:29,2018/10/7 14:29,2018/10/7 14:42,2018/10/7 14:42,,0:13:33,0:27:06,,01,41,,,
-,-,13,2018/10/7 13:50,1312,街角設置端末（店舗から）,0,311,6,2,,2018/10/7 14:30,2018/10/7 14:38,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/7 14:19,2018/10/7 14:23,2018/10/7 14:37,2018/10/7 14:41,,0:07:35,0:15:10,,11,40,,,
★,☆,13,2018/10/7 10:04,1183,乗客アプリ（地図から）,1753,370,4,1,2018/10/7 10:05,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/7 13:00,,2018/10/7 13:10,,2018/10/7 13:00,,,,00,00,,,
★,☆,13,2018/10/7 13:05,1273,街角設置端末（地図から）,0,922,5,1,2018/10/7 13:33,,,35.456605 139.635327,横浜ベイホテル東急,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/7 13:32,,2018/10/7 13:36,,2018/10/7 13:25,,,,01,07,,,
-,☆,13,2018/10/7 13:09,1274,街角設置端末（地図から）,0,773,2,3,2018/10/7 13:11,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.456605 139.635327,横浜ベイホテル東急,2018/10/7 13:34,,2018/10/7 13:48,,,,,,00,25,,,
★,☆,13,2018/10/7 13:09,1276,街角設置端末（地図から）,0,459,1,2,2018/10/7 13:19,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/7 13:43,,2018/10/7 14:09,,2018/10/7 13:15,,,,00,28,,,
-,☆,13,2018/10/7 13:13,1278,乗客アプリ（地図から）,1706,381,2,1,2018/10/7 13:14,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443908 139.635249,イセザキ・モール,2018/10/7 13:20,,2018/10/7 13:27,,,,,,00,06,,,
-,☆,13,2018/10/7 13:15,1281,街角設置端末（店舗から）,0,868,2,1,2018/10/7 13:16,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 13:48,,2018/10/7 14:00,,,,,,00,,,,※121行と同一人物と思われるため一番短い待ち時間を採用
-,☆,13,2018/10/7 13:17,1282,街角設置端末（店舗から）,0,485,2,1,2018/10/7 13:17,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 13:48,,2018/10/7 14:00,,,,,,00,31,,,※120行と同一人物と思われるため一番短い待ち時間を採用
-,☆,13,2018/10/7 13:18,1284,乗客アプリ（地図から）,1706,949,7,1,2018/10/7 13:18,,,35.453715 139.638133,横浜ワールドポーターズ,35.443908 139.635249,イセザキ・モール,2018/10/7 13:39,,2018/10/7 13:54,,,,,,00,20,,,
-,☆,13,2018/10/7 13:22,1287,乗客アプリ（目的地から）,1901,460,2,1,2018/10/7 13:27,,,35.443073 139.651914,横浜人形の家,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/7 13:48,,2018/10/7 14:11,,,,,,00,26,,,※124行と同一人物と思われるため一番短い待ち時間を採用
-,☆,13,2018/10/7 13:22,1288,乗客アプリ（目的地から）,1907,593,2,1,2018/10/7 13:27,,,35.443073 139.651914,横浜人形の家,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/7 13:49,,2018/10/7 14:11,,,,,,00,,,,※123行と同一人物と思われるため一番短い待ち時間を採用
-,☆,13,2018/10/7 13:24,1289,街角設置端末（地図から）,0,314,3,1,2018/10/7 13:24,,,35.453715 139.638133,横浜ワールドポーターズ,35.443908 139.635249,イセザキ・モール,2018/10/7 13:56,,2018/10/7 14:11,,,,,,00,32,,,
★,☆,13,2018/10/7 13:31,1292,乗客アプリ（地図から）,1901,1286,3,1,2018/10/7 13:31,,,35.443073 139.651914,横浜人形の家,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/7 14:04,,2018/10/7 14:15,,2018/10/7 13:35,,,,00,28,,,※127行と同一人物と思われるため一番短い待ち時間を採用
★,☆,13,2018/10/7 13:31,1293,乗客アプリ（地図から）,1907,505,3,1,2018/10/7 13:31,,,35.443073 139.651914,横浜人形の家,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/7 14:04,,2018/10/7 14:16,,2018/10/7 13:35,,,,00,,,,※126行と同一人物と思われるため一番短い待ち時間を採用
-,☆,13,2018/10/7 13:33,1294,街角設置端末（地図から）,0,657,2,2,2018/10/7 13:34,,,35.456605 139.635327,横浜ベイホテル東急,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/7 13:55,,2018/10/7 14:09,,,,,,00,22,,,
-,☆,13,2018/10/7 13:34,1295,乗客アプリ（目的地から）,1901,1038,3,2,2018/10/7 13:34,,,35.443073 139.651914,横浜人形の家,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/7 14:04,,2018/10/7 14:23,,,,,,00,30,,,
-,☆,13,2018/10/7 13:40,1302,乗客アプリ（地図から）,1923,1091,7,1,2018/10/7 13:43,,,35.443704 139.651332,ホテルメルパルク横浜,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/7 14:01,,2018/10/7 14:20,,,,,,00,20,,,
-,☆,13,2018/10/7 13:49,1311,乗客アプリ（地図から）,1605,720,5,3,2018/10/7 13:50,,,35.443908 139.635249,イセザキ・モール,35.453715 139.638133,横浜ワールドポーターズ,2018/10/7 14:25,,2018/10/7 14:39,,,,,,00,35,,,
-,☆,13,2018/10/7 13:52,1314,乗客アプリ（地図から）,1642,904,10,1,2018/10/7 13:52,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/7 14:31,,2018/10/7 14:54,,,,,,00,,,,※133行と同一人物と思われるため一番短い待ち時間を採用
-,☆,13,2018/10/7 13:53,1315,乗客アプリ（簡単予約）,1642,678,10,1,2018/10/7 13:54,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 14:30,,2018/10/7 14:41,,,,,,00,36,,,※132行と同一人物と思われるため一番短い待ち時間を採用
-,☆,13,2018/10/7 13:54,1317,乗客アプリ（地図から）,1884,1294,4,1,2018/10/7 13:55,,,35.456605 139.635327,横浜ベイホテル東急,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/7 14:43,,2018/10/7 14:48,,,,,,00,48,,,
-,☆,13,2018/10/7 13:56,1318,乗客アプリ（地図から）,1512,929,4,2,2018/10/7 13:56,,,35.454389 139.630904,横浜ランドマークタワー,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/7 14:42,,2018/10/7 14:56,,,,,,00,,,,※136行と同一人物と思われるため一番短い待ち時間を採用
-,☆,13,2018/10/7 13:57,1320,乗客アプリ（地図から）,1512,816,4,2,2018/10/7 13:58,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/7 14:39,,2018/10/7 14:55,,,,,,00,41,,,※137行と同一人物と思われるため一番短い待ち時間を採用
★,-,14,2018/10/7 13:47,1305,乗客アプリ（目的地から）,1902,717,3,2,,2018/10/7 13:56,2018/10/7 14:10,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/7 14:00,2018/10/7 14:00,2018/10/7 14:18,2018/10/7 14:18,2018/10/7 14:00,0:14:04,0:28:08,554,00,00,10,,
★,-,14,2018/10/7 13:37,1297,乗客アプリ（地図から）,1942,1066,3,1,,2018/10/7 14:03,2018/10/7 14:21,35.450447 139.635947,みなとみらい線　馬車道駅,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/7 14:00,2018/10/7 14:08,2018/10/7 14:17,2018/10/7 14:33,2018/10/7 14:00,0:17:48,0:17:48,,03,00,,,
★,-,14,2018/10/7 13:38,1300,乗客アプリ（地図から）,1944,1100,3,1,,2018/10/7 14:03,2018/10/7 14:21,35.450447 139.635947,みなとみらい線　馬車道駅,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/7 14:00,2018/10/7 14:09,2018/10/7 14:18,2018/10/7 14:33,2018/10/7 14:00,0:17:36,0:17:36,,03,00,,,
★,-,14,2018/10/7 14:01,1323,乗客アプリ（目的地から）,1796,372,9,1,,2018/10/7 14:13,2018/10/7 14:26,35.453715 139.638133,横浜ワールドポーターズ,35.443908 139.635249,イセザキ・モール,2018/10/7 14:16,2018/10/7 14:16,2018/10/7 14:45,2018/10/7 14:45,2018/10/7 14:10,0:12:33,0:12:33,,00,06,,,
-,-,14,2018/10/7 14:22,1330,乗客アプリ（地図から）,1689,818,3,2,,2018/10/7 14:28,2018/10/7 14:51,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/7 14:25,2018/10/7 14:25,2018/10/7 14:58,2018/10/7 14:58,,0:22:57,0:45:54,,03,06,,,
-,-,14,2018/10/7 14:15,1324,街角設置端末（店舗から）,0,1133,4,1,,2018/10/7 14:29,2018/10/7 14:39,35.443704 139.651332,ホテルメルパルク横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/7 14:39,2018/10/7 14:39,2018/10/7 14:49,2018/10/7 14:49,,0:09:36,0:09:36,,00,14,,,
-,-,14,2018/10/7 14:18,1328,乗客アプリ（簡単予約）,1741,1076,10,1,,2018/10/7 14:29,2018/10/7 14:44,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/7 14:24,2018/10/7 14:24,2018/10/7 14:39,2018/10/7 14:39,,0:14:23,0:14:23,,05,11,,,
