,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,
★,-,10,2018/10/10 9:34,2020,乗客アプリ（簡単予約）,1358,1139,8,1,,2018/10/10 10:11,2018/10/10 10:17,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/10 10:11,2018/10/10 10:11,2018/10/10 10:22,2018/10/10 10:22,2018/10/10 10:11,2018/10/10 10:11,0:06:05,0:06:05,230,00,00,06,04,,
-,-,10,2018/10/10 9:44,2022,乗客アプリ（地図から）,2064,1118,4,3,,2018/10/10 10:02,2018/10/10 10:08,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443704 139.651332,ホテルメルパルク横浜,2018/10/10 10:08,2018/10/10 10:08,2018/10/10 10:27,2018/10/10 10:27,,2018/10/10 9:44,0:06:04,0:18:12,,00,17,,,,
-,-,10,2018/10/10 10:03,2023,乗客アプリ（地図から）,2306,1048,2,1,,2018/10/10 10:07,2018/10/10 10:28,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/10 10:08,2018/10/10 10:08,2018/10/10 10:31,2018/10/10 10:31,,2018/10/10 10:03,0:20:11,0:20:11,,00,04,,,,
-,-,10,2018/10/10 10:03,2024,乗客アプリ（目的地から）,1663,1235,2,1,,2018/10/10 10:07,2018/10/10 10:27,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/10 10:08,2018/10/10 10:08,2018/10/10 10:31,2018/10/10 10:31,,2018/10/10 10:03,0:20:10,0:20:10,,00,03,,,,
-,-,10,2018/10/10 10:05,2025,街角設置端末（地図から）,0,674,10,1,,2018/10/10 10:08,2018/10/10 10:12,35.456605 139.635327,横浜ベイホテル東急,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/10/10 10:15,2018/10/10 10:15,2018/10/10 10:25,2018/10/10 10:25,,2018/10/10 10:05,0:04:37,0:04:37,,00,02,,,,
-,-,10,2018/10/10 10:08,2027,乗客アプリ（地図から）,1666,483,2,1,,2018/10/10 10:13,2018/10/10 10:32,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/10 10:15,2018/10/10 10:15,2018/10/10 10:47,2018/10/10 10:51,,2018/10/10 10:08,0:18:34,0:18:34,,00,05,,,,
-,-,10,2018/10/10 10:08,2028,乗客アプリ（地図から）,2087,812,2,1,,2018/10/10 10:13,2018/10/10 10:21,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/10 10:14,2018/10/10 10:14,2018/10/10 10:28,2018/10/10 10:28,,2018/10/10 10:08,0:07:36,0:07:36,,00,05,,,,
★,-,10,2018/10/10 10:14,2030,乗客アプリ（地図から）,1727,489,10,1,,2018/10/10 10:29,2018/10/10 10:36,35.450681 139.632446,横浜桜木町ワシントンホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/10 10:30,2018/10/10 10:30,2018/10/10 10:44,2018/10/10 10:44,2018/10/10 10:30,2018/10/10 10:30,0:07:42,0:07:42,,00,00,,,,
-,-,10,2018/10/10 10:16,2031,乗客アプリ（地図から）,2137,589,9,1,,2018/10/10 10:23,2018/10/10 10:31,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/10/10 10:24,2018/10/10 10:24,2018/10/10 10:37,2018/10/10 10:37,,2018/10/10 10:16,0:07:22,0:07:22,,00,07,,,,
-,-,10,2018/10/10 10:25,2032,乗客アプリ（地図から）,1340,929,7,1,,2018/10/10 10:26,2018/10/10 10:48,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443073 139.651914,横浜人形の家,2018/10/10 10:27,2018/10/10 10:27,2018/10/10 10:53,2018/10/10 10:53,,2018/10/10 10:25,0:22:07,0:22:07,,00,01,,,,
