,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,
★,-,10,2018/10/15 9:33,3378,乗客アプリ（目的地から）,2554,1217,1,1,,2018/10/15 12:06,2018/10/15 12:17,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/15 12:10,2018/10/15 12:10,2018/10/15 12:29,2018/10/15 12:29,2018/10/15 12:10,2018/10/15 12:10,0:11:10,0:11:10,575,00,00,05,04,,
-,-,10,2018/10/15 9:42,3379,乗客アプリ（目的地から）,2435,1091,10,1,,2018/10/15 10:01,2018/10/15 10:10,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/15 10:04,2018/10/15 10:04,2018/10/15 10:28,2018/10/15 10:28,,2018/10/15 9:42,0:09:10,0:09:10,,00,19,,,,
-,-,10,2018/10/15 9:46,3380,街角設置端末（店舗から）,0,1124,2,2,,2018/10/15 10:06,2018/10/15 10:21,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/15 10:07,2018/10/15 10:07,2018/10/15 10:22,2018/10/15 10:32,,2018/10/15 9:46,0:15:04,0:30:08,,00,19,,,,
-,-,10,2018/10/15 9:49,3381,乗客アプリ（目的地から）,1328,372,4,1,,2018/10/15 10:04,2018/10/15 10:13,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/15 10:04,2018/10/15 10:05,2018/10/15 10:27,2018/10/15 10:28,,2018/10/15 9:49,0:09:13,0:09:13,,00,14,,,,
-,-,10,2018/10/15 9:50,3382,乗客アプリ（目的地から）,1885,1250,6,1,,2018/10/15 10:04,2018/10/15 10:20,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/15 10:05,2018/10/15 10:05,2018/10/15 10:28,2018/10/15 10:28,,2018/10/15 9:50,0:16:25,0:16:25,,00,14,,,,
★,-,10,2018/10/15 9:58,3384,乗客アプリ（地図から）,2860,1174,5,2,,2018/10/15 10:07,2018/10/15 10:09,35.45435 139.631762,横浜ロイヤルパークホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/15 10:08,2018/10/15 10:08,2018/10/15 10:16,2018/10/15 10:16,2018/10/15 10:00,2018/10/15 10:00,0:02:24,0:04:48,,00,06,,,,
-,-,10,2018/10/15 9:59,3385,乗客アプリ（地図から）,67,1116,9,1,,2018/10/15 10:04,2018/10/15 10:08,35.450447 139.635947,みなとみらい線　馬車道駅,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/15 10:08,2018/10/15 10:08,2018/10/15 10:20,2018/10/15 10:20,,2018/10/15 9:59,0:04:19,0:04:19,,00,04,,,,
-,-,10,2018/10/15 10:01,3386,街角設置端末（店舗から）,0,445,4,1,,2018/10/15 10:04,2018/10/15 10:07,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/15 10:05,2018/10/15 10:05,2018/10/15 10:17,2018/10/15 10:17,,2018/10/15 10:01,0:03:10,0:03:10,,00,03,,,,
-,-,10,2018/10/15 10:04,3388,乗客アプリ（簡単予約）,2846,836,2,4,,2018/10/15 10:09,2018/10/15 10:25,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/15 10:12,2018/10/15 10:12,2018/10/15 10:37,2018/10/15 10:37,,2018/10/15 10:04,0:15:45,1:03:00,,00,05,,,,
-,-,10,2018/10/15 10:05,3389,街角設置端末（地図から）,0,1208,6,2,,2018/10/15 10:09,2018/10/15 10:16,35.448801 139.636702,ホテルルートイン横浜馬車道,35.445783 139.642958,横浜情報文化センター,2018/10/15 10:14,2018/10/15 10:14,2018/10/15 10:21,2018/10/15 10:21,,2018/10/15 10:05,0:07:00,0:14:00,,00,04,,,,
-,-,10,2018/10/15 10:14,3390,乗客アプリ（地図から）,2137,500,5,1,,2018/10/15 10:21,2018/10/15 10:38,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/10/15 10:26,2018/10/15 10:26,2018/10/15 10:39,2018/10/15 10:42,,2018/10/15 10:14,0:16:43,0:16:43,,00,07,,,,
-,-,10,2018/10/15 10:15,3391,街角設置端末（地図から）,0,1292,8,1,,2018/10/15 10:21,2018/10/15 10:24,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454389 139.630904,横浜ランドマークタワー,2018/10/15 10:29,2018/10/15 10:29,2018/10/15 10:37,2018/10/15 10:37,,2018/10/15 10:15,0:03:06,0:03:06,,00,05,,,,
-,-,10,2018/10/15 10:16,3392,街角設置端末（店舗から）,0,424,4,1,,2018/10/15 10:23,2018/10/15 10:28,35.450447 139.635947,みなとみらい線　馬車道駅,35.447541 139.644914,シルク博物館,2018/10/15 10:27,2018/10/15 10:27,2018/10/15 10:35,2018/10/15 10:35,,2018/10/15 10:16,0:04:36,0:04:36,,00,06,,,,
