,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,
-,-,10,2018/10/11 10:48,2288,街角設置端末（地図から）,0,1231,3,1,,2018/10/11 10:58,2018/10/11 11:11,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/11 11:04,2018/10/11 11:04,2018/10/11 11:26,2018/10/11 11:26,,2018/10/11 10:48,0:12:35,0:12:35,,00,09,,,,
-,-,10,2018/10/11 10:53,2289,街角設置端末（店舗から）,0,1244,1,3,,2018/10/11 11:00,2018/10/11 11:10,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/11 11:00,2018/10/11 11:00,2018/10/11 11:13,2018/10/11 11:13,,2018/10/11 10:53,0:10:45,0:32:15,,00,06,,,,
-,-,10,2018/10/11 10:59,2290,乗客アプリ（地図から）,1103,744,7,1,,2018/10/11 11:04,2018/10/11 11:14,35.443659 139.650847,横浜マリンタワー,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/11 11:03,2018/10/11 11:03,2018/10/11 11:23,2018/10/11 11:23,,2018/10/11 10:59,0:09:48,0:09:48,,01,05,,,,
★,☆,10,2018/10/11 8:10,2264,乗客アプリ（目的地から）,2413,865,1,2,2018/10/11 8:11,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/11 10:08,,2018/10/11 10:23,,2018/10/11 10:01,2018/10/11 10:01,0:00:00,0:00:00,,00,06,,,,"※21,22行と同一人物と思われるので一番短いものを採用"
★,☆,10,2018/10/11 8:12,2265,乗客アプリ（目的地から）,2413,931,1,2,2018/10/11 8:13,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/11 10:08,,2018/10/11 10:23,,2018/10/11 10:00,2018/10/11 10:00,0:00:00,0:00:00,,00,,,,,"※20,22行と同一人物と思われるので一番短いものを採用"
★,☆,10,2018/10/11 8:14,2266,乗客アプリ（目的地から）,2413,557,1,2,2018/10/11 8:15,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/11 10:08,,2018/10/11 10:23,,2018/10/11 9:52,2018/10/11 9:52,0:00:00,0:00:00,,00,,,,,"※20,21行と同一人物と思われるので一番短いものを採用"
★,☆,10,2018/10/11 9:57,2269,乗客アプリ（目的地から）,1958,528,5,1,2018/10/11 10:23,,,35.454389 139.630904,横浜ランドマークタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/11 10:15,,2018/10/11 10:34,,2018/10/11 10:15,2018/10/11 10:15,0:00:00,0:00:00,,00,08,,,,
-,☆,10,2018/10/11 10:03,2270,乗客アプリ（地図から）,2306,984,6,2,2018/10/11 10:13,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/11 10:09,,2018/10/11 10:33,,,2018/10/11 10:03,0:00:00,0:00:00,,00,09,,,,
-,☆,10,2018/10/11 10:04,2271,乗客アプリ（目的地から）,2086,1149,6,1,2018/10/11 10:10,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/11 10:09,,2018/10/11 10:24,,,2018/10/11 10:04,0:00:00,0:00:00,,00,06,,,,
-,☆,10,2018/10/11 10:05,2273,街角設置端末（地図から）,0,638,6,1,2018/10/11 10:14,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/11 10:11,,2018/10/11 10:48,,,2018/10/11 10:05,0:00:00,0:00:00,,00,08,,,,
