,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,
★,-,10,2018/10/17 7:32,3913,乗客アプリ（地図から）,3028,1001,10,1,,2018/10/17 12:41,2018/10/17 13:02,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/17 12:45,2018/10/17 12:45,2018/10/17 13:00,2018/10/17 13:06,2018/10/17 12:45,2018/10/17 12:45,0:21:28,0:21:28,318,00,00,03,02,,
★,-,10,2018/10/17 9:04,3916,乗客アプリ（目的地から）,3038,760,10,2,,2018/10/17 10:02,2018/10/17 10:15,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/17 10:06,2018/10/17 10:06,2018/10/17 10:25,2018/10/17 10:25,2018/10/17 10:00,2018/10/17 10:00,0:13:02,0:26:04,,00,01,,,,
★,-,10,2018/10/17 9:19,3917,乗客アプリ（目的地から）,2247,908,8,1,,2018/10/17 12:12,2018/10/17 12:21,35.447541 139.644914,シルク博物館,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/17 12:15,2018/10/17 12:20,2018/10/17 12:36,2018/10/17 12:42,2018/10/17 12:15,2018/10/17 12:15,0:08:42,0:08:42,,00,00,,,,
-,-,10,2018/10/17 9:35,3918,乗客アプリ（地図から）,1841,479,8,1,,2018/10/17 10:01,2018/10/17 10:14,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/17 10:02,2018/10/17 10:02,2018/10/17 10:22,2018/10/17 10:31,,2018/10/17 9:35,0:12:09,0:12:09,,00,26,,,,
-,-,10,2018/10/17 10:00,3920,乗客アプリ（目的地から）,1885,935,8,1,,2018/10/17 10:05,2018/10/17 10:21,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/17 10:09,2018/10/17 10:10,2018/10/17 10:40,2018/10/17 10:46,,2018/10/17 10:00,0:16:11,0:16:11,,00,05,,,,
-,-,10,2018/10/17 10:03,3921,乗客アプリ（地図から）,2171,897,8,1,,2018/10/17 10:05,2018/10/17 10:21,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/17 10:06,2018/10/17 10:10,2018/10/17 10:40,2018/10/17 10:46,,2018/10/17 10:03,0:16:14,0:16:14,,00,01,,,,
-,-,10,2018/10/17 10:04,3922,乗客アプリ（地図から）,2170,750,8,1,,2018/10/17 10:05,2018/10/17 10:16,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/17 10:09,2018/10/17 10:09,2018/10/17 10:36,2018/10/17 10:36,,2018/10/17 10:04,0:10:35,0:10:35,,00,01,,,,
-,-,10,2018/10/17 10:11,3924,街角設置端末（地図から）,0,987,5,1,,2018/10/17 10:16,2018/10/17 10:23,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/17 10:20,2018/10/17 10:20,2018/10/17 10:33,2018/10/17 10:33,,2018/10/17 10:11,0:06:21,0:06:21,,00,04,,,,
-,-,10,2018/10/17 10:17,3925,乗客アプリ（目的地から）,1358,1146,9,1,,2018/10/17 10:17,2018/10/17 10:22,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/17 10:18,2018/10/17 10:18,2018/10/17 10:29,2018/10/17 10:29,,2018/10/17 10:17,0:04:46,0:04:46,,00,00,,,,
-,-,10,2018/10/17 10:17,3926,街角設置端末（地図から）,0,580,6,1,,2018/10/17 10:20,2018/10/17 10:26,35.454389 139.630904,横浜ランドマークタワー,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/17 10:23,2018/10/17 10:23,2018/10/17 10:34,2018/10/17 10:34,,2018/10/17 10:17,0:05:40,0:05:40,,00,03,,,,
