,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
-,-,10,2018/10/22 9:39,5458,乗客アプリ（地図から）,2435,739,1,1,,2018/10/22 10:04,2018/10/22 10:11,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/22 10:02,2018/10/22 10:02,2018/10/22 10:12,2018/10/22 10:15,,2018/10/22 9:39,0:07:08,0:07:08,152,01,04,03,03,,2018/10/22 10:00,※10時以前に予約しているため
-,-,10,2018/10/22 9:53,5459,乗客アプリ（目的地から）,3662,319,7,1,,2018/10/22 10:03,2018/10/22 10:09,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/22 10:04,2018/10/22 10:04,2018/10/22 10:14,2018/10/22 10:14,,2018/10/22 9:53,0:05:59,0:05:59,,00,03,,,,2018/10/22 10:00,※10時以前に予約しているため
-,-,10,2018/10/22 9:58,5460,まちかど設置端末（地図から）,0,424,3,3,,2018/10/22 10:03,2018/10/22 10:14,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443073 139.651914,横浜人形の家,2018/10/22 10:06,2018/10/22 10:06,2018/10/22 10:22,2018/10/22 10:22,,2018/10/22 9:58,0:11:37,0:34:51,,00,03,,,,2018/10/22 10:00,※10時以前に予約しているため
-,-,10,2018/10/22 10:01,5461,乗客アプリ（簡単予約）,1885,499,1,1,,2018/10/22 10:04,2018/10/22 10:22,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/22 10:04,2018/10/22 10:04,2018/10/22 10:24,2018/10/22 10:30,,2018/10/22 10:01,0:18:04,0:18:04,,00,03,,,,,
-,-,10,2018/10/22 10:02,5462,乗客アプリ（地図から）,2306,514,1,2,,2018/10/22 10:05,2018/10/22 10:17,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/22 10:05,2018/10/22 10:05,2018/10/22 10:24,2018/10/22 10:24,,2018/10/22 10:02,0:12:30,0:25:00,,00,02,,,,,
★,-,10,2018/10/22 10:03,5463,乗客アプリ（地図から）,3669,1025,5,4,,2018/10/22 10:28,2018/10/22 10:33,35.453715 139.638133,横浜ワールドポーターズ,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/22 10:33,2018/10/22 10:33,2018/10/22 10:46,2018/10/22 10:46,2018/10/22 10:33,2018/10/22 10:33,0:04:58,0:19:52,,00,00,,,,,
-,-,10,2018/10/22 10:08,5464,乗客アプリ（地図から）,2314,494,2,1,,2018/10/22 10:11,2018/10/22 10:22,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/22 10:10,2018/10/22 10:10,2018/10/22 10:27,2018/10/22 10:27,,2018/10/22 10:08,0:10:22,0:10:22,,01,03,,,,,
★,-,10,2018/10/22 10:11,5465,乗客アプリ（簡単予約）,3510,1093,4,1,,2018/10/22 10:40,2018/10/22 10:47,35.445783 139.642958,横浜情報文化センター,35.443908 139.635249,イセザキ・モール,2018/10/22 10:41,2018/10/22 10:41,2018/10/22 10:48,2018/10/22 10:48,2018/10/22 10:41,2018/10/22 10:41,0:06:15,0:06:15,,00,00,,,,,
-,-,10,2018/10/22 10:18,5468,乗客アプリ（目的地から）,1358,880,9,1,,2018/10/22 10:23,2018/10/22 10:28,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/22 10:24,2018/10/22 10:24,2018/10/22 10:32,2018/10/22 10:32,,2018/10/22 10:18,0:05:00,0:05:00,,00,04,,,,,
-,-,10,2018/10/22 10:24,5469,まちかど設置端末（地図から）,0,1192,8,1,,2018/10/22 10:30,2018/10/22 10:34,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454389 139.630904,横浜ランドマークタワー,2018/10/22 10:35,2018/10/22 10:35,2018/10/22 10:40,2018/10/22 10:40,,2018/10/22 10:24,0:03:06,0:03:06,,00,06,,,,,
