,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
★,-,10,2018/10/19 9:19,4496,乗客アプリ（地図から）,3252,1196,4,1,,2018/10/19 10:17,2018/10/19 10:32,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443908 139.635249,イセザキ・モール,2018/10/19 10:19,2018/10/19 10:19,2018/10/19 10:31,2018/10/19 10:41,2018/10/19 10:19,2018/10/19 10:19,0:15:06,0:15:06,259,00,00,04,04,,,,
-,-,10,2018/10/19 9:50,4500,乗客アプリ（地図から）,2435,549,2,1,,2018/10/19 10:05,2018/10/19 10:20,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/19 10:03,2018/10/19 10:06,2018/10/19 10:19,2018/10/19 10:27,,2018/10/19 9:50,0:15:10,0:15:10,,01,15,,,,,,
-,-,10,2018/10/19 10:00,4501,乗客アプリ（目的地から）,1885,566,2,1,,2018/10/19 10:05,2018/10/19 10:25,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/19 10:04,2018/10/19 10:08,2018/10/19 10:26,2018/10/19 10:33,,2018/10/19 10:00,0:20:08,0:20:08,,00,04,,,,,,
-,-,10,2018/10/19 10:00,4503,乗客アプリ（目的地から）,1663,470,2,1,,2018/10/19 10:05,2018/10/19 10:20,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/19 10:05,2018/10/19 10:07,2018/10/19 10:20,2018/10/19 10:26,,2018/10/19 10:00,0:15:24,0:15:24,,00,04,,,,,,
-,-,10,2018/10/19 10:01,4504,乗客アプリ（目的地から）,2225,462,2,1,,2018/10/19 10:05,2018/10/19 10:13,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/19 10:06,2018/10/19 10:07,2018/10/19 10:16,2018/10/19 10:18,,2018/10/19 10:01,0:07:26,0:07:26,,00,03,,,,,,
-,-,10,2018/10/19 10:02,4505,まちかど設置端末（店舗から）,0,1101,2,1,,2018/10/19 10:05,2018/10/19 10:09,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454389 139.630904,横浜ランドマークタワー,2018/10/19 10:06,2018/10/19 10:06,2018/10/19 10:13,2018/10/19 10:13,,2018/10/19 10:02,0:04:02,0:04:02,,00,03,,,,,,
★,-,10,2018/10/19 10:05,4506,まちかど設置端末（地図から）,0,839,4,1,,2018/10/19 10:25,2018/10/19 10:43,35.450447 139.635947,みなとみらい線　馬車道駅,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/19 10:34,2018/10/19 10:34,2018/10/19 10:55,2018/10/19 10:55,2018/10/19 10:34,2018/10/19 10:34,0:17:33,0:17:33,,00,00,,,,,,
-,-,10,2018/10/19 10:07,4507,まちかど設置端末（店舗から）,0,1151,1,1,,2018/10/19 10:13,2018/10/19 10:30,35.447541 139.644914,シルク博物館,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/19 10:13,2018/10/19 10:13,2018/10/19 10:27,2018/10/19 10:32,,2018/10/19 10:07,0:17:12,0:17:12,,00,06,,,,,,
-,-,10,2018/10/19 10:12,4508,まちかど設置端末（地図から）,0,393,9,1,,2018/10/19 10:19,2018/10/19 10:30,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/19 10:19,2018/10/19 10:19,2018/10/19 10:27,2018/10/19 10:27,,2018/10/19 10:12,0:10:46,0:10:46,,00,07,,,,,,
-,-,10,2018/10/19 10:13,4509,まちかど設置端末（店舗から）,0,750,1,2,,2018/10/19 10:26,2018/10/19 10:42,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/19 10:24,2018/10/19 10:24,2018/10/19 10:45,2018/10/19 10:45,,2018/10/19 10:13,0:16:28,0:32:56,,01,12,,,,,,
-,-,10,2018/10/19 10:21,4511,乗客アプリ（地図から）,1666,498,9,1,,2018/10/19 10:22,2018/10/19 10:27,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454389 139.630904,横浜ランドマークタワー,2018/10/19 10:27,2018/10/19 10:27,2018/10/19 10:32,2018/10/19 10:32,,2018/10/19 10:21,0:05:40,0:05:40,,00,00,,,,,,
-,-,10,2018/10/19 10:36,4513,まちかど設置端末（地図から）,0,830,5,2,,2018/10/19 10:40,2018/10/19 10:50,35.454389 139.630904,横浜ランドマークタワー,35.445783 139.642958,横浜情報文化センター,2018/10/19 10:39,2018/10/19 10:39,2018/10/19 10:49,2018/10/19 10:51,,2018/10/19 10:36,0:10:55,0:21:50,,00,03,,,,,,
