,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
-,-,10,2018/10/19 10:38,4514,乗客アプリ（地図から）,1666,880,5,1,,2018/10/19 10:40,2018/10/19 10:44,35.454389 139.630904,横浜ランドマークタワー,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/19 10:40,2018/10/19 10:40,2018/10/19 10:43,2018/10/19 10:43,,2018/10/19 10:38,0:04:29,0:04:29,,00,01,,,,,,
-,-,10,2018/10/19 10:41,4515,まちかど設置端末（地図から）,0,841,5,1,,2018/10/19 10:47,2018/10/19 10:53,35.450447 139.635947,みなとみらい線　馬車道駅,35.447541 139.644914,シルク博物館,2018/10/19 10:48,2018/10/19 10:48,2018/10/19 10:58,2018/10/19 10:58,,2018/10/19 10:41,0:06:19,0:06:19,,00,05,,,,,,
-,-,10,2018/10/19 10:43,4516,乗客アプリ（目的地から）,3359,353,10,2,,2018/10/19 10:48,2018/10/19 10:54,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/19 10:48,2018/10/19 10:48,2018/10/19 11:01,2018/10/19 11:01,,2018/10/19 10:43,0:05:36,0:11:12,,00,05,,,,,,
-,-,10,2018/10/19 10:48,4517,まちかど設置端末（店舗から）,0,1120,6,5,,2018/10/19 10:55,2018/10/19 11:03,35.445857 139.647636,ホテルモントレ横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/19 10:57,2018/10/19 10:57,2018/10/19 11:10,2018/10/19 11:10,,2018/10/19 10:48,0:07:52,0:39:20,,00,06,,,,,,
-,-,10,2018/10/19 10:49,4519,乗客アプリ（地図から）,3175,1237,2,1,,2018/10/19 10:54,2018/10/19 11:09,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/19 10:53,2018/10/19 10:53,2018/10/19 11:03,2018/10/19 11:03,,2018/10/19 10:49,0:15:08,0:15:08,,01,04,,,,,,
★,☆,10,2018/10/19 9:03,4495,乗客アプリ（地図から）,3252,1280,4,1,2018/10/19 9:03,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443908 139.635249,イセザキ・モール,2018/10/19 10:05,,2018/10/19 10:18,,2018/10/19 10:03,2018/10/19 10:03,0:00:00,0:00:00,,00,02,,,,,,
★,☆,10,2018/10/19 9:37,4497,乗客アプリ（目的地から）,3091,1257,3,1,2018/10/19 9:37,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/19 10:37,,2018/10/19 10:42,,2018/10/19 10:37,2018/10/19 10:37,0:00:00,0:00:00,,00,00,,,,,,
★,☆,10,2018/10/19 9:39,4498,乗客アプリ（簡単予約）,988,1106,4,1,2018/10/19 9:41,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.453715 139.638133,横浜ワールドポーターズ,2018/10/19 10:14,,2018/10/19 10:22,,2018/10/19 10:09,2018/10/19 10:09,0:00:00,0:00:00,,00,,,,,,,"※24,25行と同一人物と思われるため一番短いものを採用"
-,☆,10,2018/10/19 9:42,4499,乗客アプリ（地図から）,988,674,3,1,2018/10/19 9:42,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/19 10:05,,2018/10/19 10:23,,,2018/10/19 9:42,0:00:00,0:00:00,,00,,,,,2018/10/19 10:00,※10時以前に予約しているため,"※23,25行と同一人物と思われるため一番短いものを採用"
-,☆,10,2018/10/19 10:34,4512,乗客アプリ（地図から）,1657,665,4,1,2018/10/19 10:34,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/19 10:42,,2018/10/19 10:57,,,2018/10/19 10:34,0:00:00,0:00:00,,00,08,,,,,,
-,☆,10,2018/10/19 10:49,4518,まちかど設置端末（店舗から）,0,427,4,1,2018/10/19 10:55,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/10/19 10:52,,2018/10/19 11:01,,,2018/10/19 10:49,0:00:00,0:00:00,,00,06,,,,,,
★,-,11,2018/10/19 10:18,4510,乗客アプリWeb（目的地から）,1946,425,7,1,,2018/10/19 11:14,2018/10/19 11:20,35.447541 139.644914,シルク博物館,35.45435 139.631762,横浜ロイヤルパークホテル,2018/10/19 11:18,2018/10/19 11:18,2018/10/19 11:27,2018/10/19 11:27,2018/10/19 11:18,2018/10/19 11:18,0:05:29,0:05:29,171,00,00,06,05,,,,
-,-,11,2018/10/19 11:00,4521,まちかど設置端末（店舗から）,0,803,4,2,,2018/10/19 11:04,2018/10/19 11:21,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.456605 139.635327,横浜ベイホテル東急,2018/10/19 11:05,2018/10/19 11:05,2018/10/19 11:14,2018/10/19 11:15,,2018/10/19 11:00,0:17:01,0:34:02,,00,04,,,,,,
-,-,11,2018/10/19 11:01,4522,まちかど設置端末（地図から）,0,878,10,1,,2018/10/19 11:06,2018/10/19 11:11,35.447541 139.644914,シルク博物館,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/19 11:06,2018/10/19 11:06,2018/10/19 11:11,2018/10/19 11:11,,2018/10/19 11:01,0:04:46,0:04:46,,00,04,,,,,,
-,-,11,2018/10/19 11:05,4524,乗客アプリ（地図から）,3338,968,2,2,,2018/10/19 11:14,2018/10/19 11:28,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/19 11:13,2018/10/19 11:13,2018/10/19 11:27,2018/10/19 11:32,,2018/10/19 11:05,0:14:18,0:28:36,,00,09,,,,,,
-,-,11,2018/10/19 11:05,4525,乗客アプリ（地図から）,1666,1064,4,1,,2018/10/19 11:17,2018/10/19 11:22,35.450681 139.632446,横浜桜木町ワシントンホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/19 11:15,2018/10/19 11:15,2018/10/19 11:24,2018/10/19 11:25,,2018/10/19 11:05,0:05:11,0:05:11,,01,11,,,,,,
-,-,11,2018/10/19 11:08,4527,まちかど設置端末（地図から）,0,562,8,2,,2018/10/19 11:16,2018/10/19 11:22,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.448676 139.635696,横浜平和プラザホテル,2018/10/19 11:18,2018/10/19 11:18,2018/10/19 11:30,2018/10/19 11:30,,2018/10/19 11:08,0:06:03,0:12:06,,00,08,,,,,,
-,-,11,2018/10/19 11:14,4528,乗客アプリ（目的地から）,3311,1001,2,2,,2018/10/19 11:19,2018/10/19 11:31,35.454389 139.630904,横浜ランドマークタワー,35.443659 139.650847,横浜マリンタワー,2018/10/19 11:20,2018/10/19 11:20,2018/10/19 11:35,2018/10/19 11:35,,2018/10/19 11:14,0:12:03,0:24:06,,00,05,,,,,,
★,-,11,2018/10/19 11:17,4530,まちかど設置端末（店舗から）,0,1120,5,1,,2018/10/19 11:40,2018/10/19 11:44,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/19 11:47,2018/10/19 11:47,2018/10/19 11:54,2018/10/19 11:54,2018/10/19 11:47,2018/10/19 11:47,0:04:43,0:04:43,,00,00,,,,,,
-,-,11,2018/10/19 11:41,4531,乗客アプリ（地図から）,2137,325,10,1,,2018/10/19 11:54,2018/10/19 12:06,35.441441 139.648505,横浜中華街朱雀門,35.443908 139.635249,イセザキ・モール,2018/10/19 11:52,2018/10/19 11:54,2018/10/19 12:10,2018/10/19 12:10,,2018/10/19 11:41,0:11:53,0:11:53,,01,12,,,,,,
-,-,11,2018/10/19 11:49,4533,まちかど設置端末（地図から）,0,446,7,1,,2018/10/19 11:52,2018/10/19 12:05,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443908 139.635249,イセザキ・モール,2018/10/19 11:51,2018/10/19 11:51,2018/10/19 11:59,2018/10/19 12:08,,2018/10/19 11:49,0:13:01,0:13:01,,01,02,,,,,,
-,-,11,2018/10/19 11:51,4535,乗客アプリ（地図から）,3351,1014,9,2,,2018/10/19 12:04,2018/10/19 12:11,35.456605 139.635327,横浜ベイホテル東急,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/19 12:01,2018/10/19 12:01,2018/10/19 12:11,2018/10/19 12:11,,2018/10/19 11:51,0:06:57,0:13:54,,03,13,,,,,,
-,-,11,2018/10/19 11:54,4536,乗客アプリ（地図から）,1620,860,7,1,,2018/10/19 12:00,2018/10/19 12:05,35.447546 139.64358,横浜開港資料館,35.443908 139.635249,イセザキ・モール,2018/10/19 12:00,2018/10/19 12:00,2018/10/19 12:08,2018/10/19 12:08,,2018/10/19 11:54,0:05:14,0:05:14,,00,06,,,,,,
-,-,11,2018/10/19 11:58,4537,乗客アプリ（目的地から）,3181,435,6,2,,2018/10/19 12:01,2018/10/19 12:06,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/19 12:02,2018/10/19 12:02,2018/10/19 12:11,2018/10/19 12:11,,2018/10/19 11:58,0:04:21,0:08:42,,00,02,,,,,,
★,☆,11,2018/10/19 10:58,4520,乗客アプリ（目的地から）,3377,838,10,1,2018/10/19 11:59,,,35.443704 139.651332,ホテルメルパルク横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/19 11:58,,2018/10/19 12:09,,2018/10/19 11:58,2018/10/19 11:58,0:00:00,0:00:00,,00,01,,,,,,
★,☆,11,2018/10/19 10:00,4502,乗客アプリ（目的地から）,988,364,4,1,2018/10/19 10:00,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/19 11:00,,2018/10/19 11:11,,2018/10/19 11:00,2018/10/19 11:00,0:00:00,0:00:00,,00,00,,,,,,"※23,24行と同一人物と思われるため一番短いものを採用"
-,☆,11,2018/10/19 11:02,4523,乗客アプリ（目的地から）,3311,702,4,2,2018/10/19 11:13,,,35.45435 139.631762,横浜ロイヤルパークホテル,35.443659 139.650847,横浜マリンタワー,2018/10/19 11:11,,2018/10/19 11:28,,,2018/10/19 11:02,0:00:00,0:00:00,,00,11,,,,,,
-,☆,11,2018/10/19 11:06,4526,まちかど設置端末（店舗から）,0,901,5,1,2018/10/19 11:16,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/10/19 11:14,,2018/10/19 11:23,,,2018/10/19 11:06,0:00:00,0:00:00,,00,10,,,,,,
★,-,12,2018/10/19 11:47,4532,乗客アプリ（地図から）,3135,1259,2,2,,2018/10/19 12:42,2018/10/19 13:14,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443073 139.651914,横浜人形の家,2018/10/19 12:47,2018/10/19 12:47,2018/10/19 13:04,2018/10/19 13:04,2018/10/19 12:47,2018/10/19 12:47,0:31:23,1:02:46,303,00,00,04,04,,,,
★,-,12,2018/10/19 11:51,4534,乗客アプリ（目的地から）,3380,1119,10,4,,2018/10/19 12:47,2018/10/19 12:57,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.445783 139.642958,横浜情報文化センター,2018/10/19 12:51,2018/10/19 12:51,2018/10/19 13:01,2018/10/19 13:08,2018/10/19 12:51,2018/10/19 12:51,0:10:07,0:40:28,,00,00,,,,,,
-,-,12,2018/10/19 12:08,4538,乗客アプリ（地図から）,3377,870,6,1,,2018/10/19 12:13,2018/10/19 12:18,35.443704 139.651332,ホテルメルパルク横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/19 12:14,2018/10/19 12:14,2018/10/19 12:25,2018/10/19 12:25,,2018/10/19 12:08,0:04:47,0:04:47,,00,04,,,,,,
-,-,12,2018/10/19 12:14,4539,まちかど設置端末（地図から）,0,1173,7,2,,2018/10/19 12:16,2018/10/19 12:23,35.448676 139.635696,横浜平和プラザホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/19 12:15,2018/10/19 12:15,2018/10/19 12:28,2018/10/19 12:28,,2018/10/19 12:14,0:06:49,0:13:38,,00,02,,,,,,
-,-,12,2018/10/19 12:21,4540,まちかど設置端末（地図から）,0,950,8,1,,2018/10/19 12:24,2018/10/19 12:27,35.445857 139.647636,ホテルモントレ横浜,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/19 12:25,2018/10/19 12:25,2018/10/19 12:30,2018/10/19 12:30,,2018/10/19 12:21,0:02:32,0:02:32,,00,02,,,,,,
-,-,12,2018/10/19 12:26,4541,乗客アプリ（目的地から）,2370,596,7,2,,2018/10/19 12:29,2018/10/19 12:34,35.452963 139.642093,横浜赤レンガ倉庫,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/19 12:30,2018/10/19 12:30,2018/10/19 12:39,2018/10/19 12:39,,2018/10/19 12:26,0:04:19,0:08:38,,00,02,,,,,,
-,-,12,2018/10/19 12:35,4543,まちかど設置端末（地図から）,0,957,8,1,,2018/10/19 12:40,2018/10/19 12:49,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/10/19 12:40,2018/10/19 12:40,2018/10/19 12:48,2018/10/19 12:48,,2018/10/19 12:35,0:09:37,0:09:37,,00,04,,,,,,
-,-,12,2018/10/19 12:38,4544,まちかど設置端末（地図から）,0,764,8,1,,2018/10/19 12:43,2018/10/19 12:54,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.453715 139.638133,横浜ワールドポーターズ,2018/10/19 12:40,2018/10/19 12:43,2018/10/19 12:53,2018/10/19 12:56,,2018/10/19 12:38,0:11:13,0:11:13,,03,05,,,,,,
-,-,12,2018/10/19 12:41,4545,まちかど設置端末（店舗から）,0,1153,8,5,,2018/10/19 12:58,2018/10/19 13:06,35.452963 139.642093,横浜赤レンガ倉庫,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/19 13:00,2018/10/19 13:00,2018/10/19 13:13,2018/10/19 13:13,,2018/10/19 12:41,0:08:10,0:40:50,,00,17,,,,,,
-,-,12,2018/10/19 12:41,4546,まちかど設置端末（地図から）,0,706,10,1,,2018/10/19 12:46,2018/10/19 12:53,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/19 12:45,2018/10/19 12:45,2018/10/19 13:00,2018/10/19 13:00,,2018/10/19 12:41,0:06:37,0:06:37,,01,04,,,,,,
-,-,12,2018/10/19 12:42,4548,まちかど設置端末（店舗から）,0,424,9,1,,2018/10/19 12:44,2018/10/19 12:48,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.456605 139.635327,横浜ベイホテル東急,2018/10/19 12:44,2018/10/19 12:44,2018/10/19 12:54,2018/10/19 12:54,,2018/10/19 12:42,0:03:53,0:03:53,,00,02,,,,,,
-,-,12,2018/10/19 12:45,4549,まちかど設置端末（店舗から）,0,324,2,2,,2018/10/19 12:49,2018/10/19 13:04,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/19 12:49,2018/10/19 12:49,2018/10/19 13:02,2018/10/19 13:02,,2018/10/19 12:45,0:15:19,0:30:38,,00,04,,,,,,
-,-,12,2018/10/19 12:47,4550,乗客アプリ（目的地から）,3311,367,4,2,,2018/10/19 12:51,2018/10/19 13:04,35.445857 139.647636,ホテルモントレ横浜,35.45435 139.631762,横浜ロイヤルパークホテル,2018/10/19 12:51,2018/10/19 12:53,2018/10/19 13:04,2018/10/19 13:08,,2018/10/19 12:47,0:12:56,0:25:52,,00,04,,,,,,
-,-,12,2018/10/19 12:49,4551,まちかど設置端末（店舗から）,0,1226,4,2,,2018/10/19 12:56,2018/10/19 13:07,35.445783 139.642958,横浜情報文化センター,35.456605 139.635327,横浜ベイホテル東急,2018/10/19 12:58,2018/10/19 12:58,2018/10/19 13:11,2018/10/19 13:11,,2018/10/19 12:49,0:10:10,0:20:20,,00,07,,,,,,
-,-,12,2018/10/19 12:51,4552,乗客アプリ（地図から）,1482,705,3,1,,2018/10/19 12:55,2018/10/19 13:00,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/19 12:56,2018/10/19 12:56,2018/10/19 13:06,2018/10/19 13:06,,2018/10/19 12:51,0:05:27,0:05:27,,00,04,,,,,,
-,-,12,2018/10/19 12:53,4553,乗客アプリ（地図から）,1756,772,2,1,,2018/10/19 12:59,2018/10/19 13:15,35.445783 139.642958,横浜情報文化センター,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/19 12:59,2018/10/19 12:59,2018/10/19 13:10,2018/10/19 13:10,,2018/10/19 12:53,0:16:35,0:16:35,,00,05,,,,,,
-,☆,12,2018/10/19 12:35,4542,まちかど設置端末（店舗から）,0,1149,1,1,2018/10/19 12:39,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/19 12:37,,2018/10/19 12:44,,,2018/10/19 12:35,0:00:00,0:00:00,,00,04,,,,,,
-,-,13,2018/10/19 13:03,4554,まちかど設置端末（地図から）,0,665,9,1,,2018/10/19 13:06,2018/10/19 13:15,35.448676 139.635696,横浜平和プラザホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/19 13:06,2018/10/19 13:06,2018/10/19 13:17,2018/10/19 13:17,,2018/10/19 13:03,0:08:22,0:08:22,383,00,03,05,05,,,,
★,-,13,2018/10/19 13:03,4555,乗客アプリ（目的地から）,3378,962,2,1,,2018/10/19 13:21,2018/10/19 13:34,35.441441 139.648505,横浜中華街朱雀門,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/19 13:33,2018/10/19 13:33,2018/10/19 13:46,2018/10/19 13:46,2018/10/19 13:33,2018/10/19 13:33,0:12:39,0:12:39,,00,00,,,,,,
-,-,13,2018/10/19 13:04,4556,まちかど設置端末（地図から）,0,1273,10,1,,2018/10/19 13:09,2018/10/19 13:22,35.453715 139.638133,横浜ワールドポーターズ,35.443908 139.635249,イセザキ・モール,2018/10/19 13:07,2018/10/19 13:07,2018/10/19 13:18,2018/10/19 13:26,,2018/10/19 13:04,0:13:03,0:13:03,,02,05,,,,,,
-,-,13,2018/10/19 13:09,4557,まちかど設置端末（店舗から）,0,413,10,3,,2018/10/19 13:14,2018/10/19 13:29,35.45435 139.631762,横浜ロイヤルパークホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/19 13:16,2018/10/19 13:16,2018/10/19 13:35,2018/10/19 13:35,,2018/10/19 13:09,0:15:12,0:45:36,,00,05,,,,,,
-,-,13,2018/10/19 13:09,4558,乗客アプリ（地図から）,1482,775,4,1,,2018/10/19 13:11,2018/10/19 13:20,35.452963 139.642093,横浜赤レンガ倉庫,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/10/19 13:13,2018/10/19 13:13,2018/10/19 13:19,2018/10/19 13:23,,2018/10/19 13:09,0:09:07,0:09:07,,00,02,,,,,,
-,-,13,2018/10/19 13:10,4559,乗客アプリ（地図から）,3380,813,4,3,,2018/10/19 13:17,2018/10/19 13:27,35.447546 139.64358,横浜開港資料館,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/10/19 13:17,2018/10/19 13:17,2018/10/19 13:29,2018/10/19 13:29,,2018/10/19 13:10,0:09:45,0:29:15,,00,07,,,,,,
-,-,13,2018/10/19 13:14,4560,まちかど設置端末（地図から）,0,1229,3,1,,2018/10/19 13:20,2018/10/19 13:37,35.445857 139.647636,ホテルモントレ横浜,35.454389 139.630904,横浜ランドマークタワー,2018/10/19 13:20,2018/10/19 13:20,2018/10/19 13:33,2018/10/19 13:39,,2018/10/19 13:14,0:16:32,0:16:32,,00,06,,,,,,
-,-,13,2018/10/19 13:17,4561,乗客アプリ（目的地から）,2584,1006,3,2,,2018/10/19 13:25,2018/10/19 13:42,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/19 13:25,2018/10/19 13:25,2018/10/19 13:44,2018/10/19 13:44,,2018/10/19 13:17,0:16:48,0:33:36,,00,07,,,,,,
-,-,13,2018/10/19 13:18,4562,乗客アプリ（目的地から）,3377,919,1,1,,2018/10/19 13:20,2018/10/19 13:27,35.452963 139.642093,横浜赤レンガ倉庫,35.443704 139.651332,ホテルメルパルク横浜,2018/10/19 13:21,2018/10/19 13:21,2018/10/19 13:30,2018/10/19 13:30,,2018/10/19 13:18,0:06:58,0:06:58,,00,01,,,,,,
-,-,13,2018/10/19 13:19,4563,まちかど設置端末（店舗から）,0,503,5,1,,2018/10/19 13:29,2018/10/19 13:35,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.454389 139.630904,横浜ランドマークタワー,2018/10/19 13:30,2018/10/19 13:30,2018/10/19 13:35,2018/10/19 13:35,,2018/10/19 13:19,0:05:52,0:05:52,,00,10,,,,,,
-,-,13,2018/10/19 13:22,4564,乗客アプリ（地図から）,3359,1246,2,2,,2018/10/19 13:25,2018/10/19 13:41,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.456605 139.635327,横浜ベイホテル東急,2018/10/19 13:25,2018/10/19 13:25,2018/10/19 13:42,2018/10/19 13:42,,2018/10/19 13:22,0:15:44,0:31:28,,00,03,,,,,,
-,-,13,2018/10/19 13:23,4565,乗客アプリ（地図から）,2526,535,4,1,,2018/10/19 13:32,2018/10/19 13:38,35.454389 139.630904,横浜ランドマークタワー,35.445783 139.642958,横浜情報文化センター,2018/10/19 13:36,2018/10/19 13:36,2018/10/19 13:44,2018/10/19 13:44,,2018/10/19 13:23,0:05:36,0:05:36,,00,09,,,,,,
