,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
-,-,10,2018/10/20 10:41,4757,乗客アプリ（目的地から）,2975,383,8,3,,2018/10/20 10:45,2018/10/20 10:53,35.450681 139.632446,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/10/20 10:51,2018/10/20 10:51,2018/10/20 11:00,2018/10/20 11:00,,2018/10/20 10:41,0:08:00,0:24:00,,00,03,,,,,
-,-,10,2018/10/20 10:48,4758,乗客アプリ（地図から）,3035,465,7,3,,2018/10/20 10:57,2018/10/20 11:01,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/20 10:56,2018/10/20 10:56,2018/10/20 11:03,2018/10/20 11:03,,2018/10/20 10:48,0:03:59,0:11:57,,01,08,,,,,
-,-,10,2018/10/20 10:50,4760,乗客アプリ（目的地から）,3485,877,3,3,,2018/10/20 11:01,2018/10/20 11:08,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443659 139.650847,横浜マリンタワー,2018/10/20 10:58,2018/10/20 10:58,2018/10/20 11:11,2018/10/20 11:11,,2018/10/20 10:50,0:07:37,0:22:51,,02,10,,,,,
-,-,10,2018/10/20 10:50,4761,乗客アプリ（地図から）,1340,990,2,1,,2018/10/20 11:01,2018/10/20 11:08,35.454389 139.630904,横浜ランドマークタワー,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/20 11:01,2018/10/20 11:01,2018/10/20 11:09,2018/10/20 11:12,,2018/10/20 10:50,0:06:50,0:06:50,,00,10,,,,,
-,-,10,2018/10/20 10:57,4763,乗客アプリ（目的地から）,1964,811,4,3,,2018/10/20 11:00,2018/10/20 11:08,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/20 11:00,2018/10/20 11:00,2018/10/20 11:10,2018/10/20 11:15,,2018/10/20 10:57,0:08:20,0:25:00,,00,03,,,,,
-,-,10,2018/10/20 10:57,4764,まちかど設置端末（店舗から）,0,1048,1,4,,2018/10/20 11:08,2018/10/20 11:18,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443659 139.650847,横浜マリンタワー,2018/10/20 10:59,2018/10/20 10:59,2018/10/20 11:10,2018/10/20 11:10,,2018/10/20 10:57,0:09:49,0:39:16,,08,11,,,,,
-,-,10,2018/10/20 10:59,4766,まちかど設置端末（地図から）,0,1074,8,2,,2018/10/20 11:05,2018/10/20 11:12,35.445857 139.647636,ホテルモントレ横浜,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/20 11:03,2018/10/20 11:04,2018/10/20 11:13,2018/10/20 11:18,,2018/10/20 10:59,0:06:34,0:13:08,,02,05,,,,,
★,☆,10,2018/10/20 9:33,4735,乗客アプリ（目的地から）,3393,1098,1,1,2018/10/20 9:33,,,35.445783 139.642958,横浜情報文化センター,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/20 10:11,,2018/10/20 10:19,,2018/10/20 10:03,2018/10/20 10:03,0:00:00,0:00:00,,00,08,,,,,
-,☆,10,2018/10/20 9:35,4736,乗客アプリ（地図から）,3475,1104,1,1,2018/10/20 9:35,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/10/20 10:11,,2018/10/20 10:17,,,2018/10/20 9:35,0:00:00,0:00:00,,00,11,,,,2018/10/20 10:00,※10時以前に予約しているため
-,☆,10,2018/10/20 10:11,4738,乗客アプリ（目的地から）,1358,890,9,1,2018/10/20 10:15,2018/10/20 10:12,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/20 10:15,2018/10/20 10:15,2018/10/20 10:23,,,2018/10/20 10:11,,,,00,03,,,,,
-,☆,10,2018/10/20 10:20,4744,乗客アプリ（地図から）,2737,778,8,1,2018/10/20 10:20,,,35.443908 139.635249,イセザキ・モール,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/20 10:25,,2018/10/20 10:37,,,2018/10/20 10:20,0:00:00,0:00:00,,00,05,,,,,
★,☆,10,2018/10/20 10:20,4745,乗客アプリ（目的地から）,3470,750,9,2,2018/10/20 11:10,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/20 10:50,,2018/10/20 11:03,,2018/10/20 10:50,2018/10/20 10:50,0:00:00,0:00:00,,00,20,,,,,
★,☆,10,2018/10/20 10:21,4747,乗客アプリ（地図から）,1686,566,3,3,2018/10/20 10:50,2018/10/20 10:45,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/20 10:51,2018/10/20 10:51,2018/10/20 11:11,,2018/10/20 10:51,2018/10/20 10:51,,,,00,00,,,,,
-,☆,10,2018/10/20 10:22,4750,まちかど設置端末（地図から）,0,1280,1,1,2018/10/20 10:27,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443073 139.651914,横浜人形の家,2018/10/20 10:29,,2018/10/20 10:46,,,2018/10/20 10:22,0:00:00,0:00:00,,00,06,,,,,
-,☆,10,2018/10/20 10:49,4759,乗客アプリ（目的地から）,3485,791,4,1,2018/10/20 10:49,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443659 139.650847,横浜マリンタワー,2018/10/20 10:53,,2018/10/20 11:04,,,2018/10/20 10:49,0:00:00,0:00:00,,00,03,,,,,
-,☆,10,2018/10/20 10:52,4762,乗客アプリ（地図から）,1686,714,1,1,2018/10/20 10:56,,,35.443073 139.651914,横浜人形の家,35.454389 139.630904,横浜ランドマークタワー,2018/10/20 11:00,,2018/10/20 11:16,,,2018/10/20 10:52,0:00:00,0:00:00,,00,,,,,※33行と同一人物と思われるため一番短いものを採用,
-,☆,10,2018/10/20 10:59,4765,乗客アプリ（地図から）,1686,1029,4,1,2018/10/20 11:00,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/20 11:02,,2018/10/20 11:23,,,2018/10/20 10:59,0:00:00,0:00:00,,00,02,,,,※32行と同一人物と思われるため一番短いものを採用,
★,-,11,2018/10/20 11:00,4767,乗客アプリ（地図から）,2092,1072,10,3,,2018/10/20 11:27,2018/10/20 11:36,35.445857 139.647636,ホテルモントレ横浜,35.456605 139.635327,横浜ベイホテル東急,2018/10/20 11:30,2018/10/20 11:30,2018/10/20 11:45,2018/10/20 11:48,2018/10/20 11:30,2018/10/20 11:30,0:09:30,0:28:30,384,00,00,05,04,,,
-,-,11,2018/10/20 11:00,4768,乗客アプリ（地図から）,1686,1139,4,2,,2018/10/20 11:01,2018/10/20 11:19,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/20 11:06,2018/10/20 11:06,2018/10/20 11:28,2018/10/20 11:28,,2018/10/20 11:00,0:18:19,0:36:38,,00,01,,,,,
-,-,11,2018/10/20 11:01,4769,乗客アプリ（地図から）,1666,834,2,1,,2018/10/20 11:01,2018/10/20 11:08,35.454389 139.630904,横浜ランドマークタワー,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/20 11:04,2018/10/20 11:04,2018/10/20 11:11,2018/10/20 11:11,,2018/10/20 11:01,0:06:37,0:06:37,,00,00,,,,,
-,-,11,2018/10/20 11:01,4770,乗客アプリ（目的地から）,3481,1114,8,2,,2018/10/20 11:06,2018/10/20 11:16,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.45435 139.631762,横浜ロイヤルパークホテル,2018/10/20 11:07,2018/10/20 11:07,2018/10/20 11:27,2018/10/20 11:27,,2018/10/20 11:01,0:10:05,0:20:10,,00,04,,,,,
★,-,11,2018/10/20 11:05,4772,乗客アプリ（目的地から）,2856,862,2,1,,2018/10/20 11:34,2018/10/20 11:42,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/20 11:35,2018/10/20 11:35,2018/10/20 11:44,2018/10/20 11:44,2018/10/20 11:35,2018/10/20 11:35,0:07:52,0:07:52,,00,00,,,,,
-,-,11,2018/10/20 11:08,4773,まちかど設置端末（地図から）,0,746,6,2,,2018/10/20 11:10,2018/10/20 11:26,35.452963 139.642093,横浜赤レンガ倉庫,35.456605 139.635327,横浜ベイホテル東急,2018/10/20 11:10,2018/10/20 11:10,2018/10/20 11:21,2018/10/20 11:26,,2018/10/20 11:08,0:16:14,0:32:28,,00,02,,,,,
-,-,11,2018/10/20 11:10,4775,乗客アプリ（目的地から）,3382,498,7,2,,2018/10/20 11:16,2018/10/20 11:20,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443908 139.635249,イセザキ・モール,2018/10/20 11:16,2018/10/20 11:16,2018/10/20 11:22,2018/10/20 11:22,,2018/10/20 11:10,0:03:29,0:06:58,,00,06,,,,,
-,-,11,2018/10/20 11:10,4776,乗客アプリ（目的地から）,3470,1067,6,2,,2018/10/20 11:19,2018/10/20 11:37,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/20 11:19,2018/10/20 11:19,2018/10/20 11:38,2018/10/20 11:38,,2018/10/20 11:10,0:17:17,0:34:34,,00,08,,,,,
-,-,11,2018/10/20 11:17,4777,まちかど設置端末（地図から）,0,487,8,2,,2018/10/20 11:20,2018/10/20 11:31,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.45435 139.631762,横浜ロイヤルパークホテル,2018/10/20 11:22,2018/10/20 11:22,2018/10/20 11:28,2018/10/20 11:28,,2018/10/20 11:17,0:11:18,0:22:36,,00,02,,,,,
-,-,11,2018/10/20 11:22,4779,まちかど設置端末（地図から）,0,539,8,5,,2018/10/20 11:34,2018/10/20 11:42,35.456605 139.635327,横浜ベイホテル東急,35.441441 139.648505,横浜中華街朱雀門,2018/10/20 11:32,2018/10/20 11:32,2018/10/20 11:54,2018/10/20 11:54,,2018/10/20 11:22,0:08:26,0:42:10,,02,12,,,,,
-,-,11,2018/10/20 11:22,4780,まちかど設置端末（店舗から）,0,664,6,2,,2018/10/20 11:24,2018/10/20 11:36,35.45435 139.631762,横浜ロイヤルパークホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/20 11:25,2018/10/20 11:25,2018/10/20 11:40,2018/10/20 11:40,,2018/10/20 11:22,0:12:00,0:24:00,,00,01,,,,,
-,-,11,2018/10/20 11:23,4781,乗客アプリ（地図から）,1666,922,5,1,,2018/10/20 11:30,2018/10/20 11:36,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/20 11:33,2018/10/20 11:33,2018/10/20 11:43,2018/10/20 11:43,,2018/10/20 11:23,0:06:15,0:06:15,,00,06,,,,,
-,-,11,2018/10/20 11:25,4782,乗客アプリ（目的地から）,1225,1138,7,1,,2018/10/20 11:36,2018/10/20 11:42,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.453715 139.638133,横浜ワールドポーターズ,2018/10/20 11:36,2018/10/20 11:36,2018/10/20 11:46,2018/10/20 11:46,,2018/10/20 11:25,0:05:41,0:05:41,,00,11,,,,,
-,-,11,2018/10/20 11:37,4786,まちかど設置端末（店舗から）,0,986,5,2,,2018/10/20 11:42,2018/10/20 11:54,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/20 11:44,2018/10/20 11:44,2018/10/20 11:57,2018/10/20 11:57,,2018/10/20 11:37,0:11:38,0:23:16,,00,05,,,,,
-,-,11,2018/10/20 11:50,4787,まちかど設置端末（地図から）,0,1000,8,4,,2018/10/20 11:54,2018/10/20 12:10,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/20 11:56,2018/10/20 11:56,2018/10/20 12:15,2018/10/20 12:15,,2018/10/20 11:50,0:15:19,1:01:16,,00,03,,,,,
-,-,11,2018/10/20 11:53,4789,まちかど設置端末（店舗から）,0,902,5,2,,2018/10/20 11:57,2018/10/20 11:59,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/20 11:57,2018/10/20 11:57,2018/10/20 12:01,2018/10/20 12:01,,2018/10/20 11:53,0:01:57,0:03:54,,00,03,,,,,
-,-,11,2018/10/20 11:56,4791,乗客アプリ（目的地から）,1225,441,6,1,,2018/10/20 11:59,2018/10/20 12:06,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/20 12:00,2018/10/20 12:00,2018/10/20 12:10,2018/10/20 12:10,,2018/10/20 11:56,0:07:06,0:07:06,,00,03,,,,,
-,-,11,2018/10/20 11:57,4792,まちかど設置端末（店舗から）,0,429,8,2,,2018/10/20 12:00,2018/10/20 12:07,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/20 12:01,2018/10/20 12:01,2018/10/20 12:11,2018/10/20 12:11,,2018/10/20 11:57,0:07:14,0:14:28,,00,02,,,,,
★,☆,11,2018/10/20 11:02,4771,乗客アプリ（目的地から）,2215,619,10,1,2018/10/20 11:03,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.453715 139.638133,横浜ワールドポーターズ,2018/10/20 11:41,,2018/10/20 11:53,,2018/10/20 11:32,2018/10/20 11:32,0:00:00,0:00:00,,00,08,,,,,
-,☆,11,2018/10/20 11:08,4774,乗客アプリ（地図から）,1756,783,3,1,2018/10/20 11:08,,,35.441002 139.650809,横浜元町ショッピングストリート,35.445783 139.642958,横浜情報文化センター,2018/10/20 11:16,,2018/10/20 11:24,,,2018/10/20 11:08,0:00:00,0:00:00,,00,07,,,,,
-,☆,11,2018/10/20 11:21,4778,乗客アプリ（目的地から）,2215,966,8,1,2018/10/20 11:27,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.453715 139.638133,横浜ワールドポーターズ,2018/10/20 11:25,,2018/10/20 11:37,,,2018/10/20 11:21,0:00:00,0:00:00,,00,06,,,,,
-,☆,11,2018/10/20 11:26,4783,乗客アプリ（目的地から）,3393,534,4,1,2018/10/20 11:26,,,35.452963 139.642093,横浜赤レンガ倉庫,35.453715 139.638133,横浜ワールドポーターズ,2018/10/20 11:32,,2018/10/20 11:37,,,2018/10/20 11:26,0:00:00,0:00:00,,00,06,,,,,
-,☆,11,2018/10/20 11:54,4790,まちかど設置端末（地図から）,0,1106,5,1,2018/10/20 12:05,,,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.447541 139.644914,シルク博物館,2018/10/20 12:04,,2018/10/20 12:10,,,2018/10/20 11:54,0:00:00,0:00:00,,00,11,,,,,
★,-,12,2018/10/20 11:30,4784,乗客アプリ（目的地から）,3393,1205,7,1,,2018/10/20 12:02,2018/10/20 12:02,35.453715 139.638133,横浜ワールドポーターズ,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/20 12:00,2018/10/20 12:00,2018/10/20 12:11,2018/10/20 12:17,2018/10/20 12:00,2018/10/20 12:00,0:00:13,0:00:13,533,02,02,04,04,,,
