,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,
★,-,10,2018/10/9 9:30,1780,乗客アプリ（簡単予約）,113,982,1,1,,2018/10/9 10:05,2018/10/9 10:29,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/9 10:05,2018/10/9 10:05,2018/10/9 10:28,2018/10/9 10:28,2018/10/9 10:00,2018/10/9 10:00,0:24:16,0:24:16,582,00,04,11,06,,
-,-,10,2018/10/9 9:55,1785,乗客アプリ（地図から）,2052,1046,3,4,,2018/10/9 10:08,2018/10/9 10:16,35.443704 139.651332,ホテルメルパルク横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/9 10:22,2018/10/9 10:22,2018/10/9 10:43,2018/10/9 10:43,,2018/10/9 9:55,0:08:09,0:32:36,,00,12,,,,
★,-,10,2018/10/9 10:02,1788,街角設置端末（地図から）,0,1031,8,1,,2018/10/9 10:14,2018/10/9 10:41,35.447541 139.644914,シルク博物館,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/9 10:20,2018/10/9 10:20,2018/10/9 10:37,2018/10/9 10:46,2018/10/9 10:20,2018/10/9 10:20,0:27:26,0:27:26,,00,00,,,,
★,-,10,2018/10/9 10:04,1789,街角設置端末（地図から）,0,865,8,4,,2018/10/9 10:08,2018/10/9 10:20,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.454389 139.630904,横浜ランドマークタワー,2018/10/9 10:15,2018/10/9 10:15,2018/10/9 10:37,2018/10/9 10:37,2018/10/9 10:15,2018/10/9 10:15,0:12:29,0:49:56,,00,00,,,,
-,-,10,2018/10/9 10:07,1790,乗客アプリ（目的地から）,1358,412,1,1,,2018/10/9 10:11,2018/10/9 10:19,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/9 10:11,2018/10/9 10:11,2018/10/9 10:22,2018/10/9 10:22,,2018/10/9 10:07,0:07:13,0:07:13,,00,03,,,,
-,-,10,2018/10/9 10:12,1792,街角設置端末（店舗から）,0,1153,5,2,,2018/10/9 10:14,2018/10/9 10:14,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/10/9 10:14,2018/10/9 10:14,2018/10/9 10:26,2018/10/9 10:26,,2018/10/9 10:12,0:00:09,0:00:18,,00,01,,,,
-,-,10,2018/10/9 10:15,1793,街角設置端末（地図から）,0,751,6,1,,2018/10/9 10:24,2018/10/9 10:33,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/9 10:20,2018/10/9 10:28,2018/10/9 10:32,2018/10/9 10:42,,2018/10/9 10:15,0:08:42,0:08:42,,03,09,,,,
-,-,10,2018/10/9 10:15,1794,街角設置端末（店舗から）,0,577,3,2,,2018/10/9 10:18,2018/10/9 10:27,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/10/9 10:20,2018/10/9 10:20,2018/10/9 10:38,2018/10/9 10:38,,2018/10/9 10:15,0:09:13,0:18:26,,00,03,,,,
★,-,10,2018/10/9 10:18,1795,乗客アプリ（簡単予約）,2172,1158,6,1,,2018/10/9 10:24,2018/10/9 10:28,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454389 139.630904,横浜ランドマークタワー,2018/10/9 10:23,2018/10/9 10:28,2018/10/9 10:31,2018/10/9 10:36,2018/10/9 10:19,2018/10/9 10:19,0:03:59,0:03:59,,00,05,,,,
★,-,10,2018/10/9 10:19,1796,街角設置端末（店舗から）,0,467,8,2,,2018/10/9 10:36,2018/10/9 10:45,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/9 10:35,2018/10/9 10:35,2018/10/9 10:56,2018/10/9 10:56,2018/10/9 10:35,2018/10/9 10:35,0:08:57,0:17:54,,01,01,,,,
