,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,計算用ダミー,,
-,-,12,2018/11/15 12:59,012-264-RED 012-265-RED,14285,乗客アプリ（目的地から）,2678,48,8,2,,2018/11/15 13:00,2018/11/15 13:13,35.454389 139.630904,横浜ランドマークタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/15 13:01,2018/11/15 13:01,2018/11/15 13:18,2018/11/15 13:18,,2018/11/15 12:59,0:13:22,0:26:44,,00,01,,,2018/11/15 12:59,2018/11/15 13:13,43419.540972222243419.5506944444,肯定的,,,,
-,-,12,2018/11/15 12:59,062-783-BANANA 062-782-BANANA,14286,乗客アプリ（地図から）,5641,118,3,2,,2018/11/15 13:15,2018/11/15 13:25,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/15 13:21,2018/11/15 13:21,2018/11/15 13:40,2018/11/15 13:40,,2018/11/15 12:59,0:10:29,0:20:58,,00,15,,,2018/11/15 12:59,2018/11/15 13:25,43419.540972222243419.5590277778,#N/A,,,,
★,☆,12,2018/11/15 11:58,007-373-BLUE 019-637-RED,14244,乗客アプリ（簡単予約）,3203,457,9,2,2018/11/15 12:01,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/15 12:08,,2018/11/15 12:25,,2018/11/15 12:08,2018/11/15 12:08,0:00:00,0:00:00,,00,00,,,2018/11/15 11:58,1900/1/0 0:00,43419.49861111110,#N/A,,,※同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/15 12:01,069-446-BANANA 069-445-BANANA,14247,乗客アプリ（地図から）,6200,857,13,2,2018/11/15 12:01,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.456605 139.635327,横浜ベイホテル東急,2018/11/15 12:22,,2018/11/15 12:43,,,2018/11/15 12:01,0:00:00,0:00:00,,00,,,,2018/11/15 12:01,1900/1/0 0:00,43419.50069444440,#N/A,,,※105行と同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/15 12:01,007-373-BLUE,14248,乗客アプリ（目的地から）,3203,957,2,1,2018/11/15 12:01,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/15 12:08,,2018/11/15 12:21,,,2018/11/15 12:01,0:00:00,0:00:00,,00,,,,2018/11/15 12:01,1900/1/0 0:00,43419.50069444440,#N/A,,,※同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/15 12:02,069-446-BANANA 069-445-BANANA,14251,乗客アプリ（地図から）,6200,871,11,2,2018/11/15 12:02,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.456605 139.635327,横浜ベイホテル東急,2018/11/15 12:16,,2018/11/15 12:39,,,2018/11/15 12:02,0:00:00,0:00:00,,00,14,,,2018/11/15 12:02,1900/1/0 0:00,43419.50138888890,#N/A,,,※103行と同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/15 12:02,007-373-BLUE 019-637-RED,14252,乗客アプリ（簡単予約）,3203,300,2,2,2018/11/15 12:03,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/15 12:09,,2018/11/15 12:23,,,2018/11/15 12:02,0:00:00,0:00:00,,00,,,,2018/11/15 12:02,1900/1/0 0:00,43419.50138888890,#N/A,,,※同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/15 12:05,007-373-BLUE 019-637-RED,14253,乗客アプリ（簡単予約）,3203,398,2,2,2018/11/15 12:05,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/15 12:08,,2018/11/15 12:22,,,2018/11/15 12:05,0:00:00,0:00:00,,00,,,,2018/11/15 12:05,1900/1/0 0:00,43419.50347222220,#N/A,,,※同一人物と思われるため一番短い待ち時間を採用,
★,☆,12,2018/11/15 12:10,068-313-BANANA,14256,乗客アプリ（地図から）,4719,736,2,1,2018/11/15 12:16,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/15 12:25,,2018/11/15 12:41,,2018/11/15 12:20,2018/11/15 12:20,0:00:00,0:00:00,,00,04,,,2018/11/15 12:10,1900/1/0 0:00,43419.50694444440,#N/A,,,,
★,☆,12,2018/11/15 12:36,031-291-YELLOW 030-505-YELLOW,14269,乗客アプリ（目的地から）,6266,657,4,2,2018/11/15 12:45,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447541 139.644914,シルク博物館,2018/11/15 12:45,,2018/11/15 13:01,,2018/11/15 12:45,2018/11/15 12:45,0:00:00,0:00:00,,00,00,,,2018/11/15 12:36,1900/1/0 0:00,43419.5250,#N/A,,,,
-,☆,12,2018/11/15 12:39,102-606-SNOW,14271,乗客アプリ（地図から）,3598,3,5,1,2018/11/15 12:47,,,35.445857 139.647636,ホテルモントレ横浜,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/15 12:47,,2018/11/15 12:59,,,2018/11/15 12:39,0:00:00,0:00:00,,00,,,,2018/11/15 12:39,1900/1/0 0:00,43419.52708333330,#N/A,,,※121行と同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/15 12:47,102-606-SNOW,14275,乗客アプリ（地図から）,3598,280,5,1,2018/11/15 12:48,,,35.445857 139.647636,ホテルモントレ横浜,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/15 12:49,,2018/11/15 13:01,,,2018/11/15 12:47,0:00:00,0:00:00,,00,02,,,2018/11/15 12:47,1900/1/0 0:00,43419.53263888890,#N/A,,,※120行と同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/15 12:51,028-595-GREEN,14278,まちかど端末（店舗から）,0,376,6,1,2018/11/15 12:51,,,35.447541 139.644914,シルク博物館,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/15 13:02,,2018/11/15 13:18,,,2018/11/15 12:51,0:00:00,0:00:00,,00,11,,,2018/11/15 12:51,1900/1/0 0:00,43419.53541666670,#N/A,,,,
★,-,13,2018/11/15 12:51,102-669-SNOW 102-670-SNOW 102-671-SNOW,14277,乗客アプリ（地図から）,4592,475,7,3,,2018/11/15 13:48,2018/11/15 13:55,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/15 13:51,2018/11/15 13:51,2018/11/15 14:05,2018/11/15 14:05,2018/11/15 13:51,2018/11/15 13:51,0:06:48,0:20:24,360,00,00,03,03,2018/11/15 12:51,2018/11/15 13:55,43419.535416666743419.5798611111,#N/A,,,,
-,-,13,2018/11/15 13:02,112-285-SUN 112-292-SUN,14287,乗客アプリ（地図から）,4087,116,2,2,,2018/11/15 13:08,2018/11/15 13:18,35.44291 139.650404,元町・中華街駅（みなとみらい線）,35.456605 139.635327,横浜ベイホテル東急,2018/11/15 13:05,2018/11/15 13:05,2018/11/15 13:27,2018/11/15 13:27,,2018/11/15 13:02,0:10:36,0:21:12,,02,05,,,2018/11/15 13:02,2018/11/15 13:18,43419.543055555643419.5541666667,#N/A,,,,
-,-,13,2018/11/15 13:09,166-729-agekke,14288,まちかど端末（乗降ポイントから）,0,404,10,1,,2018/11/15 13:11,2018/11/15 13:16,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/15 13:10,2018/11/15 13:10,2018/11/15 13:17,2018/11/15 13:17,,2018/11/15 13:09,0:05:19,0:05:19,,00,02,,,2018/11/15 13:09,2018/11/15 13:16,43419.547916666743419.5527777778,#N/A,,,,
★,-,13,2018/11/15 13:11,008-552-BLUE 008-553-BLUE 001-086-BLUE 008-517-BLUE,14289,乗客アプリ（簡単予約）,3620,289,6,4,,2018/11/15 13:21,2018/11/15 13:28,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.456605 139.635327,横浜ベイホテル東急,2018/11/15 13:21,2018/11/15 13:21,2018/11/15 13:33,2018/11/15 13:33,2018/11/15 13:21,2018/11/15 13:21,0:07:01,0:28:04,,00,00,,,2018/11/15 13:11,2018/11/15 13:28,43419.549305555643419.5611111111,#N/A,,,,
★,-,13,2018/11/15 13:13,023-240-GREEN,14291,乗客アプリ（簡単予約）,4026,145,4,1,,2018/11/15 13:21,2018/11/15 13:26,35.454389 139.630904,横浜ランドマークタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/15 13:23,2018/11/15 13:23,2018/11/15 13:35,2018/11/15 13:35,2018/11/15 13:23,2018/11/15 13:23,0:04:45,0:04:45,,00,00,,,2018/11/15 13:13,2018/11/15 13:26,43419.550694444443419.5597222222,#N/A,,,,
-,-,13,2018/11/15 13:15,167-676-CAKE,14292,乗客アプリ（簡単予約）,6065,113,10,1,,2018/11/15 13:17,2018/11/15 13:23,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443908 139.635249,イセザキ・モール,2018/11/15 13:18,2018/11/15 13:18,2018/11/15 13:27,2018/11/15 13:27,,2018/11/15 13:15,0:06:49,0:06:49,,00,01,,,2018/11/15 13:15,2018/11/15 13:23,43419.552083333343419.5576388889,#N/A,,,,
-,-,13,2018/11/15 13:15,167-662-CAKE,14293,乗客アプリWeb（地図から）,5923,1001,11,1,,2018/11/15 13:18,2018/11/15 13:29,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/15 13:17,2018/11/15 13:17,2018/11/15 13:34,2018/11/15 13:34,,2018/11/15 13:15,0:11:04,0:11:04,,01,02,,,2018/11/15 13:15,2018/11/15 13:29,43419.552083333343419.5618055556,#N/A,,,,
★,-,13,2018/11/15 13:19,064-212-BANANA 064-211-BANANA 064-213-BANANA,14294,乗客アプリ（地図から）,6248,919,10,3,,2018/11/15 13:29,2018/11/15 13:38,35.443908 139.635249,イセザキ・モール,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/15 13:29,2018/11/15 13:29,2018/11/15 13:46,2018/11/15 13:46,2018/11/15 13:29,2018/11/15 13:29,0:08:54,0:26:42,,00,00,,,2018/11/15 13:19,2018/11/15 13:38,43419.554861111143419.5680555556,#N/A,,,,
★,-,13,2018/11/15 13:19,017-190-RED,14295,乗客アプリ（目的地から）,6285,54,13,1,,2018/11/15 13:28,2018/11/15 13:34,35.447541 139.644914,シルク博物館,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/15 13:29,2018/11/15 13:29,2018/11/15 13:36,2018/11/15 13:36,2018/11/15 13:29,2018/11/15 13:29,0:05:44,0:05:44,,00,00,,,2018/11/15 13:19,2018/11/15 13:34,43419.554861111143419.5652777778,肯定的,,,,
-,-,13,2018/11/15 13:23,103-031-SNOW,14296,乗客アプリ（地図から）,6261,457,7,1,,2018/11/15 13:26,2018/11/15 13:34,35.453715 139.638133,横浜ワールドポーターズ,35.443908 139.635249,イセザキ・モール,2018/11/15 13:26,2018/11/15 13:26,2018/11/15 13:39,2018/11/15 13:39,,2018/11/15 13:23,0:08:17,0:08:17,,00,02,,,2018/11/15 13:23,2018/11/15 13:34,43419.557638888943419.5652777778,#N/A,,,,
-,-,13,2018/11/15 13:24,068-322-BANANA 068-321-BANANA,14297,乗客アプリ（地図から）,2950,731,1,2,,2018/11/15 13:28,2018/11/15 13:39,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/15 13:26,2018/11/15 13:26,2018/11/15 13:47,2018/11/15 13:47,,2018/11/15 13:24,0:11:07,0:22:14,,02,03,,,2018/11/15 13:24,2018/11/15 13:39,43419.558333333343419.56875,#N/A,,,,
-,-,13,2018/11/15 13:29,069-449-BANANA 072-161-ORANGE 069-447-BANANA 069-448-BANANA 065-381-BANANA 069-450-BANANA,14299,乗客アプリ（地図から）,6293,155,8,6,,2018/11/15 13:36,2018/11/15 13:48,35.456605 139.635327,横浜ベイホテル東急,35.44291 139.650404,元町・中華街駅（みなとみらい線）,2018/11/15 13:36,2018/11/15 13:36,2018/11/15 13:57,2018/11/15 13:57,,2018/11/15 13:29,0:11:32,1:09:12,,00,07,,,2018/11/15 13:29,2018/11/15 13:48,43419.561805555643419.575,#N/A,,,,
-,-,13,2018/11/15 13:33,009-250-BLUE,14301,まちかど端末（店舗から）,0,382,4,1,,2018/11/15 13:37,2018/11/15 13:44,35.453715 139.638133,横浜ワールドポーターズ,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/15 13:39,2018/11/15 13:39,2018/11/15 13:48,2018/11/15 13:48,,2018/11/15 13:33,0:06:54,0:06:54,,00,04,,,2018/11/15 13:33,2018/11/15 13:44,43419.564583333343419.5722222222,#N/A,,,,
-,-,13,2018/11/15 13:33,070-515-ORANGE,14302,乗客アプリ（地図から）,1083,443,2,1,,2018/11/15 13:38,2018/11/15 13:50,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443908 139.635249,イセザキ・モール,2018/11/15 13:38,2018/11/15 13:38,2018/11/15 13:54,2018/11/15 13:54,,2018/11/15 13:33,0:11:44,0:11:44,,00,05,,,2018/11/15 13:33,2018/11/15 13:50,43419.564583333343419.5763888889,#N/A,,,,
-,-,13,2018/11/15 13:36,018-670-RED,14303,まちかど端末（乗降ポイントから）,0,17,6,1,,2018/11/15 13:40,2018/11/15 13:53,35.454389 139.630904,横浜ランドマークタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/15 13:37,2018/11/15 13:37,2018/11/15 13:50,2018/11/15 13:50,,2018/11/15 13:36,0:12:26,0:12:26,,03,04,,,2018/11/15 13:36,2018/11/15 13:53,43419.566666666743419.5784722222,#N/A,,,,
★,-,13,2018/11/15 13:40,073-710-ORANGE,14304,まちかど端末（乗降ポイントから）,0,500,9,1,,2018/11/15 13:50,2018/11/15 13:56,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443908 139.635249,イセザキ・モール,2018/11/15 13:50,2018/11/15 13:50,2018/11/15 13:56,2018/11/15 13:56,2018/11/15 13:50,2018/11/15 13:50,0:05:41,0:05:41,,00,00,,,2018/11/15 13:40,2018/11/15 13:56,43419.569444444443419.5805555556,#N/A,,,,
-,-,13,2018/11/15 13:45,103-033-SNOW,14305,まちかど端末（店舗から）,0,452,3,1,,2018/11/15 13:51,2018/11/15 14:02,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/15 13:55,2018/11/15 13:55,2018/11/15 14:08,2018/11/15 14:08,,2018/11/15 13:45,0:10:59,0:10:59,,00,05,,,2018/11/15 13:45,2018/11/15 14:02,43419.572916666743419.5847222222,#N/A,,,,
-,-,13,2018/11/15 13:46,167-678-CAKE,14306,乗客アプリWeb（地図から）,6106,813,5,1,,2018/11/15 13:52,2018/11/15 13:59,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/15 13:55,2018/11/15 13:55,2018/11/15 14:05,2018/11/15 14:01,,2018/11/15 13:46,0:07:11,0:07:11,,00,06,,,2018/11/15 13:46,2018/11/15 13:59,43419.573611111143419.5826388889,#N/A,,,,
-,-,13,2018/11/15 13:48,062-783-BANANA 062-782-BANANA,14307,乗客アプリ（地図から）,5641,197,1,2,,2018/11/15 13:52,2018/11/15 13:58,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/15 13:54,2018/11/15 13:54,2018/11/15 14:02,2018/11/15 14:02,,2018/11/15 13:48,0:05:55,0:11:50,,00,04,,,2018/11/15 13:48,2018/11/15 13:58,43419.57543419.5819444444,#N/A,,,,
-,-,13,2018/11/15 13:49,106-006-SNOW 106-003-SNOW,14308,乗客アプリ（地図から）,2303,335,10,2,,2018/11/15 13:51,2018/11/15 13:56,35.453715 139.638133,横浜ワールドポーターズ,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/15 13:52,2018/11/15 13:52,2018/11/15 14:06,2018/11/15 14:06,,2018/11/15 13:49,0:05:07,0:10:14,,00,01,,,2018/11/15 13:49,2018/11/15 13:56,43419.575694444443419.5805555556,#N/A,,,,
-,-,13,2018/11/15 13:52,021-014-GREEN,14310,乗客アプリ（地図から）,4632,459,5,1,,2018/11/15 14:00,2018/11/15 14:06,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/15 14:01,2018/11/15 14:01,2018/11/15 14:08,2018/11/15 14:08,,2018/11/15 13:52,0:05:52,0:05:52,,00,07,,,2018/11/15 13:52,2018/11/15 14:06,43419.577777777843419.5875,肯定的,,,,
-,-,13,2018/11/15 13:53,009-079-BLUE 009-078-BLUE,14311,乗客アプリ（目的地から）,3975,128,4,2,,2018/11/15 14:02,2018/11/15 14:25,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/11/15 14:05,2018/11/15 14:05,2018/11/15 14:21,2018/11/15 14:21,,2018/11/15 13:53,0:23:57,0:47:54,,00,08,,,2018/11/15 13:53,2018/11/15 14:25,43419.578472222243419.6006944444,#N/A,,,,
★,☆,13,2018/11/15 12:54,012-264-RED,14281,乗客アプリ（目的地から）,2678,124,8,1,2018/11/15 12:58,,,35.454389 139.630904,横浜ランドマークタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/15 13:04,,2018/11/15 13:21,,2018/11/15 13:04,2018/11/15 13:04,0:00:00,0:00:00,,00,00,,,2018/11/15 12:54,1900/1/0 0:00,43419.53750,#N/A,,,,
★,☆,13,2018/11/15 12:57,068-322-BANANA 068-321-BANANA,14284,乗客アプリ（地図から）,2950,150,1,2,2018/11/15 13:20,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/15 13:16,,2018/11/15 13:38,,2018/11/15 13:07,2018/11/15 13:07,0:00:00,0:00:00,,00,13,,,2018/11/15 12:57,1900/1/0 0:00,43419.53958333330,#N/A,,,,
-,☆,13,2018/11/15 13:12,075-077-ORANGE,14290,乗客アプリ（目的地から）,985,300,8,1,2018/11/15 13:13,,,35.443073 139.651914,横浜人形の家,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/15 13:16,,2018/11/15 13:36,,,2018/11/15 13:12,0:00:00,0:00:00,,00,03,,,2018/11/15 13:12,1900/1/0 0:00,43419.550,#N/A,,,,
★,-,14,2018/11/15 13:28,005-192-BLUE,14298,乗客アプリ（地図から）,999,327,11,1,,2018/11/15 14:23,2018/11/15 14:33,35.441441 139.648505,横浜中華街朱雀門,35.454389 139.630904,横浜ランドマークタワー,2018/11/15 14:28,2018/11/15 14:28,2018/11/15 14:46,2018/11/15 14:46,2018/11/15 14:28,2018/11/15 14:28,0:10:17,0:10:17,361,00,00,04,03,2018/11/15 13:28,2018/11/15 14:33,43419.561111111143419.60625,#N/A,,,,
★,-,14,2018/11/15 13:32,024-984-GREEN,14300,まちかど端末（店舗から）,0,904,7,1,,2018/11/15 14:26,2018/11/15 14:32,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/15 14:31,2018/11/15 14:31,2018/11/15 14:42,2018/11/15 14:42,2018/11/15 14:31,2018/11/15 14:31,0:05:46,0:05:46,,00,00,,,2018/11/15 13:32,2018/11/15 14:32,43419.563888888943419.6055555556,#N/A,,,,
★,-,14,2018/11/15 13:50,020-970-GREEN,14309,乗客アプリ（簡単予約）,6283,387,8,1,,2018/11/15 13:58,2018/11/15 14:05,35.441441 139.648505,横浜中華街朱雀門,35.453715 139.638133,横浜ワールドポーターズ,2018/11/15 14:00,2018/11/15 14:00,2018/11/15 14:13,2018/11/15 14:13,2018/11/15 14:00,2018/11/15 14:00,0:07:07,0:07:07,,00,00,,,2018/11/15 13:50,2018/11/15 14:05,43419.576388888943419.5868055556,#N/A,,,,
-,-,14,2018/11/15 14:01,115-556-SUN,14312,乗客アプリ（簡単予約）,4047,218,13,1,,2018/11/15 14:04,2018/11/15 14:08,35.452963 139.642093,横浜赤レンガ倉庫,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/15 14:03,2018/11/15 14:03,2018/11/15 14:15,2018/11/15 14:15,,2018/11/15 14:01,0:04:34,0:04:34,,01,02,,,2018/11/15 14:01,2018/11/15 14:08,43419.584027777843419.5888888889,#N/A,,,,
★,-,14,2018/11/15 14:04,067-121-BANANA,14313,乗客アプリ（地図から）,2855,695,4,1,,2018/11/15 14:12,2018/11/15 14:23,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/15 14:14,2018/11/15 14:14,2018/11/15 14:31,2018/11/15 14:31,2018/11/15 14:14,2018/11/15 14:14,0:10:12,0:10:12,,00,00,,,2018/11/15 14:04,2018/11/15 14:23,43419.586111111143419.5993055556,肯定的,,,,
-,-,14,2018/11/15 14:04,166-688-agekke,14314,乗客アプリ（目的地から）,5428,548,9,1,,2018/11/15 14:08,2018/11/15 14:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/15 14:06,2018/11/15 14:06,2018/11/15 14:24,2018/11/15 14:24,,2018/11/15 14:04,0:09:58,0:09:58,,01,03,,,2018/11/15 14:04,2018/11/15 14:18,43419.586111111143419.5958333333,#N/A,,,,
-,-,14,2018/11/15 14:05,166-672-agekke,14315,乗客アプリ（目的地から）,3945,828,6,1,,2018/11/15 14:09,2018/11/15 14:22,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/15 14:11,2018/11/15 14:11,2018/11/15 14:28,2018/11/15 14:29,,2018/11/15 14:05,0:12:23,0:12:23,,00,04,,,2018/11/15 14:05,2018/11/15 14:22,43419.586805555643419.5986111111,#N/A,,,,
-,-,14,2018/11/15 14:07,166-751-agekke,14316,乗客アプリ（目的地から）,2589,390,8,1,,2018/11/15 14:11,2018/11/15 14:21,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/15 14:15,2018/11/15 14:15,2018/11/15 14:29,2018/11/15 14:29,,2018/11/15 14:07,0:10:19,0:10:19,,00,03,,,2018/11/15 14:07,2018/11/15 14:21,43419.588194444443419.5979166667,#N/A,,,,
-,-,14,2018/11/15 14:08,117-943-SUN 117-942-SUN,14317,乗客アプリ（目的地から）,6273,495,5,2,,2018/11/15 14:19,2018/11/15 14:24,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.454389 139.630904,横浜ランドマークタワー,2018/11/15 14:16,2018/11/15 14:16,2018/11/15 14:28,2018/11/15 14:28,,2018/11/15 14:08,0:04:34,0:09:08,,02,11,,,2018/11/15 14:08,2018/11/15 14:24,43419.588888888943419.6,肯定的,,,,
-,-,14,2018/11/15 14:09,166-680-agekke,14318,乗客アプリ（地図から）,2424,526,6,1,,2018/11/15 14:11,2018/11/15 14:22,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/15 14:12,2018/11/15 14:12,2018/11/15 14:28,2018/11/15 14:28,,2018/11/15 14:09,0:10:54,0:10:54,,00,01,,,2018/11/15 14:09,2018/11/15 14:22,43419.589583333343419.5986111111,肯定的,,,,
-,-,14,2018/11/15 14:14,050-505-STRAWBERRY,14319,まちかど端末（店舗から）,0,609,13,1,,2018/11/15 14:17,2018/11/15 14:21,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/15 14:18,2018/11/15 14:18,2018/11/15 14:28,2018/11/15 14:28,,2018/11/15 14:14,0:04:24,0:04:24,,00,02,,,2018/11/15 14:14,2018/11/15 14:21,43419.593055555643419.5979166667,#N/A,,,,
-,-,14,2018/11/15 14:18,117-673-SUN 117-674-SUN,14320,乗客アプリ（地図から）,6295,260,8,2,,2018/11/15 14:27,2018/11/15 14:37,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/15 14:27,2018/11/15 14:27,2018/11/15 14:41,2018/11/15 14:41,,2018/11/15 14:18,0:10:36,0:21:12,,00,09,,,2018/11/15 14:18,2018/11/15 14:37,43419.595833333343419.6090277778,肯定的,,,,
-,-,14,2018/11/15 14:25,166-680-agekke,14321,乗客アプリ（地図から）,2424,910,10,1,,2018/11/15 14:26,2018/11/15 14:35,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/15 14:26,2018/11/15 14:26,2018/11/15 14:45,2018/11/15 14:45,,2018/11/15 14:25,0:09:08,0:09:08,,00,01,,,2018/11/15 14:25,2018/11/15 14:35,43419.600694444443419.6076388889,#N/A,,,,
-,-,14,2018/11/15 14:25,062-645-BANANA 066-230-BANANA,14323,乗客アプリ（地図から）,5455,813,3,2,,2018/11/15 14:29,2018/11/15 14:37,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.453715 139.638133,横浜ワールドポーターズ,2018/11/15 14:28,2018/11/15 14:28,2018/11/15 14:41,2018/11/15 14:41,,2018/11/15 14:25,0:08:04,0:16:08,,00,03,,,2018/11/15 14:25,2018/11/15 14:37,43419.600694444443419.6090277778,#N/A,,,,
-,-,14,2018/11/15 14:29,117-678-SUN 117-677-SUN 117-679-SUN,14325,乗客アプリ（地図から）,6296,774,7,3,,2018/11/15 14:32,2018/11/15 14:38,35.450554 139.632616,横浜桜木町ワシントンホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/15 14:35,2018/11/15 14:35,2018/11/15 14:50,2018/11/15 14:50,,2018/11/15 14:29,0:05:13,0:15:39,,00,03,,,2018/11/15 14:29,2018/11/15 14:38,43419.603472222243419.6097222222,肯定的,,,,
-,-,14,2018/11/15 14:30,167-678-CAKE,14326,乗客アプリWeb（地図から）,6106,437,13,1,,2018/11/15 14:32,2018/11/15 14:43,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/15 14:33,2018/11/15 14:33,2018/11/15 14:49,2018/11/15 14:49,,2018/11/15 14:30,0:11:21,0:11:21,,00,02,,,2018/11/15 14:30,2018/11/15 14:43,43419.604166666743419.6131944444,#N/A,,,,
★,-,14,2018/11/15 14:32,066-790-BANANA 067-121-BANANA,14327,乗客アプリ（地図から）,2855,859,9,2,,2018/11/15 14:39,2018/11/15 14:56,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/15 14:42,2018/11/15 14:42,2018/11/15 15:03,2018/11/15 15:03,2018/11/15 14:42,2018/11/15 14:42,0:16:45,0:33:30,,00,00,,,2018/11/15 14:32,2018/11/15 14:56,43419.605555555643419.6222222222,#N/A,,,,
