,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,
-,-,10,2018/11/4 9:21,023-020-GREEN,9346,乗客アプリ（目的地から）,2915,913,1,1,,2018/11/4 10:00,2018/11/4 10:06,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/4 10:04,2018/11/4 10:04,2018/11/4 10:13,2018/11/4 10:13,,2018/11/4 9:21,0:05:53,0:05:53,610,00,00,05,05,2018/11/4 9:21,2018/11/4 10:06,43408.389583333343408.4208333333,#N/A,,2018/11/4 10:00,※10時以前に予約しているため
-,-,10,2018/11/4 9:55,074-466-ORANGE 072-030-ORANGE 072-565-ORANGE 074-467-ORANGE 075-130-ORANGE 074-154-ORANGE,9347,まちかど端末（店舗から）,0,884,8,6,,2018/11/4 10:04,2018/11/4 10:15,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/4 10:02,2018/11/4 10:02,2018/11/4 10:19,2018/11/4 10:19,,2018/11/4 9:55,0:11:19,1:07:54,,01,04,,,2018/11/4 9:55,2018/11/4 10:15,43408.413194444443408.4270833333,#N/A,,2018/11/4 10:00,※10時以前に予約しているため
-,-,10,2018/11/4 9:58,074-065-ORANGE 074-061-ORANGE 074-060-ORANGE 074-062-ORANGE 074-063-ORANGE 074-064-ORANGE,9348,まちかど端末（店舗から）,0,198,4,6,,2018/11/4 10:05,2018/11/4 10:16,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/4 10:02,2018/11/4 10:02,2018/11/4 10:18,2018/11/4 10:18,,2018/11/4 9:58,0:10:34,1:03:24,,03,05,,,2018/11/4 9:58,2018/11/4 10:16,43408.415277777843408.4277777778,#N/A,,2018/11/4 10:00,※10時以前に予約しているため
-,-,10,2018/11/4 10:00,166-771-agekke,9349,乗客アプリ（地図から）,2435,999,5,1,,2018/11/4 10:03,2018/11/4 10:13,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/4 10:02,2018/11/4 10:02,2018/11/4 10:16,2018/11/4 10:16,,2018/11/4 10:00,0:10:07,0:10:07,,00,03,,,2018/11/4 10:00,2018/11/4 10:13,43408.416666666743408.4256944444,#N/A,,,
-,-,10,2018/11/4 10:02,074-469-ORANGE 074-468-ORANGE,9350,乗客アプリ（簡単予約）,4967,648,2,2,,2018/11/4 10:06,2018/11/4 10:17,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/4 10:08,2018/11/4 10:08,2018/11/4 10:20,2018/11/4 10:20,,2018/11/4 10:02,0:11:10,0:22:20,,00,04,,,2018/11/4 10:02,2018/11/4 10:17,43408.418055555643408.4284722222,#N/A,,,
-,-,10,2018/11/4 10:02,022-427-GREEN 022-428-GREEN 022-430-GREEN 022-431-GREEN,9351,まちかど端末（店舗から）,0,713,6,4,,2018/11/4 10:05,2018/11/4 10:09,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/4 10:04,2018/11/4 10:04,2018/11/4 10:14,2018/11/4 10:14,,2018/11/4 10:02,0:04:05,0:16:20,,01,02,,,2018/11/4 10:02,2018/11/4 10:09,43408.418055555643408.4229166667,#N/A,,,
-,-,10,2018/11/4 10:05,023-444-GREEN 023-443-GREEN,9353,乗客アプリ（目的地から）,3238,800,10,2,,2018/11/4 10:12,2018/11/4 10:30,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443659 139.650847,横浜マリンタワー,2018/11/4 10:08,2018/11/4 10:12,2018/11/4 10:24,2018/11/4 10:30,,2018/11/4 10:05,0:17:51,0:35:42,,03,06,,,2018/11/4 10:05,2018/11/4 10:30,43408.420138888943408.4375,#N/A,,,
-,-,10,2018/11/4 10:05,067-051-BANANA 065-290-BANANA 063-213-BANANA 063-212-BANANA 063-211-BANANA 063-209-BANANA,9354,まちかど端末（乗降ポイントから）,0,408,8,6,,2018/11/4 10:18,2018/11/4 10:28,35.443704 139.651332,ホテルメルパルク横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/4 10:20,2018/11/4 10:20,2018/11/4 10:37,2018/11/4 10:37,,2018/11/4 10:05,0:09:41,0:58:06,,00,13,,,2018/11/4 10:05,2018/11/4 10:28,43408.420138888943408.4361111111,#N/A,,,
-,-,10,2018/11/4 10:06,166-941-agekke,9355,乗客アプリ（目的地から）,2036,252,7,1,,2018/11/4 10:16,2018/11/4 10:20,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/4 10:15,2018/11/4 10:15,2018/11/4 10:22,2018/11/4 10:25,,2018/11/4 10:06,0:03:22,0:03:22,,01,10,,,2018/11/4 10:06,2018/11/4 10:20,43408.420833333343408.4305555556,#N/A,,,
-,-,10,2018/11/4 10:07,063-193-BANANA 067-868-BANANA 066-994-BANANA 066-995-BANANA 066-996-BANANA 063-142-BANANA,9356,まちかど端末（乗降ポイントから）,0,733,6,6,,2018/11/4 10:17,2018/11/4 10:22,35.443704 139.651332,ホテルメルパルク横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/4 10:22,2018/11/4 10:22,2018/11/4 10:39,2018/11/4 10:39,,2018/11/4 10:07,0:05:36,0:33:36,,00,09,,,2018/11/4 10:07,2018/11/4 10:22,43408.421527777843408.4319444444,#N/A,,,
