,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,計算用ダミー,
-,-,11,2018/11/8 11:24,166-677-agekke,10974,乗客アプリ（目的地から）,2314,256,3,1,,2018/11/8 11:27,2018/11/8 11:32,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/8 11:28,2018/11/8 11:28,2018/11/8 11:37,2018/11/8 11:37,,2018/11/8 11:24,0:05:23,0:05:23,,00,02,,,2018/11/8 11:24,2018/11/8 11:32,43412.47543412.4805555556,#N/A,,,
★,-,11,2018/11/8 11:25,025-807-GREEN,10975,乗客アプリ（目的地から）,4708,970,10,1,,2018/11/8 11:35,2018/11/8 11:46,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443659 139.650847,横浜マリンタワー,2018/11/8 11:35,2018/11/8 11:35,2018/11/8 11:50,2018/11/8 11:50,2018/11/8 11:35,2018/11/8 11:35,0:11:00,0:11:00,,00,00,,,2018/11/8 11:25,2018/11/8 11:46,43412.475694444443412.4902777778,#N/A,,,
-,-,11,2018/11/8 11:25,167-409-CAKE,10976,乗客アプリWeb（簡単予約）,4622,148,5,1,,2018/11/8 11:30,2018/11/8 11:41,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.453715 139.638133,横浜ワールドポーターズ,2018/11/8 11:29,2018/11/8 11:29,2018/11/8 11:42,2018/11/8 11:42,,2018/11/8 11:25,0:10:52,0:10:52,,00,04,,,2018/11/8 11:25,2018/11/8 11:41,43412.475694444443412.4868055556,#N/A,,,
-,-,11,2018/11/8 11:29,020-259-GREEN,10978,乗客アプリ（地図から）,4720,48,11,1,,2018/11/8 11:37,2018/11/8 11:46,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.448676 139.635696,横浜平和プラザホテル,2018/11/8 11:36,2018/11/8 11:36,2018/11/8 11:45,2018/11/8 11:45,,2018/11/8 11:29,0:09:23,0:09:23,,00,07,,,2018/11/8 11:29,2018/11/8 11:46,43412.478472222243412.4902777778,#N/A,,,
-,-,11,2018/11/8 11:30,020-260-GREEN,10979,乗客アプリ（地図から）,4719,532,7,1,,2018/11/8 11:35,2018/11/8 11:44,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.448676 139.635696,横浜平和プラザホテル,2018/11/8 11:35,2018/11/8 11:35,2018/11/8 11:45,2018/11/8 11:45,,2018/11/8 11:30,0:08:25,0:08:25,,00,05,,,2018/11/8 11:30,2018/11/8 11:44,43412.479166666743412.4888888889,#N/A,,,
-,-,11,2018/11/8 11:33,027-095-GREEN,10980,乗客アプリ（目的地から）,3044,144,9,1,,2018/11/8 11:44,2018/11/8 11:44,35.447541 139.644914,シルク博物館,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/8 11:37,2018/11/8 11:37,2018/11/8 11:47,2018/11/8 11:47,,2018/11/8 11:33,0:00:12,0:00:12,,06,11,,,2018/11/8 11:33,2018/11/8 11:44,43412.4812543412.4888888889,肯定的,,,
-,-,11,2018/11/8 11:33,019-638-RED,10981,乗客アプリ（地図から）,5352,346,8,1,,2018/11/8 11:39,2018/11/8 11:51,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/8 11:41,2018/11/8 11:41,2018/11/8 11:47,2018/11/8 11:52,,2018/11/8 11:33,0:11:33,0:11:33,,00,06,,,2018/11/8 11:33,2018/11/8 11:51,43412.4812543412.49375,#N/A,,,
-,-,11,2018/11/8 11:33,052-194-STRAWBERRY,10982,まちかど端末（店舗から）,0,70,8,1,,2018/11/8 11:40,2018/11/8 11:44,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/8 11:42,2018/11/8 11:42,2018/11/8 11:47,2018/11/8 11:47,,2018/11/8 11:33,0:04:33,0:04:33,,00,06,,,2018/11/8 11:33,2018/11/8 11:44,43412.4812543412.4888888889,時刻かぶり,,,
-,-,11,2018/11/8 11:35,065-351-BANANA,10983,まちかど端末（店舗から）,0,889,6,1,,2018/11/8 11:44,2018/11/8 11:51,35.456605 139.635327,横浜ベイホテル東急,35.447541 139.644914,シルク博物館,2018/11/8 11:43,2018/11/8 11:43,2018/11/8 11:55,2018/11/8 11:55,,2018/11/8 11:35,0:07:35,0:07:35,,00,08,,,2018/11/8 11:35,2018/11/8 11:51,43412.482638888943412.49375,#N/A,,,
★,-,11,2018/11/8 11:38,064-535-BANANA,10984,乗客アプリ（目的地から）,5489,529,11,1,,2018/11/8 11:43,2018/11/8 11:54,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 11:48,2018/11/8 11:48,2018/11/8 12:00,2018/11/8 12:00,2018/11/8 11:48,2018/11/8 11:48,0:11:45,0:11:45,,00,00,,,2018/11/8 11:38,2018/11/8 11:54,43412.484722222243412.4958333333,#N/A,,,
-,-,11,2018/11/8 11:42,064-537-BANANA 061-364-BANANA,10985,まちかど端末（乗降ポイントから）,0,571,7,2,,2018/11/8 11:58,2018/11/8 12:10,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/8 11:48,2018/11/8 11:48,2018/11/8 11:59,2018/11/8 11:59,,2018/11/8 11:42,0:12:03,0:24:06,,10,16,,,2018/11/8 11:42,2018/11/8 12:10,43412.487543412.5069444444,#N/A,,,
-,-,11,2018/11/8 11:45,064-512-BANANA,10986,まちかど端末（乗降ポイントから）,0,828,9,1,,2018/11/8 11:48,2018/11/8 11:51,35.450554 139.632616,横浜桜木町ワシントンホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/8 11:46,2018/11/8 11:46,2018/11/8 11:57,2018/11/8 11:57,,2018/11/8 11:45,0:02:55,0:02:55,,01,03,,,2018/11/8 11:45,2018/11/8 11:51,43412.489583333343412.49375,#N/A,,,
-,-,11,2018/11/8 11:48,028-357-GREEN,10987,乗客アプリ（地図から）,5119,61,10,1,,2018/11/8 11:54,2018/11/8 12:05,35.441002 139.650809,横浜元町ショッピングストリート,35.454389 139.630904,横浜ランドマークタワー,2018/11/8 11:52,2018/11/8 11:52,2018/11/8 12:08,2018/11/8 12:08,,2018/11/8 11:48,0:11:40,0:11:40,,02,05,,,2018/11/8 11:48,2018/11/8 12:05,43412.491666666743412.5034722222,#N/A,,,
-,-,11,2018/11/8 11:49,024-416-GREEN 024-453-GREEN,10988,まちかど端末（乗降ポイントから）,0,997,11,2,,2018/11/8 11:55,2018/11/8 12:01,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/8 11:55,2018/11/8 11:55,2018/11/8 12:07,2018/11/8 12:07,,2018/11/8 11:49,0:05:34,0:11:08,,00,05,,,2018/11/8 11:49,2018/11/8 12:01,43412.492361111143412.5006944444,#N/A,,,
-,-,11,2018/11/8 11:55,105-433-SNOW,10990,まちかど端末（乗降ポイントから）,0,956,9,1,,2018/11/8 12:04,2018/11/8 12:11,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/8 12:08,2018/11/8 12:08,2018/11/8 12:17,2018/11/8 12:17,,2018/11/8 11:55,0:06:32,0:06:32,,00,09,,,2018/11/8 11:55,2018/11/8 12:11,43412.496527777843412.5076388889,#N/A,,,
★,☆,11,2018/11/8 10:59,020-260-GREEN,10958,乗客アプリ（地図から）,4719,392,1,1,2018/11/8 10:59,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.448676 139.635696,横浜平和プラザホテル,2018/11/8 11:09,,2018/11/8 11:19,,2018/11/8 11:09,2018/11/8 11:09,0:00:00,0:00:00,,00,00,,,2018/11/8 10:59,1900/1/0 0:00,43412.45763888890,#N/A,,,
-,☆,11,2018/11/8 11:08,103-425-SNOW,10965,乗客アプリ（地図から）,5387,454,4,1,2018/11/8 11:18,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.447546 139.64358,横浜開港資料館,2018/11/8 11:16,,2018/11/8 11:28,,,2018/11/8 11:08,0:00:00,0:00:00,,00,09,,,2018/11/8 11:08,1900/1/0 0:00,43412.46388888890,#N/A,,,
-,☆,11,2018/11/8 11:11,021-348-GREEN,10966,まちかど端末（店舗から）,0,774,6,1,2018/11/8 11:11,,,35.454389 139.630904,横浜ランドマークタワー,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/8 11:21,,2018/11/8 11:28,,,2018/11/8 11:11,0:00:00,0:00:00,,00,09,,,2018/11/8 11:11,1900/1/0 0:00,43412.46597222220,#N/A,,,
-,☆,11,2018/11/8 11:29,020-260-GREEN,10977,乗客アプリ（地図から）,4719,782,8,1,2018/11/8 11:30,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.448676 139.635696,横浜平和プラザホテル,2018/11/8 11:35,,2018/11/8 11:45,,,2018/11/8 11:29,0:00:00,0:00:00,,00,06,,,2018/11/8 11:29,1900/1/0 0:00,43412.47847222220,#N/A,,,
-,-,12,2018/11/8 12:01,063-978-BANANA 063-965-BANANA,10991,まちかど端末（店舗から）,0,220,11,2,,2018/11/8 12:07,2018/11/8 12:15,35.45435 139.631762,横浜ロイヤルパークホテル,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/8 12:11,2018/11/8 12:11,2018/11/8 12:25,2018/11/8 12:25,,2018/11/8 12:01,0:07:19,0:14:38,272,00,06,07,07,2018/11/8 12:01,2018/11/8 12:15,43412.500694444443412.5104166667,#N/A,,,
-,-,12,2018/11/8 12:02,104-143-SNOW 104-144-SNOW,10992,乗客アプリ（目的地から）,5482,289,5,2,,2018/11/8 12:27,2018/11/8 12:33,35.452963 139.642093,横浜赤レンガ倉庫,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 12:32,2018/11/8 12:32,2018/11/8 12:43,2018/11/8 12:50,,2018/11/8 12:02,0:05:38,0:11:16,,00,25,,,2018/11/8 12:02,2018/11/8 12:33,43412.501388888943412.5229166667,#N/A,,,
-,-,12,2018/11/8 12:07,007-815-BLUE,10993,まちかど端末（店舗から）,0,393,10,1,,2018/11/8 12:14,2018/11/8 12:18,35.450554 139.632616,横浜桜木町ワシントンホテル,35.456605 139.635327,横浜ベイホテル東急,2018/11/8 12:18,2018/11/8 12:18,2018/11/8 12:29,2018/11/8 12:29,,2018/11/8 12:07,0:04:19,0:04:19,,00,06,,,2018/11/8 12:07,2018/11/8 12:18,43412.504861111143412.5125,#N/A,,,
-,-,12,2018/11/8 12:13,052-194-STRAWBERRY,10994,乗客アプリ（簡単予約）,2279,255,3,1,,2018/11/8 12:21,2018/11/8 12:26,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/8 12:19,2018/11/8 12:19,2018/11/8 12:30,2018/11/8 12:30,,2018/11/8 12:13,0:05:06,0:05:06,,02,08,,,2018/11/8 12:13,2018/11/8 12:26,43412.509027777843412.5180555556,#N/A,,,
-,-,12,2018/11/8 12:16,166-638-agekke,10995,乗客アプリ（目的地から）,3162,985,9,1,,2018/11/8 12:17,2018/11/8 12:22,35.445857 139.647636,ホテルモントレ横浜,35.448676 139.635696,横浜平和プラザホテル,2018/11/8 12:17,2018/11/8 12:17,2018/11/8 12:25,2018/11/8 12:25,,2018/11/8 12:16,0:04:50,0:04:50,,00,01,,,2018/11/8 12:16,2018/11/8 12:22,43412.511111111143412.5152777778,#N/A,,,
-,-,12,2018/11/8 12:19,115-555-SUN,10996,まちかど端末（店舗から）,0,315,4,1,,2018/11/8 12:29,2018/11/8 12:43,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/8 12:29,2018/11/8 12:29,2018/11/8 12:41,2018/11/8 12:50,,2018/11/8 12:19,0:13:47,0:13:47,,00,10,,,2018/11/8 12:19,2018/11/8 12:43,43412.513194444443412.5298611111,#N/A,,,
★,-,12,2018/11/8 12:21,167-419-CAKE,10997,乗客アプリWeb（地図から）,5502,302,11,1,,2018/11/8 12:31,2018/11/8 12:38,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443908 139.635249,イセザキ・モール,2018/11/8 12:31,2018/11/8 12:31,2018/11/8 12:40,2018/11/8 12:40,2018/11/8 12:29,2018/11/8 12:29,0:06:09,0:06:09,,00,02,,,2018/11/8 12:21,2018/11/8 12:38,43412.514583333343412.5263888889,#N/A,,,
-,-,12,2018/11/8 12:22,101-828-SNOW,10998,乗客アプリ（地図から）,3930,538,2,1,,2018/11/8 12:26,2018/11/8 12:35,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/8 12:31,2018/11/8 12:31,2018/11/8 12:39,2018/11/8 12:41,,2018/11/8 12:22,0:09:04,0:09:04,,00,03,,,2018/11/8 12:22,2018/11/8 12:35,43412.515277777843412.5243055556,肯定的,,,
-,-,12,2018/11/8 12:24,018-531-RED,10999,まちかど端末（店舗から）,0,371,2,1,,2018/11/8 12:30,2018/11/8 12:50,35.447541 139.644914,シルク博物館,35.454389 139.630904,横浜ランドマークタワー,2018/11/8 12:33,2018/11/8 12:33,2018/11/8 12:53,2018/11/8 12:56,,2018/11/8 12:24,0:20:13,0:20:13,,00,06,,,2018/11/8 12:24,2018/11/8 12:50,43412.516666666743412.5347222222,#N/A,,,
-,-,12,2018/11/8 12:25,062-960-BANANA,11000,まちかど端末（乗降ポイントから）,0,93,3,1,,2018/11/8 12:33,2018/11/8 12:43,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443704 139.651332,ホテルメルパルク横浜,2018/11/8 12:32,2018/11/8 12:34,2018/11/8 12:45,2018/11/8 12:58,,2018/11/8 12:25,0:10:04,0:10:04,,01,07,,,2018/11/8 12:25,2018/11/8 12:43,43412.517361111143412.5298611111,#N/A,,,
-,-,12,2018/11/8 12:27,018-568-RED,11002,まちかど端末（店舗から）,0,45,2,1,,2018/11/8 12:31,2018/11/8 12:45,35.447541 139.644914,シルク博物館,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/8 12:34,2018/11/8 12:34,2018/11/8 12:47,2018/11/8 12:47,,2018/11/8 12:27,0:14:05,0:14:05,,00,03,,,2018/11/8 12:27,2018/11/8 12:45,43412.5187543412.53125,#N/A,,,
-,-,12,2018/11/8 12:28,019-543-RED,11003,まちかど端末（乗降ポイントから）,0,503,5,1,,2018/11/8 12:39,2018/11/8 12:52,35.447541 139.644914,シルク博物館,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/8 12:39,2018/11/8 12:39,2018/11/8 12:55,2018/11/8 13:01,,2018/11/8 12:28,0:13:43,0:13:43,,00,10,,,2018/11/8 12:28,2018/11/8 12:52,43412.519444444443412.5361111111,#N/A,,,
-,-,12,2018/11/8 12:28,167-421-CAKE,11004,乗客アプリWeb（目的地から）,5509,564,3,2,,2018/11/8 12:32,2018/11/8 12:40,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 12:32,2018/11/8 12:34,2018/11/8 12:45,2018/11/8 12:52,,2018/11/8 12:28,0:08:12,0:16:24,,00,04,,,2018/11/8 12:28,2018/11/8 12:40,43412.519444444443412.5277777778,肯定的,,,
-,-,12,2018/11/8 12:29,022-136-GREEN,11005,まちかど端末（店舗から）,0,404,4,1,,2018/11/8 12:36,2018/11/8 12:43,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/8 12:39,2018/11/8 12:39,2018/11/8 12:49,2018/11/8 12:49,,2018/11/8 12:29,0:07:25,0:07:25,,00,07,,,2018/11/8 12:29,2018/11/8 12:43,43412.520138888943412.5298611111,#N/A,,,
-,-,12,2018/11/8 12:29,063-021-BANANA 063-064-BANANA 063-022-BANANA,11006,まちかど端末（店舗から）,0,397,1,3,,2018/11/8 12:39,2018/11/8 12:54,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 12:38,2018/11/8 12:38,2018/11/8 12:54,2018/11/8 12:57,,2018/11/8 12:29,0:14:49,0:44:27,,01,10,,,2018/11/8 12:29,2018/11/8 12:54,43412.520138888943412.5375,#N/A,,,
-,-,12,2018/11/8 12:30,065-242-BANANA,11008,乗客アプリ（簡単予約）,4542,641,5,1,,2018/11/8 12:39,2018/11/8 12:48,35.447541 139.644914,シルク博物館,35.456605 139.635327,横浜ベイホテル東急,2018/11/8 12:40,2018/11/8 12:40,2018/11/8 12:58,2018/11/8 12:58,,2018/11/8 12:30,0:09:31,0:09:31,,00,09,,,2018/11/8 12:30,2018/11/8 12:48,43412.520833333343412.5333333333,#N/A,,,
★,-,12,2018/11/8 12:34,023-384-GREEN,11010,乗客アプリ（地図から）,1705,765,6,1,,2018/11/8 12:41,2018/11/8 12:45,35.453715 139.638133,横浜ワールドポーターズ,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/8 12:44,2018/11/8 12:44,2018/11/8 12:54,2018/11/8 12:54,2018/11/8 12:44,2018/11/8 12:44,0:04:04,0:04:04,,00,00,,,2018/11/8 12:34,2018/11/8 12:45,43412.523611111143412.53125,肯定的,,,
-,-,12,2018/11/8 12:37,101-828-SNOW,11011,乗客アプリ（目的地から）,3930,379,1,1,,2018/11/8 12:47,2018/11/8 12:54,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 12:48,2018/11/8 12:48,2018/11/8 12:56,2018/11/8 12:56,,2018/11/8 12:37,0:07:03,0:07:03,,00,09,,,2018/11/8 12:37,2018/11/8 12:54,43412.525694444443412.5375,#N/A,,,
-,-,12,2018/11/8 12:39,065-334-BANANA,11012,乗客アプリ（目的地から）,3962,378,2,1,,2018/11/8 12:54,2018/11/8 13:04,35.456605 139.635327,横浜ベイホテル東急,35.447541 139.644914,シルク博物館,2018/11/8 12:58,2018/11/8 12:58,2018/11/8 13:09,2018/11/8 13:09,,2018/11/8 12:39,0:10:38,0:10:38,,00,14,,,2018/11/8 12:39,2018/11/8 13:04,43412.527083333343412.5444444444,#N/A,,,
-,-,12,2018/11/8 12:42,018-571-RED 023-687-GREEN,11015,まちかど端末（店舗から）,0,707,4,2,,2018/11/8 12:46,2018/11/8 12:52,35.447541 139.644914,シルク博物館,35.454389 139.630904,横浜ランドマークタワー,2018/11/8 12:47,2018/11/8 12:47,2018/11/8 13:05,2018/11/8 13:05,,2018/11/8 12:42,0:06:37,0:13:14,,00,03,,,2018/11/8 12:42,2018/11/8 12:52,43412.529166666743412.5361111111,#N/A,,,
-,-,12,2018/11/8 12:44,062-651-BANANA 064-758-BANANA 064-759-BANANA,11016,乗客アプリ（地図から）,4862,267,6,3,,2018/11/8 12:52,2018/11/8 12:59,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/8 12:58,2018/11/8 12:58,2018/11/8 13:13,2018/11/8 13:13,,2018/11/8 12:44,0:07:26,0:22:18,,00,07,,,2018/11/8 12:44,2018/11/8 12:59,43412.530555555643412.5409722222,肯定的,,,
-,-,12,2018/11/8 12:49,019-392-RED,11017,まちかど端末（店舗から）,0,356,5,1,,2018/11/8 12:56,2018/11/8 13:01,35.453715 139.638133,横浜ワールドポーターズ,35.454389 139.630904,横浜ランドマークタワー,2018/11/8 13:00,2018/11/8 13:00,2018/11/8 13:10,2018/11/8 13:10,,2018/11/8 12:49,0:04:31,0:04:31,,00,07,,,2018/11/8 12:49,2018/11/8 13:01,43412.534027777843412.5423611111,#N/A,,,
-,-,12,2018/11/8 12:50,017-111-RED,11018,まちかど端末（乗降ポイントから）,0,567,8,1,,2018/11/8 13:00,2018/11/8 13:06,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/8 13:00,2018/11/8 13:00,2018/11/8 13:08,2018/11/8 13:08,,2018/11/8 12:50,0:05:44,0:05:44,,00,10,,,2018/11/8 12:50,2018/11/8 13:06,43412.534722222243412.5458333333,#N/A,,,
★,☆,12,2018/11/8 11:51,104-143-SNOW 104-144-SNOW,10989,乗客アプリ（目的地から）,5482,922,9,2,2018/11/8 11:59,,,35.452963 139.642093,横浜赤レンガ倉庫,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 12:01,,2018/11/8 12:10,,2018/11/8 12:01,2018/11/8 12:01,0:00:00,0:00:00,,00,00,,,2018/11/8 11:51,1900/1/0 0:00,43412.493750,#N/A,,,
-,☆,12,2018/11/8 12:29,021-341-GREEN,11007,乗客アプリ（目的地から）,2137,475,3,1,2018/11/8 12:29,,,35.443908 139.635249,イセザキ・モール,35.441441 139.648505,横浜中華街朱雀門,2018/11/8 12:43,,2018/11/8 12:55,,,2018/11/8 12:29,0:00:00,0:00:00,,00,14,,,2018/11/8 12:29,1900/1/0 0:00,43412.52013888890,#N/A,,,※90行と同一人物と思われるため一番短い待ち時間を採用
-,☆,12,2018/11/8 12:30,021-341-GREEN,11009,乗客アプリ（目的地から）,2137,441,1,1,2018/11/8 12:30,,,35.443908 139.635249,イセザキ・モール,35.441441 139.648505,横浜中華街朱雀門,2018/11/8 12:51,,2018/11/8 13:03,,,2018/11/8 12:30,0:00:00,0:00:00,,00,,,,2018/11/8 12:30,1900/1/0 0:00,43412.52083333330,#N/A,,,※89行と同一人物と思われるため一番短い待ち時間を採用
★,☆,12,2018/11/8 12:39,105-583-SNOW,11013,まちかど端末（店舗から）,0,424,4,1,2018/11/8 12:42,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 12:49,,2018/11/8 12:55,,2018/11/8 12:49,2018/11/8 12:49,0:00:00,0:00:00,,00,00,,,2018/11/8 12:39,1900/1/0 0:00,43412.52708333330,#N/A,,,
-,☆,12,2018/11/8 12:42,113-649-SUN,11014,乗客アプリ（目的地から）,5215,194,6,1,2018/11/8 12:43,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/8 12:55,,2018/11/8 13:05,,,2018/11/8 12:42,0:00:00,0:00:00,,00,13,,,2018/11/8 12:42,1900/1/0 0:00,43412.52916666670,#N/A,,,
★,-,13,2018/11/8 12:27,019-855-RED 019-854-RED,11001,乗客アプリ（目的地から）,2483,329,5,2,,2018/11/8 13:22,2018/11/8 13:32,35.441441 139.648505,横浜中華街朱雀門,35.454389 139.630904,横浜ランドマークタワー,2018/11/8 13:27,2018/11/8 13:27,2018/11/8 13:47,2018/11/8 13:48,2018/11/8 13:27,2018/11/8 13:27,0:09:26,0:18:52,314,00,00,05,05,2018/11/8 12:27,2018/11/8 13:32,43412.5187543412.5638888889,#N/A,,,
-,-,13,2018/11/8 13:04,019-552-RED,11019,乗客アプリ（目的地から）,938,791,4,1,,2018/11/8 13:11,2018/11/8 13:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/8 13:07,2018/11/8 13:07,2018/11/8 13:14,2018/11/8 13:14,,2018/11/8 13:04,0:06:45,0:06:45,,04,07,,,2018/11/8 13:04,2018/11/8 13:18,43412.544444444443412.5541666667,#N/A,,,
-,-,13,2018/11/8 13:05,103-425-SNOW,11020,乗客アプリ（地図から）,5387,395,9,1,,2018/11/8 13:11,2018/11/8 13:18,35.445783 139.642958,横浜情報文化センター,35.441441 139.648505,横浜中華街朱雀門,2018/11/8 13:08,2018/11/8 13:08,2018/11/8 13:14,2018/11/8 13:14,,2018/11/8 13:05,0:06:52,0:06:52,,03,06,,,2018/11/8 13:05,2018/11/8 13:18,43412.545138888943412.5541666667,肯定的,,,
-,-,13,2018/11/8 13:05,023-756-GREEN 023-757-GREEN,11021,乗客アプリ（地図から）,3459,367,8,2,,2018/11/8 13:14,2018/11/8 13:18,35.454389 139.630904,横浜ランドマークタワー,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/8 13:14,2018/11/8 13:14,2018/11/8 13:23,2018/11/8 13:23,,2018/11/8 13:05,0:03:55,0:07:50,,00,08,,,2018/11/8 13:05,2018/11/8 13:18,43412.545138888943412.5541666667,時刻かぶり,,,
-,-,13,2018/11/8 13:05,028-185-GREEN,11022,乗客アプリ（地図から）,4828,929,2,1,,2018/11/8 13:11,2018/11/8 13:22,35.443073 139.651914,横浜人形の家,35.443908 139.635249,イセザキ・モール,2018/11/8 13:09,2018/11/8 13:09,2018/11/8 13:21,2018/11/8 13:21,,2018/11/8 13:05,0:11:22,0:11:22,,01,05,,,2018/11/8 13:05,2018/11/8 13:22,43412.545138888943412.5569444444,#N/A,,,
-,-,13,2018/11/8 13:05,017-602-RED,11023,乗客アプリ（地図から）,4826,616,3,1,,2018/11/8 13:12,2018/11/8 13:26,35.443073 139.651914,横浜人形の家,35.443908 139.635249,イセザキ・モール,2018/11/8 13:10,2018/11/8 13:10,2018/11/8 13:22,2018/11/8 13:22,,2018/11/8 13:05,0:13:28,0:13:28,,02,06,,,2018/11/8 13:05,2018/11/8 13:26,43412.545138888943412.5597222222,肯定的,,,
-,-,13,2018/11/8 13:09,166-638-agekke,11024,乗客アプリ（目的地から）,3162,514,1,1,,2018/11/8 13:12,2018/11/8 13:18,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/8 13:11,2018/11/8 13:11,2018/11/8 13:17,2018/11/8 13:17,,2018/11/8 13:09,0:05:33,0:05:33,,00,03,,,2018/11/8 13:09,2018/11/8 13:18,43412.547916666743412.5541666667,#N/A,,,
-,-,13,2018/11/8 13:11,064-535-BANANA,11027,乗客アプリ（地図から）,5489,425,7,1,,2018/11/8 13:18,2018/11/8 13:27,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/8 13:20,2018/11/8 13:20,2018/11/8 13:32,2018/11/8 13:36,,2018/11/8 13:11,0:09:03,0:09:03,,00,06,,,2018/11/8 13:11,2018/11/8 13:27,43412.549305555643412.5604166667,#N/A,,,
★,-,13,2018/11/8 13:13,063-883-BANANA 063-887-BANANA 063-886-BANANA,11029,乗客アプリ（目的地から）,5476,17,6,3,,2018/11/8 13:18,2018/11/8 13:27,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/8 13:23,2018/11/8 13:23,2018/11/8 13:37,2018/11/8 13:37,2018/11/8 13:23,2018/11/8 13:23,0:08:59,0:26:57,,00,00,,,2018/11/8 13:13,2018/11/8 13:27,43412.550694444443412.5604166667,#N/A,,,
