,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,計算用ダミー,
-,-,10,2018/11/8 10:38,023-674-GREEN,10947,乗客アプリ（目的地から）,1312,986,2,1,,2018/11/8 10:43,2018/11/8 10:49,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/8 10:43,2018/11/8 10:43,2018/11/8 10:51,2018/11/8 10:51,,2018/11/8 10:38,0:05:30,0:05:30,,00,05,,,2018/11/8 10:38,2018/11/8 10:49,43412.443055555643412.4506944444,#N/A,,,
-,-,10,2018/11/8 10:42,166-701-agekke,10948,乗客アプリ（地図から）,2435,534,7,1,,2018/11/8 10:48,2018/11/8 11:12,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/8 10:43,2018/11/8 10:44,2018/11/8 10:57,2018/11/8 11:04,,2018/11/8 10:42,0:24:30,0:24:30,,04,06,,,2018/11/8 10:42,2018/11/8 11:12,43412.445833333343412.4666666667,肯定的,,,
★,-,10,2018/11/8 10:43,112-405-SUN,10949,乗客アプリ（地図から）,4073,375,7,1,,2018/11/8 10:57,2018/11/8 11:06,35.450554 139.632616,横浜桜木町ワシントンホテル,35.445783 139.642958,横浜情報文化センター,2018/11/8 10:53,2018/11/8 10:53,2018/11/8 11:01,2018/11/8 11:01,2018/11/8 10:53,2018/11/8 10:53,0:09:42,0:09:42,,03,03,,,2018/11/8 10:43,2018/11/8 11:06,43412.446527777843412.4625,#N/A,,,
-,-,10,2018/11/8 10:45,071-164-ORANGE 071-166-ORANGE 071-165-ORANGE,10950,乗客アプリ（目的地から）,5465,959,8,3,,2018/11/8 10:49,2018/11/8 10:58,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/8 10:48,2018/11/8 10:48,2018/11/8 10:58,2018/11/8 10:58,,2018/11/8 10:45,0:09:02,0:27:06,,00,03,,,2018/11/8 10:45,2018/11/8 10:58,43412.447916666743412.4569444444,肯定的,,,
-,-,10,2018/11/8 10:47,111-565-SUN,10951,まちかど端末（店舗から）,0,79,4,1,,2018/11/8 10:49,2018/11/8 10:54,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/8 10:49,2018/11/8 10:49,2018/11/8 10:57,2018/11/8 10:57,,2018/11/8 10:47,0:05:12,0:05:12,,00,01,,,2018/11/8 10:47,2018/11/8 10:54,43412.449305555643412.4541666667,#N/A,,,
-,-,10,2018/11/8 10:48,104-150-SNOW 104-151-SNOW,10952,乗客アプリ（地図から）,5488,669,11,2,,2018/11/8 10:51,2018/11/8 10:56,35.450554 139.632616,横浜桜木町ワシントンホテル,35.447546 139.64358,横浜開港資料館,2018/11/8 10:51,2018/11/8 10:51,2018/11/8 11:00,2018/11/8 11:00,,2018/11/8 10:48,0:04:44,0:09:28,,00,03,,,2018/11/8 10:48,2018/11/8 10:56,43412.4543412.4555555556,肯定的,,,
-,-,10,2018/11/8 10:52,072-011-ORANGE,10953,乗客アプリ（目的地から）,4054,102,3,1,,2018/11/8 10:56,2018/11/8 11:09,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/8 10:56,2018/11/8 10:56,2018/11/8 11:08,2018/11/8 11:08,,2018/11/8 10:52,0:12:41,0:12:41,,00,03,,,2018/11/8 10:52,2018/11/8 11:09,43412.452777777843412.4645833333,#N/A,,,
-,-,10,2018/11/8 10:53,166-757-agekke,10954,乗客アプリ（地図から）,1885,623,9,1,,2018/11/8 10:55,2018/11/8 11:05,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/8 10:55,2018/11/8 10:55,2018/11/8 11:09,2018/11/8 11:12,,2018/11/8 10:53,0:09:29,0:09:29,,00,02,,,2018/11/8 10:53,2018/11/8 11:05,43412.453472222243412.4618055556,肯定的,,,
-,-,10,2018/11/8 10:53,166-677-agekke,10955,乗客アプリ（目的地から）,2314,476,5,1,,2018/11/8 10:57,2018/11/8 11:05,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/8 10:56,2018/11/8 10:56,2018/11/8 11:04,2018/11/8 11:04,,2018/11/8 10:53,0:07:31,0:07:31,,00,04,,,2018/11/8 10:53,2018/11/8 11:05,43412.453472222243412.4618055556,時刻かぶり,,,
-,-,10,2018/11/8 10:54,166-638-agekke,10956,乗客アプリ（目的地から）,3162,910,9,1,,2018/11/8 10:56,2018/11/8 11:13,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447541 139.644914,シルク博物館,2018/11/8 10:56,2018/11/8 10:56,2018/11/8 11:08,2018/11/8 11:08,,2018/11/8 10:54,0:17:04,0:17:04,,00,02,,,2018/11/8 10:54,2018/11/8 11:13,43412.454166666743412.4673611111,#N/A,,,
-,-,10,2018/11/8 10:57,166-700-agekke,10957,まちかど端末（店舗から）,0,691,1,1,,2018/11/8 11:01,2018/11/8 11:36,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/8 10:59,2018/11/8 11:02,2018/11/8 11:11,2018/11/8 11:27,,2018/11/8 10:57,0:35:00,0:35:00,,01,03,,,2018/11/8 10:57,2018/11/8 11:36,43412.4562543412.4833333333,#N/A,,,
★,☆,10,2018/11/8 9:06,166-668-agekke,10927,乗客アプリ（目的地から）,5428,438,1,1,2018/11/8 9:06,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/8 10:08,,2018/11/8 10:11,,2018/11/8 10:06,2018/11/8 10:06,0:00:00,0:00:00,,00,01,,,2018/11/8 9:06,1900/1/0 0:00,43412.37916666670,#N/A,,,
-,☆,10,2018/11/8 9:06,072-156-ORANGE,10928,乗客アプリ（目的地から）,5259,12,7,1,2018/11/8 9:09,,,35.456605 139.635327,横浜ベイホテル東急,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/8 10:04,,2018/11/8 10:12,,,2018/11/8 9:06,0:00:00,0:00:00,,00,00,,,2018/11/8 9:06,1900/1/0 0:00,43412.37916666670,#N/A,,2018/11/8 10:00,※10時以前に予約しているため
-,☆,10,2018/11/8 10:06,022-886-GREEN,10934,乗客アプリ（目的地から）,3457,400,2,1,2018/11/8 10:06,,,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/8 10:26,,2018/11/8 10:33,,,2018/11/8 10:06,0:00:00,0:00:00,,00,20,,,2018/11/8 10:06,1900/1/0 0:00,43412.42083333330,#N/A,,,
-,☆,10,2018/11/8 10:07,022-886-GREEN,10935,乗客アプリ（目的地から）,3457,457,2,1,2018/11/8 10:07,,,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/8 10:27,,2018/11/8 10:33,,,2018/11/8 10:07,0:00:00,0:00:00,,00,20,,,2018/11/8 10:07,1900/1/0 0:00,43412.42152777780,#N/A,,,
-,☆,10,2018/11/8 10:10,071-167-ORANGE 071-169-ORANGE 071-168-ORANGE,10937,まちかど端末（乗降ポイントから）,0,204,2,3,2018/11/8 10:10,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/8 10:25,,2018/11/8 10:34,,,2018/11/8 10:10,0:00:00,0:00:00,,00,15,,,2018/11/8 10:10,1900/1/0 0:00,43412.42361111110,#N/A,,,
-,☆,10,2018/11/8 10:16,019-638-RED,10938,乗客アプリ（目的地から）,5352,719,2,1,2018/11/8 10:16,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/8 10:32,,2018/11/8 10:37,,,2018/11/8 10:16,0:00:00,0:00:00,,00,16,,,2018/11/8 10:16,1900/1/0 0:00,43412.42777777780,#N/A,,,
-,☆,10,2018/11/8 10:19,104-143-SNOW 104-144-SNOW,10941,乗客アプリ（地図から）,5482,638,2,2,2018/11/8 10:20,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/8 10:25,,2018/11/8 10:36,,,2018/11/8 10:19,0:00:00,0:00:00,,00,05,,,2018/11/8 10:19,1900/1/0 0:00,43412.42986111110,#N/A,,,
