,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,,
-,-,10,2018/11/3 10:27,8850,まちかど端末（店舗から）,0,883,9,2,,2018/11/3 10:33,2018/11/3 10:42,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/3 10:34,2018/11/3 10:34,2018/11/3 10:45,2018/11/3 10:45,,2018/11/3 10:27,0:09:00,0:18:00,,00,05,,,2018/11/3 10:27,2018/11/3 10:42,43407.435416666743407.4458333333,#N/A,,,,
★,-,10,2018/11/3 10:29,8851,乗客アプリ（目的地から）,2215,700,6,1,,2018/11/3 10:40,2018/11/3 10:55,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.453715 139.638133,横浜ワールドポーターズ,2018/11/3 10:39,2018/11/3 10:39,2018/11/3 10:54,2018/11/3 10:54,2018/11/3 10:39,2018/11/3 10:39,0:15:07,0:15:07,,01,01,,,2018/11/3 10:29,2018/11/3 10:55,43407.436805555643407.4548611111,肯定的,,,,
-,-,10,2018/11/3 10:29,8852,乗客アプリ（目的地から）,1162,499,7,1,,2018/11/3 10:33,2018/11/3 10:37,35.447541 139.644914,シルク博物館,35.448676 139.635696,横浜平和プラザホテル,2018/11/3 10:35,2018/11/3 10:35,2018/11/3 10:41,2018/11/3 10:41,,2018/11/3 10:29,0:04:03,0:04:03,,00,04,,,2018/11/3 10:29,2018/11/3 10:37,43407.436805555643407.4423611111,#N/A,,,,
-,-,10,2018/11/3 10:35,8853,まちかど端末（乗降ポイントから）,0,467,3,2,,2018/11/3 10:41,2018/11/3 10:53,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/3 10:44,2018/11/3 10:44,2018/11/3 11:00,2018/11/3 11:00,,2018/11/3 10:35,0:12:07,0:24:14,,00,06,,,2018/11/3 10:35,2018/11/3 10:53,43407.440972222243407.4534722222,#N/A,,,,
-,-,10,2018/11/3 10:42,8854,まちかど端末（乗降ポイントから）,0,791,10,2,,2018/11/3 10:47,2018/11/3 10:53,35.453715 139.638133,横浜ワールドポーターズ,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/3 10:45,2018/11/3 10:45,2018/11/3 10:54,2018/11/3 10:54,,2018/11/3 10:42,0:05:41,0:11:22,,02,05,,,2018/11/3 10:42,2018/11/3 10:53,43407.445833333343407.4534722222,#N/A,,,,
-,-,10,2018/11/3 10:43,8855,まちかど端末（店舗から）,0,767,4,1,,2018/11/3 10:50,2018/11/3 10:53,35.450447 139.635947,みなとみらい線　馬車道駅,35.447541 139.644914,シルク博物館,2018/11/3 10:48,2018/11/3 10:48,2018/11/3 10:54,2018/11/3 10:54,,2018/11/3 10:43,0:03:28,0:03:28,,01,06,,,2018/11/3 10:43,2018/11/3 10:53,43407.446527777843407.4534722222,#N/A,,,,
-,-,10,2018/11/3 10:48,8856,まちかど端末（店舗から）,0,630,2,1,,2018/11/3 10:50,2018/11/3 10:57,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/3 10:50,2018/11/3 10:50,2018/11/3 10:59,2018/11/3 10:59,,2018/11/3 10:48,0:06:24,0:06:24,,00,02,,,2018/11/3 10:48,2018/11/3 10:57,43407.4543407.45625,#N/A,,,,
-,-,10,2018/11/3 10:53,8857,乗客アプリ（目的地から）,3600,511,5,1,,2018/11/3 10:55,2018/11/3 11:00,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/3 10:55,2018/11/3 10:55,2018/11/3 11:01,2018/11/3 11:01,,2018/11/3 10:53,0:05:01,0:05:01,,00,01,,,2018/11/3 10:53,2018/11/3 11:00,43407.453472222243407.4583333333,#N/A,,,,
-,-,10,2018/11/3 10:56,8859,まちかど端末（乗降ポイントから）,0,276,3,3,,2018/11/3 10:59,2018/11/3 11:03,35.445857 139.647636,ホテルモントレ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/3 10:58,2018/11/3 10:58,2018/11/3 11:02,2018/11/3 11:02,,2018/11/3 10:56,0:03:30,0:10:30,,01,02,,,2018/11/3 10:56,2018/11/3 11:03,43407.455555555643407.4604166667,#N/A,,,,
-,-,10,2018/11/3 10:57,8860,乗客アプリ（地図から）,1751,135,9,1,,2018/11/3 11:02,2018/11/3 11:11,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/3 11:02,2018/11/3 11:02,2018/11/3 11:09,2018/11/3 11:17,,2018/11/3 10:57,0:08:35,0:08:35,,00,05,,,2018/11/3 10:57,2018/11/3 11:11,43407.4562543407.4659722222,肯定的,,※34行と同一人物と思われるため一番短いものを採用,,
-,-,10,2018/11/3 10:58,8861,乗客アプリ（目的地から）,3162,615,9,1,,2018/11/3 11:02,2018/11/3 11:17,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/3 11:03,2018/11/3 11:03,2018/11/3 11:17,2018/11/3 11:25,,2018/11/3 10:58,0:14:22,0:14:22,,00,04,,,2018/11/3 10:58,2018/11/3 11:17,43407.456944444443407.4701388889,#N/A,,※33行と同一人物と思われるため一番短いものを採用,,
-,-,10,2018/11/3 10:58,8862,乗客アプリ（地図から）,1340,691,1,1,,2018/11/3 11:07,2018/11/3 11:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/3 11:06,2018/11/3 11:06,2018/11/3 11:17,2018/11/3 11:17,,2018/11/3 10:58,0:11:05,0:11:05,,00,08,,,2018/11/3 10:58,2018/11/3 11:18,43407.456944444443407.4708333333,#N/A,,,,
-,-,10,2018/11/3 10:59,8863,乗客アプリ（目的地から）,2044,636,5,4,,2018/11/3 11:08,2018/11/3 11:20,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.453715 139.638133,横浜ワールドポーターズ,2018/11/3 11:08,2018/11/3 11:08,2018/11/3 11:21,2018/11/3 11:21,,2018/11/3 10:59,0:11:30,0:46:00,,00,09,,,2018/11/3 10:59,2018/11/3 11:20,43407.457638888943407.4722222222,#N/A,,,,
★,☆,10,2018/11/3 9:09,8829,乗客アプリ（目的地から）,2400,523,5,1,2018/11/3 9:10,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/3 10:04,,2018/11/3 10:11,,2018/11/3 9:19,2018/11/3 9:19,0:00:00,0:00:00,,00,,,,2018/11/3 9:09,1900/1/0 0:00,43407.381250,#N/A,,2018/11/3 10:00,※10時以前に予約しているため,※同一人物と思われるため一番短いものを採用
★,☆,10,2018/11/3 9:13,8830,乗客アプリ（目的地から）,2400,187,5,1,2018/11/3 9:13,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/3 10:13,,2018/11/3 10:20,,2018/11/3 10:13,2018/11/3 10:13,0:00:00,0:00:00,,00,00,,,2018/11/3 9:13,1900/1/0 0:00,43407.38402777780,#N/A,,2018/11/3 10:00,※10時以前に予約しているため,※同一人物と思われるため一番短いものを採用
★,☆,10,2018/11/3 9:27,8831,乗客アプリ（目的地から）,2400,100,5,1,2018/11/3 9:28,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/3 10:04,,2018/11/3 10:11,,2018/11/3 9:37,2018/11/3 9:37,0:00:00,0:00:00,,00,,,,2018/11/3 9:27,1900/1/0 0:00,43407.393750,#N/A,,2018/11/3 10:00,※10時以前に予約しているため,※同一人物と思われるため一番短いものを採用
-,☆,10,2018/11/3 9:30,8832,乗客アプリ（地図から）,4764,985,4,6,2018/11/3 10:22,,,35.443704 139.651332,ホテルメルパルク横浜,35.453715 139.638133,横浜ワールドポーターズ,2018/11/3 10:14,,2018/11/3 10:29,,,2018/11/3 9:30,0:00:00,0:00:00,,00,22,,,2018/11/3 9:30,1900/1/0 0:00,43407.39583333330,#N/A,,2018/11/3 10:00,※10時以前に予約しているため,
-,☆,10,2018/11/3 9:34,8834,乗客アプリ（目的地から）,2400,339,5,1,2018/11/3 9:34,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/3 10:04,,2018/11/3 10:11,,,2018/11/3 9:34,0:00:00,0:00:00,,00,,,,2018/11/3 9:34,1900/1/0 0:00,43407.39861111110,#N/A,,2018/11/3 10:00,※10時以前に予約しているため,※同一人物と思われるため一番短いものを採用
★,☆,10,2018/11/3 9:35,8835,乗客アプリ（目的地から）,2400,834,5,1,2018/11/3 9:35,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/3 10:04,,2018/11/3 10:11,,2018/11/3 9:45,2018/11/3 9:45,0:00:00,0:00:00,,00,,,,2018/11/3 9:35,1900/1/0 0:00,43407.39930555560,#N/A,,2018/11/3 10:00,※10時以前に予約しているため,※同一人物と思われるため一番短いものを採用
-,☆,10,2018/11/3 9:35,8836,乗客アプリ（目的地から）,2400,319,5,1,2018/11/3 9:36,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/3 10:04,,2018/11/3 10:11,,,2018/11/3 9:35,0:00:00,0:00:00,,00,,,,2018/11/3 9:35,1900/1/0 0:00,43407.39930555560,#N/A,,2018/11/3 10:00,※10時以前に予約しているため,※同一人物と思われるため一番短いものを採用
★,☆,10,2018/11/3 9:50,8839,乗客アプリ（目的地から）,4797,820,1,2,2018/11/3 10:14,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/3 10:08,,2018/11/3 10:16,,2018/11/3 10:00,2018/11/3 10:00,0:00:00,0:00:00,,00,08,,,2018/11/3 9:50,1900/1/0 0:00,43407.40972222220,#N/A,,2018/11/3 10:00,※10時以前に予約しているため,
★,☆,10,2018/11/3 10:17,8845,乗客アプリ（目的地から）,1019,3,8,1,2018/11/3 10:17,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/3 10:27,,2018/11/3 10:39,,2018/11/3 10:27,2018/11/3 10:27,0:00:00,0:00:00,,00,00,,,2018/11/3 10:17,1900/1/0 0:00,43407.42847222220,#N/A,,,,
★,-,11,2018/11/3 10:54,8858,乗客アプリ（地図から）,2891,862,7,1,,2018/11/3 10:58,2018/11/3 11:06,35.450447 139.635947,みなとみらい線　馬車道駅,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/3 11:04,2018/11/3 11:04,2018/11/3 11:13,2018/11/3 11:13,2018/11/3 11:04,2018/11/3 11:04,0:07:36,0:07:36,430,00,00,05,04,2018/11/3 10:54,2018/11/3 11:06,43407.454166666743407.4625,#N/A,,,,
-,-,11,2018/11/3 11:00,8864,まちかど端末（店舗から）,0,515,6,1,,2018/11/3 11:03,2018/11/3 11:08,35.447541 139.644914,シルク博物館,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/3 11:01,2018/11/3 11:01,2018/11/3 11:06,2018/11/3 11:06,,2018/11/3 11:00,0:04:59,0:04:59,,01,03,,,2018/11/3 11:00,2018/11/3 11:08,43407.458333333343407.4638888889,#N/A,,,,
★,-,11,2018/11/3 11:00,8865,乗客アプリ（目的地から）,4679,780,9,2,,2018/11/3 11:06,2018/11/3 11:22,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443704 139.651332,ホテルメルパルク横浜,2018/11/3 11:10,2018/11/3 11:10,2018/11/3 11:31,2018/11/3 11:31,2018/11/3 11:10,2018/11/3 11:10,0:16:16,0:32:32,,00,00,,,2018/11/3 11:00,2018/11/3 11:22,43407.458333333343407.4736111111,#N/A,,,,
-,-,11,2018/11/3 11:03,8866,乗客アプリ（目的地から）,1328,839,2,1,,2018/11/3 11:08,2018/11/3 11:12,35.448676 139.635696,横浜平和プラザホテル,35.443908 139.635249,イセザキ・モール,2018/11/3 11:07,2018/11/3 11:07,2018/11/3 11:11,2018/11/3 11:11,,2018/11/3 11:03,0:04:39,0:04:39,,00,04,,,2018/11/3 11:03,2018/11/3 11:12,43407.460416666743407.4666666667,#N/A,,,,
-,-,11,2018/11/3 11:06,8867,乗客アプリ（地図から）,4784,114,7,2,,2018/11/3 11:07,2018/11/3 11:19,35.441002 139.650809,横浜元町ショッピングストリート,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/3 11:07,2018/11/3 11:07,2018/11/3 11:17,2018/11/3 11:17,,2018/11/3 11:06,0:12:30,0:25:00,,00,00,,,2018/11/3 11:06,2018/11/3 11:19,43407.462543407.4715277778,#N/A,,,,
★,-,11,2018/11/3 11:10,8869,乗客アプリ（簡単予約）,4817,328,4,2,,2018/11/3 11:16,2018/11/3 11:20,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/3 11:20,2018/11/3 11:20,2018/11/3 11:28,2018/11/3 11:28,2018/11/3 11:20,2018/11/3 11:20,0:04:22,0:08:44,,00,00,,,2018/11/3 11:10,2018/11/3 11:20,43407.465277777843407.4722222222,肯定的,,,,
-,-,11,2018/11/3 11:10,8870,乗客アプリ（簡単予約）,4547,662,8,4,,2018/11/3 11:15,2018/11/3 11:29,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.453715 139.638133,横浜ワールドポーターズ,2018/11/3 11:13,2018/11/3 11:13,2018/11/3 11:28,2018/11/3 11:28,,2018/11/3 11:10,0:13:27,0:53:48,,02,04,,,2018/11/3 11:10,2018/11/3 11:29,43407.465277777843407.4784722222,肯定的,,,,
★,-,11,2018/11/3 11:18,8871,乗客アプリ（地図から）,4546,826,8,1,,2018/11/3 11:25,2018/11/3 11:38,35.456605 139.635327,横浜ベイホテル東急,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/3 11:28,2018/11/3 11:28,2018/11/3 11:43,2018/11/3 11:43,2018/11/3 11:28,2018/11/3 11:28,0:12:53,0:12:53,,00,00,,,2018/11/3 11:18,2018/11/3 11:38,43407.470833333343407.4847222222,#N/A,,,,
-,-,11,2018/11/3 11:20,8873,乗客アプリ（目的地から）,3600,999,2,1,,2018/11/3 11:22,2018/11/3 11:28,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.454389 139.630904,横浜ランドマークタワー,2018/11/3 11:25,2018/11/3 11:25,2018/11/3 11:32,2018/11/3 11:32,,2018/11/3 11:20,0:05:14,0:05:14,,00,01,,,2018/11/3 11:20,2018/11/3 11:28,43407.472222222243407.4777777778,#N/A,,,,
-,-,11,2018/11/3 11:26,8875,乗客アプリ（地図から）,3395,946,6,2,,2018/11/3 11:34,2018/11/3 11:42,35.441002 139.650809,横浜元町ショッピングストリート,35.447546 139.64358,横浜開港資料館,2018/11/3 11:31,2018/11/3 11:31,2018/11/3 11:39,2018/11/3 11:39,,2018/11/3 11:26,0:07:52,0:15:44,,03,07,,,2018/11/3 11:26,2018/11/3 11:42,43407.476388888943407.4875,#N/A,,,,
-,-,11,2018/11/3 11:28,8876,乗客アプリ（地図から）,2934,332,3,2,,2018/11/3 11:32,2018/11/3 11:45,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/3 11:29,2018/11/3 11:29,2018/11/3 11:46,2018/11/3 11:46,,2018/11/3 11:28,0:12:45,0:25:30,,02,04,,,2018/11/3 11:28,2018/11/3 11:45,43407.477777777843407.4895833333,#N/A,,,,
-,-,11,2018/11/3 11:28,8877,乗客アプリ（目的地から）,4533,449,2,1,,2018/11/3 11:31,2018/11/3 11:47,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443908 139.635249,イセザキ・モール,2018/11/3 11:31,2018/11/3 11:31,2018/11/3 11:38,2018/11/3 11:38,,2018/11/3 11:28,0:15:25,0:15:25,,00,03,,,2018/11/3 11:28,2018/11/3 11:47,43407.477777777843407.4909722222,肯定的,,,,
-,-,11,2018/11/3 11:28,8879,乗客アプリ（目的地から）,4799,388,4,1,,2018/11/3 11:32,2018/11/3 11:41,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/3 11:35,2018/11/3 11:35,2018/11/3 11:46,2018/11/3 11:46,,2018/11/3 11:28,0:08:52,0:08:52,,00,04,,,2018/11/3 11:28,2018/11/3 11:41,43407.477777777843407.4868055556,#N/A,,,,
-,-,11,2018/11/3 11:31,8880,乗客アプリ（目的地から）,4033,50,9,2,,2018/11/3 11:42,2018/11/3 11:51,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.453715 139.638133,横浜ワールドポーターズ,2018/11/3 11:40,2018/11/3 11:40,2018/11/3 11:52,2018/11/3 11:52,,2018/11/3 11:31,0:08:44,0:17:28,,02,11,,,2018/11/3 11:31,2018/11/3 11:51,43407.479861111143407.49375,#N/A,,,,
-,-,11,2018/11/3 11:32,8881,乗客アプリ（目的地から）,3068,982,10,1,,2018/11/3 11:40,2018/11/3 11:48,35.443659 139.650847,横浜マリンタワー,35.453715 139.638133,横浜ワールドポーターズ,2018/11/3 11:38,2018/11/3 11:38,2018/11/3 11:49,2018/11/3 11:49,,2018/11/3 11:32,0:08:05,0:08:05,,01,08,,,2018/11/3 11:32,2018/11/3 11:48,43407.480555555643407.4916666667,肯定的,,,,
-,-,11,2018/11/3 11:34,8884,乗客アプリ（目的地から）,4825,754,7,3,,2018/11/3 11:35,2018/11/3 11:48,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/3 11:36,2018/11/3 11:36,2018/11/3 11:49,2018/11/3 11:49,,2018/11/3 11:34,0:13:05,0:39:15,,00,00,,,2018/11/3 11:34,2018/11/3 11:48,43407.481944444443407.4916666667,肯定的,,,,
-,-,11,2018/11/3 11:41,8886,乗客アプリ（地図から）,4828,998,6,1,,2018/11/3 11:45,2018/11/3 11:52,35.447541 139.644914,シルク博物館,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/3 11:46,2018/11/3 11:46,2018/11/3 11:55,2018/11/3 11:56,,2018/11/3 11:41,0:06:32,0:06:32,,00,04,,,2018/11/3 11:41,2018/11/3 11:52,43407.486805555643407.4944444444,肯定的,,,,
-,-,11,2018/11/3 11:41,8887,乗客アプリ（地図から）,4826,707,6,1,,2018/11/3 11:45,2018/11/3 11:50,35.447541 139.644914,シルク博物館,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/3 11:47,2018/11/3 11:47,2018/11/3 11:56,2018/11/3 11:56,,2018/11/3 11:41,0:05:22,0:05:22,,00,03,,,2018/11/3 11:41,2018/11/3 11:50,43407.486805555643407.4930555556,肯定的,,,,
-,-,11,2018/11/3 11:48,8890,まちかど端末（店舗から）,0,625,4,2,,2018/11/3 11:56,2018/11/3 12:08,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/3 11:54,2018/11/3 11:54,2018/11/3 12:07,2018/11/3 12:07,,2018/11/3 11:48,0:12:08,0:24:16,,01,08,,,2018/11/3 11:48,2018/11/3 12:08,43407.491666666743407.5055555556,#N/A,,,,
-,-,11,2018/11/3 11:52,8892,乗客アプリ（目的地から）,1450,114,10,2,,2018/11/3 11:57,2018/11/3 12:06,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/3 11:56,2018/11/3 11:56,2018/11/3 12:11,2018/11/3 12:11,,2018/11/3 11:52,0:08:34,0:17:08,,01,05,,,2018/11/3 11:52,2018/11/3 12:06,43407.494444444443407.5041666667,#N/A,,,,
-,-,11,2018/11/3 11:53,8895,乗客アプリ（目的地から）,4814,322,7,2,,2018/11/3 12:00,2018/11/3 12:08,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/3 11:59,2018/11/3 12:00,2018/11/3 12:09,2018/11/3 12:12,,2018/11/3 11:53,0:08:12,0:16:24,,01,06,,,2018/11/3 11:53,2018/11/3 12:08,43407.495138888943407.5055555556,#N/A,,,,
-,-,11,2018/11/3 11:54,8896,まちかど端末（店舗から）,0,875,6,2,,2018/11/3 12:01,2018/11/3 12:20,35.445857 139.647636,ホテルモントレ横浜,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/3 12:01,2018/11/3 12:01,2018/11/3 12:15,2018/11/3 12:15,,2018/11/3 11:54,0:18:44,0:37:28,,00,07,,,2018/11/3 11:54,2018/11/3 12:20,43407.495833333343407.5138888889,#N/A,,,,
