,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,,,,
-,-,10,2018/10/31 9:58,7732,乗客アプリ（地図から）,4472,377,5,1,,2018/10/31 10:06,2018/10/31 10:16,35.450681 139.632446,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/31 10:04,2018/10/31 10:04,2018/10/31 10:13,2018/10/31 10:13,,2018/10/31 9:58,0:10:07,0:10:07,403,02,06,06,06,2018/10/31 9:58,2018/10/31 10:16,43404.415277777843404.4277777778,#N/A,,2018/10/31 10:00,※10時以前に予約しているため,
-,-,10,2018/10/31 9:59,7733,乗客アプリ（地図から）,3048,325,9,1,,2018/10/31 10:12,2018/10/31 10:24,35.454389 139.630904,横浜ランドマークタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/31 10:02,2018/10/31 10:07,2018/10/31 10:12,2018/10/31 10:18,,2018/10/31 9:59,0:12:27,0:12:27,,09,12,,,2018/10/31 9:59,2018/10/31 10:24,43404.415972222243404.4333333333,#N/A,,2018/10/31 10:00,※10時以前に予約しているため,
-,-,10,2018/10/31 10:01,7734,まちかど端末（乗降ポイントから）,0,990,2,2,,2018/10/31 10:14,2018/10/31 10:25,35.443704 139.651332,ホテルメルパルク横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/31 10:15,2018/10/31 10:15,2018/10/31 10:28,2018/10/31 10:28,,2018/10/31 10:01,0:10:07,0:20:14,,00,13,,,2018/10/31 10:01,2018/10/31 10:25,43404.417361111143404.4340277778,#N/A,,,,
-,-,10,2018/10/31 10:04,7735,まちかど端末（店舗から）,0,955,9,1,,2018/10/31 10:12,2018/10/31 10:33,35.454389 139.630904,横浜ランドマークタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/31 10:07,2018/10/31 10:07,2018/10/31 10:24,2018/10/31 10:24,,2018/10/31 10:04,0:20:24,0:20:24,,05,08,,,2018/10/31 10:04,2018/10/31 10:33,43404.419444444443404.4395833333,#N/A,,,,
-,-,10,2018/10/31 10:07,7736,乗客アプリ（地図から）,2435,476,5,1,,2018/10/31 10:12,2018/10/31 10:26,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/31 10:13,2018/10/31 10:13,2018/10/31 10:30,2018/10/31 10:30,,2018/10/31 10:07,0:14:18,0:14:18,,00,04,,,2018/10/31 10:07,2018/10/31 10:26,43404.421527777843404.4347222222,#N/A,,,,
-,-,10,2018/10/31 10:07,7737,乗客アプリ（目的地から）,1358,294,1,1,,2018/10/31 10:12,2018/10/31 10:23,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/31 10:11,2018/10/31 10:13,2018/10/31 10:20,2018/10/31 10:26,,2018/10/31 10:07,0:11:01,0:11:01,,00,04,,,2018/10/31 10:07,2018/10/31 10:23,43404.421527777843404.4326388889,#N/A,,,,
-,-,10,2018/10/31 10:08,7738,乗客アプリ（地図から）,4434,668,3,1,,2018/10/31 10:10,2018/10/31 10:25,35.448676 139.635696,横浜平和プラザホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/31 10:10,2018/10/31 10:10,2018/10/31 10:26,2018/10/31 10:26,,2018/10/31 10:08,0:15:23,0:15:23,,00,02,,,2018/10/31 10:08,2018/10/31 10:25,43404.422222222243404.4340277778,#N/A,,,,
-,-,10,2018/10/31 10:09,7739,乗客アプリ（地図から）,2051,708,5,1,,2018/10/31 10:12,2018/10/31 10:36,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/10/31 10:13,2018/10/31 10:13,2018/10/31 10:36,2018/10/31 10:36,,2018/10/31 10:09,0:24:21,0:24:21,,00,03,,,2018/10/31 10:09,2018/10/31 10:36,43404.422916666743404.4416666667,#N/A,,,,
-,-,10,2018/10/31 10:10,7740,乗客アプリ（目的地から）,4363,61,1,1,,2018/10/31 10:17,2018/10/31 10:22,35.450447 139.635947,みなとみらい線　馬車道駅,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/31 10:18,2018/10/31 10:18,2018/10/31 10:25,2018/10/31 10:25,,2018/10/31 10:10,0:05:11,0:05:11,,00,07,,,2018/10/31 10:10,2018/10/31 10:22,43404.423611111143404.4319444444,#N/A,,,,
-,-,10,2018/10/31 10:11,7741,乗客アプリ（目的地から）,1478,193,3,1,,2018/10/31 10:14,2018/10/31 10:28,35.448801 139.636702,ホテルルートイン横浜馬車道,35.454389 139.630904,横浜ランドマークタワー,2018/10/31 10:14,2018/10/31 10:14,2018/10/31 10:29,2018/10/31 10:29,,2018/10/31 10:11,0:14:48,0:14:48,,00,02,,,2018/10/31 10:11,2018/10/31 10:28,43404.424305555643404.4361111111,#N/A,,,,
