,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,,,,
-,-,10,2018/10/31 10:14,7742,乗客アプリ（目的地から）,1885,567,8,1,,2018/10/31 10:21,2018/10/31 10:42,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/10/31 10:24,2018/10/31 10:25,2018/10/31 10:35,2018/10/31 10:44,,2018/10/31 10:14,0:20:41,0:20:41,,00,06,,,2018/10/31 10:14,2018/10/31 10:42,43404.426388888943404.4458333333,肯定的,,,,
-,-,10,2018/10/31 10:15,7743,まちかど端末（乗降ポイントから）,0,86,8,1,,2018/10/31 10:21,2018/10/31 10:33,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/31 10:24,2018/10/31 10:24,2018/10/31 10:32,2018/10/31 10:39,,2018/10/31 10:15,0:12:20,0:12:20,,00,06,,,2018/10/31 10:15,2018/10/31 10:33,43404.427083333343404.4395833333,#N/A,,,,
-,-,10,2018/10/31 10:16,7745,まちかど端末（店舗から）,0,837,10,2,,2018/10/31 10:22,2018/10/31 10:27,35.450447 139.635947,みなとみらい線　馬車道駅,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/31 10:20,2018/10/31 10:20,2018/10/31 10:26,2018/10/31 10:26,,2018/10/31 10:16,0:05:01,0:10:02,,01,05,,,2018/10/31 10:16,2018/10/31 10:27,43404.427777777843404.4354166667,#N/A,,,,
-,-,10,2018/10/31 10:19,7746,まちかど端末（乗降ポイントから）,0,376,8,2,,2018/10/31 10:28,2018/10/31 11:02,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/31 10:29,2018/10/31 10:29,2018/10/31 10:53,2018/10/31 10:53,,2018/10/31 10:19,0:34:20,1:08:40,,00,08,,,2018/10/31 10:19,2018/10/31 11:02,43404.429861111143404.4597222222,#N/A,,,,
★,-,10,2018/10/31 10:22,7747,まちかど端末（店舗から）,0,635,4,1,,2018/10/31 11:19,2018/10/31 11:27,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.453715 139.638133,横浜ワールドポーターズ,2018/10/31 11:21,2018/10/31 11:21,2018/10/31 11:31,2018/10/31 11:31,2018/10/31 11:21,2018/10/31 11:21,0:08:41,0:08:41,,00,00,,,2018/10/31 10:22,2018/10/31 11:27,43404.431944444443404.4770833333,#N/A,,,,
-,-,10,2018/10/31 10:25,7748,乗客アプリ（地図から）,4458,382,10,1,,2018/10/31 10:29,2018/10/31 10:36,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/31 10:31,2018/10/31 10:31,2018/10/31 10:40,2018/10/31 10:40,,2018/10/31 10:25,0:06:14,0:06:14,,00,04,,,2018/10/31 10:25,2018/10/31 10:36,43404.434027777843404.4416666667,肯定的,,,,
-,-,10,2018/10/31 10:25,7749,まちかど端末（乗降ポイントから）,0,236,3,2,,2018/10/31 10:34,2018/10/31 10:39,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.445783 139.642958,横浜情報文化センター,2018/10/31 10:37,2018/10/31 10:37,2018/10/31 10:49,2018/10/31 10:49,,2018/10/31 10:25,0:05:20,0:10:40,,00,08,,,2018/10/31 10:25,2018/10/31 10:39,43404.434027777843404.44375,#N/A,,,,
-,-,10,2018/10/31 10:35,7751,まちかど端末（乗降ポイントから）,0,4,5,1,,2018/10/31 10:38,2018/10/31 10:58,35.441002 139.650809,横浜元町ショッピングストリート,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/31 10:39,2018/10/31 10:39,2018/10/31 10:56,2018/10/31 10:59,,2018/10/31 10:35,0:19:42,0:19:42,,00,03,,,2018/10/31 10:35,2018/10/31 10:58,43404.440972222243404.4569444444,#N/A,,,,
-,-,10,2018/10/31 10:36,7752,乗客アプリ（地図から）,4073,940,8,1,,2018/10/31 10:46,2018/10/31 10:54,35.450681 139.632446,横浜桜木町ワシントンホテル,35.445783 139.642958,横浜情報文化センター,2018/10/31 10:45,2018/10/31 10:45,2018/10/31 10:52,2018/10/31 10:52,,2018/10/31 10:36,0:08:02,0:08:02,,01,10,,,2018/10/31 10:36,2018/10/31 10:54,43404.441666666743404.4541666667,#N/A,,,,
-,-,10,2018/10/31 10:36,7753,乗客アプリ（地図から）,4443,946,1,2,,2018/10/31 10:39,2018/10/31 10:53,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/31 10:39,2018/10/31 10:39,2018/10/31 10:58,2018/10/31 10:58,,2018/10/31 10:36,0:14:36,0:29:12,,00,02,,,2018/10/31 10:36,2018/10/31 10:53,43404.441666666743404.4534722222,#N/A,,,,
-,-,10,2018/10/31 10:37,7754,乗客アプリ（地図から）,3048,445,5,1,,2018/10/31 10:46,2018/10/31 10:58,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/31 10:44,2018/10/31 10:44,2018/10/31 10:59,2018/10/31 10:59,,2018/10/31 10:37,0:12:25,0:12:25,,01,08,,,2018/10/31 10:37,2018/10/31 10:58,43404.442361111143404.4569444444,#N/A,,,,
-,-,10,2018/10/31 10:39,7755,乗客アプリ（地図から）,4458,452,9,1,,2018/10/31 10:42,2018/10/31 10:49,35.452963 139.642093,横浜赤レンガ倉庫,35.443704 139.651332,ホテルメルパルク横浜,2018/10/31 10:44,2018/10/31 10:44,2018/10/31 10:53,2018/10/31 10:53,,2018/10/31 10:39,0:07:15,0:07:15,,00,02,,,2018/10/31 10:39,2018/10/31 10:49,43404.4437543404.4506944444,#N/A,,,,
-,-,10,2018/10/31 10:42,7756,まちかど端末（乗降ポイントから）,0,202,1,1,,2018/10/31 10:50,2018/10/31 10:59,35.450447 139.635947,みなとみらい線　馬車道駅,35.447541 139.644914,シルク博物館,2018/10/31 10:49,2018/10/31 10:49,2018/10/31 11:02,2018/10/31 11:02,,2018/10/31 10:42,0:09:04,0:09:04,,00,07,,,2018/10/31 10:42,2018/10/31 10:59,43404.445833333343404.4576388889,#N/A,,,,
-,-,10,2018/10/31 10:45,7757,乗客アプリ（地図から）,1666,945,3,1,,2018/10/31 10:52,2018/10/31 10:54,35.454389 139.630904,横浜ランドマークタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/31 10:58,2018/10/31 10:58,2018/10/31 11:04,2018/10/31 11:04,,2018/10/31 10:45,0:02:43,0:02:43,,00,06,,,2018/10/31 10:45,2018/10/31 10:54,43404.447916666743404.4541666667,#N/A,,,,
-,-,10,2018/10/31 10:47,7758,まちかど端末（店舗から）,0,199,7,2,,2018/10/31 10:54,2018/10/31 11:04,35.454389 139.630904,横浜ランドマークタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/31 10:55,2018/10/31 10:55,2018/10/31 11:08,2018/10/31 11:08,,2018/10/31 10:47,0:10:03,0:20:06,,00,06,,,2018/10/31 10:47,2018/10/31 11:04,43404.449305555643404.4611111111,#N/A,,,,
-,-,10,2018/10/31 10:52,7760,乗客アプリWeb（地図から）,1946,835,10,1,,2018/10/31 10:57,2018/10/31 11:03,35.450681 139.632446,横浜桜木町ワシントンホテル,35.447546 139.64358,横浜開港資料館,2018/10/31 10:59,2018/10/31 10:59,2018/10/31 11:07,2018/10/31 11:07,,2018/10/31 10:52,0:05:47,0:05:47,,00,05,,,2018/10/31 10:52,2018/10/31 11:03,43404.452777777843404.4604166667,#N/A,,,,
-,-,10,2018/10/31 10:57,7761,乗客アプリ（地図から）,2374,152,5,1,,2018/10/31 11:02,2018/10/31 11:06,35.456605 139.635327,横浜ベイホテル東急,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/31 11:05,2018/10/31 11:05,2018/10/31 11:11,2018/10/31 11:11,,2018/10/31 10:57,0:03:57,0:03:57,,00,05,,,2018/10/31 10:57,2018/10/31 11:06,43404.4562543404.4625,#N/A,,,,
-,☆,10,2018/10/31 10:58,7762,乗客アプリ（地図から）,4398,205,1,2,2018/10/31 10:58,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/31 11:01,,2018/10/31 11:11,,,2018/10/31 10:58,0:00:00,0:00:00,,00,02,,,2018/10/31 10:58,1900/1/0 0:00,43404.45694444440,#N/A,,,,
★,☆,10,2018/10/31 9:03,7727,まちかど端末（店舗から）,0,688,1,4,2018/10/31 9:05,,,35.443704 139.651332,ホテルメルパルク横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/31 10:12,,2018/10/31 10:21,,2018/10/31 10:03,2018/10/31 10:03,0:00:00,0:00:00,,00,03,,,2018/10/31 9:03,1900/1/0 0:00,43404.37708333330,#N/A,,2018/10/31 10:00,※10時以前に予約しているため,
-,☆,10,2018/10/31 9:09,7728,乗客アプリ（簡単予約）,2290,173,1,1,2018/10/31 9:10,,,35.448676 139.635696,横浜平和プラザホテル,35.443073 139.651914,横浜人形の家,2018/10/31 10:06,,2018/10/31 10:15,,,2018/10/31 9:09,0:00:00,0:00:00,,00,06,,,2018/10/31 9:09,1900/1/0 0:00,43404.381250,#N/A,,2018/10/31 10:00,※10時以前に予約しているため,33行と同一人物と思われるため一番短いものを採用
★,☆,10,2018/10/31 9:09,7729,まちかど端末（店舗から）,0,687,3,4,2018/10/31 9:10,,,35.443704 139.651332,ホテルメルパルク横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/31 10:12,,2018/10/31 10:21,,2018/10/31 10:09,2018/10/31 10:09,0:00:00,0:00:00,,00,09,,,2018/10/31 9:09,1900/1/0 0:00,43404.381250,#N/A,,2018/10/31 10:00,※10時以前に予約しているため,
-,☆,10,2018/10/31 9:11,7730,乗客アプリ（地図から）,2290,288,1,1,2018/10/31 9:18,,,35.448676 139.635696,横浜平和プラザホテル,35.443073 139.651914,横浜人形の家,2018/10/31 10:06,,2018/10/31 10:15,,,2018/10/31 9:11,0:00:00,0:00:00,,00,,,,2018/10/31 9:11,1900/1/0 0:00,43404.38263888890,#N/A,,2018/10/31 10:00,※10時以前に予約しているため,31行と同一人物と思われるため一番短いものを採用
-,☆,10,2018/10/31 9:55,7731,乗客アプリ（目的地から）,4363,552,3,1,2018/10/31 10:08,,,35.448676 139.635696,横浜平和プラザホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/31 10:07,,2018/10/31 10:16,,,2018/10/31 9:55,0:00:00,0:00:00,,00,07,,,2018/10/31 9:55,1900/1/0 0:00,43404.41319444440,#N/A,,2018/10/31 10:00,※10時以前に予約しているため,
-,☆,10,2018/10/31 10:16,7744,乗客アプリ（地図から）,3786,793,6,1,2018/10/31 10:27,,,35.443908 139.635249,イセザキ・モール,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/31 10:19,,2018/10/31 10:26,,,2018/10/31 10:16,0:00:00,0:00:00,,00,10,,,2018/10/31 10:16,1900/1/0 0:00,43404.42777777780,#N/A,,36行と同一人物と思われるため一番短いものを採用,,
-,☆,10,2018/10/31 10:27,7750,乗客アプリ（地図から）,3786,579,1,1,2018/10/31 10:41,,,35.443908 139.635249,イセザキ・モール,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/31 10:33,,2018/10/31 10:40,,,2018/10/31 10:27,0:00:00,0:00:00,,00,,,,2018/10/31 10:27,1900/1/0 0:00,43404.43541666670,#N/A,,35行と同一人物と思われるため一番短いものを採用,,
-,☆,10,2018/10/31 10:52,7759,まちかど端末（店舗から）,0,299,9,2,2018/10/31 10:57,,,35.445857 139.647636,ホテルモントレ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/31 10:53,,2018/10/31 10:57,,,2018/10/31 10:52,0:00:00,0:00:00,,00,04,,,2018/10/31 10:52,1900/1/0 0:00,43404.45277777780,#N/A,,,,
-,-,11,2018/10/31 11:01,7763,乗客アプリ（地図から）,4458,958,1,1,,2018/10/31 11:05,2018/10/31 11:16,35.445857 139.647636,ホテルモントレ横浜,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/31 11:03,2018/10/31 11:03,2018/10/31 11:16,2018/10/31 11:24,,2018/10/31 11:01,0:10:47,0:10:47,289,02,04,04,04,2018/10/31 11:01,2018/10/31 11:16,43404.459027777843404.4694444444,#N/A,,,,
-,-,11,2018/10/31 11:02,7764,まちかど端末（店舗から）,0,18,9,2,,2018/10/31 11:04,2018/10/31 11:06,35.445857 139.647636,ホテルモントレ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/31 11:04,2018/10/31 11:04,2018/10/31 11:07,2018/10/31 11:07,,2018/10/31 11:02,0:02:07,0:04:14,,00,01,,,2018/10/31 11:02,2018/10/31 11:06,43404.459722222243404.4625,#N/A,,,,
-,-,11,2018/10/31 11:03,7765,まちかど端末（店舗から）,0,440,7,2,,2018/10/31 11:04,2018/10/31 11:18,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/31 11:06,2018/10/31 11:06,2018/10/31 11:17,2018/10/31 11:17,,2018/10/31 11:03,0:13:10,0:26:20,,00,01,,,2018/10/31 11:03,2018/10/31 11:18,43404.460416666743404.4708333333,#N/A,,,,
-,-,11,2018/10/31 11:05,7766,乗客アプリ（目的地から）,4363,70,1,1,,2018/10/31 11:12,2018/10/31 11:16,35.452963 139.642093,横浜赤レンガ倉庫,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/31 11:16,2018/10/31 11:16,2018/10/31 11:24,2018/10/31 11:24,,2018/10/31 11:05,0:04:07,0:04:07,,00,07,,,2018/10/31 11:05,2018/10/31 11:16,43404.461805555643404.4694444444,否定的,,,,
-,-,11,2018/10/31 11:06,7767,乗客アプリ（目的地から）,4475,393,7,1,,2018/10/31 11:13,2018/10/31 11:24,35.443908 139.635249,イセザキ・モール,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/31 11:12,2018/10/31 11:12,2018/10/31 11:28,2018/10/31 11:28,,2018/10/31 11:06,0:10:48,0:10:48,,00,06,,,2018/10/31 11:06,2018/10/31 11:24,43404.462543404.475,#N/A,,,,
-,-,11,2018/10/31 11:07,7768,まちかど端末（乗降ポイントから）,0,931,8,1,,2018/10/31 11:10,2018/10/31 11:14,35.447541 139.644914,シルク博物館,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/31 11:08,2018/10/31 11:08,2018/10/31 11:13,2018/10/31 11:13,,2018/10/31 11:07,0:04:32,0:04:32,,01,02,,,2018/10/31 11:07,2018/10/31 11:14,43404.463194444443404.4680555556,#N/A,,,,
-,-,11,2018/10/31 11:15,7769,乗客アプリ（地図から）,2374,290,10,1,,2018/10/31 11:17,2018/10/31 11:26,35.452963 139.642093,横浜赤レンガ倉庫,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/31 11:18,2018/10/31 11:18,2018/10/31 11:29,2018/10/31 11:29,,2018/10/31 11:15,0:09:07,0:09:07,,00,01,,,2018/10/31 11:15,2018/10/31 11:26,43404.4687543404.4763888889,#N/A,,,,
-,-,11,2018/10/31 11:22,7770,乗客アプリ（地図から）,1666,317,5,1,,2018/10/31 11:24,2018/10/31 11:31,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/31 11:24,2018/10/31 11:24,2018/10/31 11:33,2018/10/31 11:33,,2018/10/31 11:22,0:06:32,0:06:32,,00,02,,,2018/10/31 11:22,2018/10/31 11:31,43404.473611111143404.4798611111,#N/A,,,,
★,-,11,2018/10/31 11:24,7771,まちかど端末（店舗から）,0,267,9,4,,2018/10/31 12:21,2018/10/31 12:28,35.443704 139.651332,ホテルメルパルク横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/31 12:24,2018/10/31 12:24,2018/10/31 12:32,2018/10/31 12:32,2018/10/31 12:24,2018/10/31 12:24,0:06:32,0:26:08,,00,00,,,2018/10/31 11:24,2018/10/31 12:28,43404.47543404.5194444444,#N/A,,,,
★,-,11,2018/10/31 11:26,7772,乗客アプリ（目的地から）,1705,675,5,1,,2018/10/31 11:57,2018/10/31 12:12,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.453715 139.638133,横浜ワールドポーターズ,2018/10/31 11:56,2018/10/31 11:56,2018/10/31 12:06,2018/10/31 12:11,2018/10/31 11:56,2018/10/31 11:56,0:14:38,0:14:38,,01,01,,,2018/10/31 11:26,2018/10/31 12:12,43404.476388888943404.5083333333,#N/A,,,,
-,-,11,2018/10/31 11:28,7773,まちかど端末（店舗から）,0,808,10,2,,2018/10/31 11:30,2018/10/31 11:47,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/31 11:29,2018/10/31 11:29,2018/10/31 11:43,2018/10/31 11:43,,2018/10/31 11:28,0:17:27,0:34:54,,00,02,,,2018/10/31 11:28,2018/10/31 11:47,43404.477777777843404.4909722222,#N/A,,,,
-,-,11,2018/10/31 11:31,7774,まちかど端末（店舗から）,0,180,10,1,,2018/10/31 11:38,2018/10/31 11:50,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/10/31 11:40,2018/10/31 11:40,2018/10/31 11:52,2018/10/31 11:52,,2018/10/31 11:31,0:12:23,0:12:23,,00,06,,,2018/10/31 11:31,2018/10/31 11:50,43404.479861111143404.4930555556,#N/A,,,,
-,-,11,2018/10/31 11:35,7775,まちかど端末（店舗から）,0,35,7,1,,2018/10/31 11:40,2018/10/31 11:57,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/31 11:39,2018/10/31 11:40,2018/10/31 11:52,2018/10/31 11:59,,2018/10/31 11:35,0:17:09,0:17:09,,01,05,,,2018/10/31 11:35,2018/10/31 11:57,43404.482638888943404.4979166667,#N/A,,,,
-,-,11,2018/10/31 11:37,7776,乗客アプリ（地図から）,2374,564,7,1,,2018/10/31 11:45,2018/10/31 11:59,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443704 139.651332,ホテルメルパルク横浜,2018/10/31 11:46,2018/10/31 11:46,2018/10/31 12:02,2018/10/31 12:02,,2018/10/31 11:37,0:13:47,0:13:47,,00,08,,,2018/10/31 11:37,2018/10/31 11:59,43404.484027777843404.4993055556,肯定的,,,,
-,-,11,2018/10/31 11:37,7777,まちかど端末（乗降ポイントから）,0,445,3,2,,2018/10/31 11:42,2018/10/31 11:47,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.456605 139.635327,横浜ベイホテル東急,2018/10/31 11:43,2018/10/31 11:43,2018/10/31 11:52,2018/10/31 11:52,,2018/10/31 11:37,0:04:54,0:09:48,,00,04,,,2018/10/31 11:37,2018/10/31 11:47,43404.484027777843404.4909722222,#N/A,,,,
-,-,11,2018/10/31 11:38,7778,まちかど端末（店舗から）,0,742,8,1,,2018/10/31 11:42,2018/10/31 11:48,35.454389 139.630904,横浜ランドマークタワー,35.445783 139.642958,横浜情報文化センター,2018/10/31 11:45,2018/10/31 11:45,2018/10/31 11:54,2018/10/31 11:54,,2018/10/31 11:38,0:06:27,0:06:27,,00,04,,,2018/10/31 11:38,2018/10/31 11:48,43404.484722222243404.4916666667,#N/A,,,,
-,-,11,2018/10/31 11:44,7779,まちかど端末（店舗から）,0,994,10,2,,2018/10/31 11:48,2018/10/31 12:00,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443908 139.635249,イセザキ・モール,2018/10/31 11:48,2018/10/31 11:48,2018/10/31 11:59,2018/10/31 11:59,,2018/10/31 11:44,0:12:30,0:25:00,,00,04,,,2018/10/31 11:44,2018/10/31 12:00,43404.488888888943404.5,#N/A,,,,
★,-,11,2018/10/31 11:44,7780,乗客アプリ（地図から）,3025,568,7,1,,2018/10/31 12:43,2018/10/31 12:50,35.441441 139.648505,横浜中華街朱雀門,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/31 12:44,2018/10/31 12:44,2018/10/31 12:56,2018/10/31 12:59,2018/10/31 12:44,2018/10/31 12:44,0:06:33,0:06:33,,00,00,,,2018/10/31 11:44,2018/10/31 12:50,43404.488888888943404.5347222222,#N/A,,,,
-,-,11,2018/10/31 11:45,7781,乗客アプリ（地図から）,2137,413,5,1,,2018/10/31 11:53,2018/10/31 12:06,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/10/31 11:51,2018/10/31 11:51,2018/10/31 12:04,2018/10/31 12:04,,2018/10/31 11:45,0:12:58,0:12:58,,01,07,,,2018/10/31 11:45,2018/10/31 12:06,43404.489583333343404.5041666667,#N/A,,,,
-,-,11,2018/10/31 11:55,7790,まちかど端末（店舗から）,0,162,10,1,,2018/10/31 12:10,2018/10/31 12:22,35.456605 139.635327,横浜ベイホテル東急,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/31 12:11,2018/10/31 12:14,2018/10/31 12:18,2018/10/31 12:26,,2018/10/31 11:55,0:12:15,0:12:15,,00,14,,,2018/10/31 11:55,2018/10/31 12:22,43404.496527777843404.5152777778,#N/A,,,,
-,-,11,2018/10/31 11:58,7791,まちかど端末（乗降ポイントから）,0,701,7,2,,2018/10/31 12:06,2018/10/31 12:17,35.445783 139.642958,横浜情報文化センター,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/31 12:06,2018/10/31 12:06,2018/10/31 12:20,2018/10/31 12:20,,2018/10/31 11:58,0:10:42,0:21:24,,00,08,,,2018/10/31 11:58,2018/10/31 12:17,43404.498611111143404.5118055556,#N/A,,,,
