,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,,
-,-,10,2018/11/10 10:05,062-781-BANANA,11787,乗客アプリ（地図から）,1184,143,7,1,,2018/11/10 10:13,2018/11/10 10:21,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/10 10:10,2018/11/10 10:12,2018/11/10 10:22,2018/11/10 10:24,,2018/11/10 10:05,0:07:41,0:07:41,,02,08,,,2018/11/10 10:05,2018/11/10 10:21,43414.420138888943414.43125,#N/A,,,
-,-,10,2018/11/10 10:06,111-174-SUN 111-176-SUN 111-242-SUN,11788,乗客アプリ（簡単予約）,5675,924,6,3,,2018/11/10 10:12,2018/11/10 10:15,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/10 10:09,2018/11/10 10:10,2018/11/10 10:17,2018/11/10 10:17,,2018/11/10 10:06,0:02:58,0:08:54,,02,06,,,2018/11/10 10:06,2018/11/10 10:15,43414.420833333343414.4270833333,#N/A,,,
-,-,10,2018/11/10 10:06,109-645-SNOW,11789,乗客アプリ（目的地から）,5184,147,6,1,,2018/11/10 10:22,2018/11/10 10:30,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/10 10:26,2018/11/10 10:26,2018/11/10 10:36,2018/11/10 10:36,,2018/11/10 10:06,0:07:54,0:07:54,,00,15,,,2018/11/10 10:06,2018/11/10 10:30,43414.420833333343414.4375,#N/A,,,
-,-,10,2018/11/10 10:09,166-574-agekke,11791,乗客アプリ（目的地から）,3600,216,10,1,,2018/11/10 10:23,2018/11/10 10:36,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/10 10:28,2018/11/10 10:28,2018/11/10 10:39,2018/11/10 10:42,,2018/11/10 10:09,0:12:31,0:12:31,,00,14,,,2018/11/10 10:09,2018/11/10 10:36,43414.422916666743414.4416666667,#N/A,,,
-,-,10,2018/11/10 10:09,066-966-BANANA 051-658-STRAWBERRY,11792,まちかど端末（乗降ポイントから）,0,917,7,2,,2018/11/10 10:31,2018/11/10 10:41,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 10:34,2018/11/10 10:34,2018/11/10 10:43,2018/11/10 10:43,,2018/11/10 10:09,0:10:12,0:20:24,,00,21,,,2018/11/10 10:09,2018/11/10 10:41,43414.422916666743414.4451388889,#N/A,,,
-,-,10,2018/11/10 10:10,166-691-agekke,11793,乗客アプリ（目的地から）,3477,61,10,1,,2018/11/10 10:25,2018/11/10 10:43,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/10 10:29,2018/11/10 10:29,2018/11/10 10:47,2018/11/10 10:49,,2018/11/10 10:10,0:18:48,0:18:48,,00,14,,,2018/11/10 10:10,2018/11/10 10:43,43414.423611111143414.4465277778,肯定的,,,
★,-,10,2018/11/10 10:11,063-895-BANANA 064-540-BANANA 064-539-BANANA,11794,まちかど端末（乗降ポイントから）,0,983,5,3,,2018/11/10 10:21,2018/11/10 10:26,35.450554 139.632616,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/11/10 10:33,2018/11/10 10:33,2018/11/10 10:43,2018/11/10 10:43,2018/11/10 10:21,2018/11/10 10:21,0:04:40,0:14:00,,00,00,,,2018/11/10 10:11,2018/11/10 10:26,43414.424305555643414.4347222222,#N/A,,,
★,-,10,2018/11/10 10:12,110-552-SUN 110-553-SUN,11795,乗客アプリ（目的地から）,4256,207,2,2,,2018/11/10 10:23,2018/11/10 10:30,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.454389 139.630904,横浜ランドマークタワー,2018/11/10 10:22,2018/11/10 10:22,2018/11/10 10:39,2018/11/10 10:39,2018/11/10 10:22,2018/11/10 10:22,0:07:41,0:15:22,,00,00,,,2018/11/10 10:12,2018/11/10 10:30,43414.42543414.4375,#N/A,,,
-,-,10,2018/11/10 10:20,070-414-ORANGE 070-415-ORANGE,11796,乗客アプリ（目的地から）,5404,297,9,2,,2018/11/10 10:26,2018/11/10 10:35,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/10 10:22,2018/11/10 10:22,2018/11/10 10:32,2018/11/10 10:32,,2018/11/10 10:20,0:08:33,0:17:06,,04,05,,,2018/11/10 10:20,2018/11/10 10:35,43414.430555555643414.4409722222,#N/A,,,
-,-,10,2018/11/10 10:22,166-566-agekke,11797,まちかど端末（乗降ポイントから）,0,59,10,1,,2018/11/10 10:24,2018/11/10 10:30,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/10 10:29,2018/11/10 10:29,2018/11/10 10:36,2018/11/10 10:36,,2018/11/10 10:22,0:05:59,0:05:59,,00,02,,,2018/11/10 10:22,2018/11/10 10:30,43414.431944444443414.4375,#N/A,,,
-,-,10,2018/11/10 10:22,019-277-RED 019-276-RED 019-278-RED,11798,乗客アプリ（地図から）,2892,872,8,3,,2018/11/10 10:35,2018/11/10 10:42,35.445783 139.642958,横浜情報文化センター,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/10 10:32,2018/11/10 10:32,2018/11/10 10:46,2018/11/10 10:46,,2018/11/10 10:22,0:07:47,0:23:21,,02,12,,,2018/11/10 10:22,2018/11/10 10:42,43414.431944444443414.4458333333,#N/A,,,
-,-,10,2018/11/10 10:24,146-511-STAR 146-535-STAR,11799,乗客アプリ（簡単予約）,5689,281,4,2,,2018/11/10 10:29,2018/11/10 10:35,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 10:33,2018/11/10 10:33,2018/11/10 10:43,2018/11/10 10:43,,2018/11/10 10:24,0:06:05,0:12:10,,00,04,,,2018/11/10 10:24,2018/11/10 10:35,43414.433333333343414.4409722222,肯定的,,,
-,-,10,2018/11/10 10:26,029-873-GREEN 029-872-GREEN,11800,まちかど端末（店舗から）,0,135,5,2,,2018/11/10 10:29,2018/11/10 10:39,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/10 10:29,2018/11/10 10:29,2018/11/10 10:40,2018/11/10 10:40,,2018/11/10 10:26,0:09:46,0:19:32,,00,03,,,2018/11/10 10:26,2018/11/10 10:39,43414.434722222243414.44375,#N/A,,,
-,-,10,2018/11/10 10:33,166-647-agekke,11801,乗客アプリ（地図から）,1888,157,2,1,,2018/11/10 10:37,2018/11/10 10:41,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/10 10:38,2018/11/10 10:38,2018/11/10 10:44,2018/11/10 10:44,,2018/11/10 10:33,0:04:27,0:04:27,,00,04,,,2018/11/10 10:33,2018/11/10 10:41,43414.439583333343414.4451388889,#N/A,,,
-,-,10,2018/11/10 10:35,064-243-BANANA 064-242-BANANA 064-244-BANANA 063-201-BANANA 064-241-BANANA,11802,乗客アプリ（目的地から）,5699,370,4,5,,2018/11/10 10:40,2018/11/10 10:44,35.456605 139.635327,横浜ベイホテル東急,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/10 10:43,2018/11/10 10:43,2018/11/10 10:52,2018/11/10 10:52,,2018/11/10 10:35,0:03:52,0:19:20,,00,04,,,2018/11/10 10:35,2018/11/10 10:44,43414.440972222243414.4472222222,#N/A,,,
-,-,10,2018/11/10 10:39,018-348-RED 018-349-RED 018-205-RED 018-385-RED,11804,まちかど端末（店舗から）,0,494,7,4,,2018/11/10 10:47,2018/11/10 10:54,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.453715 139.638133,横浜ワールドポーターズ,2018/11/10 10:47,2018/11/10 10:47,2018/11/10 10:59,2018/11/10 10:59,,2018/11/10 10:39,0:07:01,0:28:04,,00,07,,,2018/11/10 10:39,2018/11/10 10:54,43414.4437543414.4541666667,#N/A,,,
-,-,10,2018/11/10 10:39,066-492-BANANA 063-166-BANANA,11805,乗客アプリ（目的地から）,3338,707,3,2,,2018/11/10 10:43,2018/11/10 10:49,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443659 139.650847,横浜マリンタワー,2018/11/10 10:42,2018/11/10 10:42,2018/11/10 10:49,2018/11/10 10:49,,2018/11/10 10:39,0:05:52,0:11:44,,01,03,,,2018/11/10 10:39,2018/11/10 10:49,43414.4437543414.4506944444,#N/A,,,
-,-,10,2018/11/10 10:40,167-473-CAKE,11806,乗客アプリWeb（地図から）,5701,457,5,4,,2018/11/10 10:48,2018/11/10 10:58,35.441441 139.648505,横浜中華街朱雀門,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 10:43,2018/11/10 10:43,2018/11/10 11:00,2018/11/10 11:00,,2018/11/10 10:40,0:09:41,0:38:44,,05,07,,,2018/11/10 10:40,2018/11/10 10:58,43414.444444444443414.4569444444,#N/A,,,
-,-,10,2018/11/10 10:45,166-615-agekke 166-599-agekke,11807,まちかど端末（乗降ポイントから）,0,30,13,2,,2018/11/10 10:48,2018/11/10 10:57,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/10 10:47,2018/11/10 10:47,2018/11/10 11:00,2018/11/10 11:00,,2018/11/10 10:45,0:08:46,0:17:32,,01,03,,,2018/11/10 10:45,2018/11/10 10:57,43414.447916666743414.45625,#N/A,,,
-,-,10,2018/11/10 10:45,063-101-BANANA 063-100-BANANA,11808,まちかど端末（店舗から）,0,634,10,2,,2018/11/10 10:50,2018/11/10 11:00,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/10 10:47,2018/11/10 10:47,2018/11/10 10:59,2018/11/10 10:59,,2018/11/10 10:45,0:10:14,0:20:28,,02,04,,,2018/11/10 10:45,2018/11/10 11:00,43414.447916666743414.4583333333,#N/A,,,
-,-,10,2018/11/10 10:47,019-079-RED 019-078-RED,11809,乗客アプリ（地図から）,3582,156,8,2,,2018/11/10 10:49,2018/11/10 10:56,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/11/10 10:50,2018/11/10 10:50,2018/11/10 11:03,2018/11/10 11:03,,2018/11/10 10:47,0:07:04,0:14:08,,00,02,,,2018/11/10 10:47,2018/11/10 10:56,43414.449305555643414.4555555556,肯定的,,,
-,-,10,2018/11/10 10:48,019-699-RED 019-694-RED,11810,乗客アプリ（地図から）,5344,842,2,2,,2018/11/10 10:53,2018/11/10 10:57,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/10 10:51,2018/11/10 10:51,2018/11/10 11:01,2018/11/10 11:01,,2018/11/10 10:48,0:04:13,0:08:26,,01,04,,,2018/11/10 10:48,2018/11/10 10:57,43414.4543414.45625,#N/A,,,
-,-,10,2018/11/10 10:54,019-083-RED 019-082-RED 019-084-RED,11812,まちかど端末（店舗から）,0,266,4,3,,2018/11/10 10:58,2018/11/10 11:03,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 10:57,2018/11/10 10:57,2018/11/10 11:06,2018/11/10 11:06,,2018/11/10 10:54,0:05:26,0:16:18,,00,03,,,2018/11/10 10:54,2018/11/10 11:03,43414.454166666743414.4604166667,#N/A,,,
-,-,10,2018/11/10 10:57,000-100-BLUE,11813,まちかど端末（乗降ポイントから）,0,68,3,1,,2018/11/10 11:02,2018/11/10 11:10,35.447546 139.64358,横浜開港資料館,35.443908 139.635249,イセザキ・モール,2018/11/10 11:01,2018/11/10 11:01,2018/11/10 11:07,2018/11/10 11:07,,2018/11/10 10:57,0:08:24,0:08:24,,01,04,,,2018/11/10 10:57,2018/11/10 11:10,43414.4562543414.4652777778,#N/A,,,
-,-,10,2018/11/10 10:58,019-958-RED 018-460-RED,11814,乗客アプリ（簡単予約）,5668,704,6,2,,2018/11/10 11:00,2018/11/10 11:08,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/10 10:59,2018/11/10 10:59,2018/11/10 11:09,2018/11/10 11:09,,2018/11/10 10:58,0:08:00,0:16:00,,00,02,,,2018/11/10 10:58,2018/11/10 11:08,43414.456944444443414.4638888889,肯定的,,,
★,☆,10,2018/11/10 9:15,105-390-SNOW,11770,乗客アプリ（地図から）,2117,393,11,1,2018/11/10 9:16,,,35.447541 139.644914,シルク博物館,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/10 10:23,,2018/11/10 10:28,,2018/11/10 9:25,2018/11/10 9:25,0:00:00,0:00:00,,00,00,,,2018/11/10 9:15,1900/1/0 0:00,43414.38541666670,#N/A,2018/11/10 10:00,※10時以前に予約しているため,
★,☆,10,2018/11/10 9:16,050-179-STRAWBERRY,11771,乗客アプリ（地図から）,5645,751,11,1,2018/11/10 9:16,,,35.448676 139.635696,横浜平和プラザホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 10:21,,2018/11/10 10:32,,2018/11/10 9:26,2018/11/10 9:26,0:00:00,0:00:00,,00,00,,,2018/11/10 9:16,1900/1/0 0:00,43414.38611111110,#N/A,2018/11/10 10:00,※10時以前に予約しているため,
★,☆,10,2018/11/10 9:47,062-781-BANANA,11773,乗客アプリ（地図から）,1184,277,10,1,2018/11/10 10:05,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/10 10:05,,2018/11/10 10:17,,2018/11/10 9:57,2018/11/10 9:57,0:00:00,0:00:00,,00,00,,,2018/11/10 9:47,1900/1/0 0:00,43414.40763888890,#N/A,2018/11/10 10:00,※10時以前に予約しているため,
★,☆,10,2018/11/10 9:52,064-695-BANANA 071-173-ORANGE,11774,まちかど端末（乗降ポイントから）,0,721,3,2,2018/11/10 10:18,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.447541 139.644914,シルク博物館,2018/11/10 10:05,,2018/11/10 10:17,,2018/11/10 10:02,2018/11/10 10:02,0:00:00,0:00:00,,00,16,,,2018/11/10 9:52,1900/1/0 0:00,43414.41111111110,#N/A,,,
-,☆,10,2018/11/10 9:56,026-202-GREEN 026-201-GREEN,11776,乗客アプリ（地図から）,3698,800,10,2,2018/11/10 9:56,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/10 10:26,,2018/11/10 10:37,,,2018/11/10 9:56,0:00:00,0:00:00,,00,,,,2018/11/10 9:56,1900/1/0 0:00,43414.41388888890,#N/A,2018/11/10 10:00,※10時以前に予約しているため,※42行と同一人物と思われるため一番短いものを採用
★,☆,10,2018/11/10 9:57,026-202-GREEN 026-201-GREEN,11778,乗客アプリ（地図から）,3698,739,10,2,2018/11/10 9:57,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/10 10:26,,2018/11/10 10:36,,2018/11/10 10:07,2018/11/10 10:07,0:00:00,0:00:00,,00,18,,,2018/11/10 9:57,1900/1/0 0:00,43414.41458333330,#N/A,,,※41行と同一人物と思われるため一番短いものを採用
-,☆,10,2018/11/10 10:02,167-473-CAKE,11782,乗客アプリWeb（地図から）,5701,642,5,1,2018/11/10 10:02,,,35.441441 139.648505,横浜中華街朱雀門,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 10:16,,2018/11/10 10:30,,,2018/11/10 10:02,0:00:00,0:00:00,,00,13,,,2018/11/10 10:02,1900/1/0 0:00,43414.41805555560,#N/A,,,
-,☆,10,2018/11/10 10:02,019-699-RED 019-694-RED,11784,乗客アプリ（地図から）,5344,730,5,2,2018/11/10 10:08,,,35.450447 139.635947,みなとみらい線　馬車道駅,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 10:10,,2018/11/10 10:20,,,2018/11/10 10:02,0:00:00,0:00:00,,00,07,,,2018/11/10 10:02,1900/1/0 0:00,43414.41805555560,#N/A,,,
-,☆,10,2018/11/10 10:07,111-177-SUN,11790,乗客アプリ（目的地から）,5702,783,5,1,2018/11/10 10:14,,,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/10 10:12,,2018/11/10 10:19,,,2018/11/10 10:07,0:00:00,0:00:00,,00,07,,,2018/11/10 10:07,1900/1/0 0:00,43414.42152777780,#N/A,,,
-,☆,10,2018/11/10 10:38,167-473-CAKE,11803,乗客アプリWeb（地図から）,5701,298,5,1,2018/11/10 10:38,,,35.441441 139.648505,横浜中華街朱雀門,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 10:40,,2018/11/10 10:55,,,2018/11/10 10:38,0:00:00,0:00:00,,00,02,,,2018/11/10 10:38,1900/1/0 0:00,43414.44305555560,#N/A,,,
★,-,11,2018/11/10 11:01,016-644-RED 112-644-SUN,11815,乗客アプリ（地図から）,3041,877,8,2,,2018/11/10 11:06,2018/11/10 11:24,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443659 139.650847,横浜マリンタワー,2018/11/10 11:11,2018/11/10 11:11,2018/11/10 11:25,2018/11/10 11:25,2018/11/10 11:11,2018/11/10 11:11,0:17:20,0:34:40,581,00,00,05,04,2018/11/10 11:01,2018/11/10 11:24,43414.459027777843414.475,#N/A,,,
-,-,11,2018/11/10 11:01,105-432-SNOW 104-093-SNOW 104-096-SNOW 104-092-SNOW,11816,まちかど端末（乗降ポイントから）,0,782,7,4,,2018/11/10 11:08,2018/11/10 11:16,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/10 11:04,2018/11/10 11:04,2018/11/10 11:17,2018/11/10 11:17,,2018/11/10 11:01,0:08:11,0:32:44,,04,07,,,2018/11/10 11:01,2018/11/10 11:16,43414.459027777843414.4694444444,肯定的,,,
-,-,11,2018/11/10 11:01,017-496-RED 017-498-RED 017-499-RED,11817,乗客アプリ（簡単予約）,5085,116,13,3,,2018/11/10 11:06,2018/11/10 11:13,35.445783 139.642958,横浜情報文化センター,35.454389 139.630904,横浜ランドマークタワー,2018/11/10 11:03,2018/11/10 11:03,2018/11/10 11:18,2018/11/10 11:18,,2018/11/10 11:01,0:06:37,0:19:51,,03,05,,,2018/11/10 11:01,2018/11/10 11:13,43414.459027777843414.4673611111,#N/A,,,
-,-,11,2018/11/10 11:02,113-698-SUN,11818,乗客アプリ（地図から）,5712,554,2,1,,2018/11/10 11:08,2018/11/10 11:15,35.450554 139.632616,横浜桜木町ワシントンホテル,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/10 11:09,2018/11/10 11:09,2018/11/10 11:19,2018/11/10 11:19,,2018/11/10 11:02,0:07:05,0:07:05,,00,05,,,2018/11/10 11:02,2018/11/10 11:15,43414.459722222243414.46875,#N/A,,,
-,-,11,2018/11/10 11:04,167-478-CAKE,11819,乗客アプリWeb（簡単予約）,5717,391,5,3,,2018/11/10 11:09,2018/11/10 11:17,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 11:10,2018/11/10 11:10,2018/11/10 11:21,2018/11/10 11:21,,2018/11/10 11:04,0:07:50,0:23:30,,00,04,,,2018/11/10 11:04,2018/11/10 11:17,43414.461111111143414.4701388889,#N/A,,,
★,-,11,2018/11/10 11:05,167-477-CAKE,11820,乗客アプリWeb（地図から）,5715,640,3,3,,2018/11/10 11:11,2018/11/10 11:22,35.443908 139.635249,イセザキ・モール,35.456605 139.635327,横浜ベイホテル東急,2018/11/10 11:15,2018/11/10 11:15,2018/11/10 11:27,2018/11/10 11:27,2018/11/10 11:15,2018/11/10 11:15,0:11:03,0:33:09,,00,00,,,2018/11/10 11:05,2018/11/10 11:22,43414.461805555643414.4736111111,#N/A,,,
★,-,11,2018/11/10 11:07,110-443-SUN 110-444-SUN 110-445-SUN,11821,乗客アプリ（地図から）,3704,496,8,3,,2018/11/10 11:16,2018/11/10 11:22,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/10 11:17,2018/11/10 11:17,2018/11/10 11:28,2018/11/10 11:28,2018/11/10 11:17,2018/11/10 11:17,0:06:01,0:18:03,,00,00,,,2018/11/10 11:07,2018/11/10 11:22,43414.463194444443414.4736111111,#N/A,,,
