,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,,
★,-,10,2018/11/10 9:00,021-247-GREEN 022-397-GREEN,11769,乗客アプリ（地図から）,4966,51,11,2,,2018/11/10 10:16,2018/11/10 10:16,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.454389 139.630904,横浜ランドマークタワー,2018/11/10 10:06,2018/11/10 10:06,2018/11/10 10:14,2018/11/10 10:14,2018/11/10 10:00,2018/11/10 10:00,0:00:15,0:00:30,520,09,16,07,05,2018/11/10 9:00,2018/11/10 10:16,43414.37543414.4277777778,#N/A,,,
-,-,10,2018/11/10 9:46,062-543-BANANA,11772,まちかど端末（店舗から）,0,170,2,1,,2018/11/10 10:20,2018/11/10 10:30,35.445857 139.647636,ホテルモントレ横浜,35.454389 139.630904,横浜ランドマークタワー,2018/11/10 10:12,2018/11/10 10:19,2018/11/10 10:26,2018/11/10 10:38,,2018/11/10 9:46,0:10:18,0:10:18,,07,20,,,2018/11/10 9:46,2018/11/10 10:30,43414.406944444443414.4375,#N/A,2018/11/10 10:00,※10時以前に予約しているため,
-,-,10,2018/11/10 9:55,070-676-ORANGE 070-675-ORANGE,11775,まちかど端末（店舗から）,0,819,3,2,,2018/11/10 10:26,2018/11/10 10:35,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/10 10:10,2018/11/10 10:10,2018/11/10 10:23,2018/11/10 10:23,,2018/11/10 9:55,0:08:45,0:17:30,,16,26,,,2018/11/10 9:55,2018/11/10 10:35,43414.413194444443414.4409722222,#N/A,2018/11/10 10:00,※10時以前に予約しているため,
★,-,10,2018/11/10 9:56,070-677-ORANGE 070-674-ORANGE,11777,まちかど端末（店舗から）,0,893,2,2,,2018/11/10 10:08,2018/11/10 10:17,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/10 10:06,2018/11/10 10:06,2018/11/10 10:16,2018/11/10 10:16,2018/11/10 10:06,2018/11/10 10:06,0:08:49,0:17:38,,02,02,,,2018/11/10 9:56,2018/11/10 10:17,43414.413888888943414.4284722222,#N/A,,,
-,-,10,2018/11/10 9:58,025-859-GREEN,11779,乗客アプリ（地図から）,4540,341,8,1,,2018/11/10 10:05,2018/11/10 10:26,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/10 10:03,2018/11/10 10:06,2018/11/10 10:20,2018/11/10 10:31,,2018/11/10 9:58,0:21:14,0:21:14,,01,05,,,2018/11/10 9:58,2018/11/10 10:26,43414.415277777843414.4347222222,#N/A,2018/11/10 10:00,※10時以前に予約しているため,
★,-,10,2018/11/10 9:58,026-202-GREEN 026-201-GREEN,11780,乗客アプリ（地図から）,3698,650,10,2,,2018/11/10 10:10,2018/11/10 10:17,35.45435 139.631762,横浜ロイヤルパークホテル,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/10 10:10,2018/11/10 10:15,2018/11/10 10:19,2018/11/10 10:18,2018/11/10 10:08,2018/11/10 10:08,0:06:29,0:12:58,,00,01,,,2018/11/10 9:58,2018/11/10 10:17,43414.415277777843414.4284722222,#N/A,,,
-,-,10,2018/11/10 10:00,115-554-SUN 115-553-SUN,11781,乗客アプリ（地図から）,3864,607,9,2,,2018/11/10 10:06,2018/11/10 10:18,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/10 10:06,2018/11/10 10:07,2018/11/10 10:16,2018/11/10 10:23,,2018/11/10 10:00,0:11:21,0:22:42,,00,06,,,2018/11/10 10:00,2018/11/10 10:18,43414.416666666743414.4291666667,#N/A,,,
-,-,10,2018/11/10 10:02,166-683-agekke,11783,乗客アプリ（地図から）,1727,253,8,1,,2018/11/10 10:08,2018/11/10 10:19,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/10 10:10,2018/11/10 10:10,2018/11/10 10:24,2018/11/10 10:24,,2018/11/10 10:02,0:10:27,0:10:27,,00,06,,,2018/11/10 10:02,2018/11/10 10:19,43414.418055555643414.4298611111,#N/A,,,
★,-,10,2018/11/10 10:03,064-515-BANANA 064-517-BANANA,11785,まちかど端末（店舗から）,0,222,9,2,,2018/11/10 10:25,2018/11/10 10:35,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/10 10:13,2018/11/10 10:21,2018/11/10 10:35,2018/11/10 10:33,2018/11/10 10:13,2018/11/10 10:13,0:09:52,0:19:44,,11,11,,,2018/11/10 10:03,2018/11/10 10:35,43414.4187543414.4409722222,#N/A,,,
★,-,10,2018/11/10 10:03,015-670-RED,11786,乗客アプリ（目的地から）,2584,695,4,1,,2018/11/10 10:24,2018/11/10 10:24,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/10 10:13,2018/11/10 10:13,2018/11/10 10:22,2018/11/10 10:22,2018/11/10 10:13,2018/11/10 10:13,0:00:09,0:00:09,,10,10,,,2018/11/10 10:03,2018/11/10 10:24,43414.4187543414.4333333333,#N/A,,,
