,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,,
-,-,10,2018/11/11 10:12,166-606-agekke,12382,乗客アプリ（地図から）,1885,216,10,1,,2018/11/11 10:16,2018/11/11 10:22,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/11 10:20,2018/11/11 10:20,2018/11/11 10:27,2018/11/11 10:27,,2018/11/11 10:12,0:05:13,0:05:13,,00,04,,,2018/11/11 10:12,2018/11/11 10:22,43415.42543415.4319444444,肯定的,,,
-,-,10,2018/11/11 10:13,167-514-CAKE,12383,乗客アプリWeb（地図から）,5863,841,9,1,,2018/11/11 10:19,2018/11/11 10:25,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/11 10:17,2018/11/11 10:17,2018/11/11 10:26,2018/11/11 10:26,,2018/11/11 10:13,0:06:48,0:06:48,,01,05,,,2018/11/11 10:13,2018/11/11 10:25,43415.425694444443415.4340277778,#N/A,,,
★,-,10,2018/11/11 10:15,111-616-SUN 111-718-SUN 111-700-SUN 111-719-SUN,12384,乗客アプリ（地図から）,3706,782,5,4,,2018/11/11 10:23,2018/11/11 10:36,35.441441 139.648505,横浜中華街朱雀門,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/11 10:25,2018/11/11 10:25,2018/11/11 10:44,2018/11/11 10:44,2018/11/11 10:25,2018/11/11 10:25,0:12:29,0:49:56,,00,00,,,2018/11/11 10:15,2018/11/11 10:36,43415.427083333343415.4416666667,#N/A,,,
★,-,10,2018/11/11 10:15,167-475-CAKE,12385,乗客アプリWeb（地図から）,5711,502,6,1,,2018/11/11 10:24,2018/11/11 10:31,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443908 139.635249,イセザキ・モール,2018/11/11 10:24,2018/11/11 10:24,2018/11/11 10:31,2018/11/11 10:39,2018/11/11 10:24,2018/11/11 10:24,0:07:08,0:07:08,,00,00,,,2018/11/11 10:15,2018/11/11 10:31,43415.427083333343415.4381944444,#N/A,,,
-,-,10,2018/11/11 10:22,029-640-GREEN 029-832-GREEN,12388,まちかど端末（店舗から）,0,302,11,2,,2018/11/11 10:24,2018/11/11 10:29,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/11 10:23,2018/11/11 10:23,2018/11/11 10:33,2018/11/11 10:33,,2018/11/11 10:22,0:04:41,0:09:22,,01,02,,,2018/11/11 10:22,2018/11/11 10:29,43415.431944444443415.4368055556,#N/A,,,
-,-,10,2018/11/11 10:22,166-817-agekke,12389,乗客アプリ（地図から）,2036,508,13,1,,2018/11/11 10:34,2018/11/11 10:39,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/11 10:24,2018/11/11 10:24,2018/11/11 10:31,2018/11/11 10:31,,2018/11/11 10:22,0:04:26,0:04:26,,10,11,,,2018/11/11 10:22,2018/11/11 10:39,43415.431944444443415.44375,#N/A,,,
★,-,10,2018/11/11 10:26,026-204-GREEN 026-203-GREEN,12391,乗客アプリ（地図から）,3698,479,6,2,,2018/11/11 10:32,2018/11/11 10:40,35.443908 139.635249,イセザキ・モール,35.441441 139.648505,横浜中華街朱雀門,2018/11/11 10:36,2018/11/11 10:36,2018/11/11 10:45,2018/11/11 10:45,2018/11/11 10:36,2018/11/11 10:36,0:07:38,0:15:16,,00,00,,,2018/11/11 10:26,2018/11/11 10:40,43415.434722222243415.4444444444,#N/A,,,
-,-,10,2018/11/11 10:28,167-516-CAKE,12392,乗客アプリWeb（地図から）,5869,805,2,1,,2018/11/11 10:32,2018/11/11 10:38,35.450554 139.632616,横浜桜木町ワシントンホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/11 10:30,2018/11/11 10:30,2018/11/11 10:41,2018/11/11 10:41,,2018/11/11 10:28,0:05:59,0:05:59,,01,04,,,2018/11/11 10:28,2018/11/11 10:38,43415.436111111143415.4430555556,#N/A,,,
-,-,10,2018/11/11 10:33,068-156-BANANA 068-152-BANANA 068-157-BANANA,12393,乗客アプリ（目的地から）,5865,448,9,3,,2018/11/11 10:37,2018/11/11 10:42,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.456605 139.635327,横浜ベイホテル東急,2018/11/11 10:38,2018/11/11 10:38,2018/11/11 10:46,2018/11/11 10:46,,2018/11/11 10:33,0:05:09,0:15:27,,00,04,,,2018/11/11 10:33,2018/11/11 10:42,43415.439583333343415.4458333333,#N/A,,,
-,-,10,2018/11/11 10:34,112-353-SUN 112-352-SUN 112-351-SUN,12394,乗客アプリ（地図から）,5834,382,11,3,,2018/11/11 10:38,2018/11/11 10:44,35.450554 139.632616,横浜桜木町ワシントンホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/11 10:37,2018/11/11 10:37,2018/11/11 10:50,2018/11/11 10:50,,2018/11/11 10:34,0:06:23,0:19:09,,00,03,,,2018/11/11 10:34,2018/11/11 10:44,43415.440277777843415.4472222222,#N/A,,,
