,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,計算用ダミー,
-,-,11,2018/11/1 11:43,8125,まちかど端末（店舗から）,0,125,4,1,,2018/11/1 11:47,2018/11/1 12:01,35.447541 139.644914,シルク博物館,35.456605 139.635327,横浜ベイホテル東急,2018/11/1 11:47,2018/11/1 11:47,2018/11/1 12:08,2018/11/1 12:08,,2018/11/1 11:43,0:14:01,0:14:01,,00,03,,,2018/11/1 11:43,2018/11/1 12:01,43405.488194444443405.5006944444,#N/A,,
-,-,11,2018/11/1 11:47,8126,まちかど端末（店舗から）,0,110,9,1,,2018/11/1 11:51,2018/11/1 11:57,35.450681 139.632446,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/11/1 11:49,2018/11/1 11:49,2018/11/1 11:57,2018/11/1 11:57,,2018/11/1 11:47,0:05:45,0:05:45,,01,03,,,2018/11/1 11:47,2018/11/1 11:57,43405.490972222243405.4979166667,#N/A,,
-,-,11,2018/11/1 11:56,8127,乗客アプリWeb（目的地から）,1145,339,8,1,,2018/11/1 12:01,2018/11/1 12:08,35.441441 139.648505,横浜中華街朱雀門,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/1 11:58,2018/11/1 11:58,2018/11/1 12:09,2018/11/1 12:18,,2018/11/1 11:56,0:07:00,0:07:00,,02,04,,,2018/11/1 11:56,2018/11/1 12:08,43405.497222222243405.5055555556,#N/A,,
-,-,11,2018/11/1 11:57,8128,乗客アプリ（目的地から）,3753,394,7,1,,2018/11/1 12:05,2018/11/1 12:14,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/1 12:04,2018/11/1 12:07,2018/11/1 12:14,2018/11/1 12:19,,2018/11/1 11:57,0:09:37,0:09:37,,00,08,,,2018/11/1 11:57,2018/11/1 12:14,43405.497916666743405.5097222222,#N/A,,
★,☆,11,2018/11/1 10:21,8092,まちかど端末（店舗から）,0,745,6,1,2018/11/1 10:23,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/1 11:21,,2018/11/1 11:32,,2018/11/1 11:21,2018/11/1 11:21,0:00:00,0:00:00,,00,00,,,2018/11/1 10:21,1900/1/0 0:00,43405.431250,#N/A,,※57行と同一人物と思われるため一番短い待ち時間を採用
★,☆,11,2018/11/1 10:26,8094,まちかど端末（店舗から）,0,67,6,1,2018/11/1 11:12,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/1 11:26,,2018/11/1 11:48,,2018/11/1 11:26,2018/11/1 11:26,0:00:00,0:00:00,,00,,,,2018/11/1 10:26,1900/1/0 0:00,43405.43472222220,#N/A,,※56行と同一人物と思われるため一番短い待ち時間を採用
★,☆,11,2018/11/1 10:26,8095,乗客アプリ（地図から）,67,623,5,1,2018/11/1 10:29,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/1 11:26,,2018/11/1 11:35,,2018/11/1 11:26,2018/11/1 11:26,0:00:00,0:00:00,,00,00,,,2018/11/1 10:26,1900/1/0 0:00,43405.43472222220,#N/A,,
-,☆,11,2018/11/1 11:29,8118,乗客アプリWeb（地図から）,1145,530,10,1,2018/11/1 11:31,,,35.441441 139.648505,横浜中華街朱雀門,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/1 11:33,,2018/11/1 11:44,,,2018/11/1 11:29,0:00:00,0:00:00,,00,03,,,2018/11/1 11:29,1900/1/0 0:00,43405.47847222220,#N/A,,
-,-,12,2018/11/1 12:03,8129,乗客アプリWeb（地図から）,2461,93,7,1,,2018/11/1 12:06,2018/11/1 12:11,35.450681 139.632446,横浜桜木町ワシントンホテル,35.447541 139.644914,シルク博物館,2018/11/1 12:06,2018/11/1 12:06,2018/11/1 12:16,2018/11/1 12:16,,2018/11/1 12:03,0:04:57,0:04:57,259,00,02,06,05,2018/11/1 12:03,2018/11/1 12:11,43405.502083333343405.5076388889,肯定的,,
★,-,12,2018/11/1 12:05,8131,乗客アプリ（簡単予約）,3620,274,7,2,,2018/11/1 12:30,2018/11/1 12:40,35.445857 139.647636,ホテルモントレ横浜,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/1 12:35,2018/11/1 12:35,2018/11/1 12:55,2018/11/1 12:55,2018/11/1 12:35,2018/11/1 12:35,0:09:44,0:19:28,,00,00,,,2018/11/1 12:05,2018/11/1 12:40,43405.503472222243405.5277777778,#N/A,,
★,-,12,2018/11/1 12:15,8132,乗客アプリWeb（地図から）,4589,584,4,1,,2018/11/1 12:50,2018/11/1 12:59,35.443908 139.635249,イセザキ・モール,35.456605 139.635327,横浜ベイホテル東急,2018/11/1 12:50,2018/11/1 12:50,2018/11/1 13:03,2018/11/1 13:03,2018/11/1 12:44,2018/11/1 12:44,0:09:10,0:09:10,,00,06,,,2018/11/1 12:15,2018/11/1 12:59,43405.510416666743405.5409722222,肯定的,,
★,-,12,2018/11/1 12:18,8134,まちかど端末（店舗から）,0,15,10,2,,2018/11/1 12:44,2018/11/1 12:51,35.453715 139.638133,横浜ワールドポーターズ,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/1 12:47,2018/11/1 12:47,2018/11/1 12:59,2018/11/1 12:59,2018/11/1 12:47,2018/11/1 12:47,0:07:12,0:14:24,,00,00,,,2018/11/1 12:18,2018/11/1 12:51,43405.512543405.5354166667,#N/A,,
-,-,12,2018/11/1 12:19,8135,乗客アプリ（目的地から）,4376,116,1,1,,2018/11/1 12:23,2018/11/1 12:45,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/1 12:30,2018/11/1 12:30,2018/11/1 12:42,2018/11/1 12:42,,2018/11/1 12:19,0:22:20,0:22:20,,00,04,,,2018/11/1 12:19,2018/11/1 12:45,43405.513194444443405.53125,#N/A,,
-,-,12,2018/11/1 12:26,8137,乗客アプリ（目的地から）,3668,491,1,2,,2018/11/1 12:39,2018/11/1 12:53,35.441441 139.648505,横浜中華街朱雀門,35.456605 139.635327,横浜ベイホテル東急,2018/11/1 12:37,2018/11/1 12:40,2018/11/1 13:06,2018/11/1 13:09,,2018/11/1 12:26,0:14:09,0:28:18,,02,13,,,2018/11/1 12:26,2018/11/1 12:53,43405.518055555643405.5368055556,#N/A,,
-,-,12,2018/11/1 12:26,8138,まちかど端末（乗降ポイントから）,0,158,2,1,,2018/11/1 12:36,2018/11/1 12:46,35.447541 139.644914,シルク博物館,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/1 12:29,2018/11/1 12:34,2018/11/1 12:41,2018/11/1 12:49,,2018/11/1 12:26,0:10:41,0:10:41,,06,09,,,2018/11/1 12:26,2018/11/1 12:46,43405.518055555643405.5319444444,#N/A,,
-,-,12,2018/11/1 12:26,8139,まちかど端末（乗降ポイントから）,0,469,2,1,,2018/11/1 12:32,2018/11/1 12:52,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.454389 139.630904,横浜ランドマークタワー,2018/11/1 12:31,2018/11/1 12:31,2018/11/1 12:54,2018/11/1 12:54,,2018/11/1 12:26,0:19:35,0:19:35,,01,05,,,2018/11/1 12:26,2018/11/1 12:52,43405.518055555643405.5361111111,#N/A,,
-,-,12,2018/11/1 12:34,8141,乗客アプリ（地図から）,1340,953,2,1,,2018/11/1 12:41,2018/11/1 12:57,35.443908 139.635249,イセザキ・モール,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/1 12:42,2018/11/1 12:42,2018/11/1 13:07,2018/11/1 13:07,,2018/11/1 12:34,0:15:58,0:15:58,,00,07,,,2018/11/1 12:34,2018/11/1 12:57,43405.523611111143405.5395833333,#N/A,,
-,-,12,2018/11/1 12:36,8142,乗客アプリ（目的地から）,3753,155,8,1,,2018/11/1 12:43,2018/11/1 12:58,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/1 12:48,2018/11/1 12:48,2018/11/1 13:07,2018/11/1 13:07,,2018/11/1 12:36,0:14:42,0:14:42,,00,07,,,2018/11/1 12:36,2018/11/1 12:58,43405.52543405.5402777778,肯定的,,
★,-,12,2018/11/1 12:45,8144,乗客アプリ（地図から）,4543,441,2,1,,2018/11/1 13:13,2018/11/1 13:32,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/1 13:15,2018/11/1 13:15,2018/11/1 13:29,2018/11/1 13:37,2018/11/1 13:15,2018/11/1 13:15,0:19:35,0:19:35,,00,00,,,2018/11/1 12:45,2018/11/1 13:32,43405.5312543405.5638888889,#N/A,,
-,-,12,2018/11/1 12:53,8146,乗客アプリ（目的地から）,1075,709,10,1,,2018/11/1 12:58,2018/11/1 13:04,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/1 12:54,2018/11/1 12:54,2018/11/1 13:06,2018/11/1 13:06,,2018/11/1 12:53,0:05:57,0:05:57,,03,05,,,2018/11/1 12:53,2018/11/1 13:04,43405.536805555643405.5444444444,肯定的,,
-,-,12,2018/11/1 12:53,8147,乗客アプリWeb（地図から）,2461,328,9,1,,2018/11/1 13:06,2018/11/1 13:17,35.447541 139.644914,シルク博物館,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/1 13:10,2018/11/1 13:10,2018/11/1 13:23,2018/11/1 13:23,,2018/11/1 12:53,0:11:19,0:11:19,,00,12,,,2018/11/1 12:53,2018/11/1 13:17,43405.536805555643405.5534722222,#N/A,,
-,-,12,2018/11/1 12:56,8149,乗客アプリ（地図から）,2328,664,4,1,,2018/11/1 13:01,2018/11/1 13:24,35.456605 139.635327,横浜ベイホテル東急,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/1 13:04,2018/11/1 13:04,2018/11/1 13:17,2018/11/1 13:22,,2018/11/1 12:56,0:22:56,0:22:56,,00,04,,,2018/11/1 12:56,2018/11/1 13:24,43405.538888888943405.5583333333,#N/A,,
-,-,12,2018/11/1 12:59,8151,乗客アプリ（目的地から）,3823,379,1,1,,2018/11/1 13:13,2018/11/1 13:31,35.443908 139.635249,イセザキ・モール,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/1 13:12,2018/11/1 13:12,2018/11/1 13:23,2018/11/1 13:31,,2018/11/1 12:59,0:17:37,0:17:37,,00,14,,,2018/11/1 12:59,2018/11/1 13:31,43405.540972222243405.5631944444,#N/A,,
★,-,12,2018/11/1 12:59,8152,乗客アプリ（目的地から）,2290,246,7,2,,2018/11/1 13:33,2018/11/1 13:44,35.448676 139.635696,横浜平和プラザホテル,35.443073 139.651914,横浜人形の家,2018/11/1 13:31,2018/11/1 13:31,2018/11/1 13:43,2018/11/1 13:43,2018/11/1 13:29,2018/11/1 13:29,0:11:28,0:22:56,,01,03,,,2018/11/1 12:59,2018/11/1 13:44,43405.540972222243405.5722222222,#N/A,,
★,☆,12,2018/11/1 11:04,8106,乗客アプリ（目的地から）,938,864,10,1,2018/11/1 11:12,,,35.452963 139.642093,横浜赤レンガ倉庫,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/1 12:04,,2018/11/1 12:13,,2018/11/1 12:04,2018/11/1 12:04,0:00:00,0:00:00,,00,00,,,2018/11/1 11:04,1900/1/0 0:00,43405.46111111110,#N/A,,
-,☆,12,2018/11/1 12:05,8130,乗客アプリWeb（目的地から）,1070,715,8,1,2018/11/1 12:05,,,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/1 12:11,,2018/11/1 12:29,,,2018/11/1 12:05,0:00:00,0:00:00,,00,06,,,2018/11/1 12:05,1900/1/0 0:00,43405.50347222220,#N/A,,
★,☆,12,2018/11/1 12:15,8133,まちかど端末（店舗から）,0,963,10,2,2018/11/1 12:17,,,35.453715 139.638133,横浜ワールドポーターズ,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/1 12:45,,2018/11/1 12:57,,2018/11/1 12:45,2018/11/1 12:45,0:00:00,0:00:00,,00,00,,,2018/11/1 12:15,1900/1/0 0:00,43405.51041666670,#N/A,,
-,☆,12,2018/11/1 12:34,8140,乗客アプリ（地図から）,1340,215,2,1,2018/11/1 12:34,,,35.443908 139.635249,イセザキ・モール,35.456605 139.635327,横浜ベイホテル東急,2018/11/1 12:42,,2018/11/1 13:03,,,2018/11/1 12:34,0:00:00,0:00:00,,00,08,,,2018/11/1 12:34,1900/1/0 0:00,43405.52361111110,#N/A,,
-,☆,12,2018/11/1 12:47,8145,乗客アプリ（簡単予約）,4593,487,9,1,2018/11/1 13:03,,,35.452963 139.642093,横浜赤レンガ倉庫,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/1 12:59,,2018/11/1 13:08,,,2018/11/1 12:47,0:00:00,0:00:00,,00,15,,,2018/11/1 12:47,1900/1/0 0:00,43405.53263888890,#N/A,,
-,☆,12,2018/11/1 12:56,8150,乗客アプリ（地図から）,2357,408,2,1,2018/11/1 12:57,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/1 13:00,,2018/11/1 13:09,,,2018/11/1 12:56,0:00:00,0:00:00,,00,04,,,2018/11/1 12:56,1900/1/0 0:00,43405.53888888890,#N/A,,
-,-,13,2018/11/1 13:01,8153,乗客アプリ（目的地から）,4363,455,4,1,,2018/11/1 13:04,2018/11/1 13:26,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443908 139.635249,イセザキ・モール,2018/11/1 13:07,2018/11/1 13:07,2018/11/1 13:27,2018/11/1 13:27,,2018/11/1 13:01,0:21:42,0:21:42,384,00,03,11,08,2018/11/1 13:01,2018/11/1 13:26,43405.542361111143405.5597222222,#N/A,,
-,-,13,2018/11/1 13:01,8154,乗客アプリ（地図から）,3459,295,10,1,,2018/11/1 13:11,2018/11/1 13:17,35.448676 139.635696,横浜平和プラザホテル,35.454389 139.630904,横浜ランドマークタワー,2018/11/1 13:13,2018/11/1 13:15,2018/11/1 13:25,2018/11/1 13:27,,2018/11/1 13:01,0:06:04,0:06:04,,00,09,,,2018/11/1 13:01,2018/11/1 13:17,43405.542361111143405.5534722222,#N/A,,
-,-,13,2018/11/1 13:04,8155,まちかど端末（店舗から）,0,559,5,1,,2018/11/1 13:11,2018/11/1 13:15,35.452963 139.642093,横浜赤レンガ倉庫,35.454389 139.630904,横浜ランドマークタワー,2018/11/1 13:14,2018/11/1 13:14,2018/11/1 13:27,2018/11/1 13:27,,2018/11/1 13:04,0:04:34,0:04:34,,00,06,,,2018/11/1 13:04,2018/11/1 13:15,43405.544444444443405.5520833333,#N/A,,
-,-,13,2018/11/1 13:09,8159,乗客アプリ（地図から）,2357,937,10,1,,2018/11/1 13:29,2018/11/1 13:37,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/1 13:35,2018/11/1 13:35,2018/11/1 13:43,2018/11/1 13:43,,2018/11/1 13:09,0:07:39,0:07:39,,00,20,,,2018/11/1 13:09,2018/11/1 13:37,43405.547916666743405.5673611111,肯定的,,
-,-,13,2018/11/1 13:11,8160,まちかど端末（店舗から）,0,274,2,3,,2018/11/1 13:18,2018/11/1 13:53,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/1 13:21,2018/11/1 13:21,2018/11/1 13:46,2018/11/1 13:46,,2018/11/1 13:11,0:34:53,1:44:39,,00,07,,,2018/11/1 13:11,2018/11/1 13:53,43405.549305555643405.5784722222,#N/A,,
-,-,13,2018/11/1 13:17,8162,乗客アプリ（目的地から）,1075,932,6,1,,2018/11/1 13:23,2018/11/1 13:32,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/1 13:25,2018/11/1 13:25,2018/11/1 13:38,2018/11/1 13:39,,2018/11/1 13:17,0:09:34,0:09:34,,00,05,,,2018/11/1 13:17,2018/11/1 13:32,43405.553472222243405.5638888889,#N/A,,
-,-,13,2018/11/1 13:17,8164,乗客アプリ（目的地から）,3162,678,10,1,,2018/11/1 13:22,2018/11/1 13:28,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/1 13:25,2018/11/1 13:25,2018/11/1 13:34,2018/11/1 13:34,,2018/11/1 13:17,0:06:09,0:06:09,,00,04,,,2018/11/1 13:17,2018/11/1 13:28,43405.553472222243405.5611111111,肯定的,,
-,-,13,2018/11/1 13:17,8163,まちかど端末（店舗から）,0,356,5,2,,2018/11/1 13:19,2018/11/1 13:23,35.456605 139.635327,横浜ベイホテル東急,35.453715 139.638133,横浜ワールドポーターズ,2018/11/1 13:19,2018/11/1 13:19,2018/11/1 13:27,2018/11/1 13:27,,2018/11/1 13:17,0:03:29,0:06:58,,00,01,,,2018/11/1 13:17,2018/11/1 13:23,43405.553472222243405.5576388889,#N/A,,
-,-,13,2018/11/1 13:19,8165,まちかど端末（乗降ポイントから）,0,326,6,1,,2018/11/1 13:26,2018/11/1 13:32,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/1 13:25,2018/11/1 13:25,2018/11/1 13:39,2018/11/1 13:39,,2018/11/1 13:19,0:06:29,0:06:29,,00,07,,,2018/11/1 13:19,2018/11/1 13:32,43405.554861111143405.5638888889,#N/A,,
-,-,13,2018/11/1 13:20,8166,乗客アプリ（目的地から）,4313,210,2,1,,2018/11/1 13:27,2018/11/1 13:44,35.450447 139.635947,みなとみらい線　馬車道駅,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/1 13:28,2018/11/1 13:28,2018/11/1 13:45,2018/11/1 13:45,,2018/11/1 13:20,0:17:38,0:17:38,,00,06,,,2018/11/1 13:20,2018/11/1 13:44,43405.555555555643405.5722222222,#N/A,,
-,-,13,2018/11/1 13:20,8167,まちかど端末（乗降ポイントから）,0,626,5,1,,2018/11/1 13:29,2018/11/1 13:35,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/1 13:35,2018/11/1 13:35,2018/11/1 13:41,2018/11/1 13:41,,2018/11/1 13:20,0:06:04,0:06:04,,00,09,,,2018/11/1 13:20,2018/11/1 13:35,43405.555555555643405.5659722222,#N/A,,
-,-,13,2018/11/1 13:20,8168,乗客アプリ（目的地から）,3753,488,6,1,,2018/11/1 13:42,2018/11/1 13:51,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/1 13:51,2018/11/1 13:51,2018/11/1 14:02,2018/11/1 14:04,,2018/11/1 13:20,0:09:33,0:09:33,,00,21,,,2018/11/1 13:20,2018/11/1 13:51,43405.555555555643405.5770833333,#N/A,,
-,-,13,2018/11/1 13:24,8169,乗客アプリ（地図から）,2706,332,1,1,,2018/11/1 13:31,2018/11/1 13:37,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443704 139.651332,ホテルメルパルク横浜,2018/11/1 13:37,2018/11/1 13:37,2018/11/1 13:44,2018/11/1 13:44,,2018/11/1 13:24,0:06:24,0:06:24,,00,06,,,2018/11/1 13:24,2018/11/1 13:37,43405.558333333343405.5673611111,#N/A,,
-,-,13,2018/11/1 13:29,8171,乗客アプリWeb（目的地から）,1761,123,4,2,,2018/11/1 13:29,2018/11/1 13:45,35.443908 139.635249,イセザキ・モール,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/1 13:31,2018/11/1 13:31,2018/11/1 13:43,2018/11/1 13:51,,2018/11/1 13:29,0:15:32,0:31:04,,00,00,,,2018/11/1 13:29,2018/11/1 13:45,43405.561805555643405.5729166667,#N/A,,
-,-,13,2018/11/1 13:29,8172,乗客アプリ（目的地から）,2512,25,4,1,,2018/11/1 13:38,2018/11/1 13:44,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/1 13:38,2018/11/1 13:38,2018/11/1 13:49,2018/11/1 13:49,,2018/11/1 13:29,0:06:36,0:06:36,,00,08,,,2018/11/1 13:29,2018/11/1 13:44,43405.561805555643405.5722222222,#N/A,,
-,-,13,2018/11/1 13:36,8174,乗客アプリ（目的地から）,3162,576,5,1,,2018/11/1 13:57,2018/11/1 14:07,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/1 13:52,2018/11/1 13:52,2018/11/1 14:09,2018/11/1 14:09,,2018/11/1 13:36,0:10:36,0:10:36,,04,20,,,2018/11/1 13:36,2018/11/1 14:07,43405.566666666743405.5881944444,#N/A,,
-,-,13,2018/11/1 13:38,8175,乗客アプリ（目的地から）,1015,492,1,2,,2018/11/1 13:49,2018/11/1 13:54,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/1 13:51,2018/11/1 13:56,2018/11/1 14:01,2018/11/1 14:06,,2018/11/1 13:38,0:04:44,0:09:28,,00,11,,,2018/11/1 13:38,2018/11/1 13:54,43405.568055555643405.5791666667,#N/A,,
-,-,13,2018/11/1 13:40,8176,乗客アプリ（地図から）,1949,580,6,1,,2018/11/1 13:48,2018/11/1 14:04,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/1 13:56,2018/11/1 13:56,2018/11/1 14:15,2018/11/1 14:15,,2018/11/1 13:40,0:16:11,0:16:11,,00,07,,,2018/11/1 13:40,2018/11/1 14:04,43405.569444444443405.5861111111,#N/A,,
-,-,13,2018/11/1 13:40,8177,まちかど端末（店舗から）,0,696,4,1,,2018/11/1 14:03,2018/11/1 14:12,35.456605 139.635327,横浜ベイホテル東急,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/1 14:04,2018/11/1 14:04,2018/11/1 14:17,2018/11/1 14:17,,2018/11/1 13:40,0:08:54,0:08:54,,00,22,,,2018/11/1 13:40,2018/11/1 14:12,43405.569444444443405.5916666667,#N/A,,
-,-,13,2018/11/1 13:43,8179,乗客アプリ（地図から）,4435,76,2,1,,2018/11/1 13:57,2018/11/1 14:19,35.441441 139.648505,横浜中華街朱雀門,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/1 13:54,2018/11/1 13:56,2018/11/1 14:12,2018/11/1 14:25,,2018/11/1 13:43,0:22:14,0:22:14,,02,14,,,2018/11/1 13:43,2018/11/1 14:19,43405.571527777843405.5965277778,#N/A,,
-,-,13,2018/11/1 13:43,8180,乗客アプリ（地図から）,2357,135,7,1,,2018/11/1 13:50,2018/11/1 13:58,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/1 14:07,2018/11/1 14:07,2018/11/1 14:20,2018/11/1 14:20,,2018/11/1 13:43,0:07:45,0:07:45,,00,07,,,2018/11/1 13:43,2018/11/1 13:58,43405.571527777843405.5819444444,#N/A,,
-,-,13,2018/11/1 13:45,8181,まちかど端末（店舗から）,0,431,1,2,,2018/11/1 14:11,2018/11/1 14:19,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.453715 139.638133,横浜ワールドポーターズ,2018/11/1 14:12,2018/11/1 14:12,2018/11/1 14:26,2018/11/1 14:26,,2018/11/1 13:45,0:08:32,0:17:04,,00,26,,,2018/11/1 13:45,2018/11/1 14:19,43405.572916666743405.5965277778,#N/A,,
-,-,13,2018/11/1 13:53,8182,乗客アプリ（地図から）,2290,953,2,2,,2018/11/1 14:00,2018/11/1 14:08,35.443073 139.651914,横浜人形の家,35.448676 139.635696,横浜平和プラザホテル,2018/11/1 13:59,2018/11/1 13:59,2018/11/1 14:12,2018/11/1 14:12,,2018/11/1 13:53,0:07:51,0:15:42,,01,07,,,2018/11/1 13:53,2018/11/1 14:08,43405.578472222243405.5888888889,#N/A,,
-,-,13,2018/11/1 13:53,8183,まちかど端末（乗降ポイントから）,0,569,6,2,,2018/11/1 14:02,2018/11/1 14:09,35.445783 139.642958,横浜情報文化センター,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/1 14:00,2018/11/1 14:00,2018/11/1 14:08,2018/11/1 14:08,,2018/11/1 13:53,0:07:03,0:14:06,,02,08,,,2018/11/1 13:53,2018/11/1 14:09,43405.578472222243405.5895833333,#N/A,,
★,-,13,2018/11/1 13:57,8184,まちかど端末（店舗から）,0,843,8,1,,2018/11/1 14:23,2018/11/1 14:35,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.443908 139.635249,イセザキ・モール,2018/11/1 14:27,2018/11/1 14:27,2018/11/1 14:38,2018/11/1 14:46,2018/11/1 14:27,2018/11/1 14:27,0:11:38,0:11:38,,00,00,,,2018/11/1 13:57,2018/11/1 14:35,43405.5812543405.6076388889,#N/A,,
★,☆,13,2018/11/1 12:20,8136,乗客アプリ（地図から）,4543,960,5,1,2018/11/1 12:24,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/1 13:20,,2018/11/1 13:34,,2018/11/1 13:20,2018/11/1 13:20,0:00:00,0:00:00,,00,00,,,2018/11/1 12:20,1900/1/0 0:00,43405.51388888890,#N/A,,
★,☆,13,2018/11/1 12:38,8143,乗客アプリ（地図から）,79,590,1,1,2018/11/1 12:38,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.445857 139.647636,ホテルモントレ横浜,2018/11/1 13:12,,2018/11/1 13:26,,2018/11/1 13:08,2018/11/1 13:08,0:00:00,0:00:00,,00,04,,,2018/11/1 12:38,1900/1/0 0:00,43405.52638888890,#N/A,,
★,☆,13,2018/11/1 12:55,8148,乗客アプリ（地図から）,3823,896,2,1,2018/11/1 12:57,,,35.443908 139.635249,イセザキ・モール,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/1 13:29,,2018/11/1 13:39,,2018/11/1 13:25,2018/11/1 13:25,0:00:00,0:00:00,,00,04,,,2018/11/1 12:55,1900/1/0 0:00,43405.53819444440,#N/A,,
-,☆,13,2018/11/1 13:06,8156,まちかど端末（乗降ポイントから）,0,238,4,1,2018/11/1 13:19,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/1 13:15,,2018/11/1 13:20,,,2018/11/1 13:06,0:00:00,0:00:00,,00,12,,,2018/11/1 13:06,1900/1/0 0:00,43405.54583333330,#N/A,,
