,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,計算用ダミー,
-,-,10,2018/11/1 10:06,8084,まちかど端末（乗降ポイントから）,0,655,4,1,,2018/11/1 10:09,2018/11/1 10:29,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/1 10:09,2018/11/1 10:09,2018/11/1 10:24,2018/11/1 10:32,,2018/11/1 10:06,0:19:20,0:19:20,,00,03,,,2018/11/1 10:06,2018/11/1 10:29,43405.420833333343405.4368055556,#N/A,,
-,-,10,2018/11/1 10:07,8085,乗客アプリ（目的地から）,2124,281,2,1,,2018/11/1 10:28,2018/11/1 10:45,35.448801 139.636702,ホテルルートイン横浜馬車道,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/1 10:17,2018/11/1 10:20,2018/11/1 10:33,2018/11/1 10:36,,2018/11/1 10:07,0:17:30,0:17:30,,10,20,,,2018/11/1 10:07,2018/11/1 10:45,43405.421527777843405.4479166667,#N/A,,
-,-,10,2018/11/1 10:09,8086,乗客アプリ（目的地から）,3989,654,4,1,,2018/11/1 10:12,2018/11/1 10:23,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447541 139.644914,シルク博物館,2018/11/1 10:16,2018/11/1 10:16,2018/11/1 10:28,2018/11/1 10:28,,2018/11/1 10:09,0:11:03,0:11:03,,00,02,,,2018/11/1 10:09,2018/11/1 10:23,43405.422916666743405.4326388889,#N/A,,
-,-,10,2018/11/1 10:13,8087,まちかど端末（店舗から）,0,866,9,1,,2018/11/1 10:25,2018/11/1 10:34,35.450681 139.632446,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/1 10:24,2018/11/1 10:24,2018/11/1 10:41,2018/11/1 10:41,,2018/11/1 10:13,0:09:02,0:09:02,,01,12,,,2018/11/1 10:13,2018/11/1 10:34,43405.425694444443405.4402777778,#N/A,,
-,-,10,2018/11/1 10:13,8088,乗客アプリ（地図から）,4363,677,4,1,,2018/11/1 10:17,2018/11/1 10:27,35.450447 139.635947,みなとみらい線　馬車道駅,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/1 10:22,2018/11/1 10:22,2018/11/1 10:31,2018/11/1 10:31,,2018/11/1 10:13,0:09:30,0:09:30,,00,04,,,2018/11/1 10:13,2018/11/1 10:27,43405.425694444443405.4354166667,#N/A,,
-,-,10,2018/11/1 10:14,8089,まちかど端末（乗降ポイントから）,0,251,2,1,,2018/11/1 10:28,2018/11/1 10:47,35.448801 139.636702,ホテルルートイン横浜馬車道,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/1 10:21,2018/11/1 10:21,2018/11/1 10:38,2018/11/1 10:38,,2018/11/1 10:14,0:19:36,0:19:36,,07,14,,,2018/11/1 10:14,2018/11/1 10:47,43405.426388888943405.4493055556,#N/A,,
-,-,10,2018/11/1 10:14,8090,乗客アプリ（目的地から）,3457,740,1,1,,2018/11/1 10:18,2018/11/1 10:23,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/1 10:20,2018/11/1 10:20,2018/11/1 10:26,2018/11/1 10:26,,2018/11/1 10:14,0:04:47,0:04:47,,00,04,,,2018/11/1 10:14,2018/11/1 10:23,43405.426388888943405.4326388889,#N/A,,
★,-,10,2018/11/1 10:18,8091,乗客アプリ（目的地から）,1015,58,6,2,,2018/11/1 10:45,2018/11/1 10:49,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/1 10:48,2018/11/1 10:48,2018/11/1 10:57,2018/11/1 10:57,2018/11/1 10:48,2018/11/1 10:48,0:04:06,0:08:12,,00,00,,,2018/11/1 10:18,2018/11/1 10:49,43405.429166666743405.4506944444,#N/A,,
★,-,10,2018/11/1 10:25,8093,まちかど端末（店舗から）,0,940,6,2,,2018/11/1 11:24,2018/11/1 11:39,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.453715 139.638133,横浜ワールドポーターズ,2018/11/1 11:24,2018/11/1 11:24,2018/11/1 11:36,2018/11/1 11:37,2018/11/1 11:24,2018/11/1 11:24,0:14:31,0:29:02,,00,00,,,2018/11/1 10:25,2018/11/1 11:39,43405.434027777843405.4854166667,#N/A,,
-,-,10,2018/11/1 10:28,8096,まちかど端末（店舗から）,0,797,7,2,,2018/11/1 10:37,2018/11/1 10:49,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/1 10:29,2018/11/1 10:29,2018/11/1 10:44,2018/11/1 10:44,,2018/11/1 10:28,0:12:03,0:24:06,,07,08,,,2018/11/1 10:28,2018/11/1 10:49,43405.436111111143405.4506944444,#N/A,,
