,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,
-,-,11,2018/11/7 11:23,075-071-ORANGE,10622,まちかど端末（乗降ポイントから）,0,647,7,1,,2018/11/7 11:25,2018/11/7 11:31,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/7 11:25,2018/11/7 11:25,2018/11/7 11:34,2018/11/7 11:34,,2018/11/7 11:23,0:05:24,0:05:24,,00,02,,,2018/11/7 11:23,2018/11/7 11:31,43411.474305555643411.4798611111,#N/A,,,
-,-,11,2018/11/7 11:26,065-355-BANANA 065-353-BANANA 065-354-BANANA,10623,まちかど端末（店舗から）,0,57,4,3,,2018/11/7 11:28,2018/11/7 11:33,35.456605 139.635327,横浜ベイホテル東急,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/7 11:29,2018/11/7 11:29,2018/11/7 11:37,2018/11/7 11:37,,2018/11/7 11:26,0:05:10,0:15:30,,00,02,,,2018/11/7 11:26,2018/11/7 11:33,43411.476388888943411.48125,#N/A,,,
-,-,11,2018/11/7 11:28,004-886-BLUE,10624,まちかど端末（乗降ポイントから）,0,646,3,1,,2018/11/7 11:31,2018/11/7 11:43,35.443704 139.651332,ホテルメルパルク横浜,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/7 11:30,2018/11/7 11:30,2018/11/7 11:47,2018/11/7 11:47,,2018/11/7 11:28,0:11:46,0:11:46,,00,03,,,2018/11/7 11:28,2018/11/7 11:43,43411.477777777843411.4881944444,#N/A,,,
-,-,11,2018/11/7 11:29,020-265-GREEN 020-244-GREEN,10625,乗客アプリ（目的地から）,4617,910,9,2,,2018/11/7 11:32,2018/11/7 11:40,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/7 11:31,2018/11/7 11:31,2018/11/7 11:38,2018/11/7 11:39,,2018/11/7 11:29,0:07:21,0:14:42,,01,03,,,2018/11/7 11:29,2018/11/7 11:40,43411.478472222243411.4861111111,肯定的,,,
-,-,11,2018/11/7 11:30,023-655-GREEN,10626,乗客アプリ（地図から）,4323,562,9,1,,2018/11/7 11:34,2018/11/7 11:39,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/7 11:32,2018/11/7 11:32,2018/11/7 11:38,2018/11/7 11:38,,2018/11/7 11:30,0:05:27,0:05:27,,02,04,,,2018/11/7 11:30,2018/11/7 11:39,43411.479166666743411.4854166667,肯定的,,,
-,-,11,2018/11/7 11:30,111-230-SUN,10627,乗客アプリ（地図から）,5348,937,2,1,,2018/11/7 11:37,2018/11/7 11:43,35.454389 139.630904,横浜ランドマークタワー,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/7 11:34,2018/11/7 11:34,2018/11/7 11:38,2018/11/7 11:38,,2018/11/7 11:30,0:06:23,0:06:23,,02,06,,,2018/11/7 11:30,2018/11/7 11:43,43411.479166666743411.4881944444,#N/A,,,
-,-,11,2018/11/7 11:34,167-383-CAKE,10628,乗客アプリWeb（地図から）,5398,854,6,1,,2018/11/7 11:37,2018/11/7 11:48,35.453715 139.638133,横浜ワールドポーターズ,35.441441 139.648505,横浜中華街朱雀門,2018/11/7 11:39,2018/11/7 11:39,2018/11/7 11:51,2018/11/7 11:51,,2018/11/7 11:34,0:10:59,0:10:59,,00,02,,,2018/11/7 11:34,2018/11/7 11:48,43411.481944444443411.4916666667,#N/A,,,
★,-,11,2018/11/7 11:39,112-089-SUN 112-079-SUN,10630,乗客アプリ（地図から）,3698,63,5,2,,2018/11/7 11:45,2018/11/7 11:49,35.443908 139.635249,イセザキ・モール,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/7 11:49,2018/11/7 11:49,2018/11/7 11:56,2018/11/7 11:56,2018/11/7 11:49,2018/11/7 11:49,0:03:51,0:07:42,,00,00,,,2018/11/7 11:39,2018/11/7 11:49,43411.485416666743411.4923611111,#N/A,,,
-,-,11,2018/11/7 11:43,017-389-RED,10631,乗客アプリ（目的地から）,4256,945,4,1,,2018/11/7 11:47,2018/11/7 11:58,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/7 11:47,2018/11/7 11:47,2018/11/7 12:05,2018/11/7 12:05,,2018/11/7 11:43,0:11:00,0:11:00,,00,04,,,2018/11/7 11:43,2018/11/7 11:58,43411.488194444443411.4986111111,#N/A,,,
-,-,11,2018/11/7 11:50,065-781-BANANA 065-780-BANANA,10632,乗客アプリ（目的地から）,3123,561,10,2,,2018/11/7 11:55,2018/11/7 12:02,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.454389 139.630904,横浜ランドマークタワー,2018/11/7 11:51,2018/11/7 11:51,2018/11/7 11:59,2018/11/7 11:59,,2018/11/7 11:50,0:06:56,0:13:52,,03,04,,,2018/11/7 11:50,2018/11/7 12:02,43411.493055555643411.5013888889,#N/A,,,
-,-,11,2018/11/7 11:50,022-448-GREEN,10633,乗客アプリ（目的地から）,2316,61,5,1,,2018/11/7 11:57,2018/11/7 12:05,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/11/7 11:57,2018/11/7 11:57,2018/11/7 12:06,2018/11/7 12:06,,2018/11/7 11:50,0:07:17,0:07:17,,00,07,,,2018/11/7 11:50,2018/11/7 12:05,43411.493055555643411.5034722222,#N/A,,,
-,-,11,2018/11/7 11:52,109-619-SNOW,10634,乗客アプリ（目的地から）,5390,229,6,1,,2018/11/7 11:57,2018/11/7 12:02,35.447541 139.644914,シルク博物館,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/7 11:55,2018/11/7 11:55,2018/11/7 12:04,2018/11/7 12:04,,2018/11/7 11:52,0:04:56,0:04:56,,01,04,,,2018/11/7 11:52,2018/11/7 12:02,43411.494444444443411.5013888889,#N/A,,,
★,☆,11,2018/11/7 10:01,167-378-CAKE,10575,乗客アプリWeb（目的地から）,5388,759,5,4,2018/11/7 10:02,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/7 11:01,,2018/11/7 11:15,,2018/11/7 11:01,2018/11/7 11:01,0:00:00,0:00:00,,00,00,,,2018/11/7 10:01,1900/1/0 0:00,43411.41736111110,#N/A,,,
★,☆,11,2018/11/7 11:16,167-387-CAKE,10621,乗客アプリWeb（目的地から）,5403,22,6,2,2018/11/7 11:17,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/7 11:25,,2018/11/7 11:40,,2018/11/7 11:25,2018/11/7 11:25,0:00:00,0:00:00,,00,00,,,2018/11/7 11:16,1900/1/0 0:00,43411.46944444440,#N/A,,,
★,☆,11,2018/11/7 11:38,112-079-SUN,10629,乗客アプリ（地図から）,3698,266,5,1,2018/11/7 11:38,,,35.443908 139.635249,イセザキ・モール,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/7 11:48,,2018/11/7 11:54,,2018/11/7 11:48,2018/11/7 11:48,0:00:00,0:00:00,,00,00,,,2018/11/7 11:38,1900/1/0 0:00,43411.48472222220,#N/A,,,
-,☆,11,2018/11/7 11:59,063-600-BANANA,10635,乗客アプリ（地図から）,5394,840,8,1,2018/11/7 11:59,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/7 12:02,,2018/11/7 12:13,,,2018/11/7 11:59,0:00:00,0:00:00,,00,03,,,2018/11/7 11:59,1900/1/0 0:00,43411.49930555560,#N/A,,,
-,-,12,2018/11/7 12:01,063-551-BANANA 063-600-BANANA 067-026-BANANA 065-301-BANANA,10636,乗客アプリ（地図から）,5394,970,8,4,,2018/11/7 12:07,2018/11/7 12:16,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/7 12:08,2018/11/7 12:08,2018/11/7 12:25,2018/11/7 12:25,,2018/11/7 12:01,0:08:39,0:34:36,303,00,05,04,03,2018/11/7 12:01,2018/11/7 12:16,43411.500694444443411.5111111111,#N/A,,,
-,-,12,2018/11/7 12:04,022-209-GREEN 020-238-GREEN,10637,まちかど端末（乗降ポイントから）,0,841,6,2,,2018/11/7 12:07,2018/11/7 12:11,35.453715 139.638133,横浜ワールドポーターズ,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/7 12:08,2018/11/7 12:08,2018/11/7 12:15,2018/11/7 12:15,,2018/11/7 12:04,0:03:48,0:07:36,,00,02,,,2018/11/7 12:04,2018/11/7 12:11,43411.502777777843411.5076388889,#N/A,,,
-,-,12,2018/11/7 12:11,019-702-RED 019-710-RED 019-712-RED 019-711-RED,10639,乗客アプリ（地図から）,5344,939,1,4,,2018/11/7 12:17,2018/11/7 12:27,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/7 12:13,2018/11/7 12:13,2018/11/7 12:33,2018/11/7 12:33,,2018/11/7 12:11,0:09:43,0:38:52,,04,06,,,2018/11/7 12:11,2018/11/7 12:27,43411.507638888943411.51875,#N/A,,,
-,-,12,2018/11/7 12:12,023-660-GREEN,10640,乗客アプリ（目的地から）,5409,182,7,1,,2018/11/7 12:20,2018/11/7 12:25,35.450447 139.635947,みなとみらい線　馬車道駅,35.441441 139.648505,横浜中華街朱雀門,2018/11/7 12:20,2018/11/7 12:20,2018/11/7 12:30,2018/11/7 12:30,,2018/11/7 12:12,0:04:44,0:04:44,,00,07,,,2018/11/7 12:12,2018/11/7 12:25,43411.508333333343411.5173611111,肯定的,,,
★,-,12,2018/11/7 12:16,167-362-CAKE,10641,乗客アプリWeb（簡単予約）,5268,811,6,1,,2018/11/7 12:22,2018/11/7 12:28,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/7 12:26,2018/11/7 12:26,2018/11/7 12:37,2018/11/7 12:37,2018/11/7 12:26,2018/11/7 12:26,0:06:25,0:06:25,,00,00,,,2018/11/7 12:16,2018/11/7 12:28,43411.511111111143411.5194444444,#N/A,,,
-,-,12,2018/11/7 12:18,023-655-GREEN,10642,乗客アプリ（簡単予約）,4323,374,8,1,,2018/11/7 12:24,2018/11/7 12:29,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454389 139.630904,横浜ランドマークタワー,2018/11/7 12:28,2018/11/7 12:28,2018/11/7 12:37,2018/11/7 12:37,,2018/11/7 12:18,0:05:49,0:05:49,,00,05,,,2018/11/7 12:18,2018/11/7 12:29,43411.512543411.5201388889,#N/A,,,
-,-,12,2018/11/7 12:20,167-383-CAKE,10643,乗客アプリWeb（目的地から）,5398,747,9,1,,2018/11/7 12:29,2018/11/7 12:37,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/7 12:25,2018/11/7 12:25,2018/11/7 12:40,2018/11/7 12:40,,2018/11/7 12:20,0:08:23,0:08:23,,04,08,,,2018/11/7 12:20,2018/11/7 12:37,43411.513888888943411.5256944444,肯定的,,,
-,-,12,2018/11/7 12:20,024-623-GREEN 024-622-GREEN,10644,乗客アプリ（地図から）,4324,612,10,2,,2018/11/7 12:26,2018/11/7 12:32,35.450681 139.632446,横浜桜木町ワシントンホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/7 12:32,2018/11/7 12:32,2018/11/7 12:44,2018/11/7 12:44,,2018/11/7 12:20,0:06:09,0:12:18,,00,05,,,2018/11/7 12:20,2018/11/7 12:32,43411.513888888943411.5222222222,肯定的,,,
-,-,12,2018/11/7 12:23,062-848-BANANA 063-068-BANANA 074-055-ORANGE,10645,まちかど端末（店舗から）,0,47,7,3,,2018/11/7 12:28,2018/11/7 12:38,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/7 12:29,2018/11/7 12:29,2018/11/7 12:44,2018/11/7 12:44,,2018/11/7 12:23,0:09:41,0:29:03,,00,05,,,2018/11/7 12:23,2018/11/7 12:38,43411.515972222243411.5263888889,#N/A,,,
-,-,12,2018/11/7 12:27,023-319-GREEN,10646,乗客アプリ（地図から）,4092,737,8,1,,2018/11/7 12:31,2018/11/7 12:41,35.454389 139.630904,横浜ランドマークタワー,35.445783 139.642958,横浜情報文化センター,2018/11/7 12:32,2018/11/7 12:32,2018/11/7 12:44,2018/11/7 12:51,,2018/11/7 12:27,0:10:25,0:10:25,,00,03,,,2018/11/7 12:27,2018/11/7 12:41,43411.5187543411.5284722222,#N/A,,,
-,-,12,2018/11/7 12:30,166-638-agekke,10648,まちかど端末（店舗から）,0,791,2,1,,2018/11/7 12:33,2018/11/7 12:39,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/7 12:31,2018/11/7 12:31,2018/11/7 12:37,2018/11/7 12:37,,2018/11/7 12:30,0:06:58,0:06:58,,01,02,,,2018/11/7 12:30,2018/11/7 12:39,43411.520833333343411.5270833333,#N/A,,,
-,-,12,2018/11/7 12:39,023-239-GREEN,10649,乗客アプリ（簡単予約）,4418,698,10,1,,2018/11/7 12:42,2018/11/7 12:48,35.454389 139.630904,横浜ランドマークタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/7 12:46,2018/11/7 12:46,2018/11/7 12:59,2018/11/7 12:59,,2018/11/7 12:39,0:05:22,0:05:22,,00,03,,,2018/11/7 12:39,2018/11/7 12:48,43411.527083333343411.5333333333,#N/A,,,
-,-,12,2018/11/7 12:40,063-599-BANANA,10650,まちかど端末（乗降ポイントから）,0,408,8,1,,2018/11/7 12:46,2018/11/7 12:56,35.443704 139.651332,ホテルメルパルク横浜,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/7 12:46,2018/11/7 12:46,2018/11/7 13:06,2018/11/7 13:06,,2018/11/7 12:40,0:10:08,0:10:08,,00,05,,,2018/11/7 12:40,2018/11/7 12:56,43411.527777777843411.5388888889,#N/A,,,
-,-,12,2018/11/7 12:44,167-379-CAKE,10651,乗客アプリWeb（簡単予約）,5391,130,1,2,,2018/11/7 12:51,2018/11/7 13:00,35.454389 139.630904,横浜ランドマークタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/7 12:50,2018/11/7 12:50,2018/11/7 13:05,2018/11/7 13:05,,2018/11/7 12:44,0:08:37,0:17:14,,01,06,,,2018/11/7 12:44,2018/11/7 13:00,43411.530555555643411.5416666667,#N/A,,,
-,-,12,2018/11/7 12:45,167-384-CAKE,10652,乗客アプリWeb（目的地から）,5399,897,9,1,,2018/11/7 12:46,2018/11/7 12:51,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.454389 139.630904,横浜ランドマークタワー,2018/11/7 12:46,2018/11/7 12:46,2018/11/7 12:59,2018/11/7 12:59,,2018/11/7 12:45,0:05:09,0:05:09,,00,01,,,2018/11/7 12:45,2018/11/7 12:51,43411.5312543411.5354166667,#N/A,,,
-,-,12,2018/11/7 12:45,167-383-CAKE,10653,乗客アプリWeb（簡単予約）,5398,842,2,1,,2018/11/7 12:48,2018/11/7 12:57,35.452963 139.642093,横浜赤レンガ倉庫,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/7 12:50,2018/11/7 12:50,2018/11/7 13:02,2018/11/7 13:05,,2018/11/7 12:45,0:09:22,0:09:22,,00,02,,,2018/11/7 12:45,2018/11/7 12:57,43411.5312543411.5395833333,#N/A,,,
-,-,12,2018/11/7 12:48,020-237-GREEN,10654,まちかど端末（店舗から）,0,312,2,1,,2018/11/7 12:52,2018/11/7 12:57,35.453715 139.638133,横浜ワールドポーターズ,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/7 12:53,2018/11/7 12:53,2018/11/7 13:04,2018/11/7 13:04,,2018/11/7 12:48,0:05:34,0:05:34,,00,03,,,2018/11/7 12:48,2018/11/7 12:57,43411.533333333343411.5395833333,#N/A,,,
-,-,12,2018/11/7 12:49,024-475-GREEN 024-476-GREEN,10655,まちかど端末（乗降ポイントから）,0,866,10,2,,2018/11/7 12:53,2018/11/7 13:10,35.445783 139.642958,横浜情報文化センター,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/7 12:52,2018/11/7 12:54,2018/11/7 13:03,2018/11/7 13:18,,2018/11/7 12:49,0:17:18,0:34:36,,00,03,,,2018/11/7 12:49,2018/11/7 13:10,43411.534027777843411.5486111111,#N/A,,,
-,-,12,2018/11/7 12:50,167-372-CAKE,10656,乗客アプリWeb（簡単予約）,5312,343,4,1,,2018/11/7 12:57,2018/11/7 13:10,35.448801 139.636702,ホテルルートイン横浜馬車道,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/7 12:56,2018/11/7 12:56,2018/11/7 13:06,2018/11/7 13:06,,2018/11/7 12:50,0:13:39,0:13:39,,00,07,,,2018/11/7 12:50,2018/11/7 13:10,43411.534722222243411.5486111111,#N/A,,,
-,-,12,2018/11/7 12:51,167-382-CAKE,10657,乗客アプリWeb（地図から）,5396,453,9,2,,2018/11/7 12:54,2018/11/7 12:58,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/7 13:01,2018/11/7 13:01,2018/11/7 13:13,2018/11/7 13:13,,2018/11/7 12:51,0:04:10,0:08:20,,00,03,,,2018/11/7 12:51,2018/11/7 12:58,43411.535416666743411.5402777778,#N/A,,,
-,-,12,2018/11/7 12:54,023-660-GREEN,10659,乗客アプリ（目的地から）,5409,622,3,1,,2018/11/7 13:00,2018/11/7 13:08,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/7 12:58,2018/11/7 12:58,2018/11/7 13:10,2018/11/7 13:10,,2018/11/7 12:54,0:07:40,0:07:40,,01,05,,,2018/11/7 12:54,2018/11/7 13:08,43411.537543411.5472222222,肯定的,,,
-,-,12,2018/11/7 12:57,064-010-BANANA 064-011-BANANA,10660,まちかど端末（店舗から）,0,426,2,2,,2018/11/7 12:59,2018/11/7 13:10,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443704 139.651332,ホテルメルパルク横浜,2018/11/7 12:58,2018/11/7 12:58,2018/11/7 13:12,2018/11/7 13:12,,2018/11/7 12:57,0:10:27,0:20:54,,00,02,,,2018/11/7 12:57,2018/11/7 13:10,43411.539583333343411.5486111111,#N/A,,,
★,☆,12,2018/11/7 12:29,023-239-GREEN,10647,乗客アプリ（地図から）,4418,638,8,1,2018/11/7 12:34,2018/11/7 12:34,,35.454389 139.630904,横浜ランドマークタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/7 12:39,2018/11/7 12:39,2018/11/7 12:53,,2018/11/7 12:39,2018/11/7 12:39,,,,00,00,,,2018/11/7 12:29,1900/1/0 0:00,43411.52013888890,#N/A,,,
★,-,13,2018/11/7 12:52,067-240-BANANA 067-242-BANANA 067-241-BANANA,10658,乗客アプリ（地図から）,5347,830,10,3,,2018/11/7 13:02,2018/11/7 13:18,35.441002 139.650809,横浜元町ショッピングストリート,35.456605 139.635327,横浜ベイホテル東急,2018/11/7 13:02,2018/11/7 13:02,2018/11/7 13:30,2018/11/7 13:30,2018/11/7 13:02,2018/11/7 13:02,0:16:43,0:50:09,550,00,00,07,05,2018/11/7 12:52,2018/11/7 13:18,43411.536111111143411.5541666667,#N/A,,,
-,-,13,2018/11/7 13:01,103-425-SNOW,10661,乗客アプリ（地図から）,5387,669,1,1,,2018/11/7 13:17,2018/11/7 13:32,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/7 13:20,2018/11/7 13:20,2018/11/7 13:38,2018/11/7 13:38,,2018/11/7 13:01,0:15:28,0:15:28,,00,16,,,2018/11/7 13:01,2018/11/7 13:32,43411.542361111143411.5638888889,#N/A,,,
-,-,13,2018/11/7 13:05,114-889-SUN,10662,乗客アプリ（目的地から）,3162,369,9,1,,2018/11/7 13:11,2018/11/7 13:16,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/7 13:16,2018/11/7 13:16,2018/11/7 13:23,2018/11/7 13:23,,2018/11/7 13:05,0:04:44,0:04:44,,00,06,,,2018/11/7 13:05,2018/11/7 13:16,43411.545138888943411.5527777778,#N/A,,,
★,-,13,2018/11/7 13:06,017-389-RED,10663,乗客アプリ（目的地から）,4256,382,3,1,,2018/11/7 13:16,2018/11/7 13:43,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/7 13:23,2018/11/7 13:23,2018/11/7 13:42,2018/11/7 13:43,2018/11/7 13:16,2018/11/7 13:16,0:26:40,0:26:40,,00,00,,,2018/11/7 13:06,2018/11/7 13:43,43411.545833333343411.5715277778,#N/A,,,
-,-,13,2018/11/7 13:09,019-702-RED 019-710-RED 019-712-RED 019-711-RED,10664,乗客アプリ（地図から）,5344,186,5,4,,2018/11/7 13:13,2018/11/7 13:22,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/7 13:13,2018/11/7 13:13,2018/11/7 13:34,2018/11/7 13:34,,2018/11/7 13:09,0:09:02,0:36:08,,00,04,,,2018/11/7 13:09,2018/11/7 13:22,43411.547916666743411.5569444444,肯定的,,,
★,-,13,2018/11/7 13:09,023-449-GREEN 023-450-GREEN,10665,乗客アプリ（目的地から）,4966,457,3,2,,2018/11/7 13:20,2018/11/7 13:47,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/7 13:24,2018/11/7 13:24,2018/11/7 13:48,2018/11/7 13:48,2018/11/7 13:19,2018/11/7 13:19,0:27:05,0:54:10,,00,00,,,2018/11/7 13:09,2018/11/7 13:47,43411.547916666743411.5743055556,#N/A,,,
-,-,13,2018/11/7 13:09,051-286-STRAWBERRY,10666,乗客アプリ（目的地から）,5415,537,10,1,,2018/11/7 13:14,2018/11/7 13:23,35.45435 139.631762,横浜ロイヤルパークホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/7 13:23,2018/11/7 13:24,2018/11/7 13:35,2018/11/7 13:38,,2018/11/7 13:09,0:08:51,0:08:51,,00,04,,,2018/11/7 13:09,2018/11/7 13:23,43411.547916666743411.5576388889,#N/A,,,
-,-,13,2018/11/7 13:09,051-287-STRAWBERRY,10667,乗客アプリ（目的地から）,5416,670,10,1,,2018/11/7 13:15,2018/11/7 13:23,35.45435 139.631762,横浜ロイヤルパークホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/7 13:24,2018/11/7 13:25,2018/11/7 13:36,2018/11/7 13:38,,2018/11/7 13:09,0:08:02,0:08:02,,00,05,,,2018/11/7 13:09,2018/11/7 13:23,43411.547916666743411.5576388889,#N/A,,,
-,-,13,2018/11/7 13:09,167-383-CAKE,10668,乗客アプリWeb（地図から）,5398,794,4,1,,2018/11/7 13:21,2018/11/7 13:30,35.450681 139.632446,横浜桜木町ワシントンホテル,35.445857 139.647636,ホテルモントレ横浜,2018/11/7 13:25,2018/11/7 13:25,2018/11/7 13:36,2018/11/7 13:36,,2018/11/7 13:09,0:08:25,0:08:25,,00,12,,,2018/11/7 13:09,2018/11/7 13:30,43411.547916666743411.5625,肯定的,,,
-,-,13,2018/11/7 13:10,051-285-STRAWBERRY,10669,乗客アプリ（地図から）,5414,4,10,1,,2018/11/7 13:15,2018/11/7 13:23,35.45435 139.631762,横浜ロイヤルパークホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/7 13:25,2018/11/7 13:25,2018/11/7 13:37,2018/11/7 13:37,,2018/11/7 13:10,0:07:38,0:07:38,,00,05,,,2018/11/7 13:10,2018/11/7 13:23,43411.548611111143411.5576388889,肯定的,,,
-,-,13,2018/11/7 13:16,063-551-BANANA 063-600-BANANA 067-026-BANANA 065-301-BANANA,10670,乗客アプリ（地図から）,5394,839,2,4,,2018/11/7 13:20,2018/11/7 13:26,35.452963 139.642093,横浜赤レンガ倉庫,35.456605 139.635327,横浜ベイホテル東急,2018/11/7 13:20,2018/11/7 13:20,2018/11/7 13:38,2018/11/7 13:38,,2018/11/7 13:16,0:06:17,0:25:08,,00,03,,,2018/11/7 13:16,2018/11/7 13:26,43411.552777777843411.5597222222,#N/A,,,
-,-,13,2018/11/7 13:17,024-480-GREEN 024-479-GREEN,10671,乗客アプリ（地図から）,2892,6,6,2,,2018/11/7 13:21,2018/11/7 13:41,35.445783 139.642958,横浜情報文化センター,35.456605 139.635327,横浜ベイホテル東急,2018/11/7 13:22,2018/11/7 13:22,2018/11/7 13:40,2018/11/7 13:40,,2018/11/7 13:17,0:19:49,0:39:38,,00,04,,,2018/11/7 13:17,2018/11/7 13:41,43411.553472222243411.5701388889,#N/A,,,
-,-,13,2018/11/7 13:19,022-146-GREEN 022-147-GREEN,10672,まちかど端末（店舗から）,0,836,10,2,,2018/11/7 13:23,2018/11/7 13:30,35.452963 139.642093,横浜赤レンガ倉庫,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/7 13:28,2018/11/7 13:28,2018/11/7 13:41,2018/11/7 13:41,,2018/11/7 13:19,0:06:33,0:13:06,,00,04,,,2018/11/7 13:19,2018/11/7 13:30,43411.554861111143411.5625,#N/A,,,
-,-,13,2018/11/7 13:21,023-319-GREEN,10673,乗客アプリ（地図から）,4092,934,1,1,,2018/11/7 13:33,2018/11/7 13:42,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/7 13:33,2018/11/7 13:33,2018/11/7 13:37,2018/11/7 13:38,,2018/11/7 13:21,0:09:00,0:09:00,,00,12,,,2018/11/7 13:21,2018/11/7 13:42,43411.5562543411.5708333333,#N/A,,,
★,-,13,2018/11/7 13:23,167-362-CAKE,10674,乗客アプリWeb（簡単予約）,5268,614,6,1,,2018/11/7 13:27,2018/11/7 13:35,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/7 13:33,2018/11/7 13:33,2018/11/7 13:45,2018/11/7 13:45,2018/11/7 13:33,2018/11/7 13:33,0:08:08,0:08:08,,00,00,,,2018/11/7 13:23,2018/11/7 13:35,43411.557638888943411.5659722222,#N/A,,,
★,-,13,2018/11/7 13:23,105-295-SNOW 105-293-SNOW 105-292-SNOW 105-294-SNOW,10675,乗客アプリ（地図から）,5401,335,5,4,,2018/11/7 13:35,2018/11/7 13:43,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/7 13:33,2018/11/7 13:34,2018/11/7 13:47,2018/11/7 13:48,2018/11/7 13:33,2018/11/7 13:33,0:07:38,0:30:32,,01,01,,,2018/11/7 13:23,2018/11/7 13:43,43411.557638888943411.5715277778,#N/A,,,
