,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,,
-,-,10,2018/11/13 9:40,075-041-ORANGE 064-013-BANANA,13278,まちかど端末（乗降ポイントから）,0,68,2,2,,2018/11/13 10:01,2018/11/13 10:25,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/13 10:05,2018/11/13 10:05,2018/11/13 10:17,2018/11/13 10:28,,2018/11/13 9:40,0:23:18,0:46:36,288,00,01,04,03,2018/11/13 9:40,2018/11/13 10:25,43417.402777777843417.4340277778,#N/A,,2018/11/13 10:00,※10時以前に予約しているため
-,-,10,2018/11/13 9:56,005-800-BLUE,13279,乗客アプリ（目的地から）,5702,451,10,1,,2018/11/13 10:00,2018/11/13 10:04,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/13 10:06,2018/11/13 10:06,2018/11/13 10:12,2018/11/13 10:12,,2018/11/13 9:56,0:03:44,0:03:44,,00,00,,,2018/11/13 9:56,2018/11/13 10:04,43417.413888888943417.4194444444,#N/A,,2018/11/13 10:00,※10時以前に予約しているため
★,-,10,2018/11/13 9:57,054-453-STRAWBERRY,13280,乗客アプリ（地図から）,3016,903,11,1,,2018/11/13 10:58,2018/11/13 11:08,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443908 139.635249,イセザキ・モール,2018/11/13 10:57,2018/11/13 10:57,2018/11/13 11:09,2018/11/13 11:09,2018/11/13 10:57,2018/11/13 10:57,0:10:47,0:10:47,,00,00,,,2018/11/13 9:57,2018/11/13 11:08,43417.414583333343417.4638888889,#N/A,,,
★,-,10,2018/11/13 9:58,007-357-BLUE,13282,乗客アプリ（目的地から）,1312,774,2,1,,2018/11/13 10:07,2018/11/13 10:12,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/13 10:08,2018/11/13 10:08,2018/11/13 10:17,2018/11/13 10:17,2018/11/13 10:08,2018/11/13 10:08,0:04:27,0:04:27,,00,00,,,2018/11/13 9:58,2018/11/13 10:12,43417.415277777843417.425,#N/A,,,
-,-,10,2018/11/13 10:03,019-049-RED,13283,乗客アプリ（地図から）,2137,93,8,1,,2018/11/13 10:10,2018/11/13 10:21,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/11/13 10:08,2018/11/13 10:08,2018/11/13 10:17,2018/11/13 10:19,,2018/11/13 10:03,0:11:06,0:11:06,,01,06,,,2018/11/13 10:03,2018/11/13 10:21,43417.4187543417.43125,#N/A,,,
★,-,10,2018/11/13 10:06,028-494-GREEN 028-516-GREEN,13284,乗客アプリ（地図から）,4261,17,5,2,,2018/11/13 10:11,2018/11/13 10:17,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.453715 139.638133,横浜ワールドポーターズ,2018/11/13 10:16,2018/11/13 10:16,2018/11/13 10:26,2018/11/13 10:26,2018/11/13 10:16,2018/11/13 10:16,0:05:38,0:11:16,,00,00,,,2018/11/13 10:06,2018/11/13 10:17,43417.420833333343417.4284722222,肯定的,,,
-,-,10,2018/11/13 10:06,167-594-CAKE,13285,乗客アプリWeb（地図から）,6078,921,9,3,,2018/11/13 10:15,2018/11/13 10:21,35.450554 139.632616,横浜桜木町ワシントンホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/13 10:14,2018/11/13 10:14,2018/11/13 10:26,2018/11/13 10:26,,2018/11/13 10:06,0:06:43,0:20:09,,00,08,,,2018/11/13 10:06,2018/11/13 10:21,43417.420833333343417.43125,#N/A,,,
-,-,10,2018/11/13 10:07,166-572-agekke,13286,乗客アプリ（地図から）,2589,527,4,1,,2018/11/13 10:10,2018/11/13 10:21,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/13 10:08,2018/11/13 10:10,2018/11/13 10:23,2018/11/13 10:26,,2018/11/13 10:07,0:11:04,0:11:04,,01,02,,,2018/11/13 10:07,2018/11/13 10:21,43417.421527777843417.43125,#N/A,,,
-,-,10,2018/11/13 10:09,103-585-SNOW,13287,乗客アプリ（簡単予約）,6041,287,7,1,,2018/11/13 10:14,2018/11/13 10:21,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/13 10:18,2018/11/13 10:18,2018/11/13 10:27,2018/11/13 10:27,,2018/11/13 10:09,0:06:51,0:06:51,,00,05,,,2018/11/13 10:09,2018/11/13 10:21,43417.422916666743417.43125,#N/A,,,
★,-,10,2018/11/13 10:11,056-151-STRAWBERRY,13290,乗客アプリ（地図から）,1605,536,8,1,,2018/11/13 10:21,2018/11/13 10:30,35.443908 139.635249,イセザキ・モール,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/13 10:21,2018/11/13 10:21,2018/11/13 10:33,2018/11/13 10:33,2018/11/13 10:21,2018/11/13 10:21,0:09:29,0:09:29,,00,00,,,2018/11/13 10:11,2018/11/13 10:30,43417.424305555643417.4375,肯定的,,,
-,-,10,2018/11/13 10:13,166-629-agekke,13291,乗客アプリ（地図から）,2171,803,13,1,,2018/11/13 10:16,2018/11/13 10:24,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/13 10:16,2018/11/13 10:18,2018/11/13 10:23,2018/11/13 10:26,,2018/11/13 10:13,0:08:18,0:08:18,,00,02,,,2018/11/13 10:13,2018/11/13 10:24,43417.425694444443417.4333333333,#N/A,,,
-,-,10,2018/11/13 10:15,166-580-agekke,13292,まちかど端末（乗降ポイントから）,0,86,13,1,,2018/11/13 10:18,2018/11/13 10:30,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447541 139.644914,シルク博物館,2018/11/13 10:20,2018/11/13 10:20,2018/11/13 10:34,2018/11/13 10:34,,2018/11/13 10:15,0:11:47,0:11:47,,00,03,,,2018/11/13 10:15,2018/11/13 10:30,43417.427083333343417.4375,#N/A,,,
-,-,10,2018/11/13 10:20,166-605-agekke,13293,乗客アプリ（地図から）,2051,409,9,1,,2018/11/13 10:25,2018/11/13 10:33,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/13 10:25,2018/11/13 10:25,2018/11/13 10:36,2018/11/13 10:36,,2018/11/13 10:20,0:08:17,0:08:17,,00,04,,,2018/11/13 10:20,2018/11/13 10:33,43417.430555555643417.4395833333,肯定的,,,
-,-,10,2018/11/13 10:25,063-091-BANANA 063-755-BANANA,13294,乗客アプリ（地図から）,5936,948,5,2,,2018/11/13 10:28,2018/11/13 10:31,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/13 10:26,2018/11/13 10:26,2018/11/13 10:31,2018/11/13 10:31,,2018/11/13 10:25,0:02:57,0:05:54,,01,02,,,2018/11/13 10:25,2018/11/13 10:31,43417.434027777843417.4381944444,#N/A,,,
★,-,10,2018/11/13 10:35,166-627-agekke,13296,乗客アプリ（地図から）,1751,283,4,1,,2018/11/13 10:41,2018/11/13 10:50,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447546 139.64358,横浜開港資料館,2018/11/13 10:45,2018/11/13 10:45,2018/11/13 10:56,2018/11/13 10:56,2018/11/13 10:45,2018/11/13 10:45,0:08:41,0:08:41,,00,00,,,2018/11/13 10:35,2018/11/13 10:50,43417.440972222243417.4513888889,#N/A,,,
-,-,10,2018/11/13 10:35,062-770-BANANA,13297,まちかど端末（店舗から）,0,51,9,1,,2018/11/13 10:41,2018/11/13 10:43,35.448676 139.635696,横浜平和プラザホテル,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/13 10:37,2018/11/13 10:37,2018/11/13 10:42,2018/11/13 10:42,,2018/11/13 10:35,0:02:15,0:02:15,,03,05,,,2018/11/13 10:35,2018/11/13 10:43,43417.440972222243417.4465277778,#N/A,,,
-,-,10,2018/11/13 10:38,167-601-CAKE,13298,乗客アプリWeb（地図から）,6087,36,2,3,,2018/11/13 10:42,2018/11/13 10:48,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/13 10:43,2018/11/13 10:43,2018/11/13 10:54,2018/11/13 10:54,,2018/11/13 10:38,0:05:28,0:16:24,,00,04,,,2018/11/13 10:38,2018/11/13 10:48,43417.443055555643417.45,肯定的,,,
-,-,10,2018/11/13 10:40,114-425-SUN,13299,乗客アプリ（地図から）,4054,738,13,1,,2018/11/13 10:45,2018/11/13 10:53,35.443908 139.635249,イセザキ・モール,35.454389 139.630904,横浜ランドマークタワー,2018/11/13 10:44,2018/11/13 10:44,2018/11/13 10:55,2018/11/13 10:55,,2018/11/13 10:40,0:07:38,0:07:38,,00,05,,,2018/11/13 10:40,2018/11/13 10:53,43417.444444444443417.4534722222,#N/A,,,
-,-,10,2018/11/13 10:42,167-599-CAKE,13300,乗客アプリ（地図から）,6084,912,8,2,,2018/11/13 10:46,2018/11/13 10:55,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/13 10:47,2018/11/13 10:47,2018/11/13 10:57,2018/11/13 10:57,,2018/11/13 10:42,0:09:01,0:18:02,,00,04,,,2018/11/13 10:42,2018/11/13 10:55,43417.445833333343417.4548611111,#N/A,,,
★,-,10,2018/11/13 10:45,167-602-CAKE,13301,乗客アプリWeb（目的地から）,6089,514,9,3,,2018/11/13 10:54,2018/11/13 11:06,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/13 10:55,2018/11/13 10:55,2018/11/13 11:08,2018/11/13 11:13,2018/11/13 10:55,2018/11/13 10:55,0:12:20,0:37:00,,00,00,,,2018/11/13 10:45,2018/11/13 11:06,43417.447916666743417.4625,#N/A,,,
-,-,10,2018/11/13 10:47,071-255-ORANGE 071-256-ORANGE,13302,まちかど端末（店舗から）,0,807,7,2,,2018/11/13 10:54,2018/11/13 10:59,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/13 10:52,2018/11/13 10:52,2018/11/13 10:59,2018/11/13 10:59,,2018/11/13 10:47,0:05:10,0:10:20,,01,06,,,2018/11/13 10:47,2018/11/13 10:59,43417.449305555643417.4576388889,#N/A,,,
-,-,10,2018/11/13 10:51,167-579-CAKE,13304,乗客アプリ（目的地から）,4926,688,10,2,,2018/11/13 10:57,2018/11/13 11:07,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/13 10:56,2018/11/13 10:56,2018/11/13 11:08,2018/11/13 11:08,,2018/11/13 10:51,0:09:16,0:18:32,,01,06,,,2018/11/13 10:51,2018/11/13 11:07,43417.452083333343417.4631944444,#N/A,,,
-,☆,10,2018/11/13 9:18,113-596-SUN 114-089-SUN,13272,乗客アプリ（地図から）,5119,782,10,2,2018/11/13 9:18,,,35.441441 139.648505,横浜中華街朱雀門,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/13 10:13,,2018/11/13 10:31,,,2018/11/13 9:18,0:00:00,0:00:00,,00,13,,,2018/11/13 9:18,1900/1/0 0:00,43417.38750,#N/A,,2018/11/13 10:00,※10時以前に予約しているため
-,☆,10,2018/11/13 9:19,113-596-SUN 114-089-SUN,13273,乗客アプリ（地図から）,5119,309,10,2,2018/11/13 9:19,,,35.441441 139.648505,横浜中華街朱雀門,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/13 10:13,,2018/11/13 10:31,,,2018/11/13 9:19,0:00:00,0:00:00,,00,,,,2018/11/13 9:19,1900/1/0 0:00,43417.38819444440,#N/A,,2018/11/13 10:00,※10時以前に予約しているため
-,☆,10,2018/11/13 9:20,113-596-SUN 114-089-SUN,13274,乗客アプリ（地図から）,5119,222,10,2,2018/11/13 9:24,,,35.441441 139.648505,横浜中華街朱雀門,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/13 10:14,,2018/11/13 10:32,,,2018/11/13 9:20,0:00:00,0:00:00,,00,,,,2018/11/13 9:20,1900/1/0 0:00,43417.38888888890,#N/A,,2018/11/13 10:00,※10時以前に予約しているため
