,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,,
-,☆,10,2018/11/13 9:23,113-792-SUN 113-582-SUN,13275,乗客アプリ（地図から）,5143,228,10,2,2018/11/13 9:24,,,35.441441 139.648505,横浜中華街朱雀門,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/13 10:15,,2018/11/13 10:33,,,2018/11/13 9:23,0:00:00,0:00:00,,00,15,,,2018/11/13 9:23,1900/1/0 0:00,43417.39097222220,#N/A,,2018/11/13 10:00,※10時以前に予約しているため
-,☆,10,2018/11/13 9:24,113-596-SUN,13276,乗客アプリ（地図から）,5119,12,10,1,2018/11/13 9:41,,,35.441441 139.648505,横浜中華街朱雀門,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/13 10:13,,2018/11/13 10:31,,,2018/11/13 9:24,0:00:00,0:00:00,,00,,,,2018/11/13 9:24,1900/1/0 0:00,43417.39166666670,#N/A,,2018/11/13 10:00,※10時以前に予約しているため
★,☆,10,2018/11/13 9:31,025-759-GREEN,13277,乗客アプリ（地図から）,3025,284,10,1,2018/11/13 10:22,,,35.441441 139.648505,横浜中華街朱雀門,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/13 10:31,,2018/11/13 10:56,,2018/11/13 10:31,2018/11/13 10:31,0:00:00,0:00:00,,00,00,,,2018/11/13 9:31,1900/1/0 0:00,43417.39652777780,#N/A,,,
-,☆,10,2018/11/13 9:57,007-357-BLUE,13281,乗客アプリ（目的地から）,1312,161,7,1,2018/11/13 9:58,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/13 10:05,,2018/11/13 10:14,,,2018/11/13 9:57,0:00:00,0:00:00,,00,05,,,2018/11/13 9:57,1900/1/0 0:00,43417.41458333330,#N/A,,2018/11/13 10:00,※10時以前に予約しているため
★,-,11,2018/11/13 10:10,062-665-BANANA 063-099-BANANA 050-929-STRAWBERRY,13289,まちかど端末（店舗から）,0,76,4,3,,2018/11/13 11:09,2018/11/13 11:17,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/13 11:10,2018/11/13 11:10,2018/11/13 11:17,2018/11/13 11:17,2018/11/13 11:10,2018/11/13 11:10,0:07:11,0:21:33,263,00,00,03,03,2018/11/13 10:10,2018/11/13 11:17,43417.423611111143417.4701388889,#N/A,,,
★,-,11,2018/11/13 10:28,103-954-SNOW,13295,まちかど端末（乗降ポイントから）,0,24,4,1,,2018/11/13 11:27,2018/11/13 11:32,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/13 11:28,2018/11/13 11:28,2018/11/13 11:33,2018/11/13 11:33,2018/11/13 11:28,2018/11/13 11:28,0:05:24,0:05:24,,00,00,,,2018/11/13 10:28,2018/11/13 11:32,43417.436111111143417.4805555556,#N/A,,,
★,-,11,2018/11/13 10:50,113-131-SUN,13303,乗客アプリ（地図から）,4073,237,9,1,,2018/11/13 10:54,2018/11/13 10:58,35.450554 139.632616,横浜桜木町ワシントンホテル,35.445783 139.642958,横浜情報文化センター,2018/11/13 11:00,2018/11/13 11:00,2018/11/13 11:07,2018/11/13 11:07,2018/11/13 11:00,2018/11/13 11:00,0:04:38,0:04:38,,00,00,,,2018/11/13 10:50,2018/11/13 10:58,43417.451388888943417.4569444444,#N/A,,,
-,-,11,2018/11/13 11:07,021-216-GREEN,13306,乗客アプリ（目的地から）,1747,851,10,1,,2018/11/13 11:09,2018/11/13 11:14,35.447541 139.644914,シルク博物館,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/13 11:09,2018/11/13 11:09,2018/11/13 11:19,2018/11/13 11:19,,2018/11/13 11:07,0:04:51,0:04:51,,00,02,,,2018/11/13 11:07,2018/11/13 11:14,43417.463194444443417.4680555556,#N/A,,,
★,-,11,2018/11/13 11:09,166-627-agekke,13307,乗客アプリ（地図から）,1751,828,5,1,,2018/11/13 11:14,2018/11/13 11:20,35.447541 139.644914,シルク博物館,35.443073 139.651914,横浜人形の家,2018/11/13 11:19,2018/11/13 11:19,2018/11/13 11:23,2018/11/13 11:23,2018/11/13 11:19,2018/11/13 11:19,0:06:01,0:06:01,,00,00,,,2018/11/13 11:09,2018/11/13 11:20,43417.464583333343417.4722222222,#N/A,,,
-,-,11,2018/11/13 11:17,167-604-CAKE,13308,乗客アプリWeb（地図から）,6092,586,13,2,,2018/11/13 11:23,2018/11/13 11:28,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/13 11:23,2018/11/13 11:23,2018/11/13 11:33,2018/11/13 11:33,,2018/11/13 11:17,0:05:20,0:10:40,,00,06,,,2018/11/13 11:17,2018/11/13 11:28,43417.470138888943417.4777777778,#N/A,,,
-,-,11,2018/11/13 11:18,066-247-BANANA,13309,まちかど端末（乗降ポイントから）,0,548,6,1,,2018/11/13 11:24,2018/11/13 11:31,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/13 11:25,2018/11/13 11:25,2018/11/13 11:35,2018/11/13 11:35,,2018/11/13 11:18,0:06:09,0:06:09,,00,06,,,2018/11/13 11:18,2018/11/13 11:31,43417.470833333343417.4798611111,#N/A,,,
-,-,11,2018/11/13 11:25,103-584-SNOW,13310,乗客アプリ（簡単予約）,1479,667,5,1,,2018/11/13 11:31,2018/11/13 11:38,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/13 11:32,2018/11/13 11:32,2018/11/13 11:40,2018/11/13 11:40,,2018/11/13 11:25,0:07:17,0:07:17,,00,06,,,2018/11/13 11:25,2018/11/13 11:38,43417.475694444443417.4847222222,#N/A,,,
★,-,11,2018/11/13 11:25,112-691-SUN 112-692-SUN 112-690-SUN,13311,乗客アプリ（地図から）,6064,425,6,3,,2018/11/13 11:36,2018/11/13 11:44,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/13 11:35,2018/11/13 11:35,2018/11/13 11:51,2018/11/13 11:51,2018/11/13 11:35,2018/11/13 11:35,0:07:28,0:22:24,,01,01,,,2018/11/13 11:25,2018/11/13 11:44,43417.475694444443417.4888888889,#N/A,,,
-,-,11,2018/11/13 11:27,020-257-GREEN 068-308-BANANA,13312,乗客アプリ（地図から）,4719,819,10,2,,2018/11/13 11:36,2018/11/13 11:52,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/13 11:35,2018/11/13 11:35,2018/11/13 11:49,2018/11/13 11:58,,2018/11/13 11:27,0:15:25,0:30:50,,01,08,,,2018/11/13 11:27,2018/11/13 11:52,43417.477083333343417.4944444444,#N/A,,,
-,-,11,2018/11/13 11:28,020-247-GREEN 020-248-GREEN,13313,乗客アプリ（地図から）,4617,354,7,2,,2018/11/13 11:34,2018/11/13 11:39,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/13 11:37,2018/11/13 11:37,2018/11/13 11:45,2018/11/13 11:45,,2018/11/13 11:28,0:05:13,0:10:26,,00,06,,,2018/11/13 11:28,2018/11/13 11:39,43417.477777777843417.4854166667,肯定的,,,
-,-,11,2018/11/13 11:30,027-974-GREEN,13314,乗客アプリ（簡単予約）,5679,440,8,1,,2018/11/13 11:37,2018/11/13 11:55,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/13 11:41,2018/11/13 11:41,2018/11/13 11:50,2018/11/13 11:50,,2018/11/13 11:30,0:18:20,0:18:20,,00,07,,,2018/11/13 11:30,2018/11/13 11:55,43417.479166666743417.4965277778,#N/A,,,
-,-,11,2018/11/13 11:34,065-271-BANANA,13315,乗客アプリ（地図から）,2867,48,13,1,,2018/11/13 11:39,2018/11/13 11:46,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/13 11:38,2018/11/13 11:38,2018/11/13 11:48,2018/11/13 11:48,,2018/11/13 11:34,0:06:59,0:06:59,,00,04,,,2018/11/13 11:34,2018/11/13 11:46,43417.481944444443417.4902777778,#N/A,,,
-,-,11,2018/11/13 11:35,112-685-SUN,13316,まちかど端末（店舗から）,0,894,11,1,,2018/11/13 11:41,2018/11/13 11:49,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/13 11:40,2018/11/13 11:40,2018/11/13 11:50,2018/11/13 11:50,,2018/11/13 11:35,0:07:57,0:07:57,,01,06,,,2018/11/13 11:35,2018/11/13 11:49,43417.482638888943417.4923611111,#N/A,,,
-,-,11,2018/11/13 11:36,071-256-ORANGE 071-255-ORANGE,13317,まちかど端末（店舗から）,0,908,9,2,,2018/11/13 11:40,2018/11/13 11:45,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443908 139.635249,イセザキ・モール,2018/11/13 11:39,2018/11/13 11:39,2018/11/13 11:48,2018/11/13 11:48,,2018/11/13 11:36,0:05:32,0:11:04,,00,03,,,2018/11/13 11:36,2018/11/13 11:45,43417.483333333343417.4895833333,#N/A,,,
★,-,11,2018/11/13 11:36,069-416-BANANA,13318,乗客アプリ（目的地から）,4749,840,10,1,,2018/11/13 11:42,2018/11/13 12:10,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/11/13 11:46,2018/11/13 11:46,2018/11/13 12:13,2018/11/13 12:13,2018/11/13 11:46,2018/11/13 11:46,0:27:19,0:27:19,,00,00,,,2018/11/13 11:36,2018/11/13 12:10,43417.483333333343417.5069444444,肯定的,,,
★,-,11,2018/11/13 11:41,056-151-STRAWBERRY,13320,乗客アプリ（地図から）,1605,395,8,1,,2018/11/13 11:50,2018/11/13 12:02,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/11/13 11:51,2018/11/13 11:51,2018/11/13 12:05,2018/11/13 12:05,2018/11/13 11:51,2018/11/13 11:51,0:11:56,0:11:56,,00,00,,,2018/11/13 11:41,2018/11/13 12:02,43417.486805555643417.5013888889,肯定的,,,
-,-,11,2018/11/13 11:44,019-049-RED,13321,乗客アプリ（地図から）,2137,413,9,1,,2018/11/13 11:47,2018/11/13 11:57,35.443908 139.635249,イセザキ・モール,35.441441 139.648505,横浜中華街朱雀門,2018/11/13 11:47,2018/11/13 11:47,2018/11/13 11:55,2018/11/13 11:55,,2018/11/13 11:44,0:09:27,0:09:27,,00,02,,,2018/11/13 11:44,2018/11/13 11:57,43417.488888888943417.4979166667,#N/A,,,
-,-,11,2018/11/13 11:46,008-375-BLUE,13322,乗客アプリ（目的地から）,2874,365,13,1,,2018/11/13 11:53,2018/11/13 12:03,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/13 11:53,2018/11/13 11:53,2018/11/13 12:07,2018/11/13 12:07,,2018/11/13 11:46,0:09:45,0:09:45,,00,06,,,2018/11/13 11:46,2018/11/13 12:03,43417.490277777843417.5020833333,#N/A,,,
★,-,11,2018/11/13 11:57,065-711-BANANA 067-110-BANANA,13325,乗客アプリ（簡単予約）,4678,897,11,2,,2018/11/13 12:12,2018/11/13 12:28,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/13 12:12,2018/11/13 12:12,2018/11/13 12:23,2018/11/13 12:35,2018/11/13 12:07,2018/11/13 12:07,0:15:27,0:30:54,,00,04,,,2018/11/13 11:57,2018/11/13 12:28,43417.497916666743417.5194444444,#N/A,,,
★,☆,11,2018/11/13 10:09,167-595-CAKE,13288,乗客アプリWeb（地図から）,4930,177,4,4,2018/11/13 10:10,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/13 11:09,,2018/11/13 11:16,,2018/11/13 11:09,2018/11/13 11:09,0:00:00,0:00:00,,00,00,,,2018/11/13 10:09,1900/1/0 0:00,43417.42291666670,#N/A,,,
-,☆,11,2018/11/13 11:49,017-738-RED,13323,乗客アプリ（地図から）,2400,604,11,1,2018/11/13 11:49,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/13 11:50,,2018/11/13 11:55,,,2018/11/13 11:49,0:00:00,0:00:00,,00,01,,,2018/11/13 11:49,1900/1/0 0:00,43417.49236111110,#N/A,,,
★,-,12,2018/11/13 11:06,018-583-RED 018-584-RED 018-574-RED,13305,まちかど端末（店舗から）,0,136,10,3,,2018/11/13 12:02,2018/11/13 12:16,35.447541 139.644914,シルク博物館,35.441441 139.648505,横浜中華街朱雀門,2018/11/13 12:05,2018/11/13 12:05,2018/11/13 12:12,2018/11/13 12:21,2018/11/13 12:05,2018/11/13 12:05,0:13:49,0:41:27,444,00,00,09,07,2018/11/13 11:06,2018/11/13 12:16,43417.462543417.5111111111,#N/A,,,
★,-,12,2018/11/13 11:38,115-339-SUN,13319,乗客アプリ（簡単予約）,4026,55,5,1,,2018/11/13 12:37,2018/11/13 12:46,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/13 12:38,2018/11/13 12:38,2018/11/13 12:46,2018/11/13 12:46,2018/11/13 12:38,2018/11/13 12:38,0:09:19,0:09:19,,00,00,,,2018/11/13 11:38,2018/11/13 12:46,43417.484722222243417.5319444444,#N/A,,,
-,-,12,2018/11/13 12:01,068-532-BANANA 068-537-BANANA,13326,まちかど端末（店舗から）,0,129,1,2,,2018/11/13 12:09,2018/11/13 12:21,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/13 12:10,2018/11/13 12:10,2018/11/13 12:21,2018/11/13 12:21,,2018/11/13 12:01,0:12:00,0:24:00,,00,07,,,2018/11/13 12:01,2018/11/13 12:21,43417.500694444443417.5145833333,#N/A,,,
