,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,,
★,-,10,2018/11/14 9:45,019-309-RED,13720,乗客アプリ（地図から）,4904,498,8,1,,2018/11/14 10:39,2018/11/14 10:51,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/14 10:45,2018/11/14 10:45,2018/11/14 10:59,2018/11/14 11:14,2018/11/14 10:45,2018/11/14 10:45,0:11:55,0:11:55,372,00,00,05,04,2018/11/14 9:45,2018/11/14 10:51,43418.4062543418.4520833333,#N/A,,,
-,-,10,2018/11/14 9:50,066-244-BANANA 066-245-BANANA 066-243-BANANA 066-246-BANANA,13721,まちかど端末（店舗から）,0,971,2,4,,2018/11/14 10:02,2018/11/14 10:12,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/14 10:05,2018/11/14 10:05,2018/11/14 10:17,2018/11/14 10:17,,2018/11/14 9:50,0:10:56,0:43:44,,00,02,,,2018/11/14 9:50,2018/11/14 10:12,43418.409722222243418.425,#N/A,,2018/11/14 10:00,※10時以前に予約しているため
★,-,10,2018/11/14 9:51,070-558-ORANGE 070-563-ORANGE,13722,まちかど端末（店舗から）,0,781,8,2,,2018/11/14 10:10,2018/11/14 10:17,35.443704 139.651332,ホテルメルパルク横浜,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/14 10:14,2018/11/14 10:14,2018/11/14 10:26,2018/11/14 10:26,2018/11/14 10:00,2018/11/14 10:00,0:07:33,0:15:06,,00,10,,,2018/11/14 9:51,2018/11/14 10:17,43418.410416666743418.4284722222,#N/A,,,
-,-,10,2018/11/14 10:00,167-630-CAKE,13723,乗客アプリ（目的地から）,5055,640,11,4,,2018/11/14 10:08,2018/11/14 10:15,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/14 10:05,2018/11/14 10:05,2018/11/14 10:18,2018/11/14 10:18,,2018/11/14 10:00,0:06:16,0:25:04,,02,08,,,2018/11/14 10:00,2018/11/14 10:15,43418.416666666743418.4270833333,#N/A,,,
-,-,10,2018/11/14 10:00,102-973-SNOW,13724,乗客アプリ（地図から）,1075,174,7,1,,2018/11/14 10:05,2018/11/14 10:13,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/14 10:03,2018/11/14 10:03,2018/11/14 10:10,2018/11/14 10:10,,2018/11/14 10:00,0:07:10,0:07:10,,02,05,,,2018/11/14 10:00,2018/11/14 10:13,43418.416666666743418.4256944444,#N/A,,,
-,-,10,2018/11/14 10:04,166-596-agekke,13725,乗客アプリ（地図から）,2171,231,3,1,,2018/11/14 10:06,2018/11/14 10:16,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/14 10:05,2018/11/14 10:05,2018/11/14 10:20,2018/11/14 10:20,,2018/11/14 10:04,0:10:14,0:10:14,,00,02,,,2018/11/14 10:04,2018/11/14 10:16,43418.419444444443418.4277777778,#N/A,,,
-,-,10,2018/11/14 10:07,166-618-agekke,13726,まちかど端末（乗降ポイントから）,0,106,9,1,,2018/11/14 10:09,2018/11/14 10:17,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447541 139.644914,シルク博物館,2018/11/14 10:08,2018/11/14 10:08,2018/11/14 10:20,2018/11/14 10:20,,2018/11/14 10:07,0:07:45,0:07:45,,00,02,,,2018/11/14 10:07,2018/11/14 10:17,43418.421527777843418.4284722222,#N/A,,,
-,-,10,2018/11/14 10:08,018-139-RED,13727,乗客アプリ（目的地から）,5102,47,13,1,,2018/11/14 10:14,2018/11/14 10:20,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/14 10:12,2018/11/14 10:14,2018/11/14 10:21,2018/11/14 10:24,,2018/11/14 10:08,0:06:13,0:06:13,,02,05,,,2018/11/14 10:08,2018/11/14 10:20,43418.422222222243418.4305555556,#N/A,,,
-,-,10,2018/11/14 10:09,115-020-SUN,13728,乗客アプリ（地図から）,4073,697,7,1,,2018/11/14 10:13,2018/11/14 10:18,35.450554 139.632616,横浜桜木町ワシントンホテル,35.445783 139.642958,横浜情報文化センター,2018/11/14 10:12,2018/11/14 10:12,2018/11/14 10:20,2018/11/14 10:20,,2018/11/14 10:09,0:05:13,0:05:13,,00,04,,,2018/11/14 10:09,2018/11/14 10:18,43418.422916666743418.4291666667,#N/A,,,
-,-,10,2018/11/14 10:10,166-635-agekke,13729,乗客アプリ（地図から）,2051,734,4,1,,2018/11/14 10:14,2018/11/14 10:26,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/14 10:13,2018/11/14 10:13,2018/11/14 10:24,2018/11/14 10:24,,2018/11/14 10:10,0:12:26,0:12:26,,01,03,,,2018/11/14 10:10,2018/11/14 10:26,43418.423611111143418.4347222222,#N/A,,,
-,-,10,2018/11/14 10:15,022-187-GREEN,13732,乗客アプリ（目的地から）,1358,669,8,1,,2018/11/14 10:18,2018/11/14 10:25,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/14 10:19,2018/11/14 10:19,2018/11/14 10:28,2018/11/14 10:28,,2018/11/14 10:15,0:06:37,0:06:37,,00,02,,,2018/11/14 10:15,2018/11/14 10:25,43418.427083333343418.4340277778,#N/A,,,
-,-,10,2018/11/14 10:18,167-633-CAKE,13733,乗客アプリWeb（地図から）,6179,34,1,1,,2018/11/14 10:22,2018/11/14 10:35,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/14 10:21,2018/11/14 10:21,2018/11/14 10:29,2018/11/14 10:29,,2018/11/14 10:18,0:13:21,0:13:21,,01,03,,,2018/11/14 10:18,2018/11/14 10:35,43418.429166666743418.4409722222,#N/A,,,
★,-,10,2018/11/14 10:22,104-690-SNOW,13734,乗客アプリ（簡単予約）,5567,685,5,1,,2018/11/14 10:28,2018/11/14 10:34,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/14 10:32,2018/11/14 10:32,2018/11/14 10:41,2018/11/14 10:41,2018/11/14 10:32,2018/11/14 10:32,0:05:55,0:05:55,,00,00,,,2018/11/14 10:22,2018/11/14 10:34,43418.431944444443418.4402777778,#N/A,,,
★,-,10,2018/11/14 10:24,166-627-agekke,13736,乗客アプリ（地図から）,1751,637,1,1,,2018/11/14 10:30,2018/11/14 10:41,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447541 139.644914,シルク博物館,2018/11/14 10:34,2018/11/14 10:34,2018/11/14 10:49,2018/11/14 10:49,2018/11/14 10:34,2018/11/14 10:34,0:11:42,0:11:42,,00,00,,,2018/11/14 10:24,2018/11/14 10:41,43418.433333333343418.4451388889,肯定的,,,
-,-,10,2018/11/14 10:26,024-582-GREEN,13737,まちかど端末（乗降ポイントから）,0,38,10,1,,2018/11/14 10:33,2018/11/14 10:35,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/14 10:32,2018/11/14 10:32,2018/11/14 10:38,2018/11/14 10:38,,2018/11/14 10:26,0:02:25,0:02:25,,01,06,,,2018/11/14 10:26,2018/11/14 10:35,43418.434722222243418.4409722222,#N/A,,,
-,-,10,2018/11/14 10:27,166-578-agekke,13738,まちかど端末（店舗から）,0,745,9,1,,2018/11/14 10:30,2018/11/14 10:36,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/14 10:30,2018/11/14 10:30,2018/11/14 10:38,2018/11/14 10:38,,2018/11/14 10:27,0:05:45,0:05:45,,00,02,,,2018/11/14 10:27,2018/11/14 10:36,43418.435416666743418.4416666667,#N/A,,,
-,-,10,2018/11/14 10:29,071-256-ORANGE 071-255-ORANGE,13739,乗客アプリ（地図から）,6130,680,11,2,,2018/11/14 10:34,2018/11/14 10:37,35.448801 139.636702,ホテルルートイン横浜馬車道,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/14 10:34,2018/11/14 10:34,2018/11/14 10:40,2018/11/14 10:40,,2018/11/14 10:29,0:02:49,0:05:38,,00,05,,,2018/11/14 10:29,2018/11/14 10:37,43418.436805555643418.4423611111,#N/A,,,
-,-,10,2018/11/14 10:30,063-776-BANANA 063-780-BANANA 063-812-BANANA,13740,乗客アプリ（簡単予約）,6166,326,4,3,,2018/11/14 10:34,2018/11/14 10:39,35.448801 139.636702,ホテルルートイン横浜馬車道,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/14 10:33,2018/11/14 10:33,2018/11/14 10:43,2018/11/14 10:43,,2018/11/14 10:30,0:04:26,0:13:18,,00,04,,,2018/11/14 10:30,2018/11/14 10:39,43418.437543418.44375,#N/A,,,
-,-,10,2018/11/14 10:39,111-649-SUN,13741,乗客アプリ（目的地から）,4256,53,7,1,,2018/11/14 10:43,2018/11/14 10:50,35.44291 139.650404,元町・中華街駅（みなとみらい線）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/14 10:42,2018/11/14 10:42,2018/11/14 10:53,2018/11/14 10:53,,2018/11/14 10:39,0:07:43,0:07:43,,00,03,,,2018/11/14 10:39,2018/11/14 10:50,43418.4437543418.4513888889,#N/A,,,
-,-,10,2018/11/14 10:43,166-634-agekke 166-570-agekke,13742,乗客アプリ（地図から）,1338,411,3,2,,2018/11/14 10:47,2018/11/14 10:54,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447541 139.644914,シルク博物館,2018/11/14 10:46,2018/11/14 10:46,2018/11/14 10:59,2018/11/14 10:59,,2018/11/14 10:43,0:07:37,0:15:14,,00,03,,,2018/11/14 10:43,2018/11/14 10:54,43418.446527777843418.4541666667,#N/A,,,
-,-,10,2018/11/14 10:46,068-218-BANANA 068-219-BANANA,13743,乗客アプリ（地図から）,4860,309,11,2,,2018/11/14 10:51,2018/11/14 10:57,35.450554 139.632616,横浜桜木町ワシントンホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/14 10:49,2018/11/14 10:49,2018/11/14 11:01,2018/11/14 11:01,,2018/11/14 10:46,0:05:40,0:11:20,,02,05,,,2018/11/14 10:46,2018/11/14 10:57,43418.448611111143418.45625,#N/A,,,
-,-,10,2018/11/14 10:48,064-018-BANANA,13745,まちかど端末（乗降ポイントから）,0,991,7,1,,2018/11/14 10:51,2018/11/14 10:59,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/14 10:52,2018/11/14 10:53,2018/11/14 11:01,2018/11/14 11:02,,2018/11/14 10:48,0:08:17,0:08:17,,00,03,,,2018/11/14 10:48,2018/11/14 10:59,43418.4543418.4576388889,#N/A,,,
-,-,10,2018/11/14 10:49,025-797-GREEN,13747,乗客アプリ（地図から）,3394,521,1,1,,2018/11/14 10:54,2018/11/14 11:05,35.441002 139.650809,横浜元町ショッピングストリート,35.453715 139.638133,横浜ワールドポーターズ,2018/11/14 10:51,2018/11/14 10:51,2018/11/14 11:03,2018/11/14 11:03,,2018/11/14 10:49,0:11:46,0:11:46,,02,04,,,2018/11/14 10:49,2018/11/14 11:05,43418.450694444443418.4618055556,#N/A,,,
-,-,10,2018/11/14 10:51,018-484-RED 018-483-RED 104-515-SNOW 104-516-SNOW 104-517-SNOW,13749,乗客アプリ（簡単予約）,5085,799,6,5,,2018/11/14 11:01,2018/11/14 11:15,35.445783 139.642958,横浜情報文化センター,35.454389 139.630904,横浜ランドマークタワー,2018/11/14 10:56,2018/11/14 10:56,2018/11/14 11:13,2018/11/14 11:13,,2018/11/14 10:51,0:13:41,1:08:25,,05,10,,,2018/11/14 10:51,2018/11/14 11:15,43418.452083333343418.46875,#N/A,,,
-,-,10,2018/11/14 10:53,066-247-BANANA,13750,まちかど端末（乗降ポイントから）,0,494,5,1,,2018/11/14 10:57,2018/11/14 11:05,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/14 10:57,2018/11/14 10:57,2018/11/14 11:06,2018/11/14 11:06,,2018/11/14 10:53,0:08:07,0:08:07,,00,04,,,2018/11/14 10:53,2018/11/14 11:05,43418.453472222243418.4618055556,#N/A,,,
-,-,10,2018/11/14 10:53,113-596-SUN,13751,乗客アプリ（地図から）,5119,880,3,1,,2018/11/14 10:59,2018/11/14 11:22,35.441441 139.648505,横浜中華街朱雀門,35.454389 139.630904,横浜ランドマークタワー,2018/11/14 10:59,2018/11/14 10:59,2018/11/14 11:14,2018/11/14 11:14,,2018/11/14 10:53,0:23:16,0:23:16,,00,05,,,2018/11/14 10:53,2018/11/14 11:22,43418.453472222243418.4736111111,#N/A,,,
-,-,10,2018/11/14 10:54,023-740-GREEN,13752,乗客アプリ（簡単予約）,4380,65,13,1,,2018/11/14 11:00,2018/11/14 11:09,35.443908 139.635249,イセザキ・モール,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/14 10:58,2018/11/14 10:58,2018/11/14 11:11,2018/11/14 11:11,,2018/11/14 10:54,0:08:46,0:08:46,,01,05,,,2018/11/14 10:54,2018/11/14 11:09,43418.454166666743418.4645833333,#N/A,,,
-,☆,10,2018/11/14 9:26,009-663-BLUE 063-942-BANANA,13714,乗客アプリ（地図から）,2312,258,10,2,2018/11/14 10:15,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/14 10:08,,2018/11/14 10:19,,,2018/11/14 9:26,0:00:00,0:00:00,,00,15,,,2018/11/14 9:26,1900/1/0 0:00,43418.39305555560,#N/A,,2018/11/14 10:00,※10時以前に予約しているため
-,☆,10,2018/11/14 9:30,064-161-BANANA 066-993-BANANA 063-139-BANANA 068-481-BANANA 064-162-BANANA,13715,まちかど端末（店舗から）,0,354,8,5,2018/11/14 9:31,,,35.443704 139.651332,ホテルメルパルク横浜,35.453715 139.638133,横浜ワールドポーターズ,2018/11/14 10:14,,2018/11/14 10:28,,,2018/11/14 9:30,0:00:00,0:00:00,,00,14,,,2018/11/14 9:30,1900/1/0 0:00,43418.39583333330,#N/A,,2018/11/14 10:00,※10時以前に予約しているため
-,☆,10,2018/11/14 9:31,051-837-STRAWBERRY 051-839-STRAWBERRY,13716,乗客アプリ（簡単予約）,6152,137,10,2,2018/11/14 9:33,,,35.441002 139.650809,横浜元町ショッピングストリート,35.445857 139.647636,ホテルモントレ横浜,2018/11/14 10:32,,2018/11/14 10:39,,,2018/11/14 9:31,0:00:00,0:00:00,,00,32,,,2018/11/14 9:31,1900/1/0 0:00,43418.39652777780,#N/A,,2018/11/14 10:00,※10時以前に予約しているため
-,☆,10,2018/11/14 9:38,104-498-SNOW,13717,乗客アプリ（地図から）,6174,686,8,1,2018/11/14 9:39,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.456605 139.635327,横浜ベイホテル東急,2018/11/14 10:11,,2018/11/14 10:25,,,2018/11/14 9:38,0:00:00,0:00:00,,00,11,,,2018/11/14 9:38,1900/1/0 0:00,43418.40138888890,#N/A,,2018/11/14 10:00,※10時以前に予約しているため
-,☆,10,2018/11/14 9:40,017-916-RED,13718,乗客アプリ（地図から）,2162,536,8,1,2018/11/14 9:40,,,35.445783 139.642958,横浜情報文化センター,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/14 10:10,,2018/11/14 10:22,,,2018/11/14 9:40,0:00:00,0:00:00,,00,10,,,2018/11/14 9:40,1900/1/0 0:00,43418.40277777780,#N/A,,2018/11/14 10:00,※10時以前に予約しているため
★,☆,10,2018/11/14 9:44,019-309-RED,13719,乗客アプリ（地図から）,4904,964,8,1,2018/11/14 9:44,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443659 139.650847,横浜マリンタワー,2018/11/14 10:44,,2018/11/14 10:59,,2018/11/14 10:44,2018/11/14 10:44,0:00:00,0:00:00,,00,00,,,2018/11/14 9:44,1900/1/0 0:00,43418.40555555560,#N/A,,,
-,☆,10,2018/11/14 10:13,022-187-GREEN,13731,乗客アプリ（目的地から）,1358,460,13,1,2018/11/14 10:13,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/14 10:15,,2018/11/14 10:24,,,2018/11/14 10:13,0:00:00,0:00:00,,00,02,,,2018/11/14 10:13,1900/1/0 0:00,43418.42569444440,#N/A,,,
-,☆,10,2018/11/14 10:50,113-596-SUN,13748,乗客アプリ（地図から）,5119,779,5,1,2018/11/14 10:51,,,35.441441 139.648505,横浜中華街朱雀門,35.454389 139.630904,横浜ランドマークタワー,2018/11/14 10:58,,2018/11/14 11:14,,,2018/11/14 10:50,0:00:00,0:00:00,,00,08,,,2018/11/14 10:50,1900/1/0 0:00,43418.45138888890,#N/A,,,
★,-,11,2018/11/14 10:11,051-837-STRAWBERRY 051-839-STRAWBERRY,13730,乗客アプリ（簡単予約）,6152,853,8,2,,2018/11/14 11:00,2018/11/14 11:14,35.445857 139.647636,ホテルモントレ横浜,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/14 11:11,2018/11/14 11:11,2018/11/14 11:27,2018/11/14 11:27,2018/11/14 11:11,2018/11/14 11:11,0:13:27,0:26:54,512,00,00,05,04,2018/11/14 10:11,2018/11/14 11:14,43418.424305555643418.4680555556,#N/A,,,
★,-,11,2018/11/14 10:24,019-637-RED,13735,乗客アプリ（目的地から）,3203,945,2,1,,2018/11/14 11:24,2018/11/14 11:30,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/14 11:24,2018/11/14 11:24,2018/11/14 11:29,2018/11/14 11:29,2018/11/14 11:24,2018/11/14 11:24,0:06:19,0:06:19,,00,00,,,2018/11/14 10:24,2018/11/14 11:30,43418.433333333343418.4791666667,肯定的,,,
★,-,11,2018/11/14 11:02,167-629-CAKE,13753,乗客アプリWeb（地図から）,6146,693,3,1,,2018/11/14 11:08,2018/11/14 11:22,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/14 11:11,2018/11/14 11:11,2018/11/14 11:25,2018/11/14 11:25,2018/11/14 11:11,2018/11/14 11:11,0:13:48,0:13:48,,00,00,,,2018/11/14 11:02,2018/11/14 11:22,43418.459722222243418.4736111111,#N/A,,,
-,-,11,2018/11/14 11:02,105-587-SNOW 105-349-SNOW 112-713-SUN 105-588-SNOW,13754,まちかど端末（乗降ポイントから）,0,760,5,4,,2018/11/14 11:06,2018/11/14 11:14,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.445857 139.647636,ホテルモントレ横浜,2018/11/14 11:05,2018/11/14 11:05,2018/11/14 11:12,2018/11/14 11:12,,2018/11/14 11:02,0:07:43,0:30:52,,01,03,,,2018/11/14 11:02,2018/11/14 11:14,43418.459722222243418.4680555556,#N/A,,,
-,-,11,2018/11/14 11:05,027-722-GREEN 027-790-GREEN,13755,乗客アプリ（地図から）,3965,362,11,2,,2018/11/14 11:11,2018/11/14 11:17,35.447546 139.64358,横浜開港資料館,35.443908 139.635249,イセザキ・モール,2018/11/14 11:10,2018/11/14 11:10,2018/11/14 11:17,2018/11/14 11:17,,2018/11/14 11:05,0:06:10,0:12:20,,00,05,,,2018/11/14 11:05,2018/11/14 11:17,43418.461805555643418.4701388889,#N/A,,,
-,-,11,2018/11/14 11:09,117-867-SUN 117-866-SUN 117-865-SUN,13756,乗客アプリ（目的地から）,6186,370,9,3,,2018/11/14 11:18,2018/11/14 11:21,35.450554 139.632616,横浜桜木町ワシントンホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/14 11:15,2018/11/14 11:15,2018/11/14 11:28,2018/11/14 11:28,,2018/11/14 11:09,0:03:29,0:10:27,,02,09,,,2018/11/14 11:09,2018/11/14 11:21,43418.464583333343418.4729166667,#N/A,,,
-,-,11,2018/11/14 11:10,103-946-SNOW,13757,まちかど端末（乗降ポイントから）,0,600,10,1,,2018/11/14 11:13,2018/11/14 11:20,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/14 11:13,2018/11/14 11:13,2018/11/14 11:24,2018/11/14 11:24,,2018/11/14 11:10,0:06:21,0:06:21,,00,03,,,2018/11/14 11:10,2018/11/14 11:20,43418.465277777843418.4722222222,#N/A,,,
-,-,11,2018/11/14 11:14,167-636-CAKE,13758,乗客アプリ（地図から）,6183,897,4,1,,2018/11/14 11:18,2018/11/14 11:24,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/14 11:19,2018/11/14 11:19,2018/11/14 11:28,2018/11/14 11:28,,2018/11/14 11:14,0:05:47,0:05:47,,00,04,,,2018/11/14 11:14,2018/11/14 11:24,43418.468055555643418.475,肯定的,,,
-,-,11,2018/11/14 11:18,020-157-GREEN,13759,乗客アプリ（地図から）,3118,753,5,1,,2018/11/14 11:22,2018/11/14 11:29,35.447541 139.644914,シルク博物館,35.448676 139.635696,横浜平和プラザホテル,2018/11/14 11:19,2018/11/14 11:19,2018/11/14 11:26,2018/11/14 11:26,,2018/11/14 11:18,0:06:04,0:06:04,,03,04,,,2018/11/14 11:18,2018/11/14 11:29,43418.470833333343418.4784722222,#N/A,,,
-,-,11,2018/11/14 11:19,009-648-BLUE 008-783-BLUE,13760,まちかど端末（乗降ポイントから）,0,612,8,2,,2018/11/14 11:24,2018/11/14 11:33,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/14 11:22,2018/11/14 11:22,2018/11/14 11:38,2018/11/14 11:38,,2018/11/14 11:19,0:09:49,0:19:38,,01,04,,,2018/11/14 11:19,2018/11/14 11:33,43418.471527777843418.48125,#N/A,,,
-,-,11,2018/11/14 11:23,111-688-SUN 105-376-SNOW 105-586-SNOW 111-689-SUN,13761,まちかど端末（店舗から）,0,152,13,4,,2018/11/14 11:28,2018/11/14 11:33,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/14 11:27,2018/11/14 11:27,2018/11/14 11:35,2018/11/14 11:35,,2018/11/14 11:23,0:05:03,0:20:12,,01,04,,,2018/11/14 11:23,2018/11/14 11:33,43418.474305555643418.48125,#N/A,,,
-,-,11,2018/11/14 11:24,110-408-SUN,13762,乗客アプリ（地図から）,4596,671,6,1,,2018/11/14 11:28,2018/11/14 11:36,35.45435 139.631762,横浜ロイヤルパークホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/14 11:28,2018/11/14 11:28,2018/11/14 11:39,2018/11/14 11:39,,2018/11/14 11:24,0:07:41,0:07:41,,00,04,,,2018/11/14 11:24,2018/11/14 11:36,43418.47543418.4833333333,肯定的,,,
-,-,11,2018/11/14 11:25,103-946-SNOW,13763,まちかど端末（乗降ポイントから）,0,537,4,1,,2018/11/14 11:26,2018/11/14 11:30,35.452963 139.642093,横浜赤レンガ倉庫,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/14 11:26,2018/11/14 11:26,2018/11/14 11:33,2018/11/14 11:33,,2018/11/14 11:25,0:04:10,0:04:10,,00,01,,,2018/11/14 11:25,2018/11/14 11:30,43418.475694444443418.4791666667,#N/A,,,
-,-,11,2018/11/14 11:25,110-526-SUN,13765,乗客アプリ（地図から）,6058,316,7,1,,2018/11/14 11:33,2018/11/14 11:39,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/14 11:33,2018/11/14 11:33,2018/11/14 11:43,2018/11/14 11:43,,2018/11/14 11:25,0:05:55,0:05:55,,00,07,,,2018/11/14 11:25,2018/11/14 11:39,43418.475694444443418.4854166667,#N/A,,,
