,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,,
-,-,11,2018/11/5 11:59,050-906-STRAWBERRY 050-905-STRAWBERRY 063-753-BANANA,9939,乗客アプリ（地図から）,4980,739,7,3,,2018/11/5 12:06,2018/11/5 12:13,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.453715 139.638133,横浜ワールドポーターズ,2018/11/5 12:05,2018/11/5 12:05,2018/11/5 12:16,2018/11/5 12:16,,2018/11/5 11:59,0:06:48,0:20:24,,01,06,,,2018/11/5 11:59,2018/11/5 12:13,43409.499305555643409.5090277778,#N/A,,,,
★,☆,11,2018/11/5 10:53,114-449-SUN 114-432-SUN 114-442-SUN,9910,まちかど端末（店舗から）,0,338,8,3,2018/11/5 10:54,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/5 11:52,,2018/11/5 12:04,,2018/11/5 11:52,2018/11/5 11:52,0:00:00,0:00:00,,00,00,,,2018/11/5 10:53,1900/1/0 0:00,43409.45347222220,#N/A,,,,
-,☆,11,2018/11/5 11:01,113-974-SUN,9916,まちかど端末（店舗から）,0,800,2,1,2018/11/5 11:01,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/5 11:04,,2018/11/5 11:10,,,2018/11/5 11:01,0:00:00,0:00:00,,00,03,,,2018/11/5 11:01,1900/1/0 0:00,43409.45902777780,#N/A,,,,
-,☆,11,2018/11/5 11:21,167-315-CAKE,9930,乗客アプリWeb（目的地から）,5112,97,8,3,2018/11/5 11:22,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/5 11:23,,2018/11/5 11:34,,,2018/11/5 11:21,0:00:00,0:00:00,,00,01,,,2018/11/5 11:21,1900/1/0 0:00,43409.47291666670,#N/A,,,,
-,☆,11,2018/11/5 11:25,074-485-ORANGE,9931,乗客アプリ（目的地から）,5046,607,8,1,2018/11/5 11:26,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/5 11:27,,2018/11/5 11:36,,,2018/11/5 11:25,0:00:00,0:00:00,,00,01,,,2018/11/5 11:25,1900/1/0 0:00,43409.47569444440,#N/A,,,,
-,☆,11,2018/11/5 11:59,167-325-CAKE,9938,乗客アプリ（目的地から）,5133,4,7,2,2018/11/5 11:59,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/5 12:02,,2018/11/5 12:14,,,2018/11/5 11:59,0:00:00,0:00:00,,00,03,,,2018/11/5 11:59,1900/1/0 0:00,43409.49930555560,#N/A,,,,
★,-,12,2018/11/5 11:04,110-571-SUN,9920,乗客アプリ（目的地から）,2953,962,10,1,,2018/11/5 12:01,2018/11/5 12:05,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 12:04,2018/11/5 12:04,2018/11/5 12:09,2018/11/5 12:09,2018/11/5 12:04,2018/11/5 12:04,0:03:58,0:03:58,238,00,00,04,03,2018/11/5 11:04,2018/11/5 12:05,43409.461111111143409.5034722222,#N/A,,,,
★,-,12,2018/11/5 11:18,114-449-SUN 114-433-SUN 114-434-SUN,9929,まちかど端末（店舗から）,0,578,6,3,,2018/11/5 12:28,2018/11/5 12:37,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/5 12:18,2018/11/5 12:18,2018/11/5 12:30,2018/11/5 12:30,2018/11/5 12:18,2018/11/5 12:18,0:09:29,0:28:27,,09,09,,,2018/11/5 11:18,2018/11/5 12:37,43409.470833333343409.5256944444,#N/A,,,,
-,-,12,2018/11/5 12:04,105-410-SNOW,9940,まちかど端末（店舗から）,0,497,10,1,,2018/11/5 12:10,2018/11/5 12:23,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.454389 139.630904,横浜ランドマークタワー,2018/11/5 12:08,2018/11/5 12:08,2018/11/5 12:25,2018/11/5 12:25,,2018/11/5 12:04,0:13:32,0:13:32,,02,06,,,2018/11/5 12:04,2018/11/5 12:23,43409.502777777843409.5159722222,#N/A,,,,
-,-,12,2018/11/5 12:04,113-900-SUN,9941,乗客アプリ（目的地から）,5119,826,8,1,,2018/11/5 12:08,2018/11/5 12:14,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.453715 139.638133,横浜ワールドポーターズ,2018/11/5 12:11,2018/11/5 12:11,2018/11/5 12:24,2018/11/5 12:24,,2018/11/5 12:04,0:05:44,0:05:44,,00,04,,,2018/11/5 12:04,2018/11/5 12:14,43409.502777777843409.5097222222,肯定的,,,,
-,-,12,2018/11/5 12:05,166-778-agekke,9942,乗客アプリ（目的地から）,2314,241,5,1,,2018/11/5 12:09,2018/11/5 12:14,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/5 12:09,2018/11/5 12:09,2018/11/5 12:17,2018/11/5 12:17,,2018/11/5 12:05,0:05:09,0:05:09,,00,03,,,2018/11/5 12:05,2018/11/5 12:14,43409.503472222243409.5097222222,#N/A,,,,
★,-,12,2018/11/5 12:10,063-071-BANANA 066-964-BANANA,9943,まちかど端末（店舗から）,0,5,9,2,,2018/11/5 12:17,2018/11/5 12:28,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/5 12:20,2018/11/5 12:20,2018/11/5 12:35,2018/11/5 12:35,2018/11/5 12:20,2018/11/5 12:20,0:10:45,0:21:30,,00,00,,,2018/11/5 12:10,2018/11/5 12:28,43409.506944444443409.5194444444,#N/A,,,,
-,-,12,2018/11/5 12:13,111-670-SUN 111-671-SUN,9945,まちかど端末（店舗から）,0,990,1,2,,2018/11/5 12:22,2018/11/5 12:41,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.454389 139.630904,横浜ランドマークタワー,2018/11/5 12:23,2018/11/5 12:23,2018/11/5 12:41,2018/11/5 12:45,,2018/11/5 12:13,0:19:08,0:38:16,,00,08,,,2018/11/5 12:13,2018/11/5 12:41,43409.509027777843409.5284722222,#N/A,,,,
-,-,12,2018/11/5 12:13,166-786-agekke,9946,乗客アプリ（地図から）,2051,607,7,1,,2018/11/5 12:16,2018/11/5 12:20,35.452963 139.642093,横浜赤レンガ倉庫,35.456605 139.635327,横浜ベイホテル東急,2018/11/5 12:19,2018/11/5 12:19,2018/11/5 12:34,2018/11/5 12:34,,2018/11/5 12:13,0:03:15,0:03:15,,00,03,,,2018/11/5 12:13,2018/11/5 12:20,43409.509027777843409.5138888889,肯定的,,,,
-,-,12,2018/11/5 12:16,166-785-agekke,9947,まちかど端末（乗降ポイントから）,0,390,8,1,,2018/11/5 12:20,2018/11/5 12:27,35.454389 139.630904,横浜ランドマークタワー,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/5 12:22,2018/11/5 12:22,2018/11/5 12:31,2018/11/5 12:31,,2018/11/5 12:16,0:06:24,0:06:24,,00,04,,,2018/11/5 12:16,2018/11/5 12:27,43409.511111111143409.51875,#N/A,,,,
★,-,12,2018/11/5 12:17,113-974-SUN 105-411-SNOW,9948,まちかど端末（店舗から）,0,8,1,2,,2018/11/5 12:30,2018/11/5 12:41,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.454389 139.630904,横浜ランドマークタワー,2018/11/5 12:26,2018/11/5 12:26,2018/11/5 12:44,2018/11/5 12:44,2018/11/5 12:26,2018/11/5 12:26,0:11:35,0:23:10,,04,04,,,2018/11/5 12:17,2018/11/5 12:41,43409.511805555643409.5284722222,#N/A,,,,
-,-,12,2018/11/5 12:33,167-327-CAKE,9950,乗客アプリWeb（目的地から）,4622,986,9,1,,2018/11/5 12:36,2018/11/5 12:46,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/5 12:38,2018/11/5 12:38,2018/11/5 12:51,2018/11/5 12:51,,2018/11/5 12:33,0:09:36,0:09:36,,00,02,,,2018/11/5 12:33,2018/11/5 12:46,43409.522916666743409.5319444444,#N/A,,,,
-,-,12,2018/11/5 12:37,020-397-GREEN,9951,乗客アプリ（簡単予約）,4781,195,2,1,,2018/11/5 12:40,2018/11/5 12:49,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.456605 139.635327,横浜ベイホテル東急,2018/11/5 12:40,2018/11/5 12:40,2018/11/5 12:59,2018/11/5 12:59,,2018/11/5 12:37,0:09:12,0:09:12,,00,02,,,2018/11/5 12:37,2018/11/5 12:49,43409.525694444443409.5340277778,肯定的,,,,
-,-,12,2018/11/5 12:38,166-765-agekke,9952,乗客アプリ（目的地から）,1888,876,8,1,,2018/11/5 12:47,2018/11/5 13:02,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 12:44,2018/11/5 12:44,2018/11/5 13:01,2018/11/5 13:01,,2018/11/5 12:38,0:15:09,0:15:09,,02,08,,,2018/11/5 12:38,2018/11/5 13:02,43409.526388888943409.5430555556,#N/A,,,,
★,-,12,2018/11/5 12:41,167-329-CAKE,9955,乗客アプリWeb（目的地から）,5149,817,3,2,,2018/11/5 12:46,2018/11/5 12:54,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 12:51,2018/11/5 12:51,2018/11/5 13:03,2018/11/5 13:03,2018/11/5 12:51,2018/11/5 12:51,0:08:29,0:16:58,,00,00,,,2018/11/5 12:41,2018/11/5 12:54,43409.528472222243409.5375,#N/A,,,,
★,-,12,2018/11/5 12:49,167-317-CAKE,9956,乗客アプリWeb（目的地から）,5114,689,8,1,,2018/11/5 12:56,2018/11/5 13:02,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 12:59,2018/11/5 12:59,2018/11/5 13:10,2018/11/5 13:10,2018/11/5 12:59,2018/11/5 12:59,0:06:06,0:06:06,,00,00,,,2018/11/5 12:49,2018/11/5 13:02,43409.534027777843409.5430555556,#N/A,,,,
-,-,12,2018/11/5 12:51,105-406-SNOW,9958,乗客アプリ（目的地から）,3707,166,2,1,,2018/11/5 12:55,2018/11/5 13:04,35.45435 139.631762,横浜ロイヤルパークホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/5 12:56,2018/11/5 12:56,2018/11/5 13:10,2018/11/5 13:10,,2018/11/5 12:51,0:08:59,0:08:59,,00,03,,,2018/11/5 12:51,2018/11/5 13:04,43409.535416666743409.5444444444,#N/A,,,,
-,-,12,2018/11/5 12:52,071-781-ORANGE 073-156-ORANGE,9959,乗客アプリ（地図から）,2171,381,4,2,,2018/11/5 12:57,2018/11/5 13:08,35.441441 139.648505,横浜中華街朱雀門,35.454389 139.630904,横浜ランドマークタワー,2018/11/5 12:56,2018/11/5 12:56,2018/11/5 13:16,2018/11/5 13:16,,2018/11/5 12:52,0:11:38,0:23:16,,01,04,,,2018/11/5 12:52,2018/11/5 13:08,43409.536111111143409.5472222222,#N/A,,,,
-,☆,12,2018/11/5 12:40,105-406-SNOW,9953,乗客アプリ（目的地から）,3707,584,1,1,2018/11/5 12:49,2018/11/5 12:49,,35.45435 139.631762,横浜ロイヤルパークホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/5 12:46,2018/11/5 12:46,2018/11/5 13:00,,,2018/11/5 12:40,,,,02,08,,,2018/11/5 12:40,1900/1/0 0:00,43409.52777777780,#N/A,,,,
-,☆,12,2018/11/5 12:58,167-330-CAKE,9961,乗客アプリWeb（目的地から）,5152,819,9,1,2018/11/5 13:09,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/5 13:02,,2018/11/5 13:16,,,2018/11/5 12:58,0:00:00,0:00:00,,00,11,,,2018/11/5 12:58,1900/1/0 0:00,43409.54027777780,#N/A,,,,
★,☆,12,2018/11/5 13:00,050-918-STRAWBERRY,9963,乗客アプリ（地図から）,2092,918,4,1,2018/11/5 13:09,,,35.445857 139.647636,ホテルモントレ横浜,35.453715 139.638133,横浜ワールドポーターズ,2018/11/5 13:10,,2018/11/5 13:21,,2018/11/5 13:10,2018/11/5 13:10,0:00:00,0:00:00,,00,00,,,2018/11/5 13:00,1900/1/0 0:00,43409.54166666670,#N/A,,,,
★,-,13,2018/11/5 12:40,027-888-GREEN,9954,乗客アプリ（目的地から）,2215,606,7,1,,2018/11/5 13:40,2018/11/5 13:45,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.453715 139.638133,横浜ワールドポーターズ,2018/11/5 13:40,2018/11/5 13:40,2018/11/5 13:54,2018/11/5 13:54,2018/11/5 13:40,2018/11/5 13:40,0:04:50,0:04:50,505,00,00,05,03,2018/11/5 12:40,2018/11/5 13:45,43409.527777777843409.5729166667,#N/A,,,,
★,-,13,2018/11/5 12:51,063-834-BANANA,9957,乗客アプリ（地図から）,5123,700,3,1,,2018/11/5 12:58,2018/11/5 13:03,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 13:01,2018/11/5 13:01,2018/11/5 13:08,2018/11/5 13:08,2018/11/5 13:01,2018/11/5 13:01,0:05:31,0:05:31,,00,00,,,2018/11/5 12:51,2018/11/5 13:03,43409.535416666743409.54375,#N/A,,,,
★,-,13,2018/11/5 12:59,105-419-SNOW 105-421-SNOW 105-420-SNOW,9962,まちかど端末（店舗から）,0,850,10,3,,2018/11/5 13:08,2018/11/5 13:16,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/5 13:11,2018/11/5 13:11,2018/11/5 13:28,2018/11/5 13:28,2018/11/5 13:08,2018/11/5 13:08,0:08:19,0:24:57,,00,00,,,2018/11/5 12:59,2018/11/5 13:16,43409.540972222243409.5527777778,#N/A,,,,
-,-,13,2018/11/5 13:01,105-411-SNOW 020-927-GREEN,9964,まちかど端末（店舗から）,0,7,1,2,,2018/11/5 13:03,2018/11/5 13:10,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/11/5 13:06,2018/11/5 13:06,2018/11/5 13:19,2018/11/5 13:19,,2018/11/5 13:01,0:07:27,0:14:54,,00,01,,,2018/11/5 13:01,2018/11/5 13:10,43409.542361111143409.5486111111,#N/A,,,,
-,-,13,2018/11/5 13:02,114-877-SUN,9965,乗客アプリ（地図から）,1305,821,5,1,,2018/11/5 13:06,2018/11/5 13:11,35.450681 139.632446,横浜桜木町ワシントンホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/5 13:07,2018/11/5 13:07,2018/11/5 13:17,2018/11/5 13:17,,2018/11/5 13:02,0:05:21,0:05:21,,00,03,,,2018/11/5 13:02,2018/11/5 13:11,43409.543055555643409.5493055556,肯定的,,,,
-,-,13,2018/11/5 13:03,111-326-SUN 111-325-SUN,9966,まちかど端末（店舗から）,0,124,3,2,,2018/11/5 13:10,2018/11/5 13:13,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/5 13:14,2018/11/5 13:14,2018/11/5 13:23,2018/11/5 13:23,,2018/11/5 13:03,0:03:07,0:06:14,,00,06,,,2018/11/5 13:03,2018/11/5 13:13,43409.5437543409.5506944444,#N/A,,,,
★,-,13,2018/11/5 13:04,022-435-GREEN 109-814-SNOW,9967,まちかど端末（店舗から）,0,497,2,2,,2018/11/5 13:11,2018/11/5 13:24,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 13:13,2018/11/5 13:13,2018/11/5 13:22,2018/11/5 13:22,2018/11/5 13:13,2018/11/5 13:13,0:12:44,0:25:28,,00,00,,,2018/11/5 13:04,2018/11/5 13:24,43409.544444444443409.5583333333,#N/A,,,,
-,-,13,2018/11/5 13:10,050-918-STRAWBERRY,9969,乗客アプリ（地図から）,2092,773,1,1,,2018/11/5 13:21,2018/11/5 13:26,35.445857 139.647636,ホテルモントレ横浜,35.453715 139.638133,横浜ワールドポーターズ,2018/11/5 13:22,2018/11/5 13:22,2018/11/5 13:33,2018/11/5 13:32,,2018/11/5 13:10,0:05:54,0:05:54,,00,10,,,2018/11/5 13:10,2018/11/5 13:26,43409.548611111143409.5597222222,#N/A,,,,
-,-,13,2018/11/5 13:11,167-330-CAKE,9970,乗客アプリ（目的地から）,5152,771,9,1,,2018/11/5 13:16,2018/11/5 13:26,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/5 13:15,2018/11/5 13:15,2018/11/5 13:29,2018/11/5 13:29,,2018/11/5 13:11,0:09:57,0:09:57,,01,05,,,2018/11/5 13:11,2018/11/5 13:26,43409.549305555643409.5597222222,肯定的,,,,
★,-,13,2018/11/5 13:15,167-299-CAKE,9971,乗客アプリWeb（地図から）,5037,170,6,2,,2018/11/5 13:21,2018/11/5 13:36,35.443908 139.635249,イセザキ・モール,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/5 13:25,2018/11/5 13:25,2018/11/5 13:34,2018/11/5 13:34,2018/11/5 13:25,2018/11/5 13:25,0:14:21,0:28:42,,00,00,,,2018/11/5 13:15,2018/11/5 13:36,43409.552083333343409.5666666667,#N/A,,,,
-,-,13,2018/11/5 13:17,167-316-CAKE,9973,乗客アプリWeb（目的地から）,5113,536,4,1,,2018/11/5 13:23,2018/11/5 13:31,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 13:22,2018/11/5 13:22,2018/11/5 13:33,2018/11/5 13:33,,2018/11/5 13:17,0:08:23,0:08:23,,00,05,,,2018/11/5 13:17,2018/11/5 13:31,43409.553472222243409.5631944444,肯定的,,,,
-,-,13,2018/11/5 13:19,166-782-agekke,9974,乗客アプリ（地図から）,1751,62,10,1,,2018/11/5 13:25,2018/11/5 13:36,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/5 13:23,2018/11/5 13:23,2018/11/5 13:42,2018/11/5 13:42,,2018/11/5 13:19,0:11:00,0:11:00,,02,05,,,2018/11/5 13:19,2018/11/5 13:36,43409.554861111143409.5666666667,#N/A,,,,
-,-,13,2018/11/5 13:21,063-077-BANANA 064-073-BANANA,9976,まちかど端末（乗降ポイントから）,0,443,3,2,,2018/11/5 13:27,2018/11/5 13:39,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/5 13:27,2018/11/5 13:27,2018/11/5 13:46,2018/11/5 13:46,,2018/11/5 13:21,0:12:46,0:25:32,,00,05,,,2018/11/5 13:21,2018/11/5 13:39,43409.5562543409.56875,#N/A,,,,
★,-,13,2018/11/5 13:23,020-893-GREEN 020-894-GREEN 020-892-GREEN 105-408-SNOW 020-895-GREEN,9978,乗客アプリ（目的地から）,5117,591,2,5,,2018/11/5 13:32,2018/11/5 13:47,35.443908 139.635249,イセザキ・モール,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/5 13:36,2018/11/5 13:36,2018/11/5 13:54,2018/11/5 13:54,2018/11/5 13:33,2018/11/5 13:33,0:14:46,1:13:50,,00,00,,,2018/11/5 13:23,2018/11/5 13:47,43409.557638888943409.5743055556,#N/A,,,,
★,-,13,2018/11/5 13:24,167-332-CAKE,9979,乗客アプリWeb（目的地から）,5156,363,6,1,,2018/11/5 13:33,2018/11/5 13:43,35.450681 139.632446,横浜桜木町ワシントンホテル,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/5 13:34,2018/11/5 13:34,2018/11/5 13:43,2018/11/5 13:43,2018/11/5 13:34,2018/11/5 13:34,0:09:38,0:09:38,,00,00,,,2018/11/5 13:24,2018/11/5 13:43,43409.558333333343409.5715277778,#N/A,,,,
-,-,13,2018/11/5 13:24,022-196-GREEN 106-128-SNOW,9980,乗客アプリ（目的地から）,3474,596,1,2,,2018/11/5 13:27,2018/11/5 13:46,35.453715 139.638133,横浜ワールドポーターズ,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/5 13:28,2018/11/5 13:28,2018/11/5 13:45,2018/11/5 13:55,,2018/11/5 13:24,0:18:54,0:37:48,,00,02,,,2018/11/5 13:24,2018/11/5 13:46,43409.558333333343409.5736111111,#N/A,,,,
-,-,13,2018/11/5 13:25,065-269-BANANA,9981,乗客アプリ（地図から）,2867,464,4,1,,2018/11/5 13:33,2018/11/5 13:42,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/5 13:30,2018/11/5 13:32,2018/11/5 13:42,2018/11/5 13:47,,2018/11/5 13:25,0:09:39,0:09:39,,02,07,,,2018/11/5 13:25,2018/11/5 13:42,43409.559027777843409.5708333333,#N/A,,,,
★,-,13,2018/11/5 13:25,111-124-SUN 111-134-SUN,9982,乗客アプリ（地図から）,4140,128,5,2,,2018/11/5 13:32,2018/11/5 13:39,35.448801 139.636702,ホテルルートイン横浜馬車道,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/5 13:35,2018/11/5 13:35,2018/11/5 13:49,2018/11/5 13:49,2018/11/5 13:35,2018/11/5 13:35,0:06:37,0:13:14,,00,00,,,2018/11/5 13:25,2018/11/5 13:39,43409.559027777843409.56875,#N/A,,,,
-,-,13,2018/11/5 13:26,063-971-BANANA 063-081-BANANA,9983,乗客アプリ（目的地から）,4751,965,1,2,,2018/11/5 13:32,2018/11/5 13:37,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 13:34,2018/11/5 13:34,2018/11/5 13:46,2018/11/5 13:46,,2018/11/5 13:26,0:05:37,0:11:14,,00,05,,,2018/11/5 13:26,2018/11/5 13:37,43409.559722222243409.5673611111,#N/A,,,,
-,-,13,2018/11/5 13:28,114-416-SUN 114-496-SUN 111-679-SUN 105-413-SNOW,9984,まちかど端末（店舗から）,0,114,4,4,,2018/11/5 13:32,2018/11/5 13:42,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/5 13:33,2018/11/5 13:33,2018/11/5 13:49,2018/11/5 13:49,,2018/11/5 13:28,0:09:57,0:39:48,,00,03,,,2018/11/5 13:28,2018/11/5 13:42,43409.561111111143409.5708333333,#N/A,,,,
-,-,13,2018/11/5 13:43,022-435-GREEN 109-814-SNOW,9987,まちかど端末（店舗から）,0,693,4,2,,2018/11/5 13:58,2018/11/5 14:10,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/5 13:55,2018/11/5 13:55,2018/11/5 14:09,2018/11/5 14:23,,2018/11/5 13:43,0:12:09,0:24:18,,03,15,,,2018/11/5 13:43,2018/11/5 14:10,43409.571527777843409.5902777778,#N/A,,,,
-,-,13,2018/11/5 13:43,021-272-GREEN 021-271-GREEN,9988,まちかど端末（店舗から）,0,32,6,2,,2018/11/5 13:48,2018/11/5 13:52,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/5 13:47,2018/11/5 13:47,2018/11/5 13:55,2018/11/5 13:55,,2018/11/5 13:43,0:04:20,0:08:40,,00,04,,,2018/11/5 13:43,2018/11/5 13:52,43409.571527777843409.5777777778,#N/A,,,,
-,-,13,2018/11/5 13:48,113-900-SUN,9989,乗客アプリ（目的地から）,5119,769,7,1,,2018/11/5 13:49,2018/11/5 14:11,35.453715 139.638133,横浜ワールドポーターズ,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/5 13:51,2018/11/5 13:51,2018/11/5 14:06,2018/11/5 14:22,,2018/11/5 13:48,0:21:51,0:21:51,,00,01,,,2018/11/5 13:48,2018/11/5 14:11,43409.57543409.5909722222,否定的,,,,
★,-,13,2018/11/5 13:48,167-321-CAKE,9990,乗客アプリWeb（地図から）,5122,746,7,2,,2018/11/5 13:54,2018/11/5 14:03,35.453715 139.638133,横浜ワールドポーターズ,35.443908 139.635249,イセザキ・モール,2018/11/5 13:58,2018/11/5 13:58,2018/11/5 14:12,2018/11/5 14:12,2018/11/5 13:58,2018/11/5 13:58,0:09:02,0:18:04,,00,00,,,2018/11/5 13:48,2018/11/5 14:03,43409.57543409.5854166667,#N/A,,,,
-,-,13,2018/11/5 13:52,167-318-CAKE,9991,乗客アプリ（目的地から）,5115,156,5,1,,2018/11/5 13:59,2018/11/5 14:10,35.453715 139.638133,横浜ワールドポーターズ,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/5 13:59,2018/11/5 13:59,2018/11/5 14:14,2018/11/5 14:14,,2018/11/5 13:52,0:10:27,0:10:27,,00,06,,,2018/11/5 13:52,2018/11/5 14:10,43409.577777777843409.5902777778,#N/A,,,,
-,-,13,2018/11/5 13:53,115-682-SUN,9992,乗客アプリ（地図から）,1310,499,1,1,,2018/11/5 13:57,2018/11/5 14:02,35.448676 139.635696,横浜平和プラザホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/5 13:58,2018/11/5 13:58,2018/11/5 14:12,2018/11/5 14:12,,2018/11/5 13:53,0:05:39,0:05:39,,00,03,,,2018/11/5 13:53,2018/11/5 14:02,43409.578472222243409.5847222222,#N/A,,,,
-,-,13,2018/11/5 13:54,105-406-SNOW,9994,乗客アプリ（目的地から）,3707,361,6,1,,2018/11/5 14:03,2018/11/5 14:13,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443908 139.635249,イセザキ・モール,2018/11/5 14:03,2018/11/5 14:03,2018/11/5 14:12,2018/11/5 14:12,,2018/11/5 13:54,0:10:05,0:10:05,,00,09,,,2018/11/5 13:54,2018/11/5 14:13,43409.579166666743409.5923611111,#N/A,,,,
-,-,13,2018/11/5 13:58,167-316-CAKE,9996,乗客アプリWeb（目的地から）,5113,336,4,1,,2018/11/5 13:59,2018/11/5 14:33,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443908 139.635249,イセザキ・モール,2018/11/5 14:01,2018/11/5 14:01,2018/11/5 14:11,2018/11/5 14:11,,2018/11/5 13:58,0:34:34,0:34:34,,00,00,,,2018/11/5 13:58,2018/11/5 14:33,43409.581944444443409.60625,肯定的,,,,
★,☆,13,2018/11/5 12:11,167-306-CAKE,9944,乗客アプリWeb（目的地から）,990,967,9,1,2018/11/5 12:12,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/5 13:09,,2018/11/5 13:22,,2018/11/5 13:09,2018/11/5 13:09,0:00:00,0:00:00,,00,00,,,2018/11/5 12:11,1900/1/0 0:00,43409.50763888890,#N/A,,,,
