,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,,
★,-,10,2018/11/5 10:48,110-571-SUN,9908,まちかど端末（乗降ポイントから）,0,261,5,1,,2018/11/5 10:54,2018/11/5 11:01,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/5 10:58,2018/11/5 10:58,2018/11/5 11:04,2018/11/5 11:04,2018/11/5 10:58,2018/11/5 10:58,0:06:30,0:06:30,,00,00,,,2018/11/5 10:48,2018/11/5 11:01,43409.4543409.4590277778,肯定的,,,,
-,-,10,2018/11/5 10:53,063-971-BANANA 063-081-BANANA,9911,まちかど端末（乗降ポイントから）,0,901,7,2,,2018/11/5 10:57,2018/11/5 11:00,35.45435 139.631762,横浜ロイヤルパークホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/5 10:58,2018/11/5 10:58,2018/11/5 11:04,2018/11/5 11:04,,2018/11/5 10:53,0:03:35,0:07:10,,00,03,,,2018/11/5 10:53,2018/11/5 11:00,43409.453472222243409.4583333333,#N/A,,,,
-,-,10,2018/11/5 10:58,023-332-GREEN,9914,乗客アプリ（目的地から）,3587,801,6,1,,2018/11/5 11:00,2018/11/5 11:09,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/5 11:01,2018/11/5 11:01,2018/11/5 11:12,2018/11/5 11:12,,2018/11/5 10:58,0:08:36,0:08:36,,00,02,,,2018/11/5 10:58,2018/11/5 11:09,43409.456944444443409.4645833333,肯定的,,,,
★,☆,10,2018/11/5 9:12,012-399-RED,9880,乗客アプリ（目的地から）,2550,793,6,1,2018/11/5 9:12,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/5 10:01,,2018/11/5 10:14,,2018/11/5 9:22,2018/11/5 9:22,0:00:00,0:00:00,,00,00,,,2018/11/5 9:12,1900/1/0 0:00,43409.38333333330,#N/A,,2018/11/5 10:00,※10時以前に予約しているため,※同一人物と思われるため一番短い待ち時間を採用
-,☆,10,2018/11/5 9:14,012-399-RED,9881,乗客アプリ（目的地から）,2550,777,6,1,2018/11/5 9:14,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/5 10:01,,2018/11/5 10:14,,,2018/11/5 9:14,0:00:00,0:00:00,,00,00,,,2018/11/5 9:14,1900/1/0 0:00,43409.38472222220,#N/A,,2018/11/5 10:00,※10時以前に予約しているため,※同一人物と思われるため一番短い待ち時間を採用
★,☆,10,2018/11/5 9:15,012-399-RED,9882,乗客アプリ（目的地から）,2550,784,6,1,2018/11/5 9:15,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/5 10:02,,2018/11/5 10:16,,2018/11/5 9:25,2018/11/5 9:25,0:00:00,0:00:00,,00,00,,,2018/11/5 9:15,1900/1/0 0:00,43409.38541666670,#N/A,,2018/11/5 10:00,※10時以前に予約しているため,※同一人物と思われるため一番短い待ち時間を採用
★,☆,10,2018/11/5 9:20,012-399-RED,9883,乗客アプリ（目的地から）,2550,66,2,1,2018/11/5 9:20,,,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/5 10:06,,2018/11/5 10:17,,2018/11/5 9:30,2018/11/5 9:30,0:00:00,0:00:00,,00,00,,,2018/11/5 9:20,1900/1/0 0:00,43409.38888888890,#N/A,,2018/11/5 10:00,※10時以前に予約しているため,※同一人物と思われるため一番短い待ち時間を採用
★,☆,10,2018/11/5 9:40,052-695-STRAWBERRY 052-696-STRAWBERRY,9884,乗客アプリ（目的地から）,5100,201,2,2,2018/11/5 9:41,,,35.448676 139.635696,横浜平和プラザホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/5 10:08,,2018/11/5 10:20,,2018/11/5 9:50,2018/11/5 9:50,0:00:00,0:00:00,,00,00,,,2018/11/5 9:40,1900/1/0 0:00,43409.40277777780,#N/A,,2018/11/5 10:00,※10時以前に予約しているため,
-,☆,10,2018/11/5 10:05,114-475-SUN 114-493-SUN,9890,まちかど端末（店舗から）,0,785,7,2,2018/11/5 10:08,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/5 10:18,,2018/11/5 10:30,,,2018/11/5 10:05,0:00:00,0:00:00,,00,12,,,2018/11/5 10:05,1900/1/0 0:00,43409.42013888890,#N/A,,,,
-,☆,10,2018/11/5 10:06,023-406-GREEN,9893,乗客アプリ（目的地から）,5102,473,9,1,2018/11/5 10:07,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/5 10:12,,2018/11/5 10:21,,,2018/11/5 10:06,0:00:00,0:00:00,,00,05,,,2018/11/5 10:06,1900/1/0 0:00,43409.42083333330,#N/A,,,,
