,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,,,
-,-,10,2018/10/30 10:14,7439,まちかど設置端末（地図から）,0,303,9,2,,2018/10/30 10:20,2018/10/30 10:24,35.445857 139.647636,ホテルモントレ横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/30 10:16,2018/10/30 10:16,2018/10/30 10:22,2018/10/30 10:22,,2018/10/30 10:14,0:03:51,0:07:42,,04,06,,,2018/10/30 10:14,2018/10/30 10:24,43403.426388888943403.4333333333,#N/A,,,
-,-,10,2018/10/30 10:21,7440,乗客アプリ（目的地から）,2351,993,5,1,,2018/10/30 10:25,2018/10/30 10:37,35.445783 139.642958,横浜情報文化センター,35.454389 139.630904,横浜ランドマークタワー,2018/10/30 10:26,2018/10/30 10:26,2018/10/30 10:43,2018/10/30 10:43,,2018/10/30 10:21,0:12:05,0:12:05,,00,04,,,2018/10/30 10:21,2018/10/30 10:37,43403.4312543403.4423611111,#N/A,,,
-,-,10,2018/10/30 10:22,7441,まちかど設置端末（地図から）,0,459,8,1,,2018/10/30 10:29,2018/10/30 10:32,35.450447 139.635947,みなとみらい線　馬車道駅,35.447541 139.644914,シルク博物館,2018/10/30 10:32,2018/10/30 10:32,2018/10/30 10:38,2018/10/30 10:38,,2018/10/30 10:22,0:03:08,0:03:08,,00,07,,,2018/10/30 10:22,2018/10/30 10:32,43403.431944444443403.4388888889,#N/A,,,
-,-,10,2018/10/30 10:31,7443,まちかど設置端末（店舗から）,0,419,9,3,,2018/10/30 10:34,2018/10/30 10:45,35.443704 139.651332,ホテルメルパルク横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/30 10:33,2018/10/30 10:33,2018/10/30 10:46,2018/10/30 10:46,,2018/10/30 10:31,0:11:12,0:33:36,,01,02,,,2018/10/30 10:31,2018/10/30 10:45,43403.438194444443403.4479166667,#N/A,,,
-,-,10,2018/10/30 10:39,7444,乗客アプリ（地図から）,1666,612,2,1,,2018/10/30 10:44,2018/10/30 10:50,35.454389 139.630904,横浜ランドマークタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/30 10:44,2018/10/30 10:44,2018/10/30 10:51,2018/10/30 10:51,,2018/10/30 10:39,0:05:32,0:05:32,,00,05,,,2018/10/30 10:39,2018/10/30 10:50,43403.4437543403.4513888889,#N/A,,,
-,-,10,2018/10/30 10:41,7445,乗客アプリ（目的地から）,985,322,6,1,,2018/10/30 10:46,2018/10/30 10:47,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443659 139.650847,横浜マリンタワー,2018/10/30 10:45,2018/10/30 10:45,2018/10/30 10:48,2018/10/30 10:48,,2018/10/30 10:41,0:01:38,0:01:38,,01,04,,,2018/10/30 10:41,2018/10/30 10:47,43403.445138888943403.4493055556,肯定的,,,
-,-,10,2018/10/30 10:44,7446,まちかど設置端末（地図から）,0,1173,10,1,,2018/10/30 10:49,2018/10/30 10:52,35.447541 139.644914,シルク博物館,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/30 10:45,2018/10/30 10:51,2018/10/30 10:50,2018/10/30 10:56,,2018/10/30 10:44,0:03:04,0:03:04,,03,04,,,2018/10/30 10:44,2018/10/30 10:52,43403.447222222243403.4527777778,#N/A,,,
-,-,10,2018/10/30 10:44,7447,まちかど設置端末（地図から）,0,758,8,1,,2018/10/30 10:49,2018/10/30 10:58,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/30 10:49,2018/10/30 10:49,2018/10/30 11:03,2018/10/30 11:03,,2018/10/30 10:44,0:08:54,0:08:54,,00,04,,,2018/10/30 10:44,2018/10/30 10:58,43403.447222222243403.4569444444,#N/A,,,
-,-,10,2018/10/30 10:44,7448,まちかど設置端末（店舗から）,0,487,9,2,,2018/10/30 10:53,2018/10/30 11:01,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/30 10:53,2018/10/30 10:53,2018/10/30 11:03,2018/10/30 11:03,,2018/10/30 10:44,0:08:09,0:16:18,,00,08,,,2018/10/30 10:44,2018/10/30 11:01,43403.447222222243403.4590277778,#N/A,,,
-,-,10,2018/10/30 10:47,7449,まちかど設置端末（店舗から）,0,1042,10,2,,2018/10/30 10:55,2018/10/30 11:15,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.454389 139.630904,横浜ランドマークタワー,2018/10/30 10:58,2018/10/30 10:58,2018/10/30 11:13,2018/10/30 11:25,,2018/10/30 10:47,0:20:31,0:41:02,,00,07,,,2018/10/30 10:47,2018/10/30 11:15,43403.449305555643403.46875,#N/A,,,
-,-,10,2018/10/30 10:52,7450,まちかど設置端末（地図から）,0,1054,10,2,,2018/10/30 11:00,2018/10/30 11:11,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/30 11:02,2018/10/30 11:02,2018/10/30 11:15,2018/10/30 11:15,,2018/10/30 10:52,0:10:27,0:20:54,,00,08,,,2018/10/30 10:52,2018/10/30 11:11,43403.452777777843403.4659722222,#N/A,,,
-,-,10,2018/10/30 10:55,7451,乗客アプリ（地図から）,4073,1201,5,1,,2018/10/30 10:58,2018/10/30 11:03,35.450681 139.632446,横浜桜木町ワシントンホテル,35.445783 139.642958,横浜情報文化センター,2018/10/30 10:58,2018/10/30 10:58,2018/10/30 11:06,2018/10/30 11:06,,2018/10/30 10:55,0:05:41,0:05:41,,00,02,,,2018/10/30 10:55,2018/10/30 11:03,43403.454861111143403.4604166667,#N/A,,,
-,-,11,2018/10/30 11:04,7453,乗客アプリ（目的地から）,2801,1265,2,2,,2018/10/30 11:10,2018/10/30 11:21,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.454389 139.630904,横浜ランドマークタワー,2018/10/30 11:10,2018/10/30 11:10,2018/10/30 11:30,2018/10/30 11:30,,2018/10/30 11:04,0:10:55,0:21:50,239,00,06,06,06,2018/10/30 11:04,2018/10/30 11:21,43403.461111111143403.4729166667,#N/A,,,
-,-,11,2018/10/30 11:09,7454,乗客アプリ（地図から）,4270,430,1,1,,2018/10/30 11:13,2018/10/30 11:18,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/30 11:13,2018/10/30 11:13,2018/10/30 11:17,2018/10/30 11:17,,2018/10/30 11:09,0:04:51,0:04:51,,00,04,,,2018/10/30 11:09,2018/10/30 11:18,43403.464583333343403.4708333333,#N/A,,,
-,-,11,2018/10/30 11:11,7456,乗客アプリ（地図から）,2043,514,8,1,,2018/10/30 11:17,2018/10/30 11:36,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443908 139.635249,イセザキ・モール,2018/10/30 11:17,2018/10/30 11:17,2018/10/30 11:31,2018/10/30 11:32,,2018/10/30 11:11,0:19:10,0:19:10,,00,06,,,2018/10/30 11:11,2018/10/30 11:36,43403.465972222243403.4833333333,#N/A,,,
-,-,11,2018/10/30 11:14,7457,まちかど設置端末（店舗から）,0,958,10,2,,2018/10/30 11:21,2018/10/30 11:30,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/30 11:25,2018/10/30 11:25,2018/10/30 11:35,2018/10/30 11:31,,2018/10/30 11:14,0:08:58,0:17:56,,00,07,,,2018/10/30 11:14,2018/10/30 11:30,43403.468055555643403.4791666667,#N/A,,,
-,-,11,2018/10/30 11:17,7458,乗客アプリ（地図から）,1591,405,8,1,,2018/10/30 11:23,2018/10/30 11:50,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/30 11:21,2018/10/30 11:21,2018/10/30 11:41,2018/10/30 11:41,,2018/10/30 11:17,0:26:50,0:26:50,,01,06,,,2018/10/30 11:17,2018/10/30 11:50,43403.470138888943403.4930555556,肯定的,,,
-,-,11,2018/10/30 11:17,7459,乗客アプリ（地図から）,1666,420,7,1,,2018/10/30 11:22,2018/10/30 11:29,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/30 11:22,2018/10/30 11:22,2018/10/30 11:30,2018/10/30 11:30,,2018/10/30 11:17,0:06:53,0:06:53,,00,04,,,2018/10/30 11:17,2018/10/30 11:29,43403.470138888943403.4784722222,#N/A,,,
