,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,,,
-,-,11,2018/11/9 11:00,104-722-SNOW,11398,乗客アプリ（目的地から）,5579,890,1,1,,2018/11/9 11:05,2018/11/9 11:13,35.443659 139.650847,横浜マリンタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/9 11:04,2018/11/9 11:05,2018/11/9 11:16,2018/11/9 11:19,,2018/11/9 11:00,0:07:13,0:07:13,,01,05,,,2018/11/9 11:00,2018/11/9 11:13,43413.458333333343413.4673611111,#N/A,,,,
-,-,11,2018/11/9 11:01,064-350-BANANA 064-229-BANANA,11399,まちかど端末（乗降ポイントから）,0,806,2,2,,2018/11/9 11:07,2018/11/9 11:19,35.443704 139.651332,ホテルメルパルク横浜,35.454389 139.630904,横浜ランドマークタワー,2018/11/9 11:09,2018/11/9 11:09,2018/11/9 11:26,2018/11/9 11:26,,2018/11/9 11:01,0:11:21,0:22:42,,00,06,,,2018/11/9 11:01,2018/11/9 11:19,43413.459027777843413.4715277778,#N/A,,,,
-,-,11,2018/11/9 11:02,167-436-CAKE,11400,乗客アプリWeb（地図から）,1220,786,1,1,,2018/11/9 11:06,2018/11/9 11:13,35.443659 139.650847,横浜マリンタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/9 11:06,2018/11/9 11:06,2018/11/9 11:18,2018/11/9 11:18,,2018/11/9 11:02,0:07:02,0:07:02,,00,03,,,2018/11/9 11:02,2018/11/9 11:13,43413.459722222243413.4673611111,#N/A,,,,
-,-,11,2018/11/9 11:02,167-435-CAKE,11401,乗客アプリ（地図から）,5581,268,10,4,,2018/11/9 11:12,2018/11/9 11:20,35.443659 139.650847,横浜マリンタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/9 11:12,2018/11/9 11:12,2018/11/9 11:27,2018/11/9 11:27,,2018/11/9 11:02,0:08:01,0:32:04,,00,10,,,2018/11/9 11:02,2018/11/9 11:20,43413.459722222243413.4722222222,#N/A,,,,
-,-,11,2018/11/9 11:06,062-861-BANANA 062-862-BANANA,11402,乗客アプリ（地図から）,4361,187,5,2,,2018/11/9 11:12,2018/11/9 11:21,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/9 11:13,2018/11/9 11:13,2018/11/9 11:30,2018/11/9 11:30,,2018/11/9 11:06,0:09:34,0:19:08,,00,05,,,2018/11/9 11:06,2018/11/9 11:21,43413.462543413.4729166667,#N/A,,,,
-,-,11,2018/11/9 11:14,063-170-BANANA 066-813-BANANA,11403,まちかど端末（乗降ポイントから）,0,656,11,2,,2018/11/9 11:19,2018/11/9 11:25,35.448676 139.635696,横浜平和プラザホテル,35.454389 139.630904,横浜ランドマークタワー,2018/11/9 11:16,2018/11/9 11:16,2018/11/9 11:27,2018/11/9 11:27,,2018/11/9 11:14,0:06:10,0:12:20,,02,05,,,2018/11/9 11:14,2018/11/9 11:25,43413.468055555643413.4756944444,#N/A,,,,
-,-,11,2018/11/9 11:14,019-790-RED,11404,乗客アプリ（目的地から）,3867,481,3,1,,2018/11/9 11:21,2018/11/9 11:40,35.445783 139.642958,横浜情報文化センター,35.454389 139.630904,横浜ランドマークタワー,2018/11/9 11:19,2018/11/9 11:19,2018/11/9 11:32,2018/11/9 11:32,,2018/11/9 11:14,0:19:07,0:19:07,,02,06,,,2018/11/9 11:14,2018/11/9 11:40,43413.468055555643413.4861111111,#N/A,,,,
★,-,11,2018/11/9 11:20,112-657-SUN,11405,まちかど端末（乗降ポイントから）,0,465,5,1,,2018/11/9 11:29,2018/11/9 11:33,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/9 11:30,2018/11/9 11:30,2018/11/9 11:36,2018/11/9 11:36,2018/11/9 11:30,2018/11/9 11:30,0:04:06,0:04:06,,00,00,,,2018/11/9 11:20,2018/11/9 11:33,43413.472222222243413.48125,肯定的,,,,
-,-,11,2018/11/9 11:26,167-445-CAKE,11408,乗客アプリWeb（地図から）,5592,296,8,1,,2018/11/9 11:35,2018/11/9 11:47,35.443908 139.635249,イセザキ・モール,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/9 11:33,2018/11/9 11:33,2018/11/9 11:39,2018/11/9 11:48,,2018/11/9 11:26,0:12:39,0:12:39,,01,08,,,2018/11/9 11:26,2018/11/9 11:47,43413.476388888943413.4909722222,#N/A,,,,
-,-,11,2018/11/9 11:30,062-979-BANANA,11409,まちかど端末（乗降ポイントから）,0,848,9,1,,2018/11/9 11:34,2018/11/9 11:42,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/9 11:36,2018/11/9 11:36,2018/11/9 11:45,2018/11/9 11:45,,2018/11/9 11:30,0:08:26,0:08:26,,00,04,,,2018/11/9 11:30,2018/11/9 11:42,43413.479166666743413.4875,#N/A,,,,
★,-,11,2018/11/9 11:30,105-606-SNOW,11410,乗客アプリ（地図から）,5335,667,8,1,,2018/11/9 11:35,2018/11/9 11:43,35.443908 139.635249,イセザキ・モール,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/9 11:40,2018/11/9 11:40,2018/11/9 11:44,2018/11/9 11:44,2018/11/9 11:40,2018/11/9 11:40,0:08:03,0:08:03,,00,00,,,2018/11/9 11:30,2018/11/9 11:43,43413.479166666743413.4881944444,肯定的,,,,
-,-,11,2018/11/9 11:30,062-981-BANANA,11411,まちかど端末（店舗から）,0,369,6,1,,2018/11/9 11:35,2018/11/9 11:41,35.454389 139.630904,横浜ランドマークタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/9 11:35,2018/11/9 11:35,2018/11/9 11:46,2018/11/9 11:46,,2018/11/9 11:30,0:06:52,0:06:52,,00,04,,,2018/11/9 11:30,2018/11/9 11:41,43413.479166666743413.4868055556,#N/A,,,,
★,-,11,2018/11/9 11:32,100-770-SNOW,11412,乗客アプリ（地図から）,5387,265,7,1,,2018/11/9 11:37,2018/11/9 12:05,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/9 11:41,2018/11/9 11:41,2018/11/9 12:05,2018/11/9 12:05,2018/11/9 11:41,2018/11/9 11:41,0:28:13,0:28:13,,00,00,,,2018/11/9 11:32,2018/11/9 12:05,43413.480555555643413.5034722222,肯定的,,,,
-,-,11,2018/11/9 11:32,167-437-CAKE,11413,乗客アプリWeb（地図から）,5582,526,10,3,,2018/11/9 11:33,2018/11/9 11:40,35.452963 139.642093,横浜赤レンガ倉庫,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/9 11:33,2018/11/9 11:33,2018/11/9 11:45,2018/11/9 11:45,,2018/11/9 11:32,0:07:17,0:21:51,,00,01,,,2018/11/9 11:32,2018/11/9 11:40,43413.480555555643413.4861111111,#N/A,,,,
-,-,11,2018/11/9 11:36,166-647-agekke,11415,乗客アプリ（地図から）,1888,350,5,1,,2018/11/9 11:39,2018/11/9 11:43,35.447541 139.644914,シルク博物館,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/9 11:38,2018/11/9 11:38,2018/11/9 11:41,2018/11/9 11:41,,2018/11/9 11:36,0:03:19,0:03:19,,01,03,,,2018/11/9 11:36,2018/11/9 11:43,43413.483333333343413.4881944444,#N/A,,,,
★,-,11,2018/11/9 11:37,016-629-RED 023-415-GREEN,11416,乗客アプリ（簡単予約）,4223,307,10,2,,2018/11/9 11:47,2018/11/9 11:53,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/9 11:52,2018/11/9 11:52,2018/11/9 11:58,2018/11/9 11:58,2018/11/9 11:47,2018/11/9 11:47,0:06:06,0:12:12,,00,00,,,2018/11/9 11:37,2018/11/9 11:53,43413.484027777843413.4951388889,#N/A,,,,
★,-,11,2018/11/9 11:38,019-664-RED 109-760-SNOW,11417,乗客アプリ（地図から）,5408,212,11,2,,2018/11/9 11:50,2018/11/9 11:54,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/9 11:54,2018/11/9 11:54,2018/11/9 12:01,2018/11/9 12:01,2018/11/9 11:48,2018/11/9 11:48,0:04:32,0:09:04,,00,01,,,2018/11/9 11:38,2018/11/9 11:54,43413.484722222243413.4958333333,#N/A,,,,
-,-,11,2018/11/9 11:46,065-334-BANANA,11418,乗客アプリ（地図から）,3962,392,9,1,,2018/11/9 11:52,2018/11/9 11:57,35.447541 139.644914,シルク博物館,35.456605 139.635327,横浜ベイホテル東急,2018/11/9 11:49,2018/11/9 11:49,2018/11/9 12:04,2018/11/9 12:04,,2018/11/9 11:46,0:05:04,0:05:04,,02,05,,,2018/11/9 11:46,2018/11/9 11:57,43413.490277777843413.4979166667,#N/A,,,,
-,-,11,2018/11/9 11:51,019-344-RED 019-345-RED,11420,まちかど端末（店舗から）,0,199,10,2,,2018/11/9 11:59,2018/11/9 12:06,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/9 11:59,2018/11/9 11:59,2018/11/9 12:11,2018/11/9 12:11,,2018/11/9 11:51,0:07:21,0:14:42,,00,08,,,2018/11/9 11:51,2018/11/9 12:06,43413.4937543413.5041666667,#N/A,,,,
-,-,11,2018/11/9 11:51,166-647-agekke,11421,乗客アプリ（地図から）,1888,700,8,1,,2018/11/9 11:56,2018/11/9 12:05,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/9 11:55,2018/11/9 11:55,2018/11/9 12:05,2018/11/9 12:05,,2018/11/9 11:51,0:09:13,0:09:13,,01,04,,,2018/11/9 11:51,2018/11/9 12:05,43413.4937543413.5034722222,#N/A,,,,
-,-,11,2018/11/9 11:56,063-170-BANANA 066-813-BANANA,11422,まちかど端末（乗降ポイントから）,0,501,11,2,,2018/11/9 12:03,2018/11/9 12:10,35.454389 139.630904,横浜ランドマークタワー,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/9 12:02,2018/11/9 12:02,2018/11/9 12:09,2018/11/9 12:13,,2018/11/9 11:56,0:06:24,0:12:48,,01,07,,,2018/11/9 11:56,2018/11/9 12:10,43413.497222222243413.5069444444,#N/A,,,,
-,☆,11,2018/11/9 11:34,166-647-agekke,11414,乗客アプリ（地図から）,1888,841,5,1,2018/11/9 11:35,,,35.447541 139.644914,シルク博物館,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/9 11:38,,2018/11/9 11:41,,,2018/11/9 11:34,0:00:00,0:00:00,,00,03,,,2018/11/9 11:34,1900/1/0 0:00,43413.48194444440,#N/A,,,,
★,-,12,2018/11/9 11:47,018-651-RED 018-652-RED,11419,まちかど端末（店舗から）,0,417,6,2,,2018/11/9 12:42,2018/11/9 12:48,35.447541 139.644914,シルク博物館,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/9 12:45,2018/11/9 12:45,2018/11/9 12:55,2018/11/9 13:08,2018/11/9 12:45,2018/11/9 12:45,0:06:44,0:13:28,338,00,00,07,05,2018/11/9 11:47,2018/11/9 12:48,43413.490972222243413.5333333333,#N/A,,,,
-,-,12,2018/11/9 12:00,018-502-RED 016-965-RED,11423,まちかど端末（乗降ポイントから）,0,398,1,2,,2018/11/9 12:05,2018/11/9 12:21,35.45435 139.631762,横浜ロイヤルパークホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/9 12:05,2018/11/9 12:05,2018/11/9 12:21,2018/11/9 12:24,,2018/11/9 12:00,0:16:05,0:32:10,,00,05,,,2018/11/9 12:00,2018/11/9 12:21,43413.543413.5145833333,#N/A,,,,
-,-,12,2018/11/9 12:00,070-414-ORANGE 070-415-ORANGE,11425,乗客アプリ（目的地から）,5404,523,1,2,,2018/11/9 12:12,2018/11/9 12:24,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443073 139.651914,横浜人形の家,2018/11/9 12:10,2018/11/9 12:10,2018/11/9 12:28,2018/11/9 12:28,,2018/11/9 12:00,0:11:41,0:23:22,,02,12,,,2018/11/9 12:00,2018/11/9 12:24,43413.543413.5166666667,#N/A,,,,
-,-,12,2018/11/9 12:02,006-291-BLUE,11426,乗客アプリ（地図から）,3537,355,9,1,,2018/11/9 12:07,2018/11/9 12:18,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/9 12:08,2018/11/9 12:08,2018/11/9 12:17,2018/11/9 12:17,,2018/11/9 12:02,0:11:05,0:11:05,,00,05,,,2018/11/9 12:02,2018/11/9 12:18,43413.501388888943413.5125,#N/A,,,,
★,-,12,2018/11/9 12:06,103-518-SNOW 103-527-SNOW,11428,乗客アプリ（地図から）,5604,674,11,2,,2018/11/9 12:13,2018/11/9 12:23,35.443908 139.635249,イセザキ・モール,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/9 12:17,2018/11/9 12:17,2018/11/9 12:29,2018/11/9 12:29,2018/11/9 12:16,2018/11/9 12:16,0:10:03,0:20:06,,00,00,,,2018/11/9 12:06,2018/11/9 12:23,43413.504166666743413.5159722222,#N/A,,,,
-,-,12,2018/11/9 12:06,018-392-RED 018-331-RED 018-332-RED,11429,乗客アプリ（地図から）,3738,584,2,3,,2018/11/9 12:09,2018/11/9 12:14,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/9 12:08,2018/11/9 12:08,2018/11/9 12:16,2018/11/9 12:16,,2018/11/9 12:06,0:04:58,0:14:54,,01,03,,,2018/11/9 12:06,2018/11/9 12:14,43413.504166666743413.5097222222,#N/A,,,,
-,-,12,2018/11/9 12:07,167-435-CAKE,11430,乗客アプリ（地図から）,5581,320,10,3,,2018/11/9 12:13,2018/11/9 12:18,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.456605 139.635327,横浜ベイホテル東急,2018/11/9 12:12,2018/11/9 12:12,2018/11/9 12:29,2018/11/9 12:29,,2018/11/9 12:07,0:04:49,0:14:27,,00,05,,,2018/11/9 12:07,2018/11/9 12:18,43413.504861111143413.5125,#N/A,,,,
-,-,12,2018/11/9 12:08,018-701-RED,11431,まちかど端末（店舗から）,0,68,9,1,,2018/11/9 12:13,2018/11/9 12:20,35.447541 139.644914,シルク博物館,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/9 12:14,2018/11/9 12:14,2018/11/9 12:28,2018/11/9 12:28,,2018/11/9 12:08,0:07:11,0:07:11,,00,05,,,2018/11/9 12:08,2018/11/9 12:20,43413.505555555643413.5138888889,#N/A,,,,
-,-,12,2018/11/9 12:10,111-218-SUN,11432,まちかど端末（乗降ポイントから）,0,15,2,1,,2018/11/9 12:22,2018/11/9 12:28,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443704 139.651332,ホテルメルパルク横浜,2018/11/9 12:32,2018/11/9 12:32,2018/11/9 12:39,2018/11/9 12:39,,2018/11/9 12:10,0:05:39,0:05:39,,00,12,,,2018/11/9 12:10,2018/11/9 12:28,43413.506944444443413.5194444444,#N/A,,,,
-,-,12,2018/11/9 12:15,114-966-SUN,11435,乗客アプリ（目的地から）,2636,906,3,1,,2018/11/9 12:20,2018/11/9 12:24,35.450554 139.632616,横浜桜木町ワシントンホテル,35.456605 139.635327,横浜ベイホテル東急,2018/11/9 12:19,2018/11/9 12:21,2018/11/9 12:30,2018/11/9 12:32,,2018/11/9 12:15,0:03:56,0:03:56,,01,04,,,2018/11/9 12:15,2018/11/9 12:24,43413.510416666743413.5166666667,#N/A,,,,
-,-,12,2018/11/9 12:17,105-405-SNOW,11436,乗客アプリ（目的地から）,3162,301,4,1,,2018/11/9 12:18,2018/11/9 12:26,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/9 12:19,2018/11/9 12:19,2018/11/9 12:30,2018/11/9 12:30,,2018/11/9 12:17,0:07:34,0:07:34,,00,01,,,2018/11/9 12:17,2018/11/9 12:26,43413.511805555643413.5180555556,#N/A,,,,
-,-,12,2018/11/9 12:17,166-664-agekke,11437,乗客アプリ（地図から）,1751,414,3,1,,2018/11/9 12:33,2018/11/9 12:43,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/9 12:39,2018/11/9 12:39,2018/11/9 12:56,2018/11/9 12:56,,2018/11/9 12:17,0:09:57,0:09:57,,00,16,,,2018/11/9 12:17,2018/11/9 12:43,43413.511805555643413.5298611111,肯定的,,,,
-,-,12,2018/11/9 12:24,017-112-RED,11438,乗客アプリ（地図から）,2177,474,2,1,,2018/11/9 12:32,2018/11/9 12:42,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/9 12:32,2018/11/9 12:32,2018/11/9 12:49,2018/11/9 12:49,,2018/11/9 12:24,0:09:40,0:09:40,,00,08,,,2018/11/9 12:24,2018/11/9 12:42,43413.516666666743413.5291666667,肯定的,,,,
-,-,12,2018/11/9 12:26,111-630-SUN,11439,乗客アプリ（目的地から）,3928,942,1,1,,2018/11/9 12:32,2018/11/9 12:41,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.454389 139.630904,横浜ランドマークタワー,2018/11/9 12:30,2018/11/9 12:30,2018/11/9 12:47,2018/11/9 12:47,,2018/11/9 12:26,0:09:25,0:09:25,,01,06,,,2018/11/9 12:26,2018/11/9 12:41,43413.518055555643413.5284722222,肯定的,,,,
-,-,12,2018/11/9 12:26,112-657-SUN,11441,乗客アプリ（地図から）,2953,440,11,1,,2018/11/9 12:31,2018/11/9 12:37,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/9 12:31,2018/11/9 12:31,2018/11/9 12:37,2018/11/9 12:37,,2018/11/9 12:26,0:05:36,0:05:36,,00,04,,,2018/11/9 12:26,2018/11/9 12:37,43413.518055555643413.5256944444,#N/A,,,,
-,-,12,2018/11/9 12:36,167-449-CAKE,11443,乗客アプリWeb（目的地から）,5607,47,5,2,,2018/11/9 12:47,2018/11/9 12:53,35.443908 139.635249,イセザキ・モール,35.456605 139.635327,横浜ベイホテル東急,2018/11/9 12:52,2018/11/9 12:52,2018/11/9 13:06,2018/11/9 13:06,,2018/11/9 12:36,0:06:20,0:12:40,,00,10,,,2018/11/9 12:36,2018/11/9 12:53,43413.52543413.5368055556,#N/A,,,,
-,-,12,2018/11/9 12:39,062-713-BANANA 062-712-BANANA,11444,乗客アプリ（目的地から）,5366,784,4,2,,2018/11/9 12:48,2018/11/9 12:57,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/9 12:50,2018/11/9 12:50,2018/11/9 13:04,2018/11/9 13:04,,2018/11/9 12:39,0:08:41,0:17:22,,00,08,,,2018/11/9 12:39,2018/11/9 12:57,43413.527083333343413.5395833333,#N/A,,,,
-,-,12,2018/11/9 12:40,062-781-BANANA,11445,乗客アプリ（地図から）,1184,45,1,1,,2018/11/9 12:45,2018/11/9 12:56,35.456605 139.635327,横浜ベイホテル東急,35.443073 139.651914,横浜人形の家,2018/11/9 12:50,2018/11/9 12:50,2018/11/9 13:06,2018/11/9 13:11,,2018/11/9 12:40,0:11:27,0:11:27,,00,04,,,2018/11/9 12:40,2018/11/9 12:56,43413.527777777843413.5388888889,肯定的,,,,
-,-,12,2018/11/9 12:40,111-218-SUN,11446,まちかど端末（店舗から）,0,973,3,1,,2018/11/9 12:44,2018/11/9 12:55,35.443704 139.651332,ホテルメルパルク横浜,35.443908 139.635249,イセザキ・モール,2018/11/9 12:48,2018/11/9 12:48,2018/11/9 12:59,2018/11/9 13:03,,2018/11/9 12:40,0:10:29,0:10:29,,00,03,,,2018/11/9 12:40,2018/11/9 12:55,43413.527777777843413.5381944444,#N/A,,,,
-,-,12,2018/11/9 12:41,100-770-SNOW,11447,乗客アプリ（地図から）,5387,745,7,1,,2018/11/9 12:51,2018/11/9 13:06,35.441441 139.648505,横浜中華街朱雀門,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/9 12:56,2018/11/9 12:56,2018/11/9 13:17,2018/11/9 13:17,,2018/11/9 12:41,0:14:20,0:14:20,,00,10,,,2018/11/9 12:41,2018/11/9 13:06,43413.528472222243413.5458333333,#N/A,,,,
-,-,12,2018/11/9 12:41,105-405-SNOW,11448,乗客アプリ（目的地から）,3162,249,2,1,,2018/11/9 12:48,2018/11/9 12:56,35.450554 139.632616,横浜桜木町ワシントンホテル,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/9 12:52,2018/11/9 12:52,2018/11/9 13:04,2018/11/9 13:04,,2018/11/9 12:41,0:08:07,0:08:07,,00,06,,,2018/11/9 12:41,2018/11/9 12:56,43413.528472222243413.5388888889,#N/A,,,,
-,-,12,2018/11/9 12:44,019-664-RED 109-760-SNOW,11453,乗客アプリ（地図から）,5408,845,8,2,,2018/11/9 12:46,2018/11/9 12:53,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/9 12:49,2018/11/9 12:49,2018/11/9 13:00,2018/11/9 13:00,,2018/11/9 12:44,0:07:20,0:14:40,,00,01,,,2018/11/9 12:44,2018/11/9 12:53,43413.530555555643413.5368055556,#N/A,,,,
-,-,12,2018/11/9 12:45,023-658-GREEN,11455,乗客アプリ（地図から）,4323,351,8,1,,2018/11/9 12:55,2018/11/9 13:09,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/9 13:00,2018/11/9 13:00,2018/11/9 13:07,2018/11/9 13:07,,2018/11/9 12:45,0:14:00,0:14:00,,00,10,,,2018/11/9 12:45,2018/11/9 13:09,43413.5312543413.5479166667,#N/A,,,,
-,-,12,2018/11/9 12:49,028-540-GREEN 112-362-SUN,11457,乗客アプリ（地図から）,5574,991,3,2,,2018/11/9 13:03,2018/11/9 13:15,35.441002 139.650809,横浜元町ショッピングストリート,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/9 13:04,2018/11/9 13:04,2018/11/9 13:27,2018/11/9 13:27,,2018/11/9 12:49,0:12:09,0:24:18,,00,14,,,2018/11/9 12:49,2018/11/9 13:15,43413.534027777843413.5520833333,#N/A,,,,
-,-,12,2018/11/9 12:53,028-364-GREEN,11460,まちかど端末（店舗から）,0,959,5,1,,2018/11/9 12:57,2018/11/9 13:03,35.454389 139.630904,横浜ランドマークタワー,35.447541 139.644914,シルク博物館,2018/11/9 13:01,2018/11/9 13:01,2018/11/9 13:13,2018/11/9 13:13,,2018/11/9 12:53,0:06:50,0:06:50,,00,03,,,2018/11/9 12:53,2018/11/9 13:03,43413.536805555643413.54375,#N/A,,,,
-,-,12,2018/11/9 12:55,101-828-SNOW,11461,乗客アプリ（目的地から）,3930,407,6,1,,2018/11/9 13:08,2018/11/9 13:15,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/11/9 13:03,2018/11/9 13:03,2018/11/9 13:11,2018/11/9 13:11,,2018/11/9 12:55,0:06:50,0:06:50,,05,12,,,2018/11/9 12:55,2018/11/9 13:15,43413.538194444443413.5520833333,#N/A,,,,
-,-,12,2018/11/9 12:55,166-647-agekke,11462,乗客アプリ（地図から）,1888,26,4,1,,2018/11/9 13:02,2018/11/9 13:10,35.448801 139.636702,ホテルルートイン横浜馬車道,35.441441 139.648505,横浜中華街朱雀門,2018/11/9 13:07,2018/11/9 13:07,2018/11/9 13:16,2018/11/9 13:16,,2018/11/9 12:55,0:08:54,0:08:54,,00,06,,,2018/11/9 12:55,2018/11/9 13:10,43413.538194444443413.5486111111,#N/A,,,,
★,☆,12,2018/11/9 11:20,065-303-BANANA,11406,まちかど端末（店舗から）,0,975,10,1,2018/11/9 11:21,,,35.443704 139.651332,ホテルメルパルク横浜,35.443908 139.635249,イセザキ・モール,2018/11/9 12:20,,2018/11/9 12:29,,2018/11/9 12:20,2018/11/9 12:20,0:00:00,0:00:00,,00,00,,,2018/11/9 11:20,1900/1/0 0:00,43413.47222222220,#N/A,,,,
★,☆,12,2018/11/9 11:25,027-847-GREEN,11407,乗客アプリ（目的地から）,4033,455,11,1,2018/11/9 11:25,,,35.450447 139.635947,みなとみらい線　馬車道駅,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/9 12:25,,2018/11/9 12:32,,2018/11/9 12:25,2018/11/9 12:25,0:00:00,0:00:00,,00,00,,,2018/11/9 11:25,1900/1/0 0:00,43413.47569444440,#N/A,,,,
-,☆,12,2018/11/9 12:00,006-291-BLUE,11424,乗客アプリ（地図から）,3537,308,9,1,2018/11/9 12:01,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/9 12:08,,2018/11/9 12:19,,,2018/11/9 12:00,0:00:00,0:00:00,,00,08,,,2018/11/9 12:00,1900/1/0 0:00,43413.50,#N/A,,,,
★,☆,12,2018/11/9 12:03,105-606-SNOW,11427,乗客アプリ（地図から）,5335,408,11,1,2018/11/9 12:04,,,35.443908 139.635249,イセザキ・モール,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/9 12:17,,2018/11/9 12:22,,2018/11/9 12:13,2018/11/9 12:13,0:00:00,0:00:00,,00,03,,,2018/11/9 12:03,1900/1/0 0:00,43413.50208333330,#N/A,,,,
-,☆,12,2018/11/9 12:10,063-008-BANANA 021-226-GREEN,11433,乗客アプリ（簡単予約）,5595,145,8,2,2018/11/9 12:12,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/9 12:50,,2018/11/9 13:09,,,2018/11/9 12:10,0:00:00,0:00:00,,00,39,,,2018/11/9 12:10,1900/1/0 0:00,43413.50694444440,#N/A,,,,
-,☆,12,2018/11/9 12:13,009-812-BLUE,11434,乗客アプリ（簡単予約）,2931,549,3,1,2018/11/9 12:14,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/9 12:26,,2018/11/9 12:37,,,2018/11/9 12:13,0:00:00,0:00:00,,00,12,,,2018/11/9 12:13,1900/1/0 0:00,43413.50902777780,#N/A,,,,
★,☆,12,2018/11/9 12:26,024-937-GREEN 024-935-GREEN 024-936-GREEN,11440,まちかど端末（店舗から）,0,476,4,3,2018/11/9 12:27,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/9 12:35,,2018/11/9 12:44,,2018/11/9 12:35,2018/11/9 12:35,0:00:00,0:00:00,,00,00,,,2018/11/9 12:26,1900/1/0 0:00,43413.51805555560,#N/A,,,,
