,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,
★,-,10,2018/11/12 10:12,166-818-agekke,12921,乗客アプリ（目的地から）,2314,636,10,1,,2018/11/12 10:15,2018/11/12 10:20,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/12 10:22,2018/11/12 10:22,2018/11/12 10:30,2018/11/12 10:30,2018/11/12 10:22,2018/11/12 10:22,0:04:43,0:04:43,,00,00,,,2018/11/12 10:12,2018/11/12 10:20,43416.42543416.4305555556,肯定的,,
-,-,10,2018/11/12 10:19,167-556-CAKE,12922,乗客アプリWeb（地図から）,5981,56,3,2,,2018/11/12 10:23,2018/11/12 10:34,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/12 10:23,2018/11/12 10:23,2018/11/12 10:35,2018/11/12 10:35,,2018/11/12 10:19,0:10:48,0:21:36,,00,04,,,2018/11/12 10:19,2018/11/12 10:34,43416.429861111143416.4402777778,#N/A,,
-,-,10,2018/11/12 10:24,063-109-BANANA 063-540-BANANA,12925,乗客アプリ（目的地から）,5983,175,13,2,,2018/11/12 10:31,2018/11/12 10:36,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/12 10:29,2018/11/12 10:29,2018/11/12 10:35,2018/11/12 10:35,,2018/11/12 10:24,0:04:29,0:08:58,,02,07,,,2018/11/12 10:24,2018/11/12 10:36,43416.433333333343416.4416666667,肯定的,,
-,-,10,2018/11/12 10:26,167-536-CAKE,12926,乗客アプリWeb（地図から）,5897,364,2,3,,2018/11/12 10:30,2018/11/12 10:40,35.453715 139.638133,横浜ワールドポーターズ,35.443073 139.651914,横浜人形の家,2018/11/12 10:28,2018/11/12 10:28,2018/11/12 10:43,2018/11/12 10:43,,2018/11/12 10:26,0:10:21,0:31:03,,01,03,,,2018/11/12 10:26,2018/11/12 10:40,43416.434722222243416.4444444444,#N/A,,
-,-,10,2018/11/12 10:27,063-091-BANANA 063-755-BANANA,12927,乗客アプリ（地図から）,5936,254,6,2,,2018/11/12 10:29,2018/11/12 10:41,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/12 10:30,2018/11/12 10:30,2018/11/12 10:45,2018/11/12 10:45,,2018/11/12 10:27,0:11:25,0:22:50,,00,01,,,2018/11/12 10:27,2018/11/12 10:41,43416.435416666743416.4451388889,肯定的,,
-,-,10,2018/11/12 10:30,062-867-BANANA 062-868-BANANA,12928,乗客アプリ（地図から）,3338,1000,4,2,,2018/11/12 10:32,2018/11/12 10:37,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443659 139.650847,横浜マリンタワー,2018/11/12 10:32,2018/11/12 10:32,2018/11/12 10:39,2018/11/12 10:39,,2018/11/12 10:30,0:05:51,0:11:42,,00,01,,,2018/11/12 10:30,2018/11/12 10:37,43416.437543416.4423611111,#N/A,,
-,-,10,2018/11/12 10:34,103-566-SNOW 113-957-SUN 103-565-SNOW,12929,乗客アプリ（目的地から）,5977,945,3,3,,2018/11/12 10:41,2018/11/12 10:49,35.443908 139.635249,イセザキ・モール,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/12 10:41,2018/11/12 10:41,2018/11/12 10:54,2018/11/12 10:54,,2018/11/12 10:34,0:07:58,0:23:54,,00,07,,,2018/11/12 10:34,2018/11/12 10:49,43416.440277777843416.4506944444,肯定的,,
-,-,10,2018/11/12 10:44,050-537-STRAWBERRY,12932,乗客アプリ（地図から）,5976,286,13,1,,2018/11/12 10:48,2018/11/12 10:59,35.445857 139.647636,ホテルモントレ横浜,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/12 10:47,2018/11/12 10:47,2018/11/12 11:01,2018/11/12 11:01,,2018/11/12 10:44,0:11:36,0:11:36,,01,03,,,2018/11/12 10:44,2018/11/12 10:59,43416.447222222243416.4576388889,#N/A,,
-,-,10,2018/11/12 10:46,167-558-CAKE,12934,乗客アプリWeb（地図から）,5984,636,7,2,,2018/11/12 10:56,2018/11/12 11:02,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/12 10:52,2018/11/12 10:52,2018/11/12 11:01,2018/11/12 11:01,,2018/11/12 10:46,0:06:34,0:13:08,,04,10,,,2018/11/12 10:46,2018/11/12 11:02,43416.448611111143416.4597222222,肯定的,,
-,-,10,2018/11/12 10:46,067-840-BANANA 067-841-BANANA 067-021-BANANA,12935,乗客アプリ（目的地から）,2490,865,2,3,,2018/11/12 10:51,2018/11/12 11:05,35.443704 139.651332,ホテルメルパルク横浜,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/12 10:51,2018/11/12 10:51,2018/11/12 11:10,2018/11/12 11:10,,2018/11/12 10:46,0:13:35,0:40:45,,00,04,,,2018/11/12 10:46,2018/11/12 11:05,43416.448611111143416.4618055556,肯定的,,
