,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,
-,-,11,2018/11/12 11:23,051-284-STRAWBERRY 051-283-STRAWBERRY,12953,乗客アプリ（目的地から）,5988,973,3,2,,2018/11/12 11:23,2018/11/12 11:32,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/12 11:30,2018/11/12 11:30,2018/11/12 11:43,2018/11/12 11:43,,2018/11/12 11:23,0:09:12,0:18:24,,00,00,,,2018/11/12 11:23,2018/11/12 11:32,43416.474305555643416.4805555556,肯定的,,
-,-,11,2018/11/12 11:26,166-605-agekke,12955,乗客アプリ（地図から）,2051,575,5,1,,2018/11/12 11:30,2018/11/12 11:36,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/12 11:30,2018/11/12 11:30,2018/11/12 11:38,2018/11/12 11:38,,2018/11/12 11:26,0:05:48,0:05:48,,00,03,,,2018/11/12 11:26,2018/11/12 11:36,43416.476388888943416.4833333333,肯定的,,
-,-,11,2018/11/12 11:27,166-750-agekke,12956,乗客アプリ（目的地から）,3162,457,8,1,,2018/11/12 11:37,2018/11/12 11:52,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/12 11:33,2018/11/12 11:34,2018/11/12 11:46,2018/11/12 11:53,,2018/11/12 11:27,0:15:33,0:15:33,,03,09,,,2018/11/12 11:27,2018/11/12 11:52,43416.477083333343416.4944444444,#N/A,,
-,-,11,2018/11/12 11:28,055-204-STRAWBERRY 068-222-BANANA 068-223-BANANA,12957,まちかど端末（乗降ポイントから）,0,61,10,3,,2018/11/12 11:34,2018/11/12 11:43,35.456605 139.635327,横浜ベイホテル東急,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/12 11:36,2018/11/12 11:36,2018/11/12 11:45,2018/11/12 11:45,,2018/11/12 11:28,0:08:37,0:25:51,,00,05,,,2018/11/12 11:28,2018/11/12 11:43,43416.477777777843416.4881944444,#N/A,,
-,-,11,2018/11/12 11:28,068-390-BANANA 068-395-BANANA 068-392-BANANA,12958,乗客アプリ（目的地から）,5990,169,4,3,,2018/11/12 11:32,2018/11/12 11:35,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443908 139.635249,イセザキ・モール,2018/11/12 11:30,2018/11/12 11:30,2018/11/12 11:37,2018/11/12 11:37,,2018/11/12 11:28,0:03:38,0:10:54,,01,03,,,2018/11/12 11:28,2018/11/12 11:35,43416.477777777843416.4826388889,#N/A,,
-,-,11,2018/11/12 11:30,063-109-BANANA 063-540-BANANA,12959,乗客アプリ（目的地から）,5983,889,11,2,,2018/11/12 11:39,2018/11/12 11:50,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/12 11:36,2018/11/12 11:36,2018/11/12 11:42,2018/11/12 11:44,,2018/11/12 11:30,0:11:37,0:23:14,,02,08,,,2018/11/12 11:30,2018/11/12 11:50,43416.479166666743416.4930555556,#N/A,,
-,-,11,2018/11/12 11:31,020-258-GREEN 020-257-GREEN,12960,乗客アプリ（地図から）,4719,783,8,2,,2018/11/12 11:37,2018/11/12 11:46,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.448676 139.635696,横浜平和プラザホテル,2018/11/12 11:35,2018/11/12 11:35,2018/11/12 11:45,2018/11/12 11:45,,2018/11/12 11:31,0:08:55,0:17:50,,02,06,,,2018/11/12 11:31,2018/11/12 11:46,43416.479861111143416.4902777778,肯定的,,
-,-,11,2018/11/12 11:31,066-672-BANANA 068-205-BANANA,12961,まちかど端末（乗降ポイントから）,0,863,6,2,,2018/11/12 11:37,2018/11/12 11:48,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/12 11:41,2018/11/12 11:41,2018/11/12 11:53,2018/11/12 11:53,,2018/11/12 11:31,0:11:15,0:22:30,,00,06,,,2018/11/12 11:31,2018/11/12 11:48,43416.479861111143416.4916666667,#N/A,,
-,-,11,2018/11/12 11:32,166-613-agekke,12962,まちかど端末（乗降ポイントから）,0,370,9,1,,2018/11/12 11:38,2018/11/12 12:05,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.441441 139.648505,横浜中華街朱雀門,2018/11/12 11:42,2018/11/12 11:42,2018/11/12 11:57,2018/11/12 11:59,,2018/11/12 11:32,0:26:31,0:26:31,,00,06,,,2018/11/12 11:32,2018/11/12 12:05,43416.480555555643416.5034722222,肯定的,,
-,-,11,2018/11/12 11:32,115-685-SUN,12963,乗客アプリ（地図から）,1310,163,7,1,,2018/11/12 11:40,2018/11/12 11:46,35.456605 139.635327,横浜ベイホテル東急,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/12 11:43,2018/11/12 11:43,2018/11/12 11:51,2018/11/12 11:51,,2018/11/12 11:32,0:05:50,0:05:50,,00,08,,,2018/11/12 11:32,2018/11/12 11:46,43416.480555555643416.4902777778,#N/A,,
-,-,11,2018/11/12 11:33,167-562-CAKE,12964,乗客アプリWeb（地図から）,5992,788,13,1,,2018/11/12 11:41,2018/11/12 11:47,35.450554 139.632616,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/11/12 11:41,2018/11/12 11:41,2018/11/12 11:49,2018/11/12 11:49,,2018/11/12 11:33,0:05:38,0:05:38,,00,07,,,2018/11/12 11:33,2018/11/12 11:47,43416.4812543416.4909722222,#N/A,,
★,-,11,2018/11/12 11:39,009-745-BLUE 009-744-BLUE,12966,乗客アプリ（地図から）,2517,572,9,2,,2018/11/12 11:48,2018/11/12 11:56,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443908 139.635249,イセザキ・モール,2018/11/12 11:49,2018/11/12 11:49,2018/11/12 11:58,2018/11/12 11:58,2018/11/12 11:49,2018/11/12 11:49,0:07:24,0:14:48,,00,00,,,2018/11/12 11:39,2018/11/12 11:56,43416.485416666743416.4972222222,#N/A,,
-,-,11,2018/11/12 11:40,166-818-agekke,12967,乗客アプリ（目的地から）,2314,359,11,1,,2018/11/12 11:55,2018/11/12 12:02,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.445857 139.647636,ホテルモントレ横浜,2018/11/12 11:47,2018/11/12 11:47,2018/11/12 11:52,2018/11/12 11:52,,2018/11/12 11:40,0:07:07,0:07:07,,07,15,,,2018/11/12 11:40,2018/11/12 12:02,43416.486111111143416.5013888889,#N/A,,
-,-,11,2018/11/12 11:44,009-080-BLUE,12968,乗客アプリ（地図から）,3880,20,10,1,,2018/11/12 11:46,2018/11/12 12:09,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/12 11:45,2018/11/12 11:45,2018/11/12 11:57,2018/11/12 11:57,,2018/11/12 11:44,0:22:43,0:22:43,,01,02,,,2018/11/12 11:44,2018/11/12 12:09,43416.488888888943416.50625,#N/A,,
-,-,11,2018/11/12 11:45,102-815-SNOW,12969,まちかど端末（乗降ポイントから）,0,644,8,1,,2018/11/12 11:53,2018/11/12 11:59,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443073 139.651914,横浜人形の家,2018/11/12 11:54,2018/11/12 11:54,2018/11/12 12:01,2018/11/12 12:01,,2018/11/12 11:45,0:06:04,0:06:04,,00,07,,,2018/11/12 11:45,2018/11/12 11:59,43416.489583333343416.4993055556,#N/A,,
★,-,11,2018/11/12 11:49,021-327-GREEN,12970,乗客アプリ（地図から）,1269,957,10,1,,2018/11/12 11:55,2018/11/12 12:01,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/12 11:59,2018/11/12 11:59,2018/11/12 12:05,2018/11/12 12:05,2018/11/12 11:59,2018/11/12 11:59,0:05:53,0:05:53,,00,00,,,2018/11/12 11:49,2018/11/12 12:01,43416.492361111143416.5006944444,#N/A,,
-,-,11,2018/11/12 11:51,018-162-RED,12971,まちかど端末（乗降ポイントから）,0,934,7,1,,2018/11/12 12:02,2018/11/12 12:13,35.443704 139.651332,ホテルメルパルク横浜,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/12 11:58,2018/11/12 11:58,2018/11/12 12:14,2018/11/12 12:14,,2018/11/12 11:51,0:11:39,0:11:39,,04,11,,,2018/11/12 11:51,2018/11/12 12:13,43416.4937543416.5090277778,#N/A,,
-,-,11,2018/11/12 11:55,070-206-ORANGE,12972,乗客アプリ（地図から）,1103,891,8,1,,2018/11/12 12:03,2018/11/12 12:09,35.443704 139.651332,ホテルメルパルク横浜,35.453715 139.638133,横浜ワールドポーターズ,2018/11/12 12:02,2018/11/12 12:02,2018/11/12 12:13,2018/11/12 12:13,,2018/11/12 11:55,0:05:36,0:05:36,,00,08,,,2018/11/12 11:55,2018/11/12 12:09,43416.496527777843416.50625,#N/A,,
-,-,11,2018/11/12 11:58,068-224-BANANA,12973,まちかど端末（店舗から）,0,496,13,1,,2018/11/12 12:07,2018/11/12 12:16,35.456605 139.635327,横浜ベイホテル東急,35.447541 139.644914,シルク博物館,2018/11/12 12:07,2018/11/12 12:07,2018/11/12 12:16,2018/11/12 12:16,,2018/11/12 11:58,0:08:47,0:08:47,,00,08,,,2018/11/12 11:58,2018/11/12 12:16,43416.498611111143416.5111111111,#N/A,,
★,☆,11,2018/11/12 11:08,065-245-BANANA 065-241-BANANA,12945,乗客アプリ（地図から）,4542,19,2,2,2018/11/12 11:17,,,35.456605 139.635327,横浜ベイホテル東急,35.445857 139.647636,ホテルモントレ横浜,2018/11/12 11:18,,2018/11/12 11:29,,2018/11/12 11:18,2018/11/12 11:18,0:00:00,0:00:00,,00,00,,,2018/11/12 11:08,1900/1/0 0:00,43416.46388888890,#N/A,※67行と同一人物と思われるため一番短い待ち時間を採用,
-,☆,11,2018/11/12 11:13,051-284-STRAWBERRY,12947,乗客アプリ（地図から）,5988,116,5,1,2018/11/12 11:14,,,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/12 11:19,,2018/11/12 11:31,,,2018/11/12 11:13,0:00:00,0:00:00,,00,05,,,2018/11/12 11:13,1900/1/0 0:00,43416.46736111110,#N/A,※66行と同一人物と思われるため一番短い待ち時間を採用,
-,☆,11,2018/11/12 11:15,051-284-STRAWBERRY,12948,乗客アプリ（地図から）,5988,245,3,1,2018/11/12 11:22,,,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/12 11:21,,2018/11/12 11:33,,,2018/11/12 11:15,0:00:00,0:00:00,,00,,,,2018/11/12 11:15,1900/1/0 0:00,43416.468750,#N/A,※65行と同一人物と思われるため一番短い待ち時間を採用,
-,☆,11,2018/11/12 11:17,065-245-BANANA 065-241-BANANA,12949,乗客アプリ（地図から）,4542,508,13,2,2018/11/12 11:25,,,35.456605 139.635327,横浜ベイホテル東急,35.445857 139.647636,ホテルモントレ横浜,2018/11/12 11:24,,2018/11/12 11:36,,,2018/11/12 11:17,0:00:00,0:00:00,,00,,,,2018/11/12 11:17,1900/1/0 0:00,43416.47013888890,#N/A,※64行と同一人物と思われるため一番短い待ち時間を採用,
-,☆,11,2018/11/12 11:25,003-346-BLUE,12954,まちかど端末（店舗から）,0,181,6,1,2018/11/12 11:25,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/12 11:27,,2018/11/12 11:36,,,2018/11/12 11:25,0:00:00,0:00:00,,00,02,,,2018/11/12 11:25,1900/1/0 0:00,43416.47569444440,#N/A,,
-,☆,11,2018/11/12 11:37,062-867-BANANA,12965,乗客アプリ（地図から）,3338,111,9,1,2018/11/12 11:37,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/12 11:42,,2018/11/12 11:45,,,2018/11/12 11:37,0:00:00,0:00:00,,00,05,,,2018/11/12 11:37,1900/1/0 0:00,43416.48402777780,#N/A,,
-,-,12,2018/11/12 12:00,050-536-STRAWBERRY 050-535-STRAWBERRY,12974,まちかど端末（店舗から）,0,181,1,2,,2018/11/12 12:19,2018/11/12 12:46,35.445857 139.647636,ホテルモントレ横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/12 12:17,2018/11/12 12:20,2018/11/12 12:31,2018/11/12 12:39,,2018/11/12 12:00,0:26:34,0:53:08,345,01,19,12,07,2018/11/12 12:00,2018/11/12 12:46,43416.543416.5319444444,#N/A,,
-,-,12,2018/11/12 12:04,166-605-agekke,12975,乗客アプリ（地図から）,2051,484,10,1,,2018/11/12 12:10,2018/11/12 12:16,35.443908 139.635249,イセザキ・モール,35.454389 139.630904,横浜ランドマークタワー,2018/11/12 12:12,2018/11/12 12:12,2018/11/12 12:25,2018/11/12 12:25,,2018/11/12 12:04,0:06:06,0:06:06,,00,05,,,2018/11/12 12:04,2018/11/12 12:16,43416.502777777843416.5111111111,#N/A,,
-,-,12,2018/11/12 12:07,027-108-GREEN 032-022-YELLOW,12977,まちかど端末（乗降ポイントから）,0,185,9,2,,2018/11/12 12:11,2018/11/12 12:18,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/12 12:09,2018/11/12 12:09,2018/11/12 12:21,2018/11/12 12:21,,2018/11/12 12:07,0:07:07,0:14:14,,01,03,,,2018/11/12 12:07,2018/11/12 12:18,43416.504861111143416.5125,#N/A,,
-,-,12,2018/11/12 12:08,166-750-agekke,12978,まちかど端末（乗降ポイントから）,0,768,2,1,,2018/11/12 12:15,2018/11/12 12:41,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.456605 139.635327,横浜ベイホテル東急,2018/11/12 12:13,2018/11/12 12:14,2018/11/12 12:33,2018/11/12 12:45,,2018/11/12 12:08,0:25:50,0:25:50,,02,07,,,2018/11/12 12:08,2018/11/12 12:41,43416.505555555643416.5284722222,#N/A,,
-,-,12,2018/11/12 12:09,166-681-agekke,12979,乗客アプリ（地図から）,1888,656,4,1,,2018/11/12 12:26,2018/11/12 12:32,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/12 12:25,2018/11/12 12:29,2018/11/12 12:37,2018/11/12 12:40,,2018/11/12 12:09,0:06:17,0:06:17,,00,16,,,2018/11/12 12:09,2018/11/12 12:32,43416.5062543416.5222222222,#N/A,,
-,-,12,2018/11/12 12:10,061-130-BANANA 050-514-STRAWBERRY,12980,まちかど端末（店舗から）,0,607,13,2,,2018/11/12 12:24,2018/11/12 12:33,35.445857 139.647636,ホテルモントレ横浜,35.454389 139.630904,横浜ランドマークタワー,2018/11/12 12:22,2018/11/12 12:22,2018/11/12 12:40,2018/11/12 12:40,,2018/11/12 12:10,0:09:02,0:18:04,,02,14,,,2018/11/12 12:10,2018/11/12 12:33,43416.506944444443416.5229166667,#N/A,,
-,-,12,2018/11/12 12:12,166-613-agekke,12981,乗客アプリ（地図から）,3744,474,1,1,,2018/11/12 12:45,2018/11/12 12:55,35.441441 139.648505,横浜中華街朱雀門,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/12 12:24,2018/11/12 12:24,2018/11/12 12:52,2018/11/12 13:02,,2018/11/12 12:12,0:10:20,0:10:20,,20,32,,,2018/11/12 12:12,2018/11/12 12:55,43416.508333333343416.5381944444,#N/A,,
-,-,12,2018/11/12 12:13,102-815-SNOW,12982,まちかど端末（店舗から）,0,911,2,1,,2018/11/12 12:20,2018/11/12 12:30,35.443704 139.651332,ホテルメルパルク横浜,35.443908 139.635249,イセザキ・モール,2018/11/12 12:21,2018/11/12 12:21,2018/11/12 12:33,2018/11/12 12:33,,2018/11/12 12:13,0:09:21,0:09:21,,00,07,,,2018/11/12 12:13,2018/11/12 12:30,43416.509027777843416.5208333333,#N/A,,
-,-,12,2018/11/12 12:18,167-536-CAKE,12983,乗客アプリWeb（地図から）,5897,974,3,3,,2018/11/12 12:47,2018/11/12 12:47,35.441002 139.650809,横浜元町ショッピングストリート,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/12 12:37,2018/11/12 12:37,2018/11/12 12:54,2018/11/12 12:54,,2018/11/12 12:18,0:00:14,0:00:42,,09,28,,,2018/11/12 12:18,2018/11/12 12:47,43416.512543416.5326388889,#N/A,,
-,-,12,2018/11/12 12:23,003-349-BLUE,12986,まちかど端末（店舗から）,0,111,11,1,,2018/11/12 12:28,2018/11/12 12:36,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.443908 139.635249,イセザキ・モール,2018/11/12 12:33,2018/11/12 12:33,2018/11/12 12:44,2018/11/12 12:44,,2018/11/12 12:23,0:08:07,0:08:07,,00,05,,,2018/11/12 12:23,2018/11/12 12:36,43416.515972222243416.525,#N/A,,
-,-,12,2018/11/12 12:28,020-258-GREEN 020-257-GREEN,12987,乗客アプリ（地図から）,4719,807,2,2,,2018/11/12 12:36,2018/11/12 12:48,35.448676 139.635696,横浜平和プラザホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/12 12:36,2018/11/12 12:36,2018/11/12 12:56,2018/11/12 12:56,,2018/11/12 12:28,0:12:43,0:25:26,,00,07,,,2018/11/12 12:28,2018/11/12 12:48,43416.519444444443416.5333333333,#N/A,,
-,-,12,2018/11/12 12:32,068-390-BANANA 068-395-BANANA 068-392-BANANA,12989,乗客アプリ（目的地から）,5990,779,6,3,,2018/11/12 12:41,2018/11/12 12:50,35.443908 139.635249,イセザキ・モール,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/12 12:42,2018/11/12 12:42,2018/11/12 12:51,2018/11/12 12:48,,2018/11/12 12:32,0:08:43,0:26:09,,00,08,,,2018/11/12 12:32,2018/11/12 12:50,43416.522222222243416.5347222222,#N/A,,
-,-,12,2018/11/12 12:33,064-698-BANANA 064-482-BANANA,12990,まちかど端末（乗降ポイントから）,0,84,4,2,,2018/11/12 12:39,2018/11/12 12:55,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443073 139.651914,横浜人形の家,2018/11/12 12:40,2018/11/12 12:40,2018/11/12 12:58,2018/11/12 12:58,,2018/11/12 12:33,0:16:45,0:33:30,,00,05,,,2018/11/12 12:33,2018/11/12 12:55,43416.522916666743416.5381944444,#N/A,,
-,-,12,2018/11/12 12:33,167-554-CAKE,12991,乗客アプリWeb（簡単予約）,5600,821,2,1,,2018/11/12 12:56,2018/11/12 13:09,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/12 13:01,2018/11/12 13:01,2018/11/12 13:19,2018/11/12 13:19,,2018/11/12 12:33,0:13:06,0:13:06,,00,22,,,2018/11/12 12:33,2018/11/12 13:09,43416.522916666743416.5479166667,#N/A,,
-,-,12,2018/11/12 12:41,031-442-YELLOW,12992,まちかど端末（店舗から）,0,756,6,1,,2018/11/12 12:59,2018/11/12 13:07,35.454389 139.630904,横浜ランドマークタワー,35.443659 139.650847,横浜マリンタワー,2018/11/12 13:05,2018/11/12 13:05,2018/11/12 13:20,2018/11/12 13:20,,2018/11/12 12:41,0:08:54,0:08:54,,00,17,,,2018/11/12 12:41,2018/11/12 13:07,43416.528472222243416.5465277778,#N/A,,
★,-,12,2018/11/12 12:42,007-299-BLUE,12993,乗客アプリ（地図から）,2082,593,4,1,,2018/11/12 12:48,2018/11/12 13:07,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.456605 139.635327,横浜ベイホテル東急,2018/11/12 12:52,2018/11/12 12:52,2018/11/12 13:26,2018/11/12 13:26,2018/11/12 12:52,2018/11/12 12:52,0:18:16,0:18:16,,00,00,,,2018/11/12 12:42,2018/11/12 13:07,43416.529166666743416.5465277778,#N/A,,
-,-,12,2018/11/12 12:44,064-137-BANANA 064-138-BANANA 064-139-BANANA,12994,まちかど端末（店舗から）,0,112,11,3,,2018/11/12 13:17,2018/11/12 13:24,35.450554 139.632616,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/11/12 13:20,2018/11/12 13:20,2018/11/12 13:31,2018/11/12 13:31,,2018/11/12 12:44,0:06:48,0:20:24,,00,33,,,2018/11/12 12:44,2018/11/12 13:24,43416.530555555643416.5583333333,#N/A,,
-,-,12,2018/11/12 12:51,050-537-STRAWBERRY,12995,乗客アプリ（地図から）,5976,22,7,1,,2018/11/12 13:01,2018/11/12 13:12,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.445857 139.647636,ホテルモントレ横浜,2018/11/12 12:56,2018/11/12 12:56,2018/11/12 13:12,2018/11/12 13:12,,2018/11/12 12:51,0:11:20,0:11:20,,04,10,,,2018/11/12 12:51,2018/11/12 13:12,43416.535416666743416.55,#N/A,,
-,-,12,2018/11/12 12:54,018-649-RED 018-868-RED,12996,まちかど端末（店舗から）,0,667,3,2,,2018/11/12 13:01,2018/11/12 13:09,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/12 13:05,2018/11/12 13:05,2018/11/12 13:16,2018/11/12 13:16,,2018/11/12 12:54,0:07:49,0:15:38,,00,06,,,2018/11/12 12:54,2018/11/12 13:09,43416.537543416.5479166667,#N/A,,
-,-,12,2018/11/12 12:57,110-543-SUN,12997,乗客アプリ（簡単予約）,3545,758,5,1,,2018/11/12 13:04,2018/11/12 13:17,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.454389 139.630904,横浜ランドマークタワー,2018/11/12 13:06,2018/11/12 13:06,2018/11/12 13:24,2018/11/12 13:24,,2018/11/12 12:57,0:12:19,0:12:19,,00,07,,,2018/11/12 12:57,2018/11/12 13:17,43416.539583333343416.5534722222,#N/A,,
-,-,12,2018/11/12 12:57,166-681-agekke,12998,まちかど端末（乗降ポイントから）,0,724,1,1,,2018/11/12 13:03,2018/11/12 13:11,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/12 13:02,2018/11/12 13:02,2018/11/12 13:16,2018/11/12 13:16,,2018/11/12 12:57,0:08:23,0:08:23,,01,05,,,2018/11/12 12:57,2018/11/12 13:11,43416.539583333343416.5493055556,#N/A,,
-,☆,12,2018/11/12 12:07,167-565-CAKE,12976,乗客アプリWeb（地図から）,6000,552,2,1,2018/11/12 12:07,,,35.443908 139.635249,イセザキ・モール,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/12 12:16,,2018/11/12 12:32,,,2018/11/12 12:07,0:00:00,0:00:00,,00,08,,,2018/11/12 12:07,1900/1/0 0:00,43416.50486111110,#N/A,,
-,☆,12,2018/11/12 12:19,007-606-BLUE 018-481-RED,12984,まちかど端末（店舗から）,0,3,4,2,2018/11/12 12:19,,,35.452963 139.642093,横浜赤レンガ倉庫,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/12 12:48,,2018/11/12 13:01,,,2018/11/12 12:19,0:00:00,0:00:00,,00,29,,,2018/11/12 12:19,1900/1/0 0:00,43416.51319444440,#N/A,,
-,☆,12,2018/11/12 12:20,105-665-SNOW,12985,乗客アプリ（地図から）,2535,841,1,1,2018/11/12 12:20,,,35.443659 139.650847,横浜マリンタワー,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/12 12:28,,2018/11/12 12:34,,,2018/11/12 12:20,0:00:00,0:00:00,,00,07,,,2018/11/12 12:20,1900/1/0 0:00,43416.51388888890,#N/A,,
-,☆,12,2018/11/12 12:31,068-395-BANANA,12988,乗客アプリ（目的地から）,5990,245,11,1,2018/11/12 12:31,,,35.443908 139.635249,イセザキ・モール,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/12 12:37,,2018/11/12 12:44,,,2018/11/12 12:31,0:00:00,0:00:00,,00,06,,,2018/11/12 12:31,1900/1/0 0:00,43416.52152777780,#N/A,,
-,-,13,2018/11/12 13:01,166-818-agekke,12999,乗客アプリ（目的地から）,2314,894,9,1,,2018/11/12 13:07,2018/11/12 13:17,35.447541 139.644914,シルク博物館,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/12 13:05,2018/11/12 13:05,2018/11/12 13:10,2018/11/12 13:10,,2018/11/12 13:01,0:09:46,0:09:46,327,01,05,04,04,2018/11/12 13:01,2018/11/12 13:17,43416.542361111143416.5534722222,#N/A,,
-,-,13,2018/11/12 13:04,104-508-SNOW,13001,乗客アプリ（地図から）,1706,68,8,1,,2018/11/12 13:10,2018/11/12 13:18,35.443908 139.635249,イセザキ・モール,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/12 13:10,2018/11/12 13:10,2018/11/12 13:22,2018/11/12 13:22,,2018/11/12 13:04,0:08:28,0:08:28,,00,05,,,2018/11/12 13:04,2018/11/12 13:18,43416.544444444443416.5541666667,#N/A,,
-,-,13,2018/11/12 13:09,019-169-RED,13002,まちかど端末（店舗から）,0,192,4,1,,2018/11/12 13:12,2018/11/12 13:16,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/12 13:13,2018/11/12 13:13,2018/11/12 13:21,2018/11/12 13:21,,2018/11/12 13:09,0:04:23,0:04:23,,00,02,,,2018/11/12 13:09,2018/11/12 13:16,43416.547916666743416.5527777778,#N/A,,
-,-,13,2018/11/12 13:13,018-873-RED 018-871-RED 018-870-RED 018-869-RED 018-872-RED,13004,まちかど端末（乗降ポイントから）,0,211,6,5,,2018/11/12 13:19,2018/11/12 13:32,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.441441 139.648505,横浜中華街朱雀門,2018/11/12 13:25,2018/11/12 13:25,2018/11/12 13:49,2018/11/12 13:49,,2018/11/12 13:13,0:12:47,1:03:55,,00,06,,,2018/11/12 13:13,2018/11/12 13:32,43416.550694444443416.5638888889,#N/A,,
-,-,13,2018/11/12 13:17,103-617-SNOW,13005,まちかど端末（店舗から）,0,344,4,1,,2018/11/12 13:21,2018/11/12 13:27,35.450447 139.635947,みなとみらい線　馬車道駅,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/12 13:22,2018/11/12 13:22,2018/11/12 13:34,2018/11/12 13:34,,2018/11/12 13:17,0:05:49,0:05:49,,00,04,,,2018/11/12 13:17,2018/11/12 13:27,43416.553472222243416.5604166667,#N/A,,
-,-,13,2018/11/12 13:23,109-217-SNOW,13007,乗客アプリ（簡単予約）,2337,877,2,1,,2018/11/12 13:28,2018/11/12 13:36,35.456605 139.635327,横浜ベイホテル東急,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/12 13:30,2018/11/12 13:30,2018/11/12 13:43,2018/11/12 13:43,,2018/11/12 13:23,0:07:37,0:07:37,,00,05,,,2018/11/12 13:23,2018/11/12 13:36,43416.557638888943416.5666666667,#N/A,,
