,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
★,-,10,2018/12/2 9:45,077-417-ORANGE 077-418-ORANGE 077-416-ORANGE,23431,乗客アプリ（地図から）,7989,630,8,3,,2018/12/2 10:10,2018/12/2 10:18,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/2 10:12,2018/12/2 10:12,2018/12/2 10:25,2018/12/2 10:25,2018/12/2 9:55,2018/12/2 9:55,0:08:49,0:26:27,571,00,10,03,02,,2018/12/2 10:00,※10時以前に予約しているため,
★,-,10,2018/12/2 9:58,028-136-GREEN,23432,乗客アプリ（地図から）,3738,809,1,1,,2018/12/2 10:09,2018/12/2 10:20,35.441002 139.650809,横浜元町ショッピングストリート,35.45435 139.631762,横浜ロイヤルパークホテル,2018/12/2 10:14,2018/12/2 10:14,2018/12/2 10:29,2018/12/2 10:29,2018/12/2 10:08,2018/12/2 10:08,0:11:16,0:11:16,,00,01,,,,2018/12/2 10:00,※10時以前に予約しているため,
-,-,10,2018/12/2 10:00,117-127-SUN,23434,乗客アプリ（Myルートから）,6060,822,7,1,,2018/12/2 10:06,2018/12/2 10:12,35.450554 139.632616,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/12/2 10:05,2018/12/2 10:06,2018/12/2 10:13,2018/12/2 10:18,,2018/12/2 10:00,0:06:01,0:06:01,,00,05,,,,,,
-,-,10,2018/12/2 10:00,000-529-BLUE,23435,乗客アプリ（地図から）,4852,380,4,1,,2018/12/2 10:06,2018/12/2 10:10,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/2 10:06,2018/12/2 10:06,2018/12/2 10:13,2018/12/2 10:13,,2018/12/2 10:00,0:04:40,0:04:40,,00,05,,,,,,
-,-,10,2018/12/2 10:02,035-961-YELLOW,23437,まちかど端末（乗降ポイントから）,0,691,10,1,,2018/12/2 10:04,2018/12/2 10:14,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/12/2 10:04,2018/12/2 10:04,2018/12/2 10:18,2018/12/2 10:18,,2018/12/2 10:02,0:09:20,0:09:20,,00,02,,,,,,
-,-,10,2018/12/2 10:04,022-888-GREEN,23438,乗客アプリ（Myルートから）,3457,810,12,1,,2018/12/2 10:07,2018/12/2 10:11,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/2 10:06,2018/12/2 10:06,2018/12/2 10:12,2018/12/2 10:12,,2018/12/2 10:04,0:03:50,0:03:50,,01,02,,,,,,
-,-,10,2018/12/2 10:05,022-567-GREEN 022-566-GREEN,23439,乗客アプリ（地図から）,4834,140,3,2,,2018/12/2 10:07,2018/12/2 10:14,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/12/2 10:06,2018/12/2 10:06,2018/12/2 10:15,2018/12/2 10:15,,2018/12/2 10:05,0:07:20,0:14:40,,01,02,,,,,,
-,-,10,2018/12/2 10:05,166-374-agekke,23440,乗客アプリ（地図から）,5522,955,15,1,,2018/12/2 10:07,2018/12/2 10:11,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/12/2 10:07,2018/12/2 10:07,2018/12/2 10:13,2018/12/2 10:13,,2018/12/2 10:05,0:04:37,0:04:37,,00,01,,,,,,
-,-,10,2018/12/2 10:05,166-411-agekke,23441,乗客アプリ（地図から）,1885,35,2,1,,2018/12/2 10:07,2018/12/2 10:16,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/12/2 10:08,2018/12/2 10:08,2018/12/2 10:19,2018/12/2 10:19,,2018/12/2 10:05,0:08:57,0:08:57,,00,01,,,,,,
-,-,10,2018/12/2 10:07,076-268-ORANGE 075-928-ORANGE,23442,まちかど端末（店舗から）,0,413,11,2,,2018/12/2 10:13,2018/12/2 10:20,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443659 139.650847,横浜マリンタワー,2018/12/2 10:14,2018/12/2 10:14,2018/12/2 10:25,2018/12/2 10:25,,2018/12/2 10:07,0:06:26,0:12:52,,00,06,,,,,,
