,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
-,-,10,2018/11/23 9:34,117-586-SUN 117-585-SUN,18088,乗客アプリ（目的地から）,4860,218,2,2,,2018/11/23 9:59,2018/11/23 10:09,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/23 10:05,2018/11/23 10:05,2018/11/23 10:16,2018/11/23 10:29,,2018/11/23 9:34,0:09:08,0:18:16,462,00,00,04,03,,2018/11/23 10:00,※10時以前に予約しているため,
-,-,10,2018/11/23 9:43,018-956-RED 003-720-BLUE 018-955-RED,18091,乗客アプリ（目的地から）,7009,279,5,3,,2018/11/23 10:01,2018/11/23 10:08,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/23 10:05,2018/11/23 10:05,2018/11/23 10:15,2018/11/23 10:15,,2018/11/23 9:43,0:06:27,0:19:21,,00,01,,,,2018/11/23 10:00,※10時以前に予約しているため,
★,-,10,2018/11/23 9:51,026-879-GREEN,18092,乗客アプリ（地図から）,3738,201,13,1,,2018/11/23 10:05,2018/11/23 10:31,35.441002 139.650809,横浜元町ショッピングストリート,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/23 10:08,2018/11/23 10:08,2018/11/23 10:23,2018/11/23 10:23,2018/11/23 10:01,2018/11/23 10:01,0:26:29,0:26:29,,00,03,,,,,,
-,-,10,2018/11/23 9:54,111-076-SUN,18093,乗客アプリ（目的地から）,3378,474,1,1,,2018/11/23 10:05,2018/11/23 10:12,35.441441 139.648505,横浜中華街朱雀門,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/23 10:06,2018/11/23 10:06,2018/11/23 10:18,2018/11/23 10:18,,2018/11/23 9:54,0:07:44,0:07:44,,00,05,,,,2018/11/23 10:00,※10時以前に予約しているため,
★,-,10,2018/11/23 9:58,066-280-BANANA 068-114-BANANA 068-115-BANANA 066-279-BANANA,18094,まちかど端末（店舗から）,0,741,8,4,,2018/11/23 10:04,2018/11/23 10:10,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/23 10:08,2018/11/23 10:08,2018/11/23 10:20,2018/11/23 10:20,2018/11/23 10:08,2018/11/23 10:08,0:06:16,0:25:04,,00,00,,,,,,
-,-,10,2018/11/23 9:59,072-428-ORANGE 069-639-BANANA,18095,まちかど端末（店舗から）,0,583,12,2,,2018/11/23 10:03,2018/11/23 10:15,35.456605 139.635327,横浜ベイホテル東急,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/23 10:06,2018/11/23 10:06,2018/11/23 10:21,2018/11/23 10:21,,2018/11/23 9:59,0:12:04,0:24:08,,00,03,,,,2018/11/23 10:00,※10時以前に予約しているため,
-,-,10,2018/11/23 9:59,069-340-BANANA 069-341-BANANA,18096,まちかど端末（店舗から）,0,930,4,2,,2018/11/23 10:03,2018/11/23 10:10,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443659 139.650847,横浜マリンタワー,2018/11/23 10:02,2018/11/23 10:02,2018/11/23 10:10,2018/11/23 10:10,,2018/11/23 9:59,0:06:39,0:13:18,,01,03,,,,2018/11/23 10:00,※10時以前に予約しているため,
-,-,10,2018/11/23 10:00,117-763-SUN,18097,まちかど端末（店舗から）,0,876,10,1,,2018/11/23 10:05,2018/11/23 10:10,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443073 139.651914,横浜人形の家,2018/11/23 10:04,2018/11/23 10:04,2018/11/23 10:07,2018/11/23 10:07,,2018/11/23 10:00,0:04:54,0:04:54,,00,04,,,,,,
-,-,10,2018/11/23 10:03,166-445-agekke,18098,乗客アプリ（地図から）,4183,309,3,1,,2018/11/23 10:09,2018/11/23 10:23,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/23 10:06,2018/11/23 10:06,2018/11/23 10:19,2018/11/23 10:19,,2018/11/23 10:03,0:13:33,0:13:33,,03,06,,,,,,
-,-,10,2018/11/23 10:03,166-428-agekke,18099,乗客アプリ（地図から）,5522,137,7,1,,2018/11/23 10:08,2018/11/23 10:15,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/23 10:06,2018/11/23 10:06,2018/11/23 10:16,2018/11/23 10:16,,2018/11/23 10:03,0:06:48,0:06:48,,02,04,,,,,,
