,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
★,-,10,2018/11/30 9:50,069-922-BANANA,22052,乗客アプリ（地図から）,7803,732,11,1,,2018/11/30 9:59,2018/11/30 10:07,35.456605 139.635327,横浜ベイホテル東急,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/30 10:03,2018/11/30 10:03,2018/11/30 10:13,2018/11/30 10:15,2018/11/30 10:00,2018/11/30 10:00,0:07:40,0:07:40,625,00,00,04,04,,,,
★,-,10,2018/11/30 9:50,069-924-BANANA,22053,乗客アプリ（簡単予約）,7806,263,11,1,,2018/11/30 9:59,2018/11/30 10:07,35.456605 139.635327,横浜ベイホテル東急,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/30 10:03,2018/11/30 10:03,2018/11/30 10:14,2018/11/30 10:15,2018/11/30 10:00,2018/11/30 10:00,0:07:45,0:07:45,,00,00,,,,,,
-,-,10,2018/11/30 9:50,035-810-YELLOW 035-808-YELLOW,22054,まちかど端末（店舗から）,0,581,1,2,,2018/11/30 10:09,2018/11/30 10:17,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/30 10:12,2018/11/30 10:12,2018/11/30 10:23,2018/11/30 10:23,,2018/11/30 9:50,0:08:05,0:16:10,,00,09,,,,2018/11/30 10:00,※10時以前に予約しているため,
★,-,10,2018/11/30 9:51,019-157-RED,22055,乗客アプリ（地図から）,3738,747,8,1,,2018/11/30 10:05,2018/11/30 10:15,35.441002 139.650809,横浜元町ショッピングストリート,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/30 10:13,2018/11/30 10:13,2018/11/30 10:29,2018/11/30 10:29,2018/11/30 10:01,2018/11/30 10:01,0:10:31,0:10:31,,00,04,,,,,,
★,-,10,2018/11/30 9:51,069-926-BANANA,22056,乗客アプリ（簡単予約）,7793,21,11,1,,2018/11/30 9:59,2018/11/30 10:06,35.456605 139.635327,横浜ベイホテル東急,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/30 10:04,2018/11/30 10:04,2018/11/30 10:14,2018/11/30 10:14,2018/11/30 10:01,2018/11/30 10:01,0:07:14,0:07:14,,00,00,,,,,,
-,-,10,2018/11/30 9:52,035-753-YELLOW 035-754-YELLOW,22057,まちかど端末（店舗から）,0,972,5,2,,2018/11/30 10:06,2018/11/30 10:16,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/11/30 10:06,2018/11/30 10:06,2018/11/30 10:18,2018/11/30 10:20,,2018/11/30 9:52,0:10:00,0:20:00,,00,06,,,,2018/11/30 10:00,※10時以前に予約しているため,
-,-,10,2018/11/30 9:53,063-795-BANANA,22058,まちかど端末（乗降ポイントから）,0,24,3,1,,2018/11/30 10:00,2018/11/30 10:11,35.448676 139.635696,横浜平和プラザホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/30 10:06,2018/11/30 10:06,2018/11/30 10:17,2018/11/30 10:17,,2018/11/30 9:53,0:11:28,0:11:28,,00,00,,,,2018/11/30 10:00,※10時以前に予約しているため,
-,-,10,2018/11/30 9:55,023-021-GREEN,22059,乗客アプリ（簡単予約）,2915,148,10,1,,2018/11/30 10:03,2018/11/30 10:10,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/30 10:04,2018/11/30 10:04,2018/11/30 10:13,2018/11/30 10:13,,2018/11/30 9:55,0:07:03,0:07:03,,00,03,,,,2018/11/30 10:00,※10時以前に予約しているため,
★,-,10,2018/11/30 9:57,034-784-YELLOW 034-783-YELLOW,22060,乗客アプリ（地図から）,7772,89,5,2,,2018/11/30 10:06,2018/11/30 10:32,35.456605 139.635327,横浜ベイホテル東急,35.44291 139.650404,元町・中華街駅（みなとみらい線）,2018/11/30 10:07,2018/11/30 10:07,2018/11/30 10:29,2018/11/30 10:29,2018/11/30 10:07,2018/11/30 10:07,0:25:14,0:50:28,,00,00,,,,,,
-,-,10,2018/11/30 10:03,017-322-RED,22061,乗客アプリ（目的地から）,7802,786,6,1,,2018/11/30 10:08,2018/11/30 10:16,35.452963 139.642093,横浜赤レンガ倉庫,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/30 10:09,2018/11/30 10:09,2018/11/30 10:19,2018/11/30 10:19,,2018/11/30 10:03,0:07:10,0:07:10,,00,05,,,,,,
