,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,
-,-,10,2018/11/29 10:13,166-393-agekke,21536,乗客アプリ（目的地から）,2306,706,15,1,,2018/11/29 10:18,2018/11/29 10:24,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/29 10:19,2018/11/29 10:20,2018/11/29 10:26,2018/11/29 10:26,,2018/11/29 10:13,0:06:40,0:06:40,,00,04,,,,,
-,-,10,2018/11/29 10:15,166-385-agekke,21538,まちかど端末（乗降ポイントから）,0,153,6,1,,2018/11/29 10:20,2018/11/29 10:26,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/29 10:20,2018/11/29 10:20,2018/11/29 10:28,2018/11/29 10:28,,2018/11/29 10:15,0:06:24,0:06:24,,00,04,,,,,
-,-,10,2018/11/29 10:17,167-994-CAKE,21539,乗客アプリ（目的地から）,2669,362,7,1,,2018/11/29 10:20,2018/11/29 10:32,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/11/29 10:21,2018/11/29 10:21,2018/11/29 10:33,2018/11/29 10:33,,2018/11/29 10:17,0:12:38,0:12:38,,00,02,,,,,
-,-,10,2018/11/29 10:18,076-155-ORANGE,21540,まちかど端末（店舗から）,0,429,1,1,,2018/11/29 10:23,2018/11/29 10:27,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/29 10:23,2018/11/29 10:23,2018/11/29 10:31,2018/11/29 10:31,,2018/11/29 10:18,0:04:25,0:04:25,,00,04,,,,,
-,-,10,2018/11/29 10:19,006-937-BLUE,21541,まちかど端末（店舗から）,0,226,2,1,,2018/11/29 10:30,2018/11/29 10:35,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/29 10:30,2018/11/29 10:30,2018/11/29 10:40,2018/11/29 10:40,,2018/11/29 10:19,0:05:38,0:05:38,,00,10,,,,,
★,-,10,2018/11/29 10:23,028-527-GREEN,21543,乗客アプリ（地図から）,5458,122,4,1,,2018/11/29 10:29,2018/11/29 10:41,35.443073 139.651914,横浜人形の家,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/29 10:33,2018/11/29 10:33,2018/11/29 10:50,2018/11/29 10:50,2018/11/29 10:33,2018/11/29 10:33,0:11:45,0:11:45,,00,00,,,,,
-,-,10,2018/11/29 10:24,026-384-GREEN,21544,乗客アプリ（地図から）,6230,971,3,1,,2018/11/29 10:26,2018/11/29 10:50,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/29 10:29,2018/11/29 10:29,2018/11/29 10:38,2018/11/29 10:51,,2018/11/29 10:24,0:23:38,0:23:38,,00,02,,,,,
★,-,10,2018/11/29 10:25,076-865-ORANGE 076-432-ORANGE,21545,乗客アプリ（目的地から）,7699,938,3,2,,2018/11/29 10:34,2018/11/29 10:45,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/29 10:35,2018/11/29 10:35,2018/11/29 10:45,2018/11/29 10:45,2018/11/29 10:35,2018/11/29 10:35,0:11:16,0:22:32,,00,00,,,,,
-,-,10,2018/11/29 10:25,118-088-SUN,21546,まちかど端末（店舗から）,0,977,5,1,,2018/11/29 10:28,2018/11/29 10:35,35.450447 139.635947,馬車道駅（みなとみらい線）,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/29 10:32,2018/11/29 10:32,2018/11/29 10:44,2018/11/29 10:44,,2018/11/29 10:25,0:06:56,0:06:56,,00,03,,,,,
-,-,10,2018/11/29 10:26,167-985-CAKE,21547,乗客アプリWeb（地図から）,6864,622,10,1,,2018/11/29 10:30,2018/11/29 10:42,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443908 139.635249,イセザキ・モール,2018/11/29 10:33,2018/11/29 10:33,2018/11/29 10:41,2018/11/29 10:41,,2018/11/29 10:26,0:11:42,0:11:42,,00,04,,,,,
