,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,
-,☆,12,2018/11/29 12:26,167-994-CAKE,21624,乗客アプリWeb（地図から）,7726,556,3,1,2018/11/29 12:26,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/29 13:05,,2018/11/29 13:16,,,2018/11/29 12:26,0:00:00,0:00:00,,00,39,,,,,
-,☆,12,2018/11/29 12:31,020-256-GREEN,21629,乗客アプリ（Myルートから）,4719,857,6,1,2018/11/29 12:32,,,35.445783 139.642958,横浜情報文化センター,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/29 12:38,,2018/11/29 12:55,,,2018/11/29 12:31,0:00:00,0:00:00,,00,,,,,,※123行と同一人物と思われるため一番短い待ち時間を採用
★,☆,12,2018/11/29 12:47,034-126-YELLOW,21633,乗客アプリ（Myルートから）,2215,647,5,1,2018/11/29 12:47,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/11/29 12:57,,2018/11/29 13:05,,2018/11/29 12:57,2018/11/29 12:57,0:00:00,0:00:00,,00,00,,,,,
-,☆,12,2018/11/29 12:51,022-336-GREEN,21639,乗客アプリ（目的地から）,4860,83,7,1,2018/11/29 12:51,,,35.452963 139.642093,横浜赤レンガ倉庫,35.456605 139.635327,横浜ベイホテル東急,2018/11/29 12:53,,2018/11/29 13:08,,,2018/11/29 12:51,0:00:00,0:00:00,,00,02,,,,,
-,☆,12,2018/11/29 12:57,031-001-YELLOW 031-000-YELLOW 031-002-YELLOW 031-036-YELLOW 031-285-YELLOW,21645,乗客アプリ（地図から）,6745,123,4,5,2018/11/29 12:59,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/29 13:17,,2018/11/29 13:39,,,2018/11/29 12:57,0:00:00,0:00:00,,00,20,,,,,
-,-,13,2018/11/29 13:00,031-001-YELLOW 031-000-YELLOW 031-002-YELLOW 031-036-YELLOW 031-285-YELLOW,21647,乗客アプリ（地図から）,6745,231,10,5,,2018/11/29 13:09,2018/11/29 13:21,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/29 13:10,2018/11/29 13:10,2018/11/29 13:32,2018/11/29 13:32,,2018/11/29 13:00,0:12:17,1:01:25,509,00,08,04,04,,,
-,-,13,2018/11/29 13:01,116-142-SUN 116-143-SUN,21648,乗客アプリ（目的地から）,6339,728,15,2,,2018/11/29 13:04,2018/11/29 13:10,35.450447 139.635947,馬車道駅（みなとみらい線）,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/29 13:08,2018/11/29 13:08,2018/11/29 13:17,2018/11/29 13:17,,2018/11/29 13:01,0:05:45,0:11:30,,00,03,,,,,
-,-,13,2018/11/29 13:05,077-653-ORANGE 077-684-ORANGE,21649,まちかど端末（乗降ポイントから）,0,412,6,2,,2018/11/29 13:13,2018/11/29 13:26,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/29 13:14,2018/11/29 13:14,2018/11/29 13:35,2018/11/29 13:35,,2018/11/29 13:05,0:12:46,0:25:32,,00,08,,,,,
-,-,13,2018/11/29 13:05,070-734-ORANGE 069-595-BANANA 070-735-ORANGE,21650,乗客アプリ（地図から）,7681,318,5,3,,2018/11/29 13:14,2018/11/29 13:21,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.456605 139.635327,横浜ベイホテル東急,2018/11/29 13:17,2018/11/29 13:17,2018/11/29 13:39,2018/11/29 13:39,,2018/11/29 13:05,0:06:55,0:20:45,,00,08,,,,,
-,-,13,2018/11/29 13:09,027-405-GREEN,21651,まちかど端末（乗降ポイントから）,0,960,4,1,,2018/11/29 13:15,2018/11/29 13:20,35.441002 139.650809,横浜元町ショッピングストリート,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/29 13:16,2018/11/29 13:16,2018/11/29 13:23,2018/11/29 13:23,,2018/11/29 13:09,0:05:11,0:05:11,,00,05,,,,,
-,-,13,2018/11/29 13:09,018-312-RED,21652,乗客アプリ（地図から）,7630,695,1,1,,2018/11/29 13:17,2018/11/29 13:26,35.443908 139.635249,イセザキ・モール,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/29 13:18,2018/11/29 13:18,2018/11/29 13:33,2018/11/29 13:33,,2018/11/29 13:09,0:08:54,0:08:54,,00,07,,,,,
-,-,13,2018/11/29 13:12,167-996-CAKE,21653,乗客アプリWeb（地図から）,7732,402,15,2,,2018/11/29 13:22,2018/11/29 13:30,35.443908 139.635249,イセザキ・モール,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/29 13:20,2018/11/29 13:20,2018/11/29 13:31,2018/11/29 13:31,,2018/11/29 13:12,0:08:25,0:16:50,,02,10,,,,,
-,-,13,2018/11/29 13:15,117-061-SUN 117-059-SUN 117-060-SUN 117-062-SUN,21654,乗客アプリ（目的地から）,6918,132,7,4,,2018/11/29 13:21,2018/11/29 13:27,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/29 13:21,2018/11/29 13:21,2018/11/29 13:34,2018/11/29 13:34,,2018/11/29 13:15,0:06:02,0:24:08,,00,06,,,,,
-,-,13,2018/11/29 13:16,166-534-agekke,21655,乗客アプリ（地図から）,1751,828,2,1,,2018/11/29 13:18,2018/11/29 13:27,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/29 13:18,2018/11/29 13:18,2018/11/29 13:26,2018/11/29 13:26,,2018/11/29 13:16,0:08:36,0:08:36,,00,01,,,,,
-,-,13,2018/11/29 13:18,059-330-STRAWBERRY,21656,乗客アプリ（地図から）,1302,91,11,1,,2018/11/29 13:27,2018/11/29 13:34,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/29 13:25,2018/11/29 13:25,2018/11/29 13:37,2018/11/29 13:37,,2018/11/29 13:18,0:07:02,0:07:02,,01,08,,,,,
-,-,13,2018/11/29 13:18,076-473-ORANGE,21657,まちかど端末（乗降ポイントから）,0,340,9,1,,2018/11/29 13:20,2018/11/29 13:25,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/29 13:21,2018/11/29 13:21,2018/11/29 13:27,2018/11/29 13:27,,2018/11/29 13:18,0:05:10,0:05:10,,00,02,,,,,
-,-,13,2018/11/29 13:21,167-994-CAKE,21658,乗客アプリWeb（地図から）,7726,12,8,1,,2018/11/29 13:25,2018/11/29 13:31,35.452963 139.642093,横浜赤レンガ倉庫,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/29 13:25,2018/11/29 13:25,2018/11/29 13:37,2018/11/29 13:37,,2018/11/29 13:21,0:05:10,0:05:10,,00,04,,,,,
★,-,13,2018/11/29 13:23,118-023-SUN,21659,乗客アプリ（Myルートから）,2512,915,2,1,,2018/11/29 13:34,2018/11/29 13:40,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/29 13:33,2018/11/29 13:33,2018/11/29 13:44,2018/11/29 13:44,2018/11/29 13:33,2018/11/29 13:33,0:06:04,0:06:04,,01,01,,,,,
-,-,13,2018/11/29 13:27,034-310-YELLOW,21660,まちかど端末（店舗から）,0,657,1,1,,2018/11/29 13:31,2018/11/29 14:00,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/11/29 13:33,2018/11/29 13:33,2018/11/29 13:44,2018/11/29 13:44,,2018/11/29 13:27,0:28:51,0:28:51,,00,04,,,,,
-,-,13,2018/11/29 13:29,166-385-agekke,21661,まちかど端末（店舗から）,0,331,4,1,,2018/11/29 13:33,2018/11/29 13:40,35.450447 139.635947,馬車道駅（みなとみらい線）,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/29 13:32,2018/11/29 13:32,2018/11/29 13:41,2018/11/29 13:41,,2018/11/29 13:29,0:06:37,0:06:37,,00,03,,,,,
-,-,13,2018/11/29 13:30,032-069-YELLOW,21662,まちかど端末（店舗から）,0,471,7,1,,2018/11/29 13:35,2018/11/29 13:46,35.445783 139.642958,横浜情報文化センター,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/29 13:33,2018/11/29 13:33,2018/11/29 13:51,2018/11/29 13:51,,2018/11/29 13:30,0:10:45,0:10:45,,02,05,,,,,
-,-,13,2018/11/29 13:35,022-336-GREEN 022-337-GREEN,21663,乗客アプリ（目的地から）,4860,874,8,2,,2018/11/29 13:43,2018/11/29 13:51,35.456605 139.635327,横浜ベイホテル東急,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/29 13:43,2018/11/29 13:43,2018/11/29 13:51,2018/11/29 13:51,,2018/11/29 13:35,0:07:38,0:15:16,,00,07,,,,,
-,-,13,2018/11/29 13:38,116-147-SUN 116-146-SUN,21665,乗客アプリ（目的地から）,7591,229,10,2,,2018/11/29 13:42,2018/11/29 13:58,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/29 13:40,2018/11/29 13:42,2018/11/29 13:54,2018/11/29 14:11,,2018/11/29 13:38,0:16:04,0:32:08,,02,04,,,,,
★,-,13,2018/11/29 13:40,076-865-ORANGE 076-432-ORANGE,21666,乗客アプリ（目的地から）,7699,353,13,2,,2018/11/29 13:46,2018/11/29 14:04,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/29 13:50,2018/11/29 13:50,2018/11/29 14:07,2018/11/29 14:07,2018/11/29 13:50,2018/11/29 13:50,0:17:31,0:35:02,,00,00,,,,,
★,-,13,2018/11/29 13:40,118-410-SUN,21667,まちかど端末（乗降ポイントから）,0,137,10,1,,2018/11/29 13:46,2018/11/29 13:54,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450447 139.635947,馬車道駅（みなとみらい線）,2018/11/29 13:50,2018/11/29 13:50,2018/11/29 14:01,2018/11/29 14:02,2018/11/29 13:50,2018/11/29 13:50,0:07:26,0:07:26,,00,00,,,,,
-,-,13,2018/11/29 13:41,166-502-agekke,21668,乗客アプリ（地図から）,2171,70,4,1,,2018/11/29 13:45,2018/11/29 13:55,35.443704 139.651332,ホテルメルパルク横浜,35.443908 139.635249,イセザキ・モール,2018/11/29 13:45,2018/11/29 13:45,2018/11/29 13:57,2018/11/29 13:57,,2018/11/29 13:41,0:10:04,0:10:04,,00,04,,,,,
-,-,13,2018/11/29 13:41,034-814-YELLOW 034-815-YELLOW 034-813-YELLOW,21670,まちかど端末（店舗から）,0,132,2,3,,2018/11/29 13:44,2018/11/29 13:56,35.452963 139.642093,横浜赤レンガ倉庫,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/29 13:44,2018/11/29 13:44,2018/11/29 13:58,2018/11/29 13:58,,2018/11/29 13:41,0:12:16,0:36:48,,00,03,,,,,
★,-,13,2018/11/29 13:41,118-409-SUN,21671,まちかど端末（乗降ポイントから）,0,270,10,1,,2018/11/29 13:47,2018/11/29 14:04,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/29 13:51,2018/11/29 13:51,2018/11/29 14:22,2018/11/29 14:22,2018/11/29 13:51,2018/11/29 13:51,0:17:22,0:17:22,,00,00,,,,,
-,-,13,2018/11/29 13:43,070-520-ORANGE,21672,まちかど端末（店舗から）,0,54,9,1,,2018/11/29 13:47,2018/11/29 13:59,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/29 13:46,2018/11/29 13:46,2018/11/29 14:05,2018/11/29 14:05,,2018/11/29 13:43,0:12:28,0:12:28,,00,03,,,,,
-,-,13,2018/11/29 13:43,167-996-CAKE,21673,乗客アプリWeb（地図から）,7732,52,11,2,,2018/11/29 13:50,2018/11/29 14:00,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/29 13:53,2018/11/29 13:53,2018/11/29 14:03,2018/11/29 14:03,,2018/11/29 13:43,0:09:46,0:19:32,,00,06,,,,,
-,-,13,2018/11/29 13:46,033-297-YELLOW 033-296-YELLOW,21674,乗客アプリ（地図から）,7733,261,15,2,,2018/11/29 13:50,2018/11/29 13:55,35.452963 139.642093,横浜赤レンガ倉庫,35.44291 139.650404,元町・中華街駅（みなとみらい線）,2018/11/29 13:50,2018/11/29 13:50,2018/11/29 14:02,2018/11/29 14:02,,2018/11/29 13:46,0:05:45,0:11:30,,00,03,,,,,
-,-,13,2018/11/29 13:47,166-534-agekke,21675,乗客アプリ（地図から）,1751,930,6,1,,2018/11/29 13:54,2018/11/29 14:02,35.450447 139.635947,馬車道駅（みなとみらい線）,35.443908 139.635249,イセザキ・モール,2018/11/29 13:58,2018/11/29 13:58,2018/11/29 14:05,2018/11/29 14:05,,2018/11/29 13:47,0:07:36,0:07:36,,00,07,,,,,
-,-,13,2018/11/29 13:48,076-434-ORANGE 070-657-ORANGE,21676,まちかど端末（店舗から）,0,216,7,2,,2018/11/29 13:55,2018/11/29 14:01,35.452963 139.642093,横浜赤レンガ倉庫,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/29 13:56,2018/11/29 13:56,2018/11/29 14:10,2018/11/29 14:10,,2018/11/29 13:48,0:06:29,0:12:58,,00,06,,,,,
-,-,13,2018/11/29 13:53,008-433-BLUE,21679,乗客アプリ（地図から）,2239,799,8,1,,2018/11/29 13:55,2018/11/29 14:03,35.454389 139.630904,横浜ランドマークタワー,35.445783 139.642958,横浜情報文化センター,2018/11/29 13:56,2018/11/29 13:56,2018/11/29 14:08,2018/11/29 14:08,,2018/11/29 13:53,0:07:42,0:07:42,,00,02,,,,,
-,-,13,2018/11/29 13:53,065-872-BANANA,21680,乗客アプリ（目的地から）,7188,295,5,1,,2018/11/29 14:03,2018/11/29 14:09,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/29 14:04,2018/11/29 14:04,2018/11/29 14:16,2018/11/29 14:16,,2018/11/29 13:53,0:06:27,0:06:27,,00,09,,,,,
-,-,13,2018/11/29 13:57,168-002-CAKE,21682,乗客アプリ（目的地から）,5055,389,4,1,,2018/11/29 14:01,2018/11/29 14:02,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443659 139.650847,横浜マリンタワー,2018/11/29 14:00,2018/11/29 14:00,2018/11/29 14:12,2018/11/29 14:12,,2018/11/29 13:57,0:00:39,0:00:39,,01,03,,,,,
-,-,13,2018/11/29 13:59,075-892-ORANGE 062-558-BANANA,21683,乗客アプリ（地図から）,7739,532,2,2,,2018/11/29 14:02,2018/11/29 14:14,35.445857 139.647636,ホテルモントレ横浜,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/29 14:02,2018/11/29 14:02,2018/11/29 14:19,2018/11/29 14:19,,2018/11/29 13:59,0:11:54,0:23:48,,00,03,,,,,
★,☆,13,2018/11/29 13:36,072-453-ORANGE 075-864-ORANGE,21664,乗客アプリ（目的地から）,7729,946,1,2,2018/11/29 13:48,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.456605 139.635327,横浜ベイホテル東急,2018/11/29 13:46,,2018/11/29 14:08,,2018/11/29 13:46,2018/11/29 13:46,0:00:00,0:00:00,,00,02,,,,,
-,☆,13,2018/11/29 13:41,017-655-RED,21669,まちかど端末（乗降ポイントから）,0,809,3,1,2018/11/29 13:52,,,35.447541 139.644914,シルク博物館,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/29 13:45,,2018/11/29 14:03,,,2018/11/29 13:41,0:00:00,0:00:00,,00,10,,,,,※161行と同一人物と思われるため一番短い待ち時間を採用
-,☆,13,2018/11/29 13:52,017-655-RED,21677,まちかど端末（乗降ポイントから）,0,336,3,1,2018/11/29 13:52,,,35.447541 139.644914,シルク博物館,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/29 13:54,,2018/11/29 14:12,,,2018/11/29 13:52,0:00:00,0:00:00,,00,02,,,,,※160行と同一人物と思われるため一番短い待ち時間を採用
-,-,14,2018/11/29 14:00,118-196-SUN,21684,まちかど端末（乗降ポイントから）,0,319,3,1,,2018/11/29 14:03,2018/11/29 14:12,35.44291 139.650404,元町・中華街駅（みなとみらい線）,35.448676 139.635696,横浜平和プラザホテル,2018/11/29 14:04,2018/11/29 14:04,2018/11/29 14:14,2018/11/29 14:14,,2018/11/29 14:00,0:09:03,0:09:03,436,00,03,09,07,,,
-,-,14,2018/11/29 14:04,025-457-GREEN,21685,乗客アプリ（地図から）,5973,715,7,1,,2018/11/29 14:12,2018/11/29 14:22,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/29 14:12,2018/11/29 14:12,2018/11/29 14:29,2018/11/29 14:29,,2018/11/29 14:04,0:09:33,0:09:33,,00,08,,,,,
-,-,14,2018/11/29 14:05,166-534-agekke,21686,乗客アプリ（地図から）,1751,598,6,1,,2018/11/29 14:09,2018/11/29 14:16,35.443908 139.635249,イセザキ・モール,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/29 14:08,2018/11/29 14:08,2018/11/29 14:19,2018/11/29 14:19,,2018/11/29 14:05,0:07:27,0:07:27,,00,03,,,,,
-,-,14,2018/11/29 14:06,166-432-agekke,21687,乗客アプリ（目的地から）,5428,369,13,1,,2018/11/29 14:23,2018/11/29 14:33,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/29 14:12,2018/11/29 14:12,2018/11/29 14:26,2018/11/29 14:26,,2018/11/29 14:06,0:10:41,0:10:41,,10,17,,,,,
-,-,14,2018/11/29 14:09,166-392-agekke,21688,乗客アプリ（地図から）,3945,823,9,1,,2018/11/29 14:13,2018/11/29 14:19,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/29 14:15,2018/11/29 14:15,2018/11/29 14:27,2018/11/29 14:27,,2018/11/29 14:09,0:05:58,0:05:58,,00,03,,,,,
-,-,14,2018/11/29 14:14,003-758-BLUE 118-085-SUN,21692,乗客アプリ（目的地から）,7622,748,11,2,,2018/11/29 14:24,2018/11/29 14:28,35.456605 139.635327,横浜ベイホテル東急,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/29 14:24,2018/11/29 14:24,2018/11/29 14:32,2018/11/29 14:32,,2018/11/29 14:14,0:03:57,0:07:54,,00,10,,,,,
-,-,14,2018/11/29 14:16,166-416-agekke,21693,乗客アプリ（目的地から）,2424,684,3,1,,2018/11/29 14:20,2018/11/29 14:30,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/29 14:26,2018/11/29 14:26,2018/11/29 14:40,2018/11/29 14:40,,2018/11/29 14:16,0:10:23,0:10:23,,00,03,,,,,
-,-,14,2018/11/29 14:17,076-444-ORANGE,21694,まちかど端末（乗降ポイントから）,0,10,8,1,,2018/11/29 14:27,2018/11/29 14:37,35.456605 139.635327,横浜ベイホテル東急,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/29 14:29,2018/11/29 14:29,2018/11/29 14:46,2018/11/29 14:46,,2018/11/29 14:17,0:10:07,0:10:07,,00,10,,,,,
-,-,14,2018/11/29 14:17,166-367-agekke,21695,乗客アプリ（簡単予約）,1668,717,10,1,,2018/11/29 14:26,2018/11/29 14:35,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/29 14:28,2018/11/29 14:28,2018/11/29 14:45,2018/11/29 14:45,,2018/11/29 14:17,0:09:18,0:09:18,,00,08,,,,,
-,-,14,2018/11/29 14:21,026-515-GREEN 112-256-SUN,21696,乗客アプリ（地図から）,3962,391,5,2,,2018/11/29 14:22,2018/11/29 14:34,35.447541 139.644914,シルク博物館,35.456605 139.635327,横浜ベイホテル東急,2018/11/29 14:23,2018/11/29 14:23,2018/11/29 14:42,2018/11/29 14:42,,2018/11/29 14:21,0:11:45,0:23:30,,00,00,,,,,
-,-,14,2018/11/29 14:24,116-142-SUN 116-143-SUN,21697,乗客アプリ（目的地から）,6339,537,6,2,,2018/11/29 14:31,2018/11/29 14:40,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.454389 139.630904,横浜ランドマークタワー,2018/11/29 14:27,2018/11/29 14:27,2018/11/29 14:46,2018/11/29 14:46,,2018/11/29 14:24,0:09:51,0:19:42,,03,06,,,,,
-,-,14,2018/11/29 14:25,017-655-RED,21698,まちかど端末（乗降ポイントから）,0,889,7,1,,2018/11/29 14:32,2018/11/29 14:42,35.447546 139.64358,横浜開港資料館,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/29 14:28,2018/11/29 14:28,2018/11/29 14:44,2018/11/29 14:44,,2018/11/29 14:25,0:09:58,0:09:58,,03,07,,,,,
-,-,14,2018/11/29 14:25,063-791-BANANA,21699,乗客アプリ（地図から）,5131,352,15,1,,2018/11/29 14:29,2018/11/29 14:35,35.454389 139.630904,横浜ランドマークタワー,35.448676 139.635696,横浜平和プラザホテル,2018/11/29 14:30,2018/11/29 14:30,2018/11/29 14:39,2018/11/29 14:39,,2018/11/29 14:25,0:06:18,0:06:18,,00,04,,,,,
-,-,14,2018/11/29 14:29,054-428-STRAWBERRY,21703,乗客アプリ（地図から）,1158,279,11,1,,2018/11/29 14:35,2018/11/29 14:53,35.445783 139.642958,横浜情報文化センター,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/29 14:37,2018/11/29 14:37,2018/11/29 14:52,2018/11/29 14:52,,2018/11/29 14:29,0:17:43,0:17:43,,00,06,,,,,
-,-,14,2018/11/29 14:32,076-777-ORANGE,21704,乗客アプリ（地図から）,6649,883,8,1,,2018/11/29 14:43,2018/11/29 14:54,35.441441 139.648505,横浜中華街朱雀門,35.443908 139.635249,イセザキ・モール,2018/11/29 14:40,2018/11/29 14:42,2018/11/29 14:50,2018/11/29 14:59,,2018/11/29 14:32,0:11:13,0:11:13,,02,11,,,,,
-,-,14,2018/11/29 14:32,065-178-BANANA,21705,乗客アプリ（目的地から）,96,1000,9,1,,2018/11/29 14:40,2018/11/29 14:48,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443908 139.635249,イセザキ・モール,2018/11/29 14:42,2018/11/29 14:42,2018/11/29 14:51,2018/11/29 14:51,,2018/11/29 14:32,0:08:23,0:08:23,,00,07,,,,,
-,-,14,2018/11/29 14:33,168-000-CAKE,21706,乗客アプリWeb（地図から）,7744,21,15,1,,2018/11/29 14:39,2018/11/29 14:46,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/29 14:40,2018/11/29 14:40,2018/11/29 14:52,2018/11/29 14:52,,2018/11/29 14:33,0:07:17,0:07:17,,00,06,,,,,
-,-,14,2018/11/29 14:33,166-534-agekke,21707,乗客アプリ（地図から）,1751,260,10,1,,2018/11/29 14:37,2018/11/29 14:44,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/29 14:37,2018/11/29 14:37,2018/11/29 14:51,2018/11/29 14:51,,2018/11/29 14:33,0:07:08,0:07:08,,00,03,,,,,
-,-,14,2018/11/29 14:34,166-416-agekke,21708,乗客アプリ（目的地から）,2424,898,13,1,,2018/11/29 14:38,2018/11/29 14:45,35.443908 139.635249,イセザキ・モール,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/29 14:35,2018/11/29 14:39,2018/11/29 14:44,2018/11/29 14:48,,2018/11/29 14:34,0:07:24,0:07:24,,02,04,,,,,
-,-,14,2018/11/29 14:34,166-502-agekke,21709,乗客アプリ（地図から）,2171,636,5,1,,2018/11/29 14:46,2018/11/29 14:55,35.443908 139.635249,イセザキ・モール,35.456605 139.635327,横浜ベイホテル東急,2018/11/29 14:46,2018/11/29 14:46,2018/11/29 14:59,2018/11/29 14:59,,2018/11/29 14:34,0:08:58,0:08:58,,00,11,,,,,
-,-,14,2018/11/29 14:36,026-423-GREEN,21710,乗客アプリ（地図から）,6661,644,7,1,,2018/11/29 14:47,2018/11/29 14:55,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.443908 139.635249,イセザキ・モール,2018/11/29 14:50,2018/11/29 14:50,2018/11/29 15:02,2018/11/29 15:10,,2018/11/29 14:36,0:07:43,0:07:43,,00,11,,,,,
-,-,14,2018/11/29 14:37,033-230-YELLOW,21711,乗客アプリ（地図から）,7736,61,13,1,,2018/11/29 14:52,2018/11/29 15:16,35.447541 139.644914,シルク博物館,35.450447 139.635947,馬車道駅（みなとみらい線）,2018/11/29 14:52,2018/11/29 14:52,2018/11/29 15:04,2018/11/29 15:06,,2018/11/29 14:37,0:23:40,0:23:40,,00,14,,,,,
-,-,14,2018/11/29 14:38,035-976-YELLOW,21712,乗客アプリ（目的地から）,3162,827,11,1,,2018/11/29 14:44,2018/11/29 14:50,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.453715 139.638133,横浜ワールドポーターズ,2018/11/29 14:44,2018/11/29 14:46,2018/11/29 14:55,2018/11/29 14:57,,2018/11/29 14:38,0:05:19,0:05:19,,00,06,,,,,
-,-,14,2018/11/29 14:38,077-684-ORANGE 077-653-ORANGE,21713,乗客アプリ（地図から）,6925,551,10,2,,2018/11/29 14:55,2018/11/29 15:15,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/29 14:59,2018/11/29 14:59,2018/11/29 15:18,2018/11/29 15:18,,2018/11/29 14:38,0:19:30,0:39:00,,00,17,,,,,
-,-,14,2018/11/29 14:40,033-297-YELLOW 033-296-YELLOW,21714,乗客アプリ（目的地から）,7733,760,8,2,,2018/11/29 14:43,2018/11/29 14:46,35.441441 139.648505,横浜中華街朱雀門,35.443659 139.650847,横浜マリンタワー,2018/11/29 14:42,2018/11/29 14:42,2018/11/29 14:47,2018/11/29 14:47,,2018/11/29 14:40,0:03:01,0:06:02,,00,02,,,,,
-,-,14,2018/11/29 14:42,036-078-YELLOW,21715,乗客アプリ（目的地から）,938,886,9,1,,2018/11/29 14:59,2018/11/29 15:17,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.445857 139.647636,ホテルモントレ横浜,2018/11/29 15:02,2018/11/29 15:02,2018/11/29 15:18,2018/11/29 15:21,,2018/11/29 14:42,0:18:26,0:18:26,,00,17,,,,,
