,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,,
-,-,10,2018/11/22 10:12,167-825-CAKE,17566,乗客アプリWeb（地図から）,5923,241,8,1,,2018/11/22 10:20,2018/11/22 10:32,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.456605 139.635327,横浜ベイホテル東急,2018/11/22 10:18,2018/11/22 10:18,2018/11/22 10:32,2018/11/22 10:32,,2018/11/22 10:12,0:11:40,0:11:40,,01,08,,,,,,
★,-,10,2018/11/22 10:12,030-388-YELLOW 029-464-GREEN,17567,まちかど端末（店舗から）,0,212,3,2,,2018/11/22 10:17,2018/11/22 10:27,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.443908 139.635249,イセザキ・モール,2018/11/22 10:21,2018/11/22 10:21,2018/11/22 10:31,2018/11/22 10:31,2018/11/22 10:21,2018/11/22 10:21,0:10:23,0:20:46,,00,00,,,,,,
-,-,10,2018/11/22 10:15,166-552-agekke,17570,乗客アプリ（地図から）,2306,60,11,1,,2018/11/22 10:20,2018/11/22 10:36,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/22 10:21,2018/11/22 10:21,2018/11/22 10:31,2018/11/22 10:38,,2018/11/22 10:15,0:15:45,0:15:45,,00,04,,,,,,
-,-,10,2018/11/22 10:17,028-690-GREEN,17572,まちかど端末（店舗から）,0,508,15,1,,2018/11/22 10:24,2018/11/22 10:30,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/22 10:23,2018/11/22 10:24,2018/11/22 10:32,2018/11/22 10:41,,2018/11/22 10:17,0:05:28,0:05:28,,01,06,,,,,,
-,-,10,2018/11/22 10:20,070-506-ORANGE 070-507-ORANGE,17574,乗客アプリ（地図から）,1112,270,4,2,,2018/11/22 10:21,2018/11/22 10:29,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/11/22 10:25,2018/11/22 10:25,2018/11/22 10:35,2018/11/22 10:35,,2018/11/22 10:20,0:07:42,0:15:24,,00,00,,,,,,
-,-,10,2018/11/22 10:20,117-703-SUN,17575,乗客アプリ（地図から）,1705,7,5,1,,2018/11/22 10:27,2018/11/22 10:33,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/22 10:27,2018/11/22 10:27,2018/11/22 10:38,2018/11/22 10:38,,2018/11/22 10:20,0:06:05,0:06:05,,00,06,,,,,,
-,-,10,2018/11/22 10:20,022-304-GREEN 022-305-GREEN,17576,乗客アプリ（目的地から）,6539,951,2,2,,2018/11/22 10:28,2018/11/22 10:38,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/22 10:29,2018/11/22 10:29,2018/11/22 10:42,2018/11/22 10:42,,2018/11/22 10:20,0:10:43,0:21:26,,00,07,,,,,,
-,-,10,2018/11/22 10:20,117-495-SUN 117-494-SUN,17577,乗客アプリ（目的地から）,6665,965,10,2,,2018/11/22 10:31,2018/11/22 10:38,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/22 10:32,2018/11/22 10:32,2018/11/22 10:45,2018/11/22 10:45,,2018/11/22 10:20,0:07:32,0:15:04,,00,10,,,,,,
-,-,10,2018/11/22 10:21,069-686-BANANA,17578,まちかど端末（店舗から）,0,356,9,1,,2018/11/22 10:30,2018/11/22 10:39,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443659 139.650847,横浜マリンタワー,2018/11/22 10:33,2018/11/22 10:33,2018/11/22 10:46,2018/11/22 10:46,,2018/11/22 10:21,0:09:13,0:09:13,,00,08,,,,,,
-,-,10,2018/11/22 10:23,015-293-RED 015-445-RED 015-450-RED,17580,まちかど端末（乗降ポイントから）,0,343,13,3,,2018/11/22 10:32,2018/11/22 10:35,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.445783 139.642958,横浜情報文化センター,2018/11/22 10:33,2018/11/22 10:33,2018/11/22 10:42,2018/11/22 10:42,,2018/11/22 10:23,0:03:30,0:10:30,,00,09,,,,,,
