,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,,
-,☆,12,2018/11/22 12:00,062-880-BANANA,17646,乗客アプリ（Myルートから）,4324,98,7,1,2018/11/22 12:01,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/22 12:54,,2018/11/22 13:01,,,2018/11/22 12:00,0:00:00,0:00:00,,00,,,,,,"※126,129行と同一人物と思われるため一番短い待ち時間を採用",
★,☆,12,2018/11/22 12:00,024-852-GREEN 024-849-GREEN,17647,乗客アプリ（簡単予約）,3203,526,1,2,2018/11/22 12:01,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/22 12:49,,2018/11/22 12:56,,2018/11/22 12:10,2018/11/22 12:10,0:00:00,0:00:00,,00,38,,,,,,
-,☆,12,2018/11/22 12:01,062-880-BANANA,17648,乗客アプリ（Myルートから）,4324,821,7,1,2018/11/22 12:01,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/22 12:54,,2018/11/22 13:01,,,2018/11/22 12:01,0:00:00,0:00:00,,00,52,,,,,"※124,129行と同一人物と思われるため一番短い待ち時間を採用",
★,☆,12,2018/11/22 12:01,167-847-CAKE,17650,乗客アプリ（目的地から）,1108,434,1,1,2018/11/22 12:01,,,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.456605 139.635327,横浜ベイホテル東急,2018/11/22 12:38,,2018/11/22 12:58,,2018/11/22 12:11,2018/11/22 12:11,0:00:00,0:00:00,,00,,,,,,※同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/22 12:01,000-047-BLUE,17651,乗客アプリ（Myルートから）,5352,791,7,1,2018/11/22 12:02,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/22 12:53,,2018/11/22 12:59,,,2018/11/22 12:01,0:00:00,0:00:00,,00,,,,,,"※120,133行と同一人物と思われるため一番短い待ち時間を採用",
-,☆,12,2018/11/22 12:01,062-880-BANANA,17652,乗客アプリ（Myルートから）,4324,849,8,1,2018/11/22 12:02,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/22 12:57,,2018/11/22 13:05,,,2018/11/22 12:01,0:00:00,0:00:00,,00,,,,,,"※124,126行と同一人物と思われるため一番短い待ち時間を採用",
★,☆,12,2018/11/22 12:01,024-852-GREEN 024-849-GREEN,17653,乗客アプリ（Myルートから）,3203,753,1,2,2018/11/22 12:02,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/22 12:51,,2018/11/22 12:58,,2018/11/22 12:11,2018/11/22 12:11,0:00:00,0:00:00,,00,39,,,,,※131行と同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/22 12:02,024-852-GREEN 024-849-GREEN,17655,乗客アプリ（Myルートから）,3203,5,1,2,2018/11/22 12:51,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/22 12:49,,2018/11/22 12:56,,,2018/11/22 12:02,0:00:00,0:00:00,,00,,,,,,※130行と同一人物と思われるため一番短い待ち時間を採用,
★,☆,12,2018/11/22 12:02,167-847-CAKE,17656,乗客アプリ（地図から）,1108,378,8,1,2018/11/22 12:02,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.456605 139.635327,横浜ベイホテル東急,2018/11/22 12:46,,2018/11/22 13:00,,2018/11/22 12:12,2018/11/22 12:12,0:00:00,0:00:00,,00,,,,,,※同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/22 12:02,000-047-BLUE,17657,乗客アプリ（Myルートから）,5352,472,7,1,2018/11/22 12:17,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/22 12:53,,2018/11/22 12:59,,,2018/11/22 12:02,0:00:00,0:00:00,,00,,,,,,"※120,128行と同一人物と思われるため一番短い待ち時間を採用",
-,☆,12,2018/11/22 12:03,026-035-GREEN,17658,乗客アプリ（地図から）,4442,38,8,1,2018/11/22 12:04,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/22 12:57,,2018/11/22 13:15,,,2018/11/22 12:03,0:00:00,0:00:00,,00,54,,,,,,
-,☆,12,2018/11/22 12:05,167-825-CAKE,17659,乗客アプリWeb（地図から）,5923,889,8,1,2018/11/22 12:05,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443908 139.635249,イセザキ・モール,2018/11/22 12:57,,2018/11/22 13:07,,,2018/11/22 12:05,0:00:00,0:00:00,,00,52,,,,,※137行と同一人物と思われるため一番短い待ち時間を採用,
★,☆,12,2018/11/22 12:06,026-959-GREEN,17660,乗客アプリ（地図から）,4033,814,8,1,2018/11/22 12:06,,,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/22 12:57,,2018/11/22 13:05,,2018/11/22 12:16,2018/11/22 12:16,0:00:00,0:00:00,,00,41,,,,,,
-,☆,12,2018/11/22 12:06,167-825-CAKE,17661,乗客アプリWeb（地図から）,5923,699,8,1,2018/11/22 12:06,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443908 139.635249,イセザキ・モール,2018/11/22 13:05,,2018/11/22 13:14,,,2018/11/22 12:06,0:00:00,0:00:00,,00,,,,,,※135行と同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/22 12:08,167-847-CAKE,17662,乗客アプリ（目的地から）,1108,399,8,1,2018/11/22 12:08,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.456605 139.635327,横浜ベイホテル東急,2018/11/22 12:51,,2018/11/22 13:06,,,2018/11/22 12:08,0:00:00,0:00:00,,00,,,,,,※同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/22 12:09,167-847-CAKE,17663,乗客アプリ（目的地から）,1108,637,8,1,2018/11/22 12:09,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/22 12:55,,2018/11/22 13:06,,,2018/11/22 12:09,0:00:00,0:00:00,,00,,,,,,※同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/22 12:10,167-847-CAKE,17665,乗客アプリ（地図から）,1108,94,2,1,2018/11/22 12:10,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.456605 139.635327,横浜ベイホテル東急,2018/11/22 12:12,,2018/11/22 12:25,,,2018/11/22 12:10,0:00:00,0:00:00,,00,,,,,,※同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/22 12:12,167-847-CAKE,17667,乗客アプリ（目的地から）,1108,930,2,1,2018/11/22 12:12,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.456605 139.635327,横浜ベイホテル東急,2018/11/22 12:29,,2018/11/22 12:42,,,2018/11/22 12:12,0:00:00,0:00:00,,00,,,,,,※同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/22 12:13,167-847-CAKE,17668,乗客アプリ（目的地から）,1108,663,2,1,2018/11/22 12:13,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.456605 139.635327,横浜ベイホテル東急,2018/11/22 12:31,,2018/11/22 12:46,,,2018/11/22 12:13,0:00:00,0:00:00,,00,,,,,,※同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/22 12:15,117-534-SUN,17669,まちかど端末（店舗から）,0,932,2,1,2018/11/22 12:15,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.456605 139.635327,横浜ベイホテル東急,2018/11/22 12:28,,2018/11/22 12:41,,,2018/11/22 12:15,0:00:00,0:00:00,,00,13,,,,,,
-,☆,12,2018/11/22 12:16,167-847-CAKE,17670,乗客アプリ（目的地から）,1108,535,2,1,2018/11/22 12:17,,,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.456605 139.635327,横浜ベイホテル東急,2018/11/22 12:42,,2018/11/22 12:53,,,2018/11/22 12:16,0:00:00,0:00:00,,00,,,,,,※同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/22 12:17,065-690-BANANA 065-691-BANANA,17671,乗客アプリ（Myルートから）,4746,407,2,2,2018/11/22 12:45,,,35.454389 139.630904,横浜ランドマークタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/22 12:42,,2018/11/22 12:59,,,2018/11/22 12:17,0:00:00,0:00:00,,00,27,,,,,,
★,☆,12,2018/11/22 12:17,167-847-CAKE,17672,乗客アプリ（目的地から）,1108,358,7,3,2018/11/22 12:18,,,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/22 12:55,,2018/11/22 13:11,,2018/11/22 12:27,2018/11/22 12:27,0:00:00,0:00:00,,00,,,,,,※同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/22 12:18,167-847-CAKE,17673,乗客アプリ（目的地から）,1108,770,7,3,2018/11/22 12:52,,,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/22 12:55,,2018/11/22 13:11,,,2018/11/22 12:18,0:00:00,0:00:00,,00,,,,,,※同一人物と思われるため一番短い待ち時間を採用,
-,☆,12,2018/11/22 12:19,070-801-ORANGE 069-616-BANANA,17674,乗客アプリ（簡単予約）,6916,652,3,2,2018/11/22 12:21,,,35.452963 139.642093,横浜赤レンガ倉庫,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/22 13:05,,2018/11/22 13:16,,,2018/11/22 12:19,0:00:00,0:00:00,,00,46,,,,,,
★,☆,12,2018/11/22 12:20,000-551-BLUE,17675,乗客アプリ（地図から）,6942,639,1,1,2018/11/22 12:21,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.445857 139.647636,ホテルモントレ横浜,2018/11/22 12:56,,2018/11/22 13:12,,2018/11/22 12:30,2018/11/22 12:30,0:00:00,0:00:00,,00,25,,,,,,
-,☆,12,2018/11/22 12:25,166-484-agekke,17678,まちかど端末（乗降ポイントから）,0,521,3,1,2018/11/22 12:50,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/22 13:00,,2018/11/22 13:06,,,2018/11/22 12:25,0:00:00,0:00:00,,00,34,,,,,,
-,☆,12,2018/11/22 12:34,071-144-ORANGE 069-689-BANANA,17681,乗客アプリ（地図から）,6975,855,6,2,2018/11/22 12:34,,,35.452963 139.642093,横浜赤レンガ倉庫,35.441441 139.648505,横浜中華街朱雀門,2018/11/22 12:42,,2018/11/22 12:55,,,2018/11/22 12:34,0:00:00,0:00:00,,00,08,,,,,,
★,☆,12,2018/11/22 12:35,024-870-GREEN,17683,乗客アプリ（目的地から）,1216,950,15,1,2018/11/22 12:35,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443908 139.635249,イセザキ・モール,2018/11/22 12:47,,2018/11/22 12:57,,2018/11/22 12:45,2018/11/22 12:45,0:00:00,0:00:00,,00,02,,,,,,
-,☆,12,2018/11/22 12:43,020-545-GREEN 025-468-GREEN,17690,乗客アプリ（目的地から）,6976,115,6,2,2018/11/22 12:43,,,35.452963 139.642093,横浜赤レンガ倉庫,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/22 13:08,,2018/11/22 13:19,,,2018/11/22 12:43,0:00:00,0:00:00,,00,25,,,,,,
-,☆,12,2018/11/22 12:56,026-040-GREEN 026-039-GREEN,17696,乗客アプリ（地図から）,6541,564,5,2,2018/11/22 13:07,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/22 13:03,,2018/11/22 13:15,,,2018/11/22 12:56,0:00:00,0:00:00,,00,10,,,,,,
★,☆,12,2018/11/22 12:57,015-197-RED 026-935-GREEN,17697,乗客アプリ（目的地から）,4745,602,5,2,2018/11/22 14:01,,,35.45435 139.631762,横浜ロイヤルパークホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/22 13:57,,2018/11/22 14:08,,2018/11/22 13:57,2018/11/22 13:57,0:00:00,0:00:00,,00,,,,,,※156行と同一人物と思われるため一番短い待ち時間を採用,
★,☆,12,2018/11/22 12:57,015-197-RED 026-935-GREEN,17698,乗客アプリ（目的地から）,4745,818,8,2,2018/11/22 12:58,,,35.45435 139.631762,横浜ロイヤルパークホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/22 13:57,,2018/11/22 14:08,,2018/11/22 13:57,2018/11/22 13:57,0:00:00,0:00:00,,00,00,,,,,※155行と同一人物と思われるため一番短い待ち時間を採用,
★,-,13,2018/11/22 12:59,105-864-SNOW 105-865-SNOW,17701,乗客アプリ（地図から）,6951,563,4,2,,2018/11/22 13:11,2018/11/22 13:25,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/22 13:09,2018/11/22 13:09,2018/11/22 13:31,2018/11/22 13:31,2018/11/22 13:09,2018/11/22 13:09,0:14:07,0:28:14,371,02,02,04,04,,,,
★,-,13,2018/11/22 12:59,105-902-SNOW,17702,乗客アプリ（地図から）,6965,569,6,1,,2018/11/22 13:04,2018/11/22 13:34,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/22 13:09,2018/11/22 13:09,2018/11/22 13:33,2018/11/22 13:33,2018/11/22 13:09,2018/11/22 13:09,0:30:25,0:30:25,,00,00,,,,,,
-,-,13,2018/11/22 13:02,117-703-SUN,17703,乗客アプリ（Myルートから）,1705,78,9,1,,2018/11/22 13:05,2018/11/22 13:11,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/22 13:04,2018/11/22 13:04,2018/11/22 13:16,2018/11/22 13:16,,2018/11/22 13:02,0:06:18,0:06:18,,01,03,,,,,,
-,-,13,2018/11/22 13:04,166-436-agekke,17704,乗客アプリ（地図から）,5385,223,3,1,,2018/11/22 13:08,2018/11/22 13:12,35.443908 139.635249,イセザキ・モール,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/22 13:09,2018/11/22 13:09,2018/11/22 13:17,2018/11/22 13:17,,2018/11/22 13:04,0:04:07,0:04:07,,00,04,,,,,,
-,-,13,2018/11/22 13:04,026-050-GREEN,17705,まちかど端末（乗降ポイントから）,0,16,10,1,,2018/11/22 13:10,2018/11/22 13:22,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/22 13:09,2018/11/22 13:09,2018/11/22 13:22,2018/11/22 13:24,,2018/11/22 13:04,0:11:34,0:11:34,,01,05,,,,,,
-,-,13,2018/11/22 13:05,031-947-YELLOW,17706,まちかど端末（店舗から）,0,618,2,1,,2018/11/22 13:08,2018/11/22 13:11,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.456605 139.635327,横浜ベイホテル東急,2018/11/22 13:13,2018/11/22 13:13,2018/11/22 13:26,2018/11/22 13:26,,2018/11/22 13:05,0:03:17,0:03:17,,00,02,,,,,,
-,-,13,2018/11/22 13:08,016-835-RED 016-836-RED 024-791-GREEN,17707,まちかど端末（乗降ポイントから）,0,363,5,3,,2018/11/22 13:18,2018/11/22 13:25,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/22 13:21,2018/11/22 13:21,2018/11/22 13:33,2018/11/22 13:33,,2018/11/22 13:08,0:07:07,0:21:21,,00,09,,,,,,
-,-,13,2018/11/22 13:10,024-793-GREEN 024-792-GREEN,17709,まちかど端末（店舗から）,0,310,9,2,,2018/11/22 13:24,2018/11/22 13:31,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/22 13:23,2018/11/22 13:23,2018/11/22 13:33,2018/11/22 13:33,,2018/11/22 13:10,0:07:13,0:14:26,,00,14,,,,,,
-,-,13,2018/11/22 13:10,166-484-agekke,17710,乗客アプリ（目的地から）,3162,425,10,1,,2018/11/22 13:22,2018/11/22 13:30,35.443908 139.635249,イセザキ・モール,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/22 13:24,2018/11/22 13:24,2018/11/22 13:38,2018/11/22 13:38,,2018/11/22 13:10,0:08:18,0:08:18,,00,12,,,,,,
-,-,13,2018/11/22 13:11,023-758-GREEN 015-945-RED,17711,乗客アプリ（簡単予約）,4650,325,2,2,,2018/11/22 13:18,2018/11/22 13:39,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/22 13:19,2018/11/22 13:19,2018/11/22 13:34,2018/11/22 13:48,,2018/11/22 13:11,0:21:09,0:42:18,,00,07,,,,,,
★,-,13,2018/11/22 13:14,102-648-SNOW 000-551-BLUE,17712,乗客アプリ（地図から）,6942,651,15,2,,2018/11/22 13:19,2018/11/22 13:30,35.445857 139.647636,ホテルモントレ横浜,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/22 13:24,2018/11/22 13:24,2018/11/22 13:44,2018/11/22 13:44,2018/11/22 13:24,2018/11/22 13:24,0:10:59,0:21:58,,00,00,,,,,,
★,-,13,2018/11/22 13:16,019-133-RED,17714,乗客アプリ（地図から）,5852,971,2,1,,2018/11/22 13:27,2018/11/22 13:34,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/22 13:26,2018/11/22 13:26,2018/11/22 13:37,2018/11/22 13:37,2018/11/22 13:26,2018/11/22 13:26,0:06:46,0:06:46,,01,01,,,,,,
-,-,13,2018/11/22 13:17,025-450-GREEN,17715,まちかど端末（店舗から）,0,550,3,1,,2018/11/22 13:20,2018/11/22 13:25,35.453715 139.638133,横浜ワールドポーターズ,35.445783 139.642958,横浜情報文化センター,2018/11/22 13:23,2018/11/22 13:23,2018/11/22 13:35,2018/11/22 13:35,,2018/11/22 13:17,0:05:34,0:05:34,,00,02,,,,,,
-,-,13,2018/11/22 13:20,023-428-GREEN,17716,乗客アプリ（地図から）,4182,317,13,1,,2018/11/22 13:25,2018/11/22 13:34,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/22 13:23,2018/11/22 13:23,2018/11/22 13:36,2018/11/22 13:36,,2018/11/22 13:20,0:08:24,0:08:24,,02,05,,,,,,
★,-,13,2018/11/22 13:20,020-933-GREEN 022-367-GREEN,17717,乗客アプリ（簡単予約）,3620,768,6,2,,2018/11/22 13:28,2018/11/22 13:41,35.456605 139.635327,横浜ベイホテル東急,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/22 13:30,2018/11/22 13:30,2018/11/22 13:44,2018/11/22 13:44,2018/11/22 13:30,2018/11/22 13:30,0:12:53,0:25:46,,00,00,,,,,,
★,-,13,2018/11/22 13:21,117-466-SUN,17718,乗客アプリ（地図から）,2512,1000,11,1,,2018/11/22 13:30,2018/11/22 13:40,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/22 13:31,2018/11/22 13:31,2018/11/22 13:45,2018/11/22 13:45,2018/11/22 13:31,2018/11/22 13:31,0:10:07,0:10:07,,00,00,,,,,,
-,-,13,2018/11/22 13:25,025-993-GREEN,17719,まちかど端末（店舗から）,0,116,9,1,,2018/11/22 13:28,2018/11/22 13:37,35.454389 139.630904,横浜ランドマークタワー,35.443659 139.650847,横浜マリンタワー,2018/11/22 13:28,2018/11/22 13:28,2018/11/22 13:47,2018/11/22 13:47,,2018/11/22 13:25,0:09:35,0:09:35,,00,03,,,,,,
★,-,13,2018/11/22 13:35,166-365-agekke,17721,乗客アプリ（目的地から）,2176,114,15,1,,2018/11/22 13:42,2018/11/22 13:48,35.456605 139.635327,横浜ベイホテル東急,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/22 13:45,2018/11/22 13:45,2018/11/22 13:53,2018/11/22 13:53,2018/11/22 13:45,2018/11/22 13:45,0:05:36,0:05:36,,00,00,,,,,,
-,-,13,2018/11/22 13:37,166-484-agekke,17722,まちかど端末（店舗から）,0,437,6,1,,2018/11/22 13:43,2018/11/22 13:49,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/22 13:45,2018/11/22 13:45,2018/11/22 13:52,2018/11/22 13:52,,2018/11/22 13:37,0:06:13,0:06:13,,00,06,,,,,,
-,-,13,2018/11/22 13:39,065-613-BANANA 065-614-BANANA 065-615-BANANA,17723,乗客アプリ（地図から）,6991,963,9,3,,2018/11/22 13:43,2018/11/22 13:53,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/22 13:41,2018/11/22 13:41,2018/11/22 13:55,2018/11/22 13:55,,2018/11/22 13:39,0:10:13,0:30:39,,01,03,,,,,,
-,-,13,2018/11/22 13:49,027-171-GREEN,17724,乗客アプリ（目的地から）,6658,85,3,1,,2018/11/22 13:53,2018/11/22 14:01,35.448801 139.636702,ホテルルートイン横浜馬車道,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/22 13:55,2018/11/22 13:55,2018/11/22 14:08,2018/11/22 14:08,,2018/11/22 13:49,0:07:17,0:07:17,,00,04,,,,,,
-,-,13,2018/11/22 13:50,118-014-SUN 118-012-SUN,17726,乗客アプリ（地図から）,6535,218,13,2,,2018/11/22 13:57,2018/11/22 14:07,35.448676 139.635696,横浜平和プラザホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/22 13:56,2018/11/22 13:56,2018/11/22 14:07,2018/11/22 14:07,,2018/11/22 13:50,0:10:10,0:20:20,,01,06,,,,,,
-,-,13,2018/11/22 13:52,031-388-YELLOW,17727,乗客アプリ（目的地から）,1771,400,11,1,,2018/11/22 14:03,2018/11/22 14:09,35.453715 139.638133,横浜ワールドポーターズ,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/22 13:55,2018/11/22 13:55,2018/11/22 14:05,2018/11/22 14:05,,2018/11/22 13:52,0:05:29,0:05:29,,08,11,,,,,,
-,-,13,2018/11/22 13:52,115-903-SUN,17729,乗客アプリ（目的地から）,6690,54,15,1,,2018/11/22 14:01,2018/11/22 14:08,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/22 14:02,2018/11/22 14:02,2018/11/22 14:10,2018/11/22 14:10,,2018/11/22 13:52,0:07:43,0:07:43,,00,08,,,,,,
-,-,13,2018/11/22 13:53,069-682-BANANA 069-680-BANANA,17730,まちかど端末（店舗から）,0,373,6,2,,2018/11/22 13:55,2018/11/22 14:08,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/22 13:56,2018/11/22 13:56,2018/11/22 14:11,2018/11/22 14:11,,2018/11/22 13:53,0:12:28,0:24:56,,00,01,,,,,,
-,-,13,2018/11/22 13:58,072-608-ORANGE,17731,乗客アプリ（簡単予約）,6734,542,8,1,,2018/11/22 14:04,2018/11/22 14:09,35.456605 139.635327,横浜ベイホテル東急,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/22 14:05,2018/11/22 14:05,2018/11/22 14:12,2018/11/22 14:12,,2018/11/22 13:58,0:04:54,0:04:54,,00,06,,,,,,
-,☆,13,2018/11/22 13:10,027-183-GREEN,17708,まちかど端末（店舗から）,0,590,15,1,2018/11/22 13:10,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.443908 139.635249,イセザキ・モール,2018/11/22 13:22,,2018/11/22 13:33,,,2018/11/22 13:10,0:00:00,0:00:00,,00,12,,,,,,
★,☆,13,2018/11/22 13:15,019-133-RED,17713,乗客アプリ（地図から）,5852,948,6,1,2018/11/22 13:15,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/22 13:25,,2018/11/22 13:38,,2018/11/22 13:25,2018/11/22 13:25,0:00:00,0:00:00,,00,00,,,,,,
-,☆,13,2018/11/22 13:31,167-847-CAKE,17720,乗客アプリ（目的地から）,1108,587,4,3,2018/11/22 13:31,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/22 13:36,,2018/11/22 13:50,,,2018/11/22 13:31,0:00:00,0:00:00,,00,04,,,,,,
★,-,14,2018/11/22 13:50,103-760-SNOW,17725,乗客アプリ（目的地から）,6388,702,4,1,,2018/11/22 14:02,2018/11/22 14:14,35.441002 139.650809,横浜元町ショッピングストリート,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/22 14:00,2018/11/22 14:00,2018/11/22 14:16,2018/11/22 14:16,2018/11/22 14:00,2018/11/22 14:00,0:12:14,0:12:14,854,02,02,08,06,,,,
★,-,14,2018/11/22 13:52,022-224-GREEN 032-009-YELLOW,17728,乗客アプリ（地図から）,6760,650,1,2,,2018/11/22 14:01,2018/11/22 14:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443659 139.650847,横浜マリンタワー,2018/11/22 14:02,2018/11/22 14:02,2018/11/22 14:21,2018/11/22 14:27,2018/11/22 14:02,2018/11/22 14:02,0:17:06,0:34:12,,00,00,,,,,,
★,-,14,2018/11/22 13:58,068-148-BANANA,17732,乗客アプリ（地図から）,5131,453,1,1,,2018/11/22 14:08,2018/11/22 14:19,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443073 139.651914,横浜人形の家,2018/11/22 14:08,2018/11/22 14:08,2018/11/22 14:28,2018/11/22 14:28,2018/11/22 14:08,2018/11/22 14:08,0:11:35,0:11:35,,00,00,,,,,,
-,-,14,2018/11/22 14:00,167-847-CAKE,17733,乗客アプリ（目的地から）,1108,328,3,3,,2018/11/22 14:08,2018/11/22 14:36,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/22 14:09,2018/11/22 14:09,2018/11/22 14:22,2018/11/22 14:22,,2018/11/22 14:00,0:28:07,1:24:21,,00,08,,,,,,
-,-,14,2018/11/22 14:02,024-789-GREEN 024-790-GREEN 024-788-GREEN,17734,乗客アプリ（簡単予約）,6995,487,9,3,,2018/11/22 14:05,2018/11/22 14:17,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/22 14:05,2018/11/22 14:05,2018/11/22 14:16,2018/11/22 14:16,,2018/11/22 14:02,0:11:45,0:35:15,,00,03,,,,,,
