,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
-,-,10,2018/12/10 9:01,002-172-BLUE,28883,乗客アプリ（Myルートから）,5081,295,7,1,,2018/12/10 10:01,2018/12/10 10:08,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/12/10 10:03,2018/12/10 10:03,2018/12/10 10:11,2018/12/10 10:11,,2018/12/10 9:01,0:06:38,0:06:38,746,00,01,06,05,,2018/12/10 10:00,※10時以前に予約しているため
★,-,10,2018/12/10 9:01,077-489-ORANGE 077-488-ORANGE 077-487-ORANGE,28884,乗客アプリ（地図から）,8886,579,1,3,,2018/12/10 10:00,2018/12/10 10:06,35.456605 139.635327,横浜ベイホテル東急,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/12/10 10:04,2018/12/10 10:04,2018/12/10 10:13,2018/12/10 10:10,2018/12/10 10:01,2018/12/10 10:01,0:05:46,0:17:18,,00,00,,,,2018/12/10 10:00,※10時以前に予約しているため
-,-,10,2018/12/10 9:03,168-295-CAKE,28885,乗客アプリWeb（地図から）,5923,246,2,1,,2018/12/10 10:08,2018/12/10 10:25,35.441002 139.650809,横浜元町ショッピングストリート,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/12/10 10:13,2018/12/10 10:13,2018/12/10 10:31,2018/12/10 10:27,,2018/12/10 9:03,0:17:22,0:17:22,,00,08,,,,2018/12/10 10:00,※10時以前に予約しているため
★,-,10,2018/12/10 9:12,065-921-BANANA 065-920-BANANA,28887,乗客アプリ（簡単予約）,8855,70,3,2,,2018/12/10 10:11,2018/12/10 10:17,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/10 10:12,2018/12/10 10:12,2018/12/10 10:22,2018/12/10 10:22,2018/12/10 10:12,2018/12/10 10:12,0:06:40,0:13:20,,00,00,,,,2018/12/10 10:00,※10時以前に予約しているため
★,-,10,2018/12/10 9:14,034-074-YELLOW,28888,乗客アプリ（地図から）,5528,73,5,1,,2018/12/10 10:08,2018/12/10 10:16,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/12/10 10:12,2018/12/10 10:12,2018/12/10 10:21,2018/12/10 10:17,2018/12/10 9:24,2018/12/10 9:24,0:07:54,0:07:54,,00,08,,,,2018/12/10 10:00,※10時以前に予約しているため
★,-,10,2018/12/10 9:34,064-273-BANANA,28889,乗客アプリ（地図から）,4542,627,10,1,,2018/12/10 10:26,2018/12/10 10:34,35.456605 139.635327,横浜ベイホテル東急,35.445857 139.647636,ホテルモントレ横浜,2018/12/10 10:34,2018/12/10 10:34,2018/12/10 10:45,2018/12/10 10:45,2018/12/10 10:34,2018/12/10 10:34,0:08:05,0:08:05,,00,00,,,,2018/12/10 10:00,※10時以前に予約しているため
-,-,10,2018/12/10 9:54,103-764-SNOW,28890,乗客アプリ（Myルートから）,6349,563,8,1,,2018/12/10 10:04,2018/12/10 10:11,35.445857 139.647636,ホテルモントレ横浜,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/12/10 10:12,2018/12/10 10:12,2018/12/10 10:19,2018/12/10 10:10,,2018/12/10 9:54,0:06:44,0:06:44,,00,04,,,,2018/12/10 10:00,※10時以前に予約しているため
★,-,10,2018/12/10 9:56,166-180-agekke,28891,乗客アプリ（地図から）,2176,237,13,1,,2018/12/10 10:04,2018/12/10 10:10,35.456605 139.635327,横浜ベイホテル東急,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/12/10 10:06,2018/12/10 10:06,2018/12/10 10:14,2018/12/10 10:13,2018/12/10 10:06,2018/12/10 10:06,0:05:28,0:05:28,,00,00,,,,2018/12/10 10:00,※10時以前に予約しているため
-,-,10,2018/12/10 9:57,033-382-YELLOW,28892,乗客アプリ（Myルートから）,4852,200,6,1,,2018/12/10 10:07,2018/12/10 10:11,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/10 10:06,2018/12/10 10:06,2018/12/10 10:13,2018/12/10 10:13,,2018/12/10 9:57,0:03:56,0:03:56,,01,07,,,,2018/12/10 10:00,※10時以前に予約しているため
-,-,10,2018/12/10 9:57,005-775-BLUE,28893,乗客アプリ（Myルートから）,5702,274,10,1,,2018/12/10 10:02,2018/12/10 10:05,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/10 10:06,2018/12/10 10:06,2018/12/10 10:11,2018/12/10 10:11,,2018/12/10 9:57,0:03:21,0:03:21,,00,02,,,,2018/12/10 10:00,※10時以前に予約しているため
-,-,10,2018/12/10 10:01,055-740-STRAWBERRY 024-417-GREEN,28894,まちかど端末（店舗から）,0,973,9,2,,2018/12/10 10:04,2018/12/10 10:19,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/10 10:04,2018/12/10 10:04,2018/12/10 10:16,2018/12/10 10:16,,2018/12/10 10:01,0:15:04,0:30:08,,00,03,,,,,
-,-,10,2018/12/10 10:03,007-289-BLUE,28895,乗客アプリ（Myルートから）,1358,709,11,1,,2018/12/10 10:07,2018/12/10 10:11,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/10 10:09,2018/12/10 10:09,2018/12/10 10:18,2018/12/10 10:16,,2018/12/10 10:03,0:04:34,0:04:34,,00,03,,,,,
-,-,10,2018/12/10 10:04,038-376-YELLOW,28896,まちかど端末（店舗から）,0,344,15,1,,2018/12/10 10:07,2018/12/10 10:13,35.454389 139.630904,横浜ランドマークタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/12/10 10:08,2018/12/10 10:08,2018/12/10 10:20,2018/12/10 10:18,,2018/12/10 10:04,0:06:52,0:06:52,,00,03,,,,,
-,-,10,2018/12/10 10:04,121-203-SKY 121-204-SKY 121-202-SKY,28897,まちかど端末（店舗から）,0,887,8,3,,2018/12/10 10:19,2018/12/10 10:26,35.44291 139.650404,元町・中華街駅（みなとみらい線）,35.443908 139.635249,イセザキ・モール,2018/12/10 10:17,2018/12/10 10:17,2018/12/10 10:27,2018/12/10 10:29,,2018/12/10 10:04,0:07:57,0:23:51,,01,14,,,,,
-,-,10,2018/12/10 10:05,070-796-ORANGE 070-654-ORANGE 076-430-ORANGE,28898,まちかど端末（店舗から）,0,129,1,3,,2018/12/10 10:15,2018/12/10 10:31,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.441002 139.650809,横浜元町ショッピングストリート,2018/12/10 10:16,2018/12/10 10:16,2018/12/10 10:32,2018/12/10 10:32,,2018/12/10 10:05,0:16:01,0:48:03,,00,09,,,,,
-,-,10,2018/12/10 10:06,166-338-agekke,28900,乗客アプリ（地図から）,5522,278,10,1,,2018/12/10 10:13,2018/12/10 10:19,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/12/10 10:14,2018/12/10 10:14,2018/12/10 10:21,2018/12/10 10:21,,2018/12/10 10:06,0:06:20,0:06:20,,00,07,,,,,
-,-,10,2018/12/10 10:06,166-196-agekke,28901,乗客アプリ（地図から）,1885,325,13,1,,2018/12/10 10:18,2018/12/10 10:30,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/12/10 10:22,2018/12/10 10:22,2018/12/10 10:34,2018/12/10 10:30,,2018/12/10 10:06,0:11:50,0:11:50,,00,11,,,,,
-,-,10,2018/12/10 10:07,166-330-agekke,28902,乗客アプリ（目的地から）,2314,766,11,1,,2018/12/10 10:19,2018/12/10 10:26,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/12/10 10:26,2018/12/10 10:26,2018/12/10 10:39,2018/12/10 10:39,,2018/12/10 10:07,0:07:21,0:07:21,,00,12,,,,,
-,-,10,2018/12/10 10:09,166-346-agekke,28903,乗客アプリ（地図から）,2306,406,6,1,,2018/12/10 10:19,2018/12/10 10:36,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/12/10 10:23,2018/12/10 10:23,2018/12/10 10:37,2018/12/10 10:40,,2018/12/10 10:09,0:16:57,0:16:57,,00,10,,,,,
-,-,10,2018/12/10 10:11,025-527-GREEN,28906,乗客アプリ（地図から）,5351,220,13,1,,2018/12/10 10:18,2018/12/10 10:30,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/12/10 10:23,2018/12/10 10:23,2018/12/10 10:34,2018/12/10 10:30,,2018/12/10 10:11,0:11:37,0:11:37,,00,07,,,,,
