,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
-,-,10,2018/12/3 9:41,056-043-STRAWBERRY,24146,乗客アプリ（地図から）,8133,607,2,1,,2018/12/3 10:08,2018/12/3 10:14,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.448676 139.635696,横浜平和プラザホテル,2018/12/3 10:12,2018/12/3 10:12,2018/12/3 10:19,2018/12/3 10:19,,2018/12/3 9:41,0:05:45,0:05:45,446,00,08,03,03,,2018/12/3 10:00,※10時以前に予約しているため,
-,-,10,2018/12/3 9:46,071-186-ORANGE 071-185-ORANGE,24147,まちかど端末（店舗から）,0,189,1,2,,2018/12/3 10:07,2018/12/3 10:14,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/12/3 10:08,2018/12/3 10:08,2018/12/3 10:15,2018/12/3 10:15,,2018/12/3 9:46,0:07:10,0:14:20,,00,07,,,,2018/12/3 10:00,※10時以前に予約しているため,
★,-,10,2018/12/3 9:54,076-654-ORANGE 035-469-YELLOW 076-656-ORANGE,24148,乗客アプリ（地図から）,8173,409,3,3,,2018/12/3 10:03,2018/12/3 10:14,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.441441 139.648505,横浜中華街朱雀門,2018/12/3 10:05,2018/12/3 10:05,2018/12/3 10:21,2018/12/3 10:21,2018/12/3 10:04,2018/12/3 10:04,0:11:33,0:34:39,,00,00,,,,,,
★,-,10,2018/12/3 9:58,168-110-CAKE,24149,乗客アプリWeb（目的地から）,8127,425,7,2,,2018/12/3 10:06,2018/12/3 10:14,35.450554 139.632616,横浜桜木町ワシントンホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/12/3 10:08,2018/12/3 10:08,2018/12/3 10:19,2018/12/3 10:19,2018/12/3 10:08,2018/12/3 10:08,0:07:37,0:15:14,,00,00,,,,,,
-,-,10,2018/12/3 9:58,005-784-BLUE,24150,乗客アプリ（Myルートから）,5702,328,13,1,,2018/12/3 10:03,2018/12/3 10:08,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/3 10:05,2018/12/3 10:05,2018/12/3 10:11,2018/12/3 10:11,,2018/12/3 9:58,0:05:10,0:05:10,,00,03,,,,2018/12/3 10:00,※10時以前に予約しているため,
★,-,10,2018/12/3 10:00,035-302-YELLOW,24151,乗客アプリ（地図から）,6763,389,10,1,,2018/12/3 10:08,2018/12/3 10:16,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/12/3 10:10,2018/12/3 10:10,2018/12/3 10:15,2018/12/3 10:15,2018/12/3 10:10,2018/12/3 10:10,0:07:55,0:07:55,,00,00,,,,,,
-,-,10,2018/12/3 10:00,032-571-YELLOW,24152,乗客アプリ（Myルートから）,2137,384,9,1,,2018/12/3 10:03,2018/12/3 10:11,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/12/3 10:03,2018/12/3 10:03,2018/12/3 10:12,2018/12/3 10:12,,2018/12/3 10:00,0:08:08,0:08:08,,00,03,,,,,,
-,-,10,2018/12/3 10:01,033-115-YELLOW,24153,まちかど端末（乗降ポイントから）,0,703,8,1,,2018/12/3 10:07,2018/12/3 10:23,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/12/3 10:02,2018/12/3 10:04,2018/12/3 10:15,2018/12/3 10:24,,2018/12/3 10:01,0:16:43,0:16:43,,04,06,,,,,,
★,-,10,2018/12/3 10:01,036-287-YELLOW,24154,乗客アプリ（Myルートから）,3394,839,4,1,,2018/12/3 10:10,2018/12/3 10:18,35.441002 139.650809,横浜元町ショッピングストリート,35.453715 139.638133,横浜ワールドポーターズ,2018/12/3 10:14,2018/12/3 10:14,2018/12/3 10:26,2018/12/3 10:26,2018/12/3 10:11,2018/12/3 10:11,0:08:08,0:08:08,,00,00,,,,,,
-,-,10,2018/12/3 10:01,166-411-agekke,24155,乗客アプリ（地図から）,1885,62,15,1,,2018/12/3 10:05,2018/12/3 10:14,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/12/3 10:04,2018/12/3 10:04,2018/12/3 10:15,2018/12/3 10:15,,2018/12/3 10:01,0:08:28,0:08:28,,01,04,,,,,,
