,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
-,-,10,2018/12/4 9:28,109-589-SNOW,24650,乗客アプリ（簡単予約）,5287,245,9,1,,2018/12/4 10:06,2018/12/4 10:16,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443073 139.651914,横浜人形の家,2018/12/4 10:05,2018/12/4 10:05,2018/12/4 10:16,2018/12/4 10:16,,2018/12/4 9:28,0:09:27,0:09:27,403,01,06,04,04,,2018/12/4 10:00,※10時以前に予約しているため
★,-,10,2018/12/4 9:37,025-755-GREEN,24652,乗客アプリ（地図から）,3025,249,2,1,,2018/12/4 10:37,2018/12/4 10:54,35.441441 139.648505,横浜中華街朱雀門,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/4 10:37,2018/12/4 10:37,2018/12/4 10:49,2018/12/4 10:49,2018/12/4 10:37,2018/12/4 10:37,0:16:49,0:16:49,,00,00,,,,,
★,-,10,2018/12/4 9:40,017-924-RED,24653,乗客アプリ（簡単予約）,8234,963,2,1,,2018/12/4 10:04,2018/12/4 10:14,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/12/4 10:05,2018/12/4 10:05,2018/12/4 10:16,2018/12/4 10:16,2018/12/4 9:50,2018/12/4 9:50,0:10:02,0:10:02,,00,04,,,,2018/12/4 10:00,※10時以前に予約しているため
-,-,10,2018/12/4 9:47,103-599-SNOW 103-602-SNOW 103-601-SNOW,24654,乗客アプリ（地図から）,5710,778,10,3,,2018/12/4 10:05,2018/12/4 10:11,35.45435 139.631762,横浜ロイヤルパークホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/12/4 10:04,2018/12/4 10:04,2018/12/4 10:13,2018/12/4 10:13,,2018/12/4 9:47,0:06:16,0:18:48,,01,05,,,,2018/12/4 10:00,※10時以前に予約しているため
-,-,10,2018/12/4 9:49,025-355-GREEN 025-354-GREEN 025-356-GREEN,24655,乗客アプリ（簡単予約）,6335,129,10,3,,2018/12/4 10:16,2018/12/4 10:28,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/12/4 10:17,2018/12/4 10:17,2018/12/4 10:33,2018/12/4 10:33,,2018/12/4 9:49,0:11:46,0:35:18,,00,16,,,,2018/12/4 10:00,※10時以前に予約しているため
-,-,10,2018/12/4 10:00,166-278-agekke,24656,乗客アプリ（地図から）,2435,548,8,1,,2018/12/4 10:06,2018/12/4 10:12,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/4 10:01,2018/12/4 10:01,2018/12/4 10:11,2018/12/4 10:11,,2018/12/4 10:00,0:05:27,0:05:27,,04,06,,,,,
-,-,10,2018/12/4 10:02,007-571-BLUE,24657,乗客アプリ（Myルートから）,1358,93,11,1,,2018/12/4 10:06,2018/12/4 10:21,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/4 10:07,2018/12/4 10:07,2018/12/4 10:16,2018/12/4 10:25,,2018/12/4 10:02,0:14:52,0:14:52,,00,04,,,,,
★,-,10,2018/12/4 10:03,036-287-YELLOW,24658,乗客アプリ（Myルートから）,3394,46,6,1,,2018/12/4 10:12,2018/12/4 10:21,35.441002 139.650809,横浜元町ショッピングストリート,35.453715 139.638133,横浜ワールドポーターズ,2018/12/4 10:17,2018/12/4 10:17,2018/12/4 10:29,2018/12/4 10:29,2018/12/4 10:13,2018/12/4 10:13,0:08:17,0:08:17,,00,00,,,,,
-,-,10,2018/12/4 10:03,065-173-BANANA,24659,乗客アプリ（目的地から）,2741,918,7,1,,2018/12/4 10:12,2018/12/4 10:21,35.448676 139.635696,横浜平和プラザホテル,35.44291 139.650404,元町・中華街駅（みなとみらい線）,2018/12/4 10:12,2018/12/4 10:12,2018/12/4 10:21,2018/12/4 10:21,,2018/12/4 10:03,0:08:41,0:08:41,,00,08,,,,,
-,-,10,2018/12/4 10:03,166-364-agekke,24660,乗客アプリ（目的地から）,1742,443,4,1,,2018/12/4 10:05,2018/12/4 10:16,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/12/4 10:05,2018/12/4 10:05,2018/12/4 10:16,2018/12/4 10:16,,2018/12/4 10:03,0:10:27,0:10:27,,00,01,,,,,
