,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
★,-,10,2018/11/21 9:49,027-279-GREEN,16989,乗客アプリ（地図から）,3738,148,10,1,,2018/11/21 10:10,2018/11/21 10:23,35.441002 139.650809,横浜元町ショッピングストリート,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/21 10:14,2018/11/21 10:14,2018/11/21 10:29,2018/11/21 10:29,2018/11/21 9:59,2018/11/21 9:59,0:13:00,0:13:00,449,00,10,05,04,,,,
-,-,10,2018/11/21 9:52,068-141-BANANA 068-137-BANANA 068-139-BANANA 068-138-BANANA 068-140-BANANA,16991,まちかど端末（店舗から）,0,542,4,5,,2018/11/21 9:59,2018/11/21 10:07,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/21 10:06,2018/11/21 10:06,2018/11/21 10:19,2018/11/21 10:19,,2018/11/21 9:52,0:08:14,0:41:10,,00,00,,,,2018/11/21 10:00,※10時以前に予約しているため,
★,-,10,2018/11/21 9:53,023-817-GREEN,16992,乗客アプリ（地図から）,6763,584,5,1,,2018/11/21 9:59,2018/11/21 10:04,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/21 10:03,2018/11/21 10:03,2018/11/21 10:08,2018/11/21 10:09,2018/11/21 10:03,2018/11/21 10:03,0:04:35,0:04:35,,00,00,,,,,,
-,-,10,2018/11/21 9:57,022-889-GREEN,16993,乗客アプリ（目的地から）,3457,445,5,1,,2018/11/21 10:00,2018/11/21 10:05,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/21 10:03,2018/11/21 10:03,2018/11/21 10:11,2018/11/21 10:11,,2018/11/21 9:57,0:04:51,0:04:51,,00,00,,,,2018/11/21 10:00,※10時以前に予約しているため,
-,-,10,2018/11/21 10:01,166-536-agekke,16994,乗客アプリ（地図から）,2225,891,1,1,,2018/11/21 10:04,2018/11/21 10:12,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/21 10:03,2018/11/21 10:03,2018/11/21 10:16,2018/11/21 10:16,,2018/11/21 10:01,0:08:01,0:08:01,,01,03,,,,,,
-,-,10,2018/11/21 10:03,065-427-BANANA 065-428-BANANA,16995,まちかど端末（店舗から）,0,376,11,2,,2018/11/21 10:04,2018/11/21 10:08,35.448676 139.635696,横浜平和プラザホテル,35.454389 139.630904,横浜ランドマークタワー,2018/11/21 10:04,2018/11/21 10:04,2018/11/21 10:15,2018/11/21 10:15,,2018/11/21 10:03,0:04:13,0:08:26,,00,01,,,,,,
-,-,10,2018/11/21 10:05,166-496-agekke,16996,乗客アプリ（目的地から）,2314,204,13,1,,2018/11/21 10:08,2018/11/21 10:20,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/21 10:07,2018/11/21 10:08,2018/11/21 10:20,2018/11/21 10:30,,2018/11/21 10:05,0:12:54,0:12:54,,00,02,,,,,,
-,-,10,2018/11/21 10:05,004-237-BLUE,16997,乗客アプリ（地図から）,4852,700,5,1,,2018/11/21 10:11,2018/11/21 10:14,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/21 10:12,2018/11/21 10:12,2018/11/21 10:17,2018/11/21 10:17,,2018/11/21 10:05,0:03:32,0:03:32,,00,05,,,,,,
★,-,10,2018/11/21 10:07,067-166-BANANA,16999,乗客アプリ（地図から）,5528,485,8,1,,2018/11/21 10:14,2018/11/21 10:22,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443073 139.651914,横浜人形の家,2018/11/21 10:17,2018/11/21 10:17,2018/11/21 10:23,2018/11/21 10:23,2018/11/21 10:17,2018/11/21 10:17,0:07:44,0:07:44,,00,00,,,,,,
-,-,10,2018/11/21 10:07,166-488-agekke,17000,まちかど端末（乗降ポイントから）,0,884,4,1,,2018/11/21 10:12,2018/11/21 10:17,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/21 10:17,2018/11/21 10:17,2018/11/21 10:26,2018/11/21 10:26,,2018/11/21 10:07,0:05:05,0:05:05,,00,04,,,,,,
