,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
★,-,10,2018/12/1 9:43,168-018-CAKE,22730,乗客アプリWeb（簡単予約）,7106,822,7,1,,2018/12/1 10:04,2018/12/1 10:09,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/12/1 10:05,2018/12/1 10:05,2018/12/1 10:14,2018/12/1 10:14,2018/12/1 9:53,2018/12/1 9:53,0:04:38,0:04:38,491,00,04,03,02,,2018/12/1 10:00,※10時以前に予約しているため,
-,-,10,2018/12/1 9:50,118-798-SUN,22731,乗客アプリ（目的地から）,7866,347,8,1,,2018/12/1 10:08,2018/12/1 10:14,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.453715 139.638133,横浜ワールドポーターズ,2018/12/1 10:03,2018/12/1 10:03,2018/12/1 10:12,2018/12/1 10:12,,2018/12/1 9:50,0:06:12,0:06:12,,04,08,,,,2018/12/1 10:00,※10時以前に予約しているため,
-,-,10,2018/12/1 9:59,077-424-ORANGE,22732,まちかど端末（店舗から）,0,455,1,1,,2018/12/1 10:15,2018/12/1 10:23,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.456605 139.635327,横浜ベイホテル東急,2018/12/1 10:12,2018/12/1 10:12,2018/12/1 10:28,2018/12/1 10:28,,2018/12/1 9:59,0:07:38,0:07:38,,02,15,,,,2018/12/1 10:00,※10時以前に予約しているため,
-,-,10,2018/12/1 9:59,032-710-YELLOW 032-679-YELLOW,22733,乗客アプリ（地図から）,7193,358,3,2,,2018/12/1 10:04,2018/12/1 10:14,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/12/1 10:01,2018/12/1 10:01,2018/12/1 10:15,2018/12/1 10:15,,2018/12/1 9:59,0:09:11,0:18:22,,03,04,,,,2018/12/1 10:00,※10時以前に予約しているため,
-,-,10,2018/12/1 10:03,035-543-YELLOW,22734,乗客アプリ（目的地から）,3845,188,12,1,,2018/12/1 10:05,2018/12/1 10:14,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/12/1 10:05,2018/12/1 10:05,2018/12/1 10:18,2018/12/1 10:18,,2018/12/1 10:03,0:08:22,0:08:22,,00,02,,,,,,
-,-,10,2018/12/1 10:04,022-888-GREEN,22735,乗客アプリ（Myルートから）,3457,775,11,1,,2018/12/1 10:09,2018/12/1 10:15,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/1 10:09,2018/12/1 10:09,2018/12/1 10:16,2018/12/1 10:16,,2018/12/1 10:04,0:05:29,0:05:29,,00,05,,,,,,
-,-,10,2018/12/1 10:05,075-938-ORANGE,22736,まちかど端末（乗降ポイントから）,0,9,9,1,,2018/12/1 10:09,2018/12/1 10:17,35.448676 139.635696,横浜平和プラザホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/12/1 10:12,2018/12/1 10:12,2018/12/1 10:24,2018/12/1 10:24,,2018/12/1 10:05,0:07:43,0:07:43,,00,04,,,,,,
★,-,10,2018/12/1 10:05,012-358-RED 012-359-RED,22737,乗客アプリ（Myルートから）,4179,226,4,2,,2018/12/1 10:18,2018/12/1 10:26,35.441441 139.648505,横浜中華街朱雀門,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/12/1 10:17,2018/12/1 10:17,2018/12/1 10:34,2018/12/1 10:34,2018/12/1 10:15,2018/12/1 10:15,0:08:15,0:16:30,,00,02,,,,,,
-,-,10,2018/12/1 10:06,166-358-agekke,22738,乗客アプリ（地図から）,5762,63,13,1,,2018/12/1 10:07,2018/12/1 10:12,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/1 10:08,2018/12/1 10:08,2018/12/1 10:17,2018/12/1 10:17,,2018/12/1 10:06,0:05:05,0:05:05,,00,00,,,,,,
-,-,10,2018/12/1 10:06,166-374-agekke,22739,乗客アプリ（地図から）,5522,224,6,1,,2018/12/1 10:08,2018/12/1 10:13,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/12/1 10:09,2018/12/1 10:09,2018/12/1 10:15,2018/12/1 10:15,,2018/12/1 10:06,0:04:34,0:04:34,,00,01,,,,,,
