,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
-,-,10,2018/12/5 9:35,118-600-SUN,25245,乗客アプリ（地図から）,6542,909,8,1,,2018/12/5 10:09,2018/12/5 10:15,35.441002 139.650809,横浜元町ショッピングストリート,35.447546 139.64358,横浜開港資料館,2018/12/5 10:14,2018/12/5 10:14,2018/12/5 10:21,2018/12/5 10:22,,2018/12/5 9:35,0:06:22,0:06:22,551,00,09,07,05,,2018/12/5 10:00,※10時以前に予約しているため,
★,-,10,2018/12/5 9:47,022-300-GREEN 022-292-GREEN,25247,乗客アプリ（簡単予約）,5906,569,4,2,,2018/12/5 10:02,2018/12/5 10:13,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/12/5 10:04,2018/12/5 10:04,2018/12/5 10:13,2018/12/5 10:13,2018/12/5 9:57,2018/12/5 9:57,0:11:06,0:22:12,,00,02,,,,2018/12/5 10:00,※10時以前に予約しているため,
-,-,10,2018/12/5 9:48,120-659-SKY,25248,乗客アプリ（目的地から）,8335,746,11,1,,2018/12/5 10:04,2018/12/5 10:10,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/12/5 10:06,2018/12/5 10:06,2018/12/5 10:15,2018/12/5 10:12,,2018/12/5 9:48,0:05:21,0:05:21,,00,04,,,,2018/12/5 10:00,※10時以前に予約しているため,
★,-,10,2018/12/5 9:52,076-214-ORANGE,25250,乗客アプリ（地図から）,3738,753,8,1,,2018/12/5 10:09,2018/12/5 10:22,35.441002 139.650809,横浜元町ショッピングストリート,35.45435 139.631762,横浜ロイヤルパークホテル,2018/12/5 10:15,2018/12/5 10:15,2018/12/5 10:33,2018/12/5 10:33,2018/12/5 10:02,2018/12/5 10:02,0:13:42,0:13:42,,00,06,,,,2018/12/5 10:00,※10時以前に予約しているため,
-,-,10,2018/12/5 9:55,065-145-BANANA 077-353-ORANGE,25251,まちかど端末（店舗から）,0,966,2,2,,2018/12/5 10:07,2018/12/5 10:16,35.448676 139.635696,横浜平和プラザホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/12/5 10:08,2018/12/5 10:08,2018/12/5 10:21,2018/12/5 10:21,,2018/12/5 9:55,0:08:09,0:16:18,,00,07,,,,2018/12/5 10:00,※10時以前に予約しているため,
-,-,10,2018/12/5 9:57,076-028-ORANGE,25252,まちかど端末（店舗から）,0,943,6,1,,2018/12/5 10:07,2018/12/5 10:15,35.443704 139.651332,ホテルメルパルク横浜,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/12/5 10:13,2018/12/5 10:13,2018/12/5 10:22,2018/12/5 10:22,,2018/12/5 9:57,0:08:57,0:08:57,,00,07,,,,2018/12/5 10:00,※10時以前に予約しているため,
-,-,10,2018/12/5 9:59,033-019-YELLOW,25254,乗客アプリ（Myルートから）,4852,408,1,1,,2018/12/5 10:06,2018/12/5 10:10,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/5 10:05,2018/12/5 10:05,2018/12/5 10:12,2018/12/5 10:12,,2018/12/5 9:59,0:04:19,0:04:19,,00,06,,,,2018/12/5 10:00,※10時以前に予約しているため,
-,-,10,2018/12/5 10:04,166-278-agekke,25257,乗客アプリ（地図から）,2435,508,15,1,,2018/12/5 10:07,2018/12/5 10:17,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/12/5 10:06,2018/12/5 10:06,2018/12/5 10:20,2018/12/5 10:20,,2018/12/5 10:04,0:09:42,0:09:42,,01,03,,,,,,
-,-,10,2018/12/5 10:04,035-645-YELLOW,25258,乗客アプリ（Myルートから）,3394,521,13,1,,2018/12/5 10:12,2018/12/5 10:21,35.441002 139.650809,横浜元町ショッピングストリート,35.453715 139.638133,横浜ワールドポーターズ,2018/12/5 10:11,2018/12/5 10:11,2018/12/5 10:23,2018/12/5 10:23,,2018/12/5 10:04,0:09:22,0:09:22,,00,07,,,,,,
-,-,10,2018/12/5 10:07,019-967-RED,25260,乗客アプリ（Myルートから）,3457,176,7,1,,2018/12/5 10:11,2018/12/5 10:19,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/5 10:12,2018/12/5 10:14,2018/12/5 10:19,2018/12/5 10:26,,2018/12/5 10:07,0:08:26,0:08:26,,00,03,,,,,,
