,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,
-,-,10,2018/12/6 10:01,072-556-ORANGE,25764,乗客アプリ（地図から）,4749,433,13,1,,2018/12/6 10:07,2018/12/6 10:25,35.456605 139.635327,横浜ベイホテル東急,35.450447 139.635947,馬車道駅（みなとみらい線）,2018/12/6 10:07,2018/12/6 10:07,2018/12/6 10:16,2018/12/6 10:28,,2018/12/6 10:01,0:17:06,0:17:06,269,00,06,03,03,,,
-,-,10,2018/12/6 10:02,024-268-GREEN 109-765-SNOW,25765,乗客アプリ（地図から）,5408,92,7,2,,2018/12/6 10:04,2018/12/6 10:08,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/12/6 10:04,2018/12/6 10:04,2018/12/6 10:11,2018/12/6 10:08,,2018/12/6 10:02,0:04:17,0:08:34,,00,01,,,,,
-,-,10,2018/12/6 10:07,070-401-ORANGE 077-105-ORANGE,25766,まちかど端末（乗降ポイントから）,0,999,7,2,,2018/12/6 10:11,2018/12/6 10:21,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/12/6 10:08,2018/12/6 10:08,2018/12/6 10:20,2018/12/6 10:20,,2018/12/6 10:07,0:10:20,0:20:40,,02,04,,,,,
★,-,10,2018/12/6 10:08,012-090-RED,25767,乗客アプリ（目的地から）,6771,82,13,1,,2018/12/6 10:18,2018/12/6 10:30,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/12/6 10:18,2018/12/6 10:18,2018/12/6 10:34,2018/12/6 10:34,2018/12/6 10:18,2018/12/6 10:18,0:12:05,0:12:05,,00,00,,,,,
-,-,10,2018/12/6 10:10,004-857-BLUE,25768,乗客アプリ（Myルートから）,2351,896,11,1,,2018/12/6 10:14,2018/12/6 10:23,35.445783 139.642958,横浜情報文化センター,35.454389 139.630904,横浜ランドマークタワー,2018/12/6 10:15,2018/12/6 10:15,2018/12/6 10:28,2018/12/6 10:23,,2018/12/6 10:10,0:09:08,0:09:08,,00,03,,,,,
-,-,10,2018/12/6 10:13,007-570-BLUE,25769,乗客アプリ（Myルートから）,1358,568,8,1,,2018/12/6 10:15,2018/12/6 10:20,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/6 10:14,2018/12/6 10:14,2018/12/6 10:23,2018/12/6 10:23,,2018/12/6 10:13,0:05:05,0:05:05,,00,02,,,,,
-,-,10,2018/12/6 10:14,077-478-ORANGE,25770,まちかど端末（店舗から）,0,768,9,1,,2018/12/6 10:19,2018/12/6 10:23,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/6 10:21,2018/12/6 10:21,2018/12/6 10:27,2018/12/6 10:27,,2018/12/6 10:14,0:03:50,0:03:50,,00,05,,,,,
-,-,10,2018/12/6 10:14,077-354-ORANGE,25771,まちかど端末（乗降ポイントから）,0,775,10,1,,2018/12/6 10:18,2018/12/6 10:27,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450447 139.635947,馬車道駅（みなとみらい線）,2018/12/6 10:17,2018/12/6 10:17,2018/12/6 10:27,2018/12/6 10:27,,2018/12/6 10:14,0:09:13,0:09:13,,00,03,,,,,
-,-,10,2018/12/6 10:16,034-950-YELLOW,25772,乗客アプリ（Myルートから）,2137,120,4,1,,2018/12/6 10:22,2018/12/6 10:31,35.454389 139.630904,横浜ランドマークタワー,35.441441 139.648505,横浜中華街朱雀門,2018/12/6 10:21,2018/12/6 10:21,2018/12/6 10:33,2018/12/6 10:33,,2018/12/6 10:16,0:08:12,0:08:12,,01,06,,,,,
-,-,10,2018/12/6 10:20,166-269-agekke,25774,乗客アプリ（地図から）,5522,882,5,1,,2018/12/6 10:22,2018/12/6 10:28,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/12/6 10:23,2018/12/6 10:23,2018/12/6 10:29,2018/12/6 10:29,,2018/12/6 10:20,0:05:35,0:05:35,,00,01,,,,,
