,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
-,-,10,2018/11/25 10:02,166-517-agekke,19692,乗客アプリ（地図から）,5522,992,15,1,,2018/11/25 10:05,2018/11/25 10:11,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/25 10:04,2018/11/25 10:04,2018/11/25 10:11,2018/11/25 10:11,,2018/11/25 10:02,0:06:30,0:06:30,,00,02,,,,,,
-,-,10,2018/11/25 10:03,076-718-ORANGE 076-716-ORANGE,19694,まちかど端末（店舗から）,0,178,11,2,,2018/11/25 10:11,2018/11/25 10:16,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/25 10:10,2018/11/25 10:10,2018/11/25 10:17,2018/11/25 10:17,,2018/11/25 10:03,0:05:16,0:10:32,,00,07,,,,,,
-,-,10,2018/11/25 10:03,076-600-ORANGE 076-598-ORANGE 076-599-ORANGE,19695,乗客アプリ（目的地から）,7342,386,13,3,,2018/11/25 10:08,2018/11/25 10:19,35.448676 139.635696,横浜平和プラザホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/25 10:07,2018/11/25 10:07,2018/11/25 10:17,2018/11/25 10:17,,2018/11/25 10:03,0:10:13,0:30:39,,01,05,,,,,,
-,-,10,2018/11/25 10:04,167-884-CAKE,19696,乗客アプリWeb（目的地から）,7206,203,6,2,,2018/11/25 10:11,2018/11/25 10:19,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443659 139.650847,横浜マリンタワー,2018/11/25 10:10,2018/11/25 10:10,2018/11/25 10:22,2018/11/25 10:22,,2018/11/25 10:04,0:07:48,0:15:36,,01,07,,,,,,
-,-,10,2018/11/25 10:07,166-557-agekke,19698,まちかど端末（店舗から）,0,919,12,1,,2018/11/25 10:08,2018/11/25 10:12,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,馬車道駅（みなとみらい線）,2018/11/25 10:11,2018/11/25 10:11,2018/11/25 10:19,2018/11/25 10:19,,2018/11/25 10:07,0:03:57,0:03:57,,00,01,,,,,,
★,-,10,2018/11/25 10:11,118-761-SUN 118-804-SUN 118-763-SUN 118-762-SUN,19699,まちかど端末（店舗から）,0,729,8,4,,2018/11/25 10:19,2018/11/25 10:27,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/25 10:21,2018/11/25 10:21,2018/11/25 10:34,2018/11/25 10:34,2018/11/25 10:21,2018/11/25 10:21,0:08:20,0:33:20,,00,00,,,,,,
-,-,10,2018/11/25 10:13,103-080-SNOW 103-083-SNOW,19700,まちかど端末（店舗から）,0,511,14,2,,2018/11/25 10:22,2018/11/25 10:33,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/25 10:24,2018/11/25 10:24,2018/11/25 10:41,2018/11/25 10:41,,2018/11/25 10:13,0:11:15,0:22:30,,00,08,,,,,,
-,-,10,2018/11/25 10:14,166-464-agekke,19702,乗客アプリ（目的地から）,3162,788,4,1,,2018/11/25 10:21,2018/11/25 10:31,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447546 139.64358,横浜開港資料館,2018/11/25 10:23,2018/11/25 10:23,2018/11/25 10:35,2018/11/25 10:35,,2018/11/25 10:14,0:09:52,0:09:52,,00,07,,,,,,
-,-,10,2018/11/25 10:15,076-691-ORANGE,19704,乗客アプリ（目的地から）,7292,899,7,1,,2018/11/25 10:20,2018/11/25 10:31,35.45435 139.631762,横浜ロイヤルパークホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/25 10:19,2018/11/25 10:19,2018/11/25 10:32,2018/11/25 10:32,,2018/11/25 10:15,0:10:24,0:10:24,,01,05,,,,,,
-,-,10,2018/11/25 10:18,033-792-YELLOW 026-234-GREEN 033-791-YELLOW,19705,まちかど端末（乗降ポイントから）,0,431,3,3,,2018/11/25 10:25,2018/11/25 10:32,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/25 10:25,2018/11/25 10:25,2018/11/25 10:34,2018/11/25 10:34,,2018/11/25 10:18,0:06:57,0:20:51,,00,07,,,,,,
-,-,10,2018/11/25 10:20,026-646-GREEN,19707,まちかど端末（店舗から）,0,244,12,1,,2018/11/25 10:24,2018/11/25 10:29,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/25 10:25,2018/11/25 10:25,2018/11/25 10:33,2018/11/25 10:33,,2018/11/25 10:20,0:05:00,0:05:00,,00,04,,,,,,
★,-,10,2018/11/25 10:23,031-777-YELLOW 012-268-RED 057-264-STRAWBERRY,19711,乗客アプリ（Myルートから）,2678,894,1,3,,2018/11/25 10:30,2018/11/25 10:41,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/25 10:33,2018/11/25 10:33,2018/11/25 10:51,2018/11/25 10:51,2018/11/25 10:33,2018/11/25 10:33,0:10:55,0:32:45,,00,00,,,,,,
-,-,10,2018/11/25 10:24,166-557-agekke,19712,まちかど端末（店舗から）,0,990,6,1,,2018/11/25 10:31,2018/11/25 10:39,35.450447 139.635947,馬車道駅（みなとみらい線）,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/25 10:30,2018/11/25 10:32,2018/11/25 10:41,2018/11/25 10:43,,2018/11/25 10:24,0:08:16,0:08:16,,00,06,,,,,,
-,-,10,2018/11/25 10:28,166-439-agekke,19716,乗客アプリ（目的地から）,1888,2,9,1,,2018/11/25 10:30,2018/11/25 10:34,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/25 10:30,2018/11/25 10:30,2018/11/25 10:36,2018/11/25 10:36,,2018/11/25 10:28,0:04:25,0:04:25,,00,01,,,,,,
