,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
★,-,10,2018/12/9 9:05,009-578-BLUE,27996,乗客アプリ（Myルートから）,8571,400,7,1,,2018/12/9 10:05,2018/12/9 10:22,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.441002 139.650809,横浜元町ショッピングストリート,2018/12/9 10:05,2018/12/9 10:05,2018/12/9 10:21,2018/12/9 10:29,2018/12/9 10:05,2018/12/9 10:05,0:16:36,0:16:36,606,00,00,02,02,,2018/12/9 10:00,※10時以前に予約しているため,
★,-,10,2018/12/9 9:06,038-937-YELLOW,27997,乗客アプリ（地図から）,6678,58,3,1,,2018/12/9 10:12,2018/12/9 10:23,35.441441 139.648505,横浜中華街朱雀門,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/9 10:12,2018/12/9 10:13,2018/12/9 10:24,2018/12/9 10:32,2018/12/9 10:06,2018/12/9 10:06,0:10:17,0:10:17,,00,06,,,,2018/12/9 10:00,※10時以前に予約しているため,
★,-,10,2018/12/9 9:08,065-740-BANANA 015-856-RED 065-739-BANANA,27998,乗客アプリ（地図から）,4832,816,1,3,,2018/12/9 9:58,2018/12/9 10:06,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.453715 139.638133,横浜ワールドポーターズ,2018/12/9 10:08,2018/12/9 10:08,2018/12/9 10:21,2018/12/9 10:21,2018/12/9 10:08,2018/12/9 10:08,0:07:33,0:22:39,,00,00,,,,2018/12/9 10:00,※10時以前に予約しているため,
-,-,10,2018/12/9 9:15,000-400-BLUE,28000,乗客アプリ（地図から）,5528,681,2,1,,2018/12/9 10:07,2018/12/9 10:19,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/12/9 10:10,2018/12/9 10:10,2018/12/9 10:26,2018/12/9 10:30,,2018/12/9 9:15,0:12:35,0:12:35,,00,07,,,,2018/12/9 10:00,※10時以前に予約しているため,
★,-,10,2018/12/9 9:19,057-553-STRAWBERRY,28002,乗客アプリ（地図から）,1605,849,4,1,,2018/12/9 10:04,2018/12/9 10:10,35.443908 139.635249,イセザキ・モール,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/12/9 10:09,2018/12/9 10:09,2018/12/9 10:21,2018/12/9 10:21,2018/12/9 9:29,2018/12/9 9:29,0:06:29,0:06:29,,00,04,,,,2018/12/9 10:00,※10時以前に予約しているため,
★,-,10,2018/12/9 9:38,077-658-ORANGE 077-659-ORANGE,28004,乗客アプリ（地図から）,6751,872,12,2,,2018/12/9 10:34,2018/12/9 10:42,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/9 10:38,2018/12/9 10:38,2018/12/9 10:47,2018/12/9 10:55,2018/12/9 10:38,2018/12/9 10:38,0:07:21,0:14:42,,00,00,,,,2018/12/9 10:00,※10時以前に予約しているため,
-,-,10,2018/12/9 9:50,032-815-YELLOW 040-310-BLACK,28005,乗客アプリ（簡単予約）,8427,703,11,2,,2018/12/9 9:57,2018/12/9 10:07,35.445783 139.642958,横浜情報文化センター,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/12/9 10:06,2018/12/9 10:06,2018/12/9 10:20,2018/12/9 10:08,,2018/12/9 9:50,0:09:49,0:19:38,,00,00,,,,2018/12/9 10:00,※10時以前に予約しているため,
-,-,10,2018/12/9 9:51,017-798-RED,28006,まちかど端末（乗降ポイントから）,0,348,14,1,,2018/12/9 10:00,2018/12/9 10:08,35.443704 139.651332,ホテルメルパルク横浜,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/12/9 10:08,2018/12/9 10:08,2018/12/9 10:23,2018/12/9 10:23,,2018/12/9 9:51,0:07:42,0:07:42,,00,00,,,,2018/12/9 10:00,※10時以前に予約しているため,
★,-,10,2018/12/9 9:55,039-529-YELLOW,28007,乗客アプリ（地図から）,1436,374,11,1,,2018/12/9 10:53,2018/12/9 10:59,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/12/9 10:55,2018/12/9 10:55,2018/12/9 11:04,2018/12/9 11:14,2018/12/9 10:55,2018/12/9 10:55,0:05:24,0:05:24,,00,00,,,,2018/12/9 10:00,※10時以前に予約しているため,
★,-,10,2018/12/9 9:56,076-215-ORANGE,28008,乗客アプリ（Myルートから）,3738,101,10,1,,2018/12/9 10:04,2018/12/9 10:13,35.441002 139.650809,横浜元町ショッピングストリート,35.45435 139.631762,横浜ロイヤルパークホテル,2018/12/9 10:06,2018/12/9 10:06,2018/12/9 10:21,2018/12/9 10:21,2018/12/9 10:06,2018/12/9 10:06,0:09:13,0:09:13,,00,00,,,,2018/12/9 10:00,※10時以前に予約しているため,
