,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
★,-,10,2018/12/8 9:44,031-431-YELLOW,27230,乗客アプリ（Myルートから）,5952,6,3,1,,2018/12/8 10:00,2018/12/8 10:14,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443073 139.651914,横浜人形の家,2018/12/8 10:03,2018/12/8 10:03,2018/12/8 10:19,2018/12/8 10:17,2018/12/8 9:54,2018/12/8 9:54,0:13:47,0:13:47,750,00,00,03,03,,2018/12/8 10:00,※10時以前に予約しているため,
-,-,10,2018/12/8 9:49,075-813-ORANGE,27232,乗客アプリ（目的地から）,8471,299,10,1,,2018/12/8 10:03,2018/12/8 10:10,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/8 10:05,2018/12/8 10:05,2018/12/8 10:14,2018/12/8 10:14,,2018/12/8 9:49,0:07:15,0:07:15,,00,03,,,,2018/12/8 10:00,※10時以前に予約しているため,
★,-,10,2018/12/8 9:52,168-249-CAKE,27233,乗客アプリWeb（地図から）,8650,936,1,1,,2018/12/8 10:08,2018/12/8 10:16,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443073 139.651914,横浜人形の家,2018/12/8 10:05,2018/12/8 10:06,2018/12/8 10:16,2018/12/8 10:16,2018/12/8 10:02,2018/12/8 10:02,0:08:36,0:08:36,,02,06,,,,2018/12/8 10:00,※10時以前に予約しているため,
★,-,10,2018/12/8 9:55,143-325-STAR 143-329-STAR 143-328-STAR 143-324-STAR 143-326-STAR,27235,乗客アプリ（地図から）,7687,61,8,5,,2018/12/8 10:07,2018/12/8 10:19,35.450554 139.632616,横浜桜木町ワシントンホテル,35.44291 139.650404,元町・中華街駅（みなとみらい線）,2018/12/8 10:06,2018/12/8 10:06,2018/12/8 10:20,2018/12/8 10:23,2018/12/8 10:05,2018/12/8 10:05,0:11:29,0:57:25,,01,02,,,,2018/12/8 10:00,※10時以前に予約しているため,
-,-,10,2018/12/8 9:55,143-183-STAR,27236,乗客アプリ（簡単予約）,8619,710,12,1,,2018/12/8 10:01,2018/12/8 10:11,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443073 139.651914,横浜人形の家,2018/12/8 10:05,2018/12/8 10:05,2018/12/8 10:16,2018/12/8 10:16,,2018/12/8 9:55,0:10:09,0:10:09,,00,01,,,,2018/12/8 10:00,※10時以前に予約しているため,
-,-,10,2018/12/8 9:55,112-850-SUN,27237,乗客アプリ（目的地から）,7310,663,5,1,,2018/12/8 10:01,2018/12/8 10:09,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443073 139.651914,横浜人形の家,2018/12/8 10:05,2018/12/8 10:05,2018/12/8 10:16,2018/12/8 10:16,,2018/12/8 9:55,0:07:54,0:07:54,,00,01,,,,2018/12/8 10:00,※10時以前に予約しているため,
-,-,10,2018/12/8 9:55,062-639-BANANA,27238,乗客アプリ（目的地から）,8629,93,7,1,,2018/12/8 9:58,2018/12/8 10:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/12/8 10:01,2018/12/8 10:01,2018/12/8 10:13,2018/12/8 10:16,,2018/12/8 9:55,0:19:14,0:19:14,,00,00,,,,2018/12/8 10:00,※10時以前に予約しているため,
-,-,10,2018/12/8 9:59,062-636-BANANA,27240,乗客アプリ（簡単予約）,8514,641,6,1,,2018/12/8 10:07,2018/12/8 10:18,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/12/8 10:06,2018/12/8 10:06,2018/12/8 10:20,2018/12/8 10:26,,2018/12/8 9:59,0:10:26,0:10:26,,00,07,,,,2018/12/8 10:00,※10時以前に予約しているため,
-,-,10,2018/12/8 9:59,052-230-STRAWBERRY 052-229-STRAWBERRY 052-228-STRAWBERRY 057-485-STRAWBERRY,27241,まちかど端末（店舗から）,0,179,11,4,,2018/12/8 10:04,2018/12/8 10:12,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/8 10:03,2018/12/8 10:03,2018/12/8 10:15,2018/12/8 10:15,,2018/12/8 9:59,0:08:09,0:32:36,,00,04,,,,2018/12/8 10:00,※10時以前に予約しているため,
-,-,10,2018/12/8 9:59,033-002-YELLOW,27242,乗客アプリ（Myルートから）,4852,584,14,1,,2018/12/8 10:04,2018/12/8 10:08,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/12/8 10:06,2018/12/8 10:06,2018/12/8 10:11,2018/12/8 10:11,,2018/12/8 9:59,0:03:34,0:03:34,,00,04,,,,2018/12/8 10:00,※10時以前に予約しているため,
★,-,10,2018/12/8 10:00,035-467-YELLOW,27243,乗客アプリ（地図から）,7698,445,7,1,,2018/12/8 10:09,2018/12/8 10:28,35.443908 139.635249,イセザキ・モール,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/8 10:10,2018/12/8 10:10,2018/12/8 10:26,2018/12/8 10:26,2018/12/8 10:10,2018/12/8 10:10,0:19:06,0:19:06,,00,00,,,,,,
-,-,10,2018/12/8 10:01,119-121-SUN,27245,乗客アプリ（地図から）,5428,954,9,1,,2018/12/8 10:05,2018/12/8 10:11,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/8 10:03,2018/12/8 10:03,2018/12/8 10:12,2018/12/8 10:12,,2018/12/8 10:01,0:06:45,0:06:45,,02,03,,,,,,
-,-,10,2018/12/8 10:01,025-689-GREEN,27246,乗客アプリ（地図から）,4540,809,13,1,,2018/12/8 10:10,2018/12/8 10:20,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.44291 139.650404,元町・中華街駅（みなとみらい線）,2018/12/8 10:10,2018/12/8 10:10,2018/12/8 10:26,2018/12/8 10:27,,2018/12/8 10:01,0:10:21,0:10:21,,00,08,,,,,,
-,-,10,2018/12/8 10:03,119-374-SUN,27247,乗客アプリ（地図から）,4820,666,4,1,,2018/12/8 10:12,2018/12/8 10:24,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/8 10:12,2018/12/8 10:12,2018/12/8 10:22,2018/12/8 10:37,,2018/12/8 10:03,0:12:48,0:12:48,,00,08,,,,,,
-,-,10,2018/12/8 10:04,060-180-BANANA,27248,まちかど端末（店舗から）,0,631,14,1,,2018/12/8 10:15,2018/12/8 10:23,35.45435 139.631762,横浜ロイヤルパークホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/12/8 10:19,2018/12/8 10:19,2018/12/8 10:30,2018/12/8 10:23,,2018/12/8 10:04,0:08:06,0:08:06,,00,10,,,,,,
-,-,10,2018/12/8 10:04,166-267-agekke,27249,乗客アプリ（Myルートから）,2171,995,13,1,,2018/12/8 10:12,2018/12/8 10:15,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,馬車道駅（みなとみらい線）,2018/12/8 10:13,2018/12/8 10:13,2018/12/8 10:20,2018/12/8 10:20,,2018/12/8 10:04,0:02:46,0:02:46,,00,08,,,,,,
-,-,10,2018/12/8 10:05,118-977-SUN,27250,乗客アプリ（目的地から）,8573,167,8,1,,2018/12/8 10:08,2018/12/8 10:15,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/12/8 10:09,2018/12/8 10:09,2018/12/8 10:18,2018/12/8 10:18,,2018/12/8 10:05,0:07:41,0:07:41,,00,02,,,,,,
-,-,10,2018/12/8 10:06,166-316-agekke,27251,乗客アプリ（目的地から）,5695,759,4,1,,2018/12/8 10:12,2018/12/8 10:16,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/12/8 10:13,2018/12/8 10:13,2018/12/8 10:19,2018/12/8 10:18,,2018/12/8 10:06,0:04:16,0:04:16,,00,05,,,,,,
★,-,10,2018/12/8 10:07,066-882-BANANA,27252,乗客アプリ（目的地から）,3765,81,2,1,,2018/12/8 10:15,2018/12/8 10:22,35.445857 139.647636,ホテルモントレ横浜,35.443908 139.635249,イセザキ・モール,2018/12/8 10:17,2018/12/8 10:17,2018/12/8 10:25,2018/12/8 10:25,2018/12/8 10:17,2018/12/8 10:17,0:06:35,0:06:35,,00,00,,,,,,
-,-,10,2018/12/8 10:11,075-734-ORANGE 076-276-ORANGE 076-275-ORANGE,27253,まちかど端末（店舗から）,0,706,10,3,,2018/12/8 10:16,2018/12/8 10:25,35.456605 139.635327,横浜ベイホテル東急,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/12/8 10:21,2018/12/8 10:21,2018/12/8 10:34,2018/12/8 10:34,,2018/12/8 10:11,0:08:51,0:26:33,,00,05,,,,,,
★,-,10,2018/12/8 10:11,017-585-RED,27254,乗客アプリ（地図から）,3660,383,6,1,,2018/12/8 10:16,2018/12/8 10:38,35.453715 139.638133,横浜ワールドポーターズ,35.441002 139.650809,横浜元町ショッピングストリート,2018/12/8 10:21,2018/12/8 10:21,2018/12/8 10:38,2018/12/8 10:38,2018/12/8 10:21,2018/12/8 10:21,0:21:54,0:21:54,,00,00,,,,,,
★,-,10,2018/12/8 10:13,115-613-SUN 113-417-SUN 113-418-SUN,27257,乗客アプリ（目的地から）,4782,419,4,3,,2018/12/8 10:17,2018/12/8 10:21,35.450554 139.632616,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/12/8 10:23,2018/12/8 10:23,2018/12/8 10:32,2018/12/8 10:32,2018/12/8 10:23,2018/12/8 10:23,0:04:02,0:12:06,,00,00,,,,,,
-,-,10,2018/12/8 10:14,033-895-YELLOW,27259,乗客アプリ（地図から）,6825,896,1,1,,2018/12/8 10:17,2018/12/8 10:32,35.443073 139.651914,横浜人形の家,35.443908 139.635249,イセザキ・モール,2018/12/8 10:16,2018/12/8 10:16,2018/12/8 10:26,2018/12/8 10:33,,2018/12/8 10:14,0:15:42,0:15:42,,00,03,,,,,,
★,-,10,2018/12/8 10:17,101-914-SNOW 101-913-SNOW,27260,乗客アプリ（地図から）,1669,302,1,2,,2018/12/8 10:28,2018/12/8 10:33,35.447546 139.64358,横浜開港資料館,35.443908 139.635249,イセザキ・モール,2018/12/8 10:27,2018/12/8 10:27,2018/12/8 10:34,2018/12/8 10:34,2018/12/8 10:27,2018/12/8 10:27,0:05:05,0:10:10,,00,00,,,,,,
