,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
★,-,10,2018/11/24 9:00,111-076-SUN,18848,乗客アプリ（目的地から）,3378,976,2,1,,2018/11/24 10:10,2018/11/24 10:23,35.441441 139.648505,横浜中華街朱雀門,35.443908 139.635249,イセザキ・モール,2018/11/24 10:13,2018/11/24 10:13,2018/11/24 10:22,2018/11/24 10:22,2018/11/24 10:00,2018/11/24 10:00,0:12:53,0:12:53,827,00,10,07,06,,,,
-,-,10,2018/11/24 9:40,023-183-GREEN,18850,乗客アプリ（簡単予約）,2915,220,8,1,,2018/11/24 10:03,2018/11/24 10:18,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/24 10:05,2018/11/24 10:05,2018/11/24 10:14,2018/11/24 10:22,,2018/11/24 9:40,0:14:43,0:14:43,,00,03,,,,2018/11/24 10:00,※10時以前に予約しているため,
-,-,10,2018/11/24 9:49,065-845-BANANA 065-844-BANANA 065-819-BANANA,18851,乗客アプリ（地図から）,6347,610,10,3,,2018/11/24 10:05,2018/11/24 10:15,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/24 10:03,2018/11/24 10:03,2018/11/24 10:19,2018/11/24 10:19,,2018/11/24 9:49,0:09:40,0:29:00,,02,05,,,,2018/11/24 10:00,※10時以前に予約しているため,
-,-,10,2018/11/24 9:49,065-502-BANANA 065-461-BANANA,18852,まちかど端末（乗降ポイントから）,0,972,5,2,,2018/11/24 10:12,2018/11/24 10:21,35.443704 139.651332,ホテルメルパルク横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/24 10:12,2018/11/24 10:12,2018/11/24 10:25,2018/11/24 10:25,,2018/11/24 9:49,0:09:04,0:18:08,,00,12,,,,2018/11/24 10:00,※10時以前に予約しているため,
-,-,10,2018/11/24 9:52,065-681-BANANA 065-432-BANANA 065-433-BANANA,18853,まちかど端末（乗降ポイントから）,0,147,4,3,,2018/11/24 10:08,2018/11/24 10:22,35.448676 139.635696,横浜平和プラザホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/24 10:08,2018/11/24 10:08,2018/11/24 10:21,2018/11/24 10:21,,2018/11/24 9:52,0:13:06,0:39:18,,00,08,,,,2018/11/24 10:00,※10時以前に予約しているため,
★,-,10,2018/11/24 9:53,069-887-BANANA 069-884-BANANA 069-885-BANANA 069-886-BANANA,18854,乗客アプリ（目的地から）,3656,923,14,4,,2018/11/24 10:07,2018/11/24 10:22,35.456605 139.635327,横浜ベイホテル東急,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/24 10:06,2018/11/24 10:06,2018/11/24 10:22,2018/11/24 10:22,2018/11/24 10:03,2018/11/24 10:03,0:15:08,1:00:32,,00,03,,,,,,
★,-,10,2018/11/24 9:54,019-848-RED 023-878-GREEN,18855,乗客アプリ（目的地から）,6597,374,10,2,,2018/11/24 10:54,2018/11/24 11:02,35.448676 139.635696,横浜平和プラザホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/24 10:54,2018/11/24 10:54,2018/11/24 11:04,2018/11/24 11:04,2018/11/24 10:54,2018/11/24 10:54,0:08:24,0:16:48,,00,00,,,,,,
-,-,10,2018/11/24 9:54,028-582-GREEN,18856,乗客アプリ（地図から）,5952,230,6,1,,2018/11/24 10:16,2018/11/24 10:36,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443073 139.651914,横浜人形の家,2018/11/24 10:03,2018/11/24 10:10,2018/11/24 10:19,2018/11/24 10:35,,2018/11/24 9:54,0:19:37,0:19:37,,13,16,,,,2018/11/24 10:00,※10時以前に予約しているため,
★,-,10,2018/11/24 10:00,019-148-RED 019-532-RED,18858,乗客アプリ（目的地から）,3203,792,9,2,,2018/11/24 10:08,2018/11/24 10:33,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/24 10:10,2018/11/24 10:10,2018/11/24 10:27,2018/11/24 10:27,2018/11/24 10:10,2018/11/24 10:10,0:24:41,0:49:22,,00,00,,,,,,
-,-,10,2018/11/24 10:02,101-912-SNOW 101-911-SNOW,18859,乗客アプリ（地図から）,1669,774,15,2,,2018/11/24 10:09,2018/11/24 10:18,35.447546 139.64358,横浜開港資料館,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/24 10:09,2018/11/24 10:09,2018/11/24 10:23,2018/11/24 10:23,,2018/11/24 10:02,0:09:01,0:18:02,,00,07,,,,,,
-,-,10,2018/11/24 10:02,021-121-GREEN,18860,まちかど端末（店舗から）,0,776,13,1,,2018/11/24 10:07,2018/11/24 10:13,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/24 10:10,2018/11/24 10:10,2018/11/24 10:19,2018/11/24 10:19,,2018/11/24 10:02,0:05:23,0:05:23,,00,05,,,,,,
★,-,10,2018/11/24 10:02,007-233-BLUE,18861,乗客アプリ（Myルートから）,1358,169,8,1,,2018/11/24 10:12,2018/11/24 10:17,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/24 10:12,2018/11/24 10:12,2018/11/24 10:21,2018/11/24 10:21,2018/11/24 10:12,2018/11/24 10:12,0:05:45,0:05:45,,00,00,,,,,,
-,-,10,2018/11/24 10:05,166-449-agekke,18862,乗客アプリ（目的地から）,1328,344,7,1,,2018/11/24 10:07,2018/11/24 10:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/24 10:06,2018/11/24 10:06,2018/11/24 10:20,2018/11/24 10:30,,2018/11/24 10:05,0:10:56,0:10:56,,01,02,,,,,,
-,-,10,2018/11/24 10:05,114-058-SUN,18863,乗客アプリ（地図から）,5712,959,1,1,,2018/11/24 10:16,2018/11/24 10:23,35.44291 139.650404,元町・中華街駅（みなとみらい線）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/24 10:17,2018/11/24 10:19,2018/11/24 10:28,2018/11/24 10:30,,2018/11/24 10:05,0:07:18,0:07:18,,00,10,,,,,,
-,-,10,2018/11/24 10:05,027-789-GREEN,18864,乗客アプリ（地図から）,5562,824,7,1,,2018/11/24 10:07,2018/11/24 10:17,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/24 10:07,2018/11/24 10:07,2018/11/24 10:18,2018/11/24 10:22,,2018/11/24 10:05,0:10:01,0:10:01,,00,01,,,,,,
-,-,10,2018/11/24 10:07,105-130-SNOW,18865,乗客アプリ（地図から）,5973,858,6,1,,2018/11/24 10:17,2018/11/24 10:29,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.447546 139.64358,横浜開港資料館,2018/11/24 10:15,2018/11/24 10:15,2018/11/24 10:28,2018/11/24 10:30,,2018/11/24 10:07,0:12:50,0:12:50,,01,09,,,,,,
-,-,10,2018/11/24 10:08,166-472-agekke,18867,まちかど端末（店舗から）,0,348,6,1,,2018/11/24 10:20,2018/11/24 10:24,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,馬車道駅（みなとみらい線）,2018/11/24 10:18,2018/11/24 10:18,2018/11/24 10:25,2018/11/24 10:25,,2018/11/24 10:08,0:04:14,0:04:14,,02,11,,,,,,
