,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
-,-,10,2018/11/19 10:22,167-778-CAKE,16218,乗客アプリWeb（目的地から）,6684,550,6,1,,2018/11/19 10:26,2018/11/19 10:33,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/19 10:24,2018/11/19 10:24,2018/11/19 10:34,2018/11/19 10:34,,2018/11/19 10:22,0:07:18,0:07:18,,02,03,,,,,
-,-,10,2018/11/19 10:22,068-448-BANANA 066-213-BANANA,16219,乗客アプリ（地図から）,5936,911,3,2,,2018/11/19 10:24,2018/11/19 10:56,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/19 10:25,2018/11/19 10:25,2018/11/19 10:40,2018/11/19 10:51,,2018/11/19 10:22,0:31:49,1:03:38,,00,01,,,,,
★,-,10,2018/11/19 10:24,113-804-SUN,16220,乗客アプリ（地図から）,3510,53,3,1,,2018/11/19 10:33,2018/11/19 10:40,35.445783 139.642958,横浜情報文化センター,35.443908 139.635249,イセザキ・モール,2018/11/19 10:34,2018/11/19 10:34,2018/11/19 10:40,2018/11/19 10:40,2018/11/19 10:34,2018/11/19 10:34,0:06:48,0:06:48,,00,00,,,,,
-,-,10,2018/11/19 10:24,166-708-agekke,16221,乗客アプリ（目的地から）,1888,848,2,1,,2018/11/19 10:27,2018/11/19 10:32,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/19 10:27,2018/11/19 10:27,2018/11/19 10:33,2018/11/19 10:33,,2018/11/19 10:24,0:05:20,0:05:20,,00,03,,,,,
-,-,10,2018/11/19 10:27,031-987-YELLOW,16222,乗客アプリ（地図から）,3388,712,11,1,,2018/11/19 10:35,2018/11/19 10:50,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/19 10:33,2018/11/19 10:33,2018/11/19 10:40,2018/11/19 10:50,,2018/11/19 10:27,0:15:53,0:15:53,,01,07,,,,,
-,-,10,2018/11/19 10:29,166-747-agekke,16223,乗客アプリ（目的地から）,2314,691,10,1,,2018/11/19 10:32,2018/11/19 10:40,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/19 10:31,2018/11/19 10:31,2018/11/19 10:38,2018/11/19 10:38,,2018/11/19 10:29,0:07:47,0:07:47,,01,03,,,,,
-,-,10,2018/11/19 10:29,166-624-agekke,16224,乗客アプリ（地図から）,1885,73,13,1,,2018/11/19 10:33,2018/11/19 10:44,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/19 10:31,2018/11/19 10:31,2018/11/19 10:42,2018/11/19 10:42,,2018/11/19 10:29,0:11:06,0:11:06,,02,04,,,,,
★,-,10,2018/11/19 10:30,015-462-RED,16225,乗客アプリ（地図から）,6060,898,3,1,,2018/11/19 10:43,2018/11/19 10:51,35.443908 139.635249,イセザキ・モール,35.453715 139.638133,横浜ワールドポーターズ,2018/11/19 10:40,2018/11/19 10:40,2018/11/19 10:48,2018/11/19 10:48,2018/11/19 10:40,2018/11/19 10:40,0:08:19,0:08:19,,02,02,,,,,
★,-,10,2018/11/19 10:32,118-173-SUN,16226,乗客アプリ（地図から）,5567,854,11,1,,2018/11/19 10:43,2018/11/19 10:51,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/19 10:42,2018/11/19 10:42,2018/11/19 10:52,2018/11/19 10:52,2018/11/19 10:42,2018/11/19 10:42,0:07:47,0:07:47,,01,01,,,,,
-,-,10,2018/11/19 10:44,020-743-GREEN,16229,まちかど端末（乗降ポイントから）,0,675,8,1,,2018/11/19 10:46,2018/11/19 10:54,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/19 10:47,2018/11/19 10:47,2018/11/19 11:01,2018/11/19 11:01,,2018/11/19 10:44,0:07:57,0:07:57,,00,02,,,,,
