,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
★,-,10,2018/12/7 9:15,062-636-BANANA,26303,乗客アプリ（簡単予約）,8514,924,2,1,,2018/12/7 10:23,2018/12/7 10:33,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/12/7 10:24,2018/12/7 10:24,2018/12/7 10:37,2018/12/7 10:33,2018/12/7 9:25,2018/12/7 9:25,0:09:59,0:09:59,646,00,57,06,04,,2018/12/7 10:00,※10時以前に予約しているため,
-,-,10,2018/12/7 9:42,024-893-GREEN,26309,乗客アプリ（地図から）,3732,832,10,1,,2018/12/7 10:00,2018/12/7 10:16,35.450554 139.632616,横浜桜木町ワシントンホテル,35.44291 139.650404,元町・中華街駅（みなとみらい線）,2018/12/7 10:05,2018/12/7 10:05,2018/12/7 10:15,2018/12/7 10:21,,2018/12/7 9:42,0:16:43,0:16:43,,00,17,,,,2018/12/7 10:00,※10時以前に予約しているため,
-,-,10,2018/12/7 9:49,103-488-SNOW,26311,乗客アプリ（簡単予約）,8509,609,6,1,,2018/12/7 10:07,2018/12/7 10:16,35.443908 139.635249,イセザキ・モール,35.443659 139.650847,横浜マリンタワー,2018/12/7 10:09,2018/12/7 10:09,2018/12/7 10:18,2018/12/7 10:16,,2018/12/7 9:49,0:09:25,0:09:25,,00,17,,,,2018/12/7 10:00,※10時以前に予約しているため,
★,-,10,2018/12/7 9:57,117-126-SUN,26315,乗客アプリ（Myルートから）,6060,215,4,1,,2018/12/7 10:06,2018/12/7 10:14,35.450554 139.632616,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/12/7 10:07,2018/12/7 10:07,2018/12/7 10:18,2018/12/7 10:18,2018/12/7 10:07,2018/12/7 10:07,0:07:55,0:07:55,,00,00,,,,,,
★,-,10,2018/12/7 9:43,027-800-GREEN,26310,乗客アプリ（地図から）,2855,689,8,1,,2018/12/7 9:51,2018/12/7 9:59,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/12/7 10:04,2018/12/7 10:04,2018/12/7 10:14,2018/12/7 10:14,2018/12/7 9:53,2018/12/7 9:53,0:07:58,0:07:58,,00,00,,,,2018/12/7 10:00,※10時以前に予約しているため,
★,-,10,2018/12/7 9:54,032-144-YELLOW,26313,乗客アプリ（Myルートから）,7544,376,4,1,,2018/12/7 10:04,2018/12/7 10:13,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/12/7 10:04,2018/12/7 10:04,2018/12/7 10:11,2018/12/7 10:14,2018/12/7 10:04,2018/12/7 10:04,0:08:55,0:08:55,,00,00,,,,,,
★,-,10,2018/12/7 9:55,105-054-SNOW 105-053-SNOW,26314,乗客アプリ（簡単予約）,6747,828,3,2,,2018/12/7 10:04,2018/12/7 10:15,35.443908 139.635249,イセザキ・モール,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/12/7 10:06,2018/12/7 10:06,2018/12/7 10:20,2018/12/7 10:15,2018/12/7 10:05,2018/12/7 10:05,0:11:01,0:22:02,,00,00,,,,,,
-,-,10,2018/12/7 9:58,117-064-SUN 117-063-SUN 117-065-SUN,26316,乗客アプリ（簡単予約）,5977,378,1,3,,2018/12/7 10:08,2018/12/7 10:18,35.443908 139.635249,イセザキ・モール,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/12/7 10:09,2018/12/7 10:09,2018/12/7 10:24,2018/12/7 10:21,,2018/12/7 9:58,0:09:16,0:27:48,,00,10,,,,2018/12/7 10:00,※10時以前に予約しているため,
★,-,10,2018/12/7 9:59,121-162-SKY,26319,乗客アプリ（目的地から）,8522,286,10,1,,2018/12/7 10:05,2018/12/7 10:12,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/12/7 10:09,2018/12/7 10:09,2018/12/7 10:18,2018/12/7 10:13,2018/12/7 10:09,2018/12/7 10:09,0:07:55,0:07:55,,00,00,,,,,,
-,-,10,2018/12/7 10:01,077-329-ORANGE,26320,まちかど端末（店舗から）,0,502,5,1,,2018/12/7 10:11,2018/12/7 10:16,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.447541 139.644914,シルク博物館,2018/12/7 10:13,2018/12/7 10:13,2018/12/7 10:19,2018/12/7 10:19,,2018/12/7 10:01,0:05:01,0:05:01,,00,09,,,,,,
-,-,10,2018/12/7 10:02,166-205-agekke,26321,乗客アプリ（Myルートから）,1328,572,9,1,,2018/12/7 10:04,2018/12/7 10:16,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/12/7 10:03,2018/12/7 10:03,2018/12/7 10:17,2018/12/7 10:14,,2018/12/7 10:02,0:12:06,0:12:06,,00,02,,,,,,
-,-,10,2018/12/7 10:02,076-282-ORANGE,26322,乗客アプリ（Myルートから）,5702,214,7,1,,2018/12/7 10:06,2018/12/7 10:09,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/12/7 10:09,2018/12/7 10:09,2018/12/7 10:14,2018/12/7 10:10,,2018/12/7 10:02,0:03:20,0:03:20,,00,04,,,,,,
-,-,10,2018/12/7 10:04,166-293-agekke,26325,乗客アプリ（地図から）,2171,547,13,1,,2018/12/7 10:06,2018/12/7 10:21,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/12/7 10:06,2018/12/7 10:06,2018/12/7 10:15,2018/12/7 10:28,,2018/12/7 10:04,0:14:25,0:14:25,,00,01,,,,,,
-,-,10,2018/12/7 10:05,168-215-CAKE,26326,乗客アプリWeb（目的地から）,8521,634,8,1,,2018/12/7 10:07,2018/12/7 10:14,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/12/7 10:08,2018/12/7 10:08,2018/12/7 10:17,2018/12/7 10:17,,2018/12/7 10:05,0:07:03,0:07:03,,00,01,,,,,,
★,-,10,2018/12/7 10:06,066-426-BANANA 012-269-RED 066-422-BANANA,26327,乗客アプリ（Myルートから）,2678,266,10,3,,2018/12/7 10:13,2018/12/7 10:25,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/12/7 10:16,2018/12/7 10:16,2018/12/7 10:38,2018/12/7 10:38,2018/12/7 10:16,2018/12/7 10:16,0:12:38,0:37:54,,00,00,,,,,,
★,-,10,2018/12/7 10:07,007-232-BLUE,26328,乗客アプリ（Myルートから）,1358,751,13,1,,2018/12/7 10:14,2018/12/7 10:27,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/7 10:17,2018/12/7 10:19,2018/12/7 10:29,2018/12/7 10:30,2018/12/7 10:17,2018/12/7 10:17,0:13:32,0:13:32,,00,00,,,,,,
-,-,10,2018/12/7 10:07,037-566-YELLOW 037-539-YELLOW,26329,まちかど端末（店舗から）,0,443,6,2,,2018/12/7 10:14,2018/12/7 10:27,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.454389 139.630904,横浜ランドマークタワー,2018/12/7 10:13,2018/12/7 10:13,2018/12/7 10:32,2018/12/7 10:32,,2018/12/7 10:07,0:13:07,0:26:14,,01,06,,,,,,
-,-,10,2018/12/7 10:09,118-078-SUN,26330,乗客アプリ（目的地から）,8362,197,15,1,,2018/12/7 10:14,2018/12/7 10:18,35.450447 139.635947,馬車道駅（みなとみらい線）,35.452963 139.642093,横浜赤レンガ倉庫,2018/12/7 10:17,2018/12/7 10:17,2018/12/7 10:23,2018/12/7 10:23,,2018/12/7 10:09,0:04:03,0:04:03,,00,05,,,,,,
