,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
★,-,10,2018/11/17 9:51,027-280-GREEN,15124,乗客アプリ（地図から）,3738,22,3,1,,2018/11/17 10:15,2018/11/17 10:26,35.441002 139.650809,横浜元町ショッピングストリート,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/17 10:13,2018/11/17 10:13,2018/11/17 10:28,2018/11/17 10:28,2018/11/17 10:01,2018/11/17 10:01,0:11:07,0:11:07,350,02,14,05,04,,,,
-,-,10,2018/11/17 10:01,055-358-STRAWBERRY 055-356-STRAWBERRY 055-357-STRAWBERRY,15126,乗客アプリ（簡単予約）,6347,794,2,3,,2018/11/17 10:08,2018/11/17 10:16,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.450447 139.635947,馬車道駅（みなとみらい線）,2018/11/17 10:04,2018/11/17 10:04,2018/11/17 10:17,2018/11/17 10:17,,2018/11/17 10:01,0:07:58,0:23:54,,03,07,,,,,,
-,-,10,2018/11/17 10:03,028-106-GREEN,15127,乗客アプリ（地図から）,1312,447,9,1,,2018/11/17 10:11,2018/11/17 10:18,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/17 10:07,2018/11/17 10:07,2018/11/17 10:16,2018/11/17 10:16,,2018/11/17 10:03,0:06:42,0:06:42,,04,08,,,,,,
-,-,10,2018/11/17 10:03,063-770-BANANA 063-771-BANANA,15128,まちかど端末（店舗から）,0,493,13,2,,2018/11/17 10:08,2018/11/17 10:15,35.448801 139.636702,ホテルルートイン横浜馬車道,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/17 10:09,2018/11/17 10:09,2018/11/17 10:18,2018/11/17 10:18,,2018/11/17 10:03,0:06:37,0:13:14,,00,05,,,,,,
-,-,10,2018/11/17 10:03,104-542-SNOW,15129,乗客アプリ（簡単予約）,6447,255,1,1,,2018/11/17 10:15,2018/11/17 10:25,35.443659 139.650847,横浜マリンタワー,35.454389 139.630904,横浜ランドマークタワー,2018/11/17 10:17,2018/11/17 10:17,2018/11/17 10:33,2018/11/17 10:33,,2018/11/17 10:03,0:09:44,0:09:44,,00,12,,,,,,
-,-,10,2018/11/17 10:06,019-861-RED,15130,乗客アプリ（簡単予約）,6449,959,5,1,,2018/11/17 10:13,2018/11/17 10:23,35.443659 139.650847,横浜マリンタワー,35.454389 139.630904,横浜ランドマークタワー,2018/11/17 10:17,2018/11/17 10:17,2018/11/17 10:33,2018/11/17 10:33,,2018/11/17 10:06,0:10:24,0:10:24,,00,07,,,,,,
-,-,10,2018/11/17 10:06,007-564-BLUE,15131,乗客アプリ（目的地から）,1358,355,7,1,,2018/11/17 10:11,2018/11/17 10:18,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/17 10:10,2018/11/17 10:10,2018/11/17 10:18,2018/11/17 10:18,,2018/11/17 10:06,0:06:38,0:06:38,,01,05,,,,,,
-,-,10,2018/11/17 10:09,166-678-agekke,15132,まちかど端末（店舗から）,0,60,8,1,,2018/11/17 10:13,2018/11/17 10:20,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,馬車道駅（みなとみらい線）,2018/11/17 10:10,2018/11/17 10:14,2018/11/17 10:18,2018/11/17 10:23,,2018/11/17 10:09,0:07:18,0:07:18,,02,03,,,,,,
-,-,10,2018/11/17 10:09,052-868-STRAWBERRY 053-677-STRAWBERRY,15133,まちかど端末（店舗から）,0,480,11,2,,2018/11/17 10:14,2018/11/17 10:20,35.448676 139.635696,横浜平和プラザホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/17 10:14,2018/11/17 10:14,2018/11/17 10:22,2018/11/17 10:22,,2018/11/17 10:09,0:05:45,0:11:30,,00,05,,,,,,
-,-,10,2018/11/17 10:10,072-057-ORANGE,15134,乗客アプリ（地図から）,4054,541,10,1,,2018/11/17 10:13,2018/11/17 10:19,35.450447 139.635947,馬車道駅（みなとみらい線）,35.443659 139.650847,横浜マリンタワー,2018/11/17 10:16,2018/11/17 10:16,2018/11/17 10:24,2018/11/17 10:24,,2018/11/17 10:10,0:05:26,0:05:26,,00,03,,,,,,
